Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Havelse,1.62,2.22,-0.60,1.22,2.04,-0.82,0.40,0.18,0.22,1.62,2.22,-0.60,1,2,-1,-0.40,47.80,50.17,45.16,0.54,0.86,172,13,14,15,25.93,17.44,12.53,6,7,20,6,10,86.9,44.93,97.73,71.69,112.3,60.35,5,Ulm 2-1 Havelse,2026-04-18
Ulm,2.22,1.62,0.60,2.04,1.22,0.82,0.18,0.40,-0.22,2.22,1.62,0.60,2,1,1,0.40,52.20,49.83,42.52,0.86,0.54,173,9,15,14,17.44,25.93,10.18,7,6,19,4,15,106.5,55.07,38.6,28.31,73.77,39.65,1,Ulm 2-1 Havelse,2026-04-18
Hansa Rostock,2.49,0.65,1.84,2.38,0.65,1.73,0.12,0.00,0.12,2.49,0.65,1.84,0,0,0,-1.84,58.00,44.11,42.02,1.3,0.64,161,22,16,15,12.31,23.44,11.14,4,4,27,9,15,84.0,43.68,10.33,13.59,61.83,30.41,4,Schweinfurt 0-0 Hansa Rostock,2026-04-18
Schweinfurt,0.65,2.49,-1.84,0.65,2.38,-1.73,0.00,0.12,-0.12,0.65,2.49,-1.84,0,0,0,1.84,42.00,55.89,51.01,0.64,1.3,182,9,15,16,23.44,12.31,11.94,4,4,28,7,9,108.3,56.32,65.67,86.41,141.47,69.59,6,Schweinfurt 0-0 Hansa Rostock,2026-04-18
Viktoria Köln,1.63,1.12,0.51,1.61,0.57,1.04,0.02,0.55,-0.53,1.63,1.12,0.51,0,2,-2,-2.51,32.80,36.2,38.79,0.4,0.79,117,6,10,9,25.0,11.39,14.72,9,4,9,3,15,55.3,31.56,162.53,85.94,120.7,54.81,1,Verl 2-0 Viktoria Köln,2026-04-18
Verl,1.12,1.63,-0.51,0.57,1.61,-1.04,0.55,0.02,0.53,1.12,1.63,-0.51,2,0,2,2.51,67.20,63.8,42.55,0.79,0.4,239,14,9,10,11.39,25.0,9.66,4,9,4,1,5,119.9,68.44,26.6,14.06,99.5,45.19,1,Verl 2-0 Viktoria Köln,2026-04-18
Hoffenheim II,1.38,1.80,-0.42,1.13,1.35,-0.22,0.24,0.45,-0.21,1.38,1.80,-0.42,1,3,-2,-1.58,58.20,47.99,44.60,0.4,1.08,235,13,9,12,22.5,11.11,9.34,3,5,18,4,11,88.2,47.5,11.33,9.94,32.8,17.43,1,MSV Duisburg 3-1 Hoffenheim II,2026-04-18
MSV Duisburg,1.80,1.38,0.42,1.35,1.13,0.22,0.45,0.24,0.21,1.80,1.38,0.42,3,1,2,1.58,41.80,52.01,48.31,1.08,0.4,194,14,12,9,11.11,22.5,13.05,5,3,15,6,18,97.5,52.5,102.67,90.06,155.33,82.57,2,MSV Duisburg 3-1 Hoffenheim II,2026-04-18
Osnabrück,2.18,0.86,1.32,1.80,0.86,0.94,0.38,0.00,0.38,2.18,0.86,1.32,1,0,1,-0.32,47.70,62.01,51.95,0.77,1.24,255,13,20,8,25.97,6.45,14.50,3,2,27,10,17,152.4,82.87,92.33,83.99,215.5,94.12,3,Ingolstadt 0-1 Osnabrück,2026-04-18
Ingolstadt,0.86,2.18,-1.32,0.86,1.80,-0.94,0.00,0.38,-0.38,0.86,2.18,-1.32,0,1,-1,0.32,52.30,37.99,39.70,1.24,0.77,152,10,8,20,6.45,25.97,13.65,2,3,14,4,7,31.5,17.13,17.6,16.01,13.47,5.88,2,Ingolstadt 0-1 Osnabrück,2026-04-18
