Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Auckland,1.37,2.60,-1.23,1.37,1.65,-0.28,0.00,0.96,-0.96,1.37,2.60,-1.23,2,2,0,1.23,40.40,41.18,44.95,0.69,0.69,146,12,10,17,14.49,24.64,17.59,2,9,21,6,8,60.3,31.44,133.0,86.74,119.3,59.76,3,Sydney 2-2 Auckland,2026-04-26
Sydney,2.60,1.37,1.23,1.65,1.37,0.28,0.96,0.00,0.96,2.60,1.37,1.23,2,2,0,-1.23,59.60,58.82,46.06,0.69,0.69,264,13,17,10,24.64,14.49,11.46,9,2,13,4,10,131.5,68.56,20.33,13.26,80.33,40.24,2,Sydney 2-2 Auckland,2026-04-26
Brisbane Roar,1.15,2.27,-1.12,0.39,0.75,-0.36,0.76,0.00,0.76,1.15,0.75,0.40,1,2,-1,0.12,69.80,69.61,50.25,0.27,0.5,320,10,10,12,37.04,24.0,11.72,6,4,18,6,10,130.7,77.15,4.27,2.64,47.5,27.13,0,Perth Glory 2-1 Brisbane Roar,2026-04-25
Perth Glory,2.27,1.15,1.12,0.75,0.39,0.36,0.00,0.76,-0.76,0.75,1.15,-0.40,2,1,1,-0.12,30.20,30.39,45.68,0.5,0.27,102,8,12,10,24.0,37.04,12.44,4,6,15,2,13,38.7,22.85,157.27,97.36,127.6,72.87,1,Perth Glory 2-1 Brisbane Roar,2026-04-25
Melbourne Victory,1.45,1.84,-0.39,1.34,1.83,-0.49,0.11,0.01,0.10,1.45,1.84,-0.39,2,0,2,2.39,45.70,49.5,45.30,0.51,1.1,169,11,14,16,27.45,14.55,20.95,1,5,13,5,7,58.6,39.92,74.6,64.94,89.93,54.23,2,Western Sydney Wanderers 0-2 Melbourne Victory,2026-04-25
Western Sydney Wanderers,1.84,1.45,0.39,1.83,1.34,0.49,0.01,0.11,-0.10,1.84,1.45,0.39,0,2,-2,-2.39,54.30,50.5,47.71,1.1,0.51,232,14,16,14,14.55,27.45,14.95,5,1,21,4,8,88.2,60.08,40.27,35.06,75.9,45.77,1,Western Sydney Wanderers 0-2 Melbourne Victory,2026-04-25
Central Coast Mariners,0.52,3.98,-3.46,0.35,3.91,-3.56,0.16,0.08,0.08,0.52,3.98,-3.46,0,4,-4,-0.54,46.50,38.02,42.47,0.29,1.52,137,7,11,18,37.93,11.84,10.74,7,9,14,3,10,28.8,16.89,78.87,64.86,23.37,7.5,0,Newcastle Jets 4-0 Central Coast Mariners,2026-04-25
Newcastle Jets,3.98,0.52,3.46,3.91,0.35,3.56,0.08,0.16,-0.08,3.98,0.52,3.46,4,0,4,0.54,53.50,61.98,44.86,1.52,0.29,216,19,18,11,11.84,37.93,10.39,9,7,7,5,14,141.7,83.11,42.73,35.14,288.27,92.5,1,Newcastle Jets 4-0 Central Coast Mariners,2026-04-25
Wellington Phoenix,1.03,3.74,-2.71,0.92,3.08,-2.16,0.11,0.66,-0.55,1.03,3.74,-2.71,0,4,-4,-1.29,45.6,32.5,46.19,0.63,1.47,161,11,12,26,19.05,17.69,9.1,1,4,16,6,16,30.2,11.52,30.13,36.63,7.71,1.62,2,Macarthur 4-0 Wellington Phoenix,2026-04-24
Macarthur,3.74,1.03,2.71,3.08,0.92,2.16,0.66,0.11,0.55,3.74,1.03,2.71,4,0,4,1.29,54.4,67.5,58.42,1.47,0.63,279,31,26,12,17.69,19.05,10.1,4,1,28,8,10,232.0,88.48,52.13,63.37,469.16,98.38,0,Macarthur 4-0 Wellington Phoenix,2026-04-24
Macarthur,0.76,2.55,-1.79,0.73,2.24,-1.51,0.03,0.31,-0.28,0.76,2.55,-1.79,1,3,-2,-0.21,38.6,42.51,54.98,0.42,1.12,207,10,11,19,26.19,16.96,9.76,5,4,15,3,15,70.0,27.04,85.27,84.2,100.23,47.75,0,Adelaide United 3-1 Macarthur,2026-04-19
Adelaide United,2.55,0.76,1.79,2.24,0.73,1.51,0.31,0.03,0.28,2.55,0.76,1.79,3,1,2,0.21,61.4,57.49,53.75,1.12,0.42,297,31,19,11,16.96,26.19,6.54,4,5,27,12,10,188.9,72.96,16.0,15.8,109.67,52.25,0,Adelaide United 3-1 Macarthur,2026-04-19
Central Coast Mariners,2.91,2.97,-0.06,2.24,1.32,0.92,0.68,1.65,-0.97,2.91,2.97,-0.06,1,0,1,1.06,36.4,30.41,45.15,1.48,1.03,116,10,13,21,8.78,20.39,9.69,7,4,7,1,15,40.6,17.84,70.13,80.74,81.9,40.32,2,Auckland 0-1 Central Coast Mariners,2026-04-19
Auckland,2.97,2.91,0.06,1.32,2.24,-0.92,1.65,0.68,0.97,2.97,2.91,0.06,0,1,-1,-1.06,63.6,69.59,52.72,1.03,1.48,275,18,21,13,20.39,8.78,9.96,4,7,40,12,5,187.0,82.16,16.73,19.26,121.2,59.68,6,Auckland 0-1 Central Coast Mariners,2026-04-19
Perth Glory,0.45,2.26,-1.81,0.45,1.68,-1.23,0.0,0.58,-0.58,0.45,2.26,-1.81,0,0,0,1.81,36.3,44.95,45.84,0.36,0.76,175,9,8,17,22.22,22.37,23.07,5,7,8,1,6,61.8,31.6,187.2,92.13,162.87,71.89,3,Sydney 0-0 Perth Glory,2026-04-18
