Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
IFK Göteborg,1.32,1.15,0.17,1.13,1.14,-0.01,0.19,0.02,0.17,1.32,1.15,0.17,1,1,0,-0.17,55.90,47.51,46.53,0.85,0.93,241,12,16,11,18.82,11.83,18.75,2,8,18,5,10,148.5,62.42,20.8,16.48,98.17,43.18,0,Kalmar 1-1 IFK Göteborg,2026-04-23
Kalmar,1.15,1.32,-0.17,1.14,1.13,0.01,0.02,0.19,-0.17,1.15,1.32,-0.17,1,1,0,0.17,44.10,52.49,51.75,0.93,0.85,236,12,11,16,11.83,18.82,15.89,8,2,19,8,8,89.4,37.58,105.4,83.52,129.17,56.82,0,Kalmar 1-1 IFK Göteborg,2026-04-23
AIK,0.89,0.77,0.12,0.81,0.76,0.05,0.08,0.01,0.07,0.89,0.77,0.12,1,2,-1,-1.12,53.70,48.35,44.94,0.5,0.7,186,6,9,12,18.0,17.14,7.73,9,8,14,7,13,50.5,41.06,32.67,41.49,63.63,54.54,0,Degerfors 2-1 AIK,2026-04-23
Degerfors,0.77,0.89,-0.12,0.76,0.81,-0.05,0.01,0.08,-0.07,0.77,0.89,-0.12,2,1,1,1.12,46.30,51.65,42.18,0.7,0.5,126,10,12,9,17.14,18.0,8.43,8,9,14,4,17,72.5,58.94,46.07,58.51,53.03,45.46,3,Degerfors 2-1 AIK,2026-04-23
Sirius,2.45,1.38,1.07,1.96,1.14,0.82,0.50,0.24,0.26,2.45,1.38,1.07,3,2,1,-0.07,43.30,43.79,49.13,0.89,0.36,180,11,16,15,17.98,41.67,10.39,5,7,13,3,15,66.8,38.43,86.27,70.37,126.33,69.9,0,Malmö FF 2-3 Sirius,2026-04-23
Malmö FF,1.38,2.45,-1.07,1.14,1.96,-0.82,0.24,0.50,-0.26,1.38,2.45,-1.07,2,3,-1,0.07,56.70,56.21,48.61,0.36,0.89,252,16,15,16,41.67,17.98,6.06,7,5,11,4,17,107.0,61.57,36.33,29.63,54.4,30.1,1,Malmö FF 2-3 Sirius,2026-04-23
Mjällby,1.66,1.91,-0.25,1.66,1.29,0.37,0.00,0.61,-0.61,1.66,1.91,-0.25,0,0,0,0.25,55.30,47.5,43.22,0.53,0.87,207,11,13,25,24.53,28.74,13.33,5,9,9,2,8,71.1,30.58,13.87,12.4,41.9,16.23,0,GAIS 0-0 Mjällby,2026-04-23
GAIS,1.91,1.66,0.25,1.29,1.66,-0.37,0.61,0.00,0.61,1.91,1.66,0.25,0,0,0,-0.25,44.70,52.5,50.96,0.87,0.53,230,15,25,13,28.74,24.53,11.76,9,5,27,7,10,161.4,69.42,98.0,87.6,216.33,83.77,0,GAIS 0-0 Mjällby,2026-04-23
Häcken,2.24,1.85,0.39,1.95,1.57,0.38,0.29,0.28,0.01,2.24,1.85,0.39,3,3,0,-0.39,59.1,49.39,46.48,1.02,0.46,248,9,15,15,14.71,32.61,10.32,4,7,26,9,7,114.3,50.07,9.0,7.88,51.33,21.76,0,Västerås 3-3 Häcken,2026-04-22
Västerås,1.85,2.24,-0.39,1.57,1.95,-0.38,0.28,0.29,-0.01,1.85,2.24,-0.39,3,3,0,0.39,40.9,50.61,49.37,0.46,1.02,202,13,15,15,32.61,14.71,12.91,7,4,16,5,15,114.0,49.93,105.2,92.12,184.57,78.24,2,Västerås 3-3 Häcken,2026-04-22
