Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Antwerp,3.98,0.90,3.08,3.91,0.90,3.01,0.07,0.00,0.07,3.98,0.90,3.08,4,2,2,-1.08,64.30,57.69,49.18,1.3,0.34,247,19,20,10,15.38,29.41,5.83,6,9,19,7,13,145.6,76.96,5.13,4.66,130.63,75.03,0,Westerlo 2-4 Antwerp,2026-04-25
Westerlo,0.90,3.98,-3.08,0.90,3.91,-3.01,0.00,0.07,-0.07,0.90,3.98,-3.08,2,4,-2,1.08,35.70,42.31,48.86,0.34,1.3,131,10,10,20,29.41,15.38,11.16,9,6,7,2,11,43.6,23.04,104.87,95.34,43.47,24.97,0,Westerlo 2-4 Antwerp,2026-04-25
Standard Liège,0.94,2.66,-1.72,0.94,2.42,-1.48,0.00,0.24,-0.24,0.94,2.66,-1.72,1,1,0,1.72,39.30,32.67,41.31,0.49,1.83,125,5,9,24,18.37,13.11,18.43,4,5,14,2,5,31.3,13.13,60.6,62.99,50.03,19.41,0,Genk 1-1 Standard Liège,2026-04-25
Genk,2.66,0.94,1.72,2.42,0.94,1.48,0.24,0.00,0.24,2.66,0.94,1.72,1,1,0,-1.72,60.70,67.33,50.32,1.83,0.49,293,24,24,9,13.11,18.37,11.77,5,4,37,13,13,207.0,86.87,35.6,37.01,207.73,80.59,1,Genk 1-1 Standard Liège,2026-04-25
Sporting Charleroi,1.36,0.40,0.96,1.22,0.31,0.91,0.14,0.09,0.05,1.36,0.40,0.96,2,0,2,1.04,43.20,51.77,48.45,0.51,0.36,204,11,11,4,21.57,11.11,28.94,0,6,18,6,12,106.2,64.17,106.13,85.45,181.23,85.2,3,OH Leuven 0-2 Sporting Charleroi,2026-04-25
OH Leuven,0.40,1.36,-0.96,0.31,1.22,-0.91,0.09,0.14,-0.05,0.40,1.36,-0.96,0,2,-2,-1.04,56.80,48.23,43.13,0.36,0.51,202,9,4,11,11.11,21.57,13.39,6,0,24,4,8,59.3,35.83,18.07,14.55,31.47,14.8,1,OH Leuven 0-2 Sporting Charleroi,2026-04-25
Dender,0.44,0.99,-0.55,0.37,0.9,-0.53,0.07,0.09,-0.02,0.44,0.99,-0.55,1,2,-1,-0.45,48.3,54.71,47.29,0.76,0.67,221,14,13,9,17.11,13.43,16.04,3,11,21,6,9,97.3,59.95,70.87,67.24,105.6,56.98,1,Cercle Brugge 2-1 Dender,2026-04-24
Cercle Brugge,0.99,0.44,0.55,0.9,0.37,0.53,0.09,0.07,0.02,0.99,0.44,0.55,2,1,1,0.45,51.7,45.29,45.64,0.67,0.76,201,10,9,13,13.43,17.11,8.6,11,3,15,7,9,65.0,40.05,34.53,32.76,79.73,43.02,0,Cercle Brugge 2-1 Dender,2026-04-24
Anderlecht,1.37,1.39,-0.02,1.25,1.34,-0.09,0.12,0.04,0.08,1.37,1.39,-0.02,0,2,-2,-1.98,46.6,47.47,44.63,0.49,0.76,185,7,19,16,38.78,21.05,11.0,12,5,17,7,9,91.3,43.64,79.0,70.04,109.6,52.14,0,Sint-Truiden 2-0 Anderlecht,2026-04-23
Sint-Truiden,1.39,1.37,0.02,1.34,1.25,0.09,0.04,0.12,-0.08,1.39,1.37,0.02,2,0,2,1.98,53.4,52.53,47.0,0.76,0.49,245,18,16,19,21.05,38.78,9.78,5,12,12,4,8,117.9,56.36,33.8,29.96,100.6,47.86,0,Sint-Truiden 2-0 Anderlecht,2026-04-23
Gent,0.23,1.4,-1.17,0.16,0.91,-0.75,0.06,0.49,-0.43,0.23,1.4,-1.17,0,0,0,1.17,42.4,37.43,45.61,0.3,1.18,153,5,3,18,10.0,15.25,16.41,2,3,10,1,11,60.1,25.59,67.87,69.58,67.07,31.84,0,Union Saint-Gilloise 0-0 Gent,2026-04-22
Union Saint-Gilloise,1.4,0.23,1.17,0.91,0.16,0.75,0.49,0.06,0.43,1.4,0.23,1.17,0,0,0,-1.17,57.6,62.57,48.2,1.18,0.3,228,19,18,3,15.25,10.0,9.58,3,2,28,9,13,174.8,74.41,29.67,30.42,143.57,68.16,4,Union Saint-Gilloise 0-0 Gent,2026-04-22
Mechelen,1.49,4.81,-3.32,1.49,3.9,-2.41,0.0,0.14,-0.14,1.49,4.05,-2.56,1,6,-5,-1.68,38.3,37.5,46.84,0.27,1.48,157,7,9,23,33.33,15.54,17.8,4,12,16,3,12,49.4,18.25,83.47,85.29,61.24,18.63,0,Club Brugge 6-1 Mechelen,2026-04-22
Club Brugge,4.81,1.49,3.32,3.9,1.49,2.41,0.14,0.0,0.14,4.05,1.49,2.56,6,1,5,1.68,61.7,62.5,48.21,1.48,0.27,277,19,23,9,15.54,33.33,7.15,12,4,19,3,8,221.3,81.75,14.4,14.71,267.52,81.37,1,Club Brugge 6-1 Mechelen,2026-04-22
Antwerp,3.29,1.79,1.5,3.11,0.87,2.24,0.18,0.15,0.03,3.29,1.03,2.26,2,1,1,-0.5,53.2,45.07,43.0,0.84,0.85,170,17,17,15,20.24,17.65,7.41,12,2,12,4,12,78.8,40.98,23.67,24.74,67.47,35.22,0,Standard Liège 1-2 Antwerp,2026-04-21
