Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
FH,1.06,3.00,-1.94,1.01,2.41,-1.40,0.05,0.59,-0.54,1.06,3.00,-1.94,0,3,-3,-1.06,51.70,58.9,49.35,1.09,0.76,235,21,18,12,16.51,15.79,9.74,12,6,28,6,12,127.2,67.84,57.47,64.91,82.24,39.63,4,Valur 3-0 FH,2026-04-23
Valur,3.00,1.06,1.94,2.41,1.01,1.40,0.59,0.05,0.54,3.00,1.06,1.94,3,0,3,1.06,48.30,41.1,42.70,0.76,1.09,162,11,12,18,15.79,16.51,9.51,6,12,20,9,17,60.3,32.16,31.07,35.09,125.29,60.37,0,Valur 3-0 FH,2026-04-23
Stjarnan,0.97,1.67,-0.70,0.51,1.59,-1.08,0.46,0.08,0.38,0.97,1.67,-0.70,2,3,-1,-0.30,49.50,44.37,42.60,0.44,0.95,173,11,8,16,18.18,16.84,14.24,5,6,18,6,10,45.7,24.21,58.47,58.98,58.4,30.43,0,Víkingur Reykjavík 3-2 Stjarnan,2026-04-23
Víkingur Reykjavík,1.67,0.97,0.70,1.59,0.51,1.08,0.08,0.46,-0.38,1.67,0.97,0.70,3,2,1,0.30,50.50,55.63,44.83,0.95,0.44,207,14,16,8,16.84,18.18,10.24,6,5,19,4,15,143.1,75.79,40.67,41.02,133.5,69.57,2,Víkingur Reykjavík 3-2 Stjarnan,2026-04-23
Fram,2.97,0.28,2.69,2.76,0.24,2.52,0.21,0.04,0.17,2.97,0.28,2.69,0,1,-1,-3.69,61.10,73.26,58.98,1.38,0.22,369,31,20,5,14.49,22.73,7.56,12,4,50,11,15,296.7,90.93,29.67,27.95,258.7,84.18,3,Thór 1-0 Fram,2026-04-23
Thór,0.28,2.97,-2.69,0.24,2.76,-2.52,0.04,0.21,-0.17,0.28,2.97,-2.69,1,0,1,3.69,38.90,26.74,41.33,0.22,1.38,122,5,5,20,22.73,14.49,9.80,4,12,12,2,15,29.6,9.07,76.47,72.05,48.6,15.82,0,Thór 1-0 Fram,2026-04-23
KR,2.88,1.23,1.65,2.83,1.23,1.60,0.05,0.00,0.05,2.88,1.23,1.65,6,2,4,2.35,64.00,73.78,46.92,0.58,0.19,282,16,19,6,32.76,31.58,8.53,13,5,13,4,19,190.6,93.2,35.33,22.05,199.27,79.57,0,ÍBV 2-6 KR,2026-04-23
ÍBV,1.23,2.88,-1.65,1.23,2.83,-1.60,0.00,0.05,-0.05,1.23,2.88,-1.65,2,6,-4,-2.35,36.00,26.22,35.18,0.19,0.58,79,3,6,19,31.58,32.76,11.72,5,13,6,2,11,13.9,6.8,124.93,77.95,51.17,20.43,0,ÍBV 2-6 KR,2026-04-23
Breidablik,1.08,1.02,0.06,1.08,0.59,0.49,0.00,0.43,-0.43,1.08,1.02,0.06,0,0,0,-0.06,57.20,42.06,43.47,0.94,0.79,208,9,12,9,12.77,11.39,9.77,7,11,22,6,12,66.4,38.99,25.47,19.93,34.77,18.91,1,Keflavík 0-0 Breidablik,2026-04-22
Keflavík,1.02,1.08,-0.06,0.59,1.08,-0.49,0.43,0.00,0.43,1.02,1.08,-0.06,0,0,0,0.06,42.80,57.94,49.69,0.79,0.94,209,14,9,12,11.39,12.77,12.08,11,7,31,4,12,103.9,61.01,102.33,80.07,149.13,81.09,7,Keflavík 0-0 Breidablik,2026-04-22
KA,0.88,2.98,-2.10,0.88,2.83,-1.95,0.00,0.15,-0.15,0.88,2.98,-2.10,1,1,0,2.10,49.60,54.98,47.09,0.76,0.7,176,12,13,18,17.11,25.71,16.29,4,4,20,3,8,75.3,51.68,63.4,63.57,93.9,58.2,0,ÍA 1-1 KA,2026-04-22
ÍA,2.98,0.88,2.10,2.83,0.88,1.95,0.15,0.00,0.15,2.98,0.88,2.10,1,1,0,-2.10,50.40,45.02,43.52,0.7,0.76,138,17,18,13,25.71,17.11,14.36,4,4,20,6,7,70.4,48.32,36.33,36.43,67.43,41.8,0,ÍA 1-1 KA,2026-04-22
FH,1.81,3.96,-2.15,0.81,2.53,-1.72,0.25,1.43,-1.18,1.05,3.96,-2.91,2,3,-1,1.15,28.00,25.0,41.20,0.7,1.53,68,6,11,21,15.71,13.73,13.63,2,7,9,3,15,35.1,14.15,162.0,95.86,77.6,43.77,0,Stjarnan 3-2 FH,2026-04-17
Stjarnan,3.96,1.81,2.15,2.53,0.81,1.72,1.43,0.25,1.18,3.96,1.05,2.91,3,2,1,-1.15,72.00,75.0,46.33,1.53,0.7,228,24,21,11,13.73,15.71,6.41,7,2,36,10,10,212.9,85.85,7.0,4.14,99.7,56.23,0,Stjarnan 3-2 FH,2026-04-17
ÍA,2.65,1.52,1.13,2.56,0.56,2.00,0.09,0.19,-0.10,2.65,0.76,1.89,0,1,-1,-2.13,52.00,43.65,44.49,1.1,0.63,200,12,14,11,12.73,17.46,13.11,3,3,20,5,14,92.7,47.98,63.4,39.99,72.3,35.35,6,Breidablik 1-0 ÍA,2026-04-17
Breidablik,1.52,2.65,-1.13,0.56,2.56,-2.00,0.19,0.09,0.10,0.76,2.65,-1.89,1,0,1,2.13,48.00,56.35,43.00,0.63,1.1,177,12,11,14,17.46,12.73,13.90,3,3,16,7,12,100.5,52.02,95.13,60.01,132.23,64.65,1,Breidablik 1-0 ÍA,2026-04-17
Keflavík,1.24,2.07,-0.83,1.24,1.93,-0.69,0.00,0.14,-0.14,1.24,2.07,-0.83,1,3,-2,-1.17,51.80,43.09,44.68,0.93,0.68,214,16,10,18,10.75,26.47,19.28,1,3,19,4,7,59.2,26.33,50.47,31.65,26.6,8.9,0,Fram 3-1 Keflavík,2026-04-17
Fram,2.07,1.24,0.83,1.93,1.24,0.69,0.14,0.00,0.14,2.07,1.24,0.83,3,1,2,1.17,48.20,56.91,50.36,0.68,0.93,261,12,18,10,26.47,10.75,18.65,3,1,32,9,9,165.6,73.67,109.0,68.35,272.3,91.1,0,Fram 3-1 Keflavík,2026-04-17
Víkingur Reykjavík,0.11,0.00,0.11,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.00,0.11,0,0,0,-0.11,77.90,70.0,44.83,0.12,0.01,47,3,2,0,16.67,0.0,5.33,1,0,5,3,1,26.2,94.58,0.33,1.23,15.13,47.83,0,KA 0-2 Víkingur Reykjavík,2026-04-17
KA,0.00,0.11,-0.11,0.00,0.00,0.00,0.00,0.11,-0.11,0.00,0.11,-0.11,0,0,0,0.11,22.10,30.0,35.76,0.01,0.12,14,0,0,2,0.0,16.67,19.33,0,1,0,0,4,1.5,5.42,26.4,98.77,16.5,52.17,0,KA 0-2 Víkingur Reykjavík,2026-04-17
Thór,2.38,3.57,-1.19,2.27,2.45,-0.18,0.11,0.36,-0.25,2.38,2.81,-0.43,2,5,-3,-1.81,33.20,24.71,36.30,0.75,1.38,83,8,7,25,9.33,18.12,19.58,3,10,11,3,10,16.3,5.94,108.33,86.62,11.42,2.9,0,KR 5-2 Thór,2026-04-17
KR,3.57,2.38,1.19,2.45,2.27,0.18,0.36,0.11,0.25,2.81,2.38,0.43,5,2,3,1.81,66.80,75.29,49.81,1.38,0.75,337,35,25,7,18.12,9.33,6.76,10,3,27,9,17,258.3,94.06,16.73,13.38,382.91,97.1,2,KR 5-2 Thór,2026-04-17
ÍBV,1.47,2.74,-1.27,1.45,2.34,-0.89,0.02,0.40,-0.38,1.47,2.74,-1.27,1,2,-1,0.27,54.40,53.37,44.72,0.94,0.9,223,21,16,20,17.02,22.22,10.76,5,5,25,5,11,98.7,51.7,29.87,25.57,79.7,38.32,1,Valur 2-1 ÍBV,2026-04-17
Valur,2.74,1.47,1.27,2.34,1.45,0.89,0.40,0.02,0.38,2.74,1.47,1.27,2,1,1,-0.27,45.60,46.63,45.98,0.9,0.94,193,12,20,16,22.22,17.02,16.31,5,5,21,6,10,92.2,48.3,86.93,74.43,128.27,61.68,0,Valur 2-1 ÍBV,2026-04-17
ÍA,1.80,1.85,-0.05,1.14,1.24,-0.10,0.66,0.60,0.06,1.80,1.85,-0.05,3,3,0,0.05,42.90,39.94,47.56,0.34,1.31,159,15,14,14,41.18,10.69,12.86,4,3,22,7,12,64.5,30.01,74.8,67.63,87.63,49.32,2,Fram 3-3 ÍA,2026-04-12
Fram,1.85,1.80,0.05,1.24,1.14,0.10,0.60,0.66,-0.06,1.85,1.80,0.05,3,3,0,-0.05,57.10,60.06,48.60,1.31,0.34,238,14,14,14,10.69,41.18,10.71,3,4,33,8,9,150.4,69.99,35.8,32.37,90.03,50.68,1,Fram 3-3 ÍA,2026-04-12
Stjarnan,1.96,2.19,-0.23,1.94,1.89,0.05,0.02,0.30,-0.28,1.96,2.19,-0.23,3,2,1,1.23,55.60,54.29,47.31,0.32,0.96,230,10,10,21,31.25,21.88,9.42,8,4,21,3,10,76.2,43.39,18.2,17.44,50.17,37.2,0,KA 2-3 Stjarnan,2026-04-12
KA,2.19,1.96,0.23,1.89,1.94,-0.05,0.30,0.02,0.28,2.19,1.96,0.23,2,3,-1,-1.23,44.40,45.71,45.90,0.96,0.32,186,15,21,10,21.88,31.25,16.12,4,8,32,9,11,99.4,56.61,86.13,82.56,84.7,62.8,1,KA 2-3 Stjarnan,2026-04-12
Thór,1.11,2.26,-1.15,0.62,2.14,-1.52,0.49,0.12,0.37,1.11,2.26,-1.15,2,1,1,2.15,40.10,46.75,46.19,0.54,0.6,169,13,14,14,25.93,23.33,18.52,3,7,21,8,6,72.5,41.59,127.87,89.05,126.87,74.76,2,Valur 1-2 Thór,2026-04-12
Valur,2.26,1.11,1.15,2.14,0.62,1.52,0.12,0.49,-0.37,2.26,1.11,1.15,1,2,-1,-2.15,59.90,53.25,44.62,0.6,0.54,223,7,14,14,23.33,25.93,8.50,7,3,27,6,16,101.8,58.41,15.73,10.95,42.83,25.24,2,Valur 1-2 Thór,2026-04-12
Keflavík,1.55,2.87,-1.32,1.43,2.87,-1.44,0.12,0.00,0.12,1.55,2.87,-1.32,2,3,-1,0.32,34.00,33.22,40.26,0.96,1.02,103,9,10,13,10.42,12.75,11.44,8,10,16,6,16,26.1,15.85,144.4,92.49,78.63,47.71,5,KR 3-2 Keflavík,2026-04-12
KR,2.87,1.55,1.32,2.87,1.43,1.44,0.00,0.12,-0.12,2.87,1.55,1.32,3,2,1,-0.32,66.00,66.78,45.43,1.02,0.96,257,15,13,10,12.75,10.42,6.30,10,8,22,8,19,138.6,84.15,11.73,7.51,86.17,52.29,0,KR 3-2 Keflavík,2026-04-12
FH,2.52,2.61,-0.09,1.76,2.06,-0.30,0.00,0.56,-0.56,1.76,2.61,-0.85,1,1,0,0.09,44.50,45.7,47.88,0.47,1.04,167,10,12,14,25.53,13.46,9.95,7,6,19,5,15,52.9,36.69,69.8,66.02,76.3,44.85,2,ÍBV 1-1 FH,2026-04-12
ÍBV,2.61,2.52,0.09,2.06,1.76,0.30,0.56,0.00,0.56,2.61,1.76,0.85,1,1,0,-0.09,55.50,54.3,43.10,1.04,0.47,177,16,14,12,13.46,25.53,8.65,6,7,13,2,18,91.3,63.31,35.93,33.98,93.83,55.15,1,ÍBV 1-1 FH,2026-04-12
Breidablik,0.89,1.57,-0.68,0.85,1.32,-0.47,0.05,0.24,-0.19,0.89,1.57,-0.68,1,1,0,0.68,36.00,28.68,38.35,0.3,0.74,92,5,3,15,10.0,20.27,10.93,4,1,6,3,20,15.7,9.39,105.67,88.1,57.8,44.29,0,Víkingur Reykjavík 1-1 Breidablik,2026-04-10
Víkingur Reykjavík,1.57,0.89,0.68,1.32,0.85,0.47,0.24,0.05,0.19,1.57,0.89,0.68,1,1,0,-0.68,64.00,71.32,45.74,0.74,0.3,245,17,15,3,20.27,10.0,5.98,1,4,20,5,17,151.5,90.61,14.27,11.9,72.7,55.71,0,Víkingur Reykjavík 1-1 Breidablik,2026-04-10
