Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Mirassol,1.34,1.64,-0.30,1.29,1.56,-0.27,0.05,0.08,-0.03,1.34,1.64,-0.30,0,1,-1,-0.70,47.10,40.0,45.59,0.68,0.8,187,10,10,17,14.71,21.25,10.50,4,12,14,4,14,72.3,32.39,37.87,47.49,71.17,30.22,3,São Paulo 1-0 Mirassol,2026-04-25
São Paulo,1.64,1.34,0.30,1.56,1.29,0.27,0.08,0.05,0.03,1.64,1.34,0.30,1,0,1,0.70,52.90,60.0,50.34,0.8,0.68,248,12,17,10,21.25,14.71,9.36,12,4,27,12,11,150.9,67.61,41.87,52.51,164.37,69.78,0,São Paulo 1-0 Mirassol,2026-04-25
Cruzeiro,0.37,0.93,-0.56,0.27,0.84,-0.57,0.10,0.09,0.01,0.37,0.93,-0.56,1,0,1,1.56,51.90,45.97,47.54,0.51,1.47,193,8,6,14,11.76,9.52,8.64,6,5,13,1,22,48.5,32.53,25.8,29.45,39.33,30.86,1,Remo 0-1 Cruzeiro,2026-04-25
Remo,0.93,0.37,0.56,0.84,0.27,0.57,0.09,0.10,-0.01,0.93,0.37,0.56,0,1,-1,-1.56,48.10,54.03,48.73,1.47,0.51,203,13,14,6,9.52,11.76,7.73,5,6,30,4,15,100.6,67.47,61.8,70.55,88.13,69.14,4,Remo 0-1 Cruzeiro,2026-04-25
Santos,2.24,1.39,0.85,0.56,1.29,-0.73,0.16,0.10,0.06,0.72,1.39,-0.67,2,2,0,-0.85,35.90,34.62,47.85,0.37,1.32,142,12,11,18,29.73,13.64,11.36,2,10,14,3,17,41.9,17.71,105.0,88.29,104.17,62.73,1,Bahia 2-2 Santos,2026-04-25
Bahia,1.39,2.24,-0.85,1.29,0.56,0.73,0.10,0.16,-0.06,1.39,0.72,0.67,2,2,0,0.85,64.10,65.38,53.66,1.32,0.37,335,17,18,11,13.64,29.73,5.73,10,2,25,5,16,194.7,82.29,13.93,11.71,61.9,37.27,0,Bahia 2-2 Santos,2026-04-25
Internacional,0.69,2.22,-1.53,0.65,2.22,-1.57,0.04,0.00,0.04,0.69,2.22,-1.53,2,2,0,1.53,47.40,47.79,44.26,0.28,0.98,121,5,8,16,28.57,16.33,7.58,5,5,13,5,14,43.1,31.28,37.0,57.52,52.63,35.16,0,Botafogo 2-2 Internacional,2026-04-25
Botafogo,2.22,0.69,1.53,2.22,0.65,1.57,0.00,0.04,-0.04,2.22,0.69,1.53,2,2,0,-1.53,52.60,52.21,44.66,0.98,0.28,132,11,16,8,16.33,28.57,6.46,5,5,15,3,16,94.7,68.72,27.33,42.48,97.07,64.84,4,Botafogo 2-2 Internacional,2026-04-25
Bahia,0.56,2.14,-1.58,0.43,1.8,-1.37,0.13,0.34,-0.21,0.56,2.14,-1.58,0,2,-2,-0.42,47.9,42.01,49.18,0.59,0.83,288,6,13,20,22.03,24.1,18.23,1,5,17,1,8,88.8,33.22,73.8,46.22,52.37,18.76,0,Flamengo 2-0 Bahia,2026-04-19
Flamengo,2.14,0.56,1.58,1.8,0.43,1.37,0.34,0.13,0.21,2.14,0.56,1.58,2,0,2,0.42,52.1,57.99,55.9,0.83,0.59,398,19,20,13,24.1,22.03,15.22,5,1,14,6,12,178.5,66.78,85.87,53.78,226.77,81.24,0,Flamengo 2-0 Bahia,2026-04-19
Remo,0.41,1.54,-1.13,0.41,1.48,-1.07,0.0,0.06,-0.06,0.41,1.54,-1.13,2,4,-2,-0.87,49.2,51.66,48.03,0.46,1.07,196,5,6,17,13.04,15.89,17.71,2,3,16,1,12,48.6,33.61,49.47,56.3,59.8,37.39,0,RB Bragantino 4-2 Remo,2026-04-19
RB Bragantino,1.54,0.41,1.13,1.48,0.41,1.07,0.06,0.0,0.06,1.54,0.41,1.13,4,2,2,0.87,50.8,48.34,46.28,1.07,0.46,184,20,17,6,15.89,13.04,14.04,3,2,16,1,11,96.0,66.39,38.4,43.7,100.13,62.61,0,RB Bragantino 4-2 Remo,2026-04-19
Athletico Paranaense,0.54,0.76,-0.22,0.5,0.54,-0.04,0.03,0.22,-0.19,0.54,0.76,-0.22,0,1,-1,-0.78,48.6,48.47,49.46,0.66,0.31,224,8,9,10,13.64,32.26,10.52,6,2,21,3,22,103.6,52.24,54.4,56.78,84.93,48.35,1,Palmeiras 1-0 Athletico Paranaense,2026-04-19
Palmeiras,0.76,0.54,0.22,0.54,0.5,0.04,0.22,0.03,0.19,0.76,0.54,0.22,1,0,1,0.78,51.4,51.53,50.12,0.31,0.66,240,10,10,9,32.26,13.64,9.44,2,6,18,9,9,94.7,47.76,41.4,43.22,90.73,51.65,0,Palmeiras 1-0 Athletico Paranaense,2026-04-19
Atlético Mineiro,1.05,0.94,0.11,1.05,0.2,0.85,0.0,0.75,-0.75,1.05,0.94,0.11,0,2,-2,-2.11,76.9,85.4,54.03,0.48,0.1,432,15,23,2,47.92,20.0,5.46,6,3,27,8,10,304.2,97.22,0.6,0.34,135.2,82.73,0,Coritiba 2-0 Atlético Mineiro,2026-04-19
Coritiba,0.94,1.05,-0.11,0.2,1.05,-0.85,0.75,0.0,0.75,0.94,1.05,-0.11,2,0,2,2.11,23.1,14.6,39.02,0.1,0.48,62,2,2,23,20.0,47.92,15.45,3,6,3,2,17,8.7,2.78,176.27,99.66,28.23,17.27,0,Coritiba 2-0 Atlético Mineiro,2026-04-19
Fluminense,1.11,1.61,-0.5,1.01,1.61,-0.6,0.09,0.0,0.09,1.11,1.61,-0.5,3,2,1,1.5,53.2,56.0,49.54,0.4,1.03,274,10,10,7,25.0,6.8,9.46,4,4,18,4,14,122.7,57.58,40.53,35.51,104.17,50.11,0,Santos 2-3 Fluminense,2026-04-19
Santos,1.61,1.11,0.5,1.61,1.01,0.6,0.0,0.09,-0.09,1.61,1.11,0.5,2,3,-1,-1.5,46.8,44.0,47.2,1.03,0.4,189,13,7,10,6.8,25.0,10.19,4,4,14,6,13,90.4,42.42,73.6,64.49,103.73,49.89,0,Santos 2-3 Fluminense,2026-04-19
Mirassol,2.49,1.48,1.01,2.37,0.97,1.4,0.12,0.51,-0.39,2.49,1.48,1.01,2,1,1,-0.01,28.0,15.59,37.2,0.53,0.84,78,6,10,24,18.87,28.57,21.15,0,14,6,2,15,19.9,5.53,128.87,91.57,57.83,38.44,1,Internacional 1-2 Mirassol,2026-04-19
Internacional,1.48,2.49,-1.01,0.97,2.37,-1.4,0.51,0.12,0.39,1.48,2.49,-1.01,1,2,-1,0.01,72.0,84.41,57.84,0.84,0.53,469,29,24,10,28.57,18.87,6.69,14,0,51,11,6,339.8,94.47,11.87,8.43,92.63,61.56,1,Internacional 1-2 Mirassol,2026-04-19
Grêmio,0.7,2.44,-1.74,0.63,2.41,-1.78,0.07,0.03,0.04,0.7,2.44,-1.74,0,2,-2,-0.26,57.9,42.57,42.62,0.4,1.1,177,6,9,18,22.5,16.36,8.8,1,8,15,1,13,29.2,18.96,13.8,10.28,2.37,1.02,0,Cruzeiro 2-0 Grêmio,2026-04-18
Cruzeiro,2.44,0.7,1.74,2.41,0.63,1.78,0.03,0.07,-0.04,2.44,0.7,1.74,2,0,2,0.26,42.1,57.43,49.96,1.1,0.4,178,16,18,9,16.36,22.5,10.27,8,1,19,4,16,124.8,81.04,120.47,89.72,229.67,98.98,3,Cruzeiro 2-0 Grêmio,2026-04-18
