Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Londrina,0.75,1.08,-0.33,0.56,1.06,-0.50,0.19,0.02,0.17,0.75,1.08,-0.33,0,1,-1,-0.67,59.50,62.37,49.00,0.7,0.5,277,7,13,8,18.57,16.0,6.53,2,3,28,8,16,145.1,73.99,19.2,23.49,118.0,60.5,0,Juventude 1-0 Londrina,2026-04-25
Juventude,1.08,0.75,0.33,1.06,0.56,0.50,0.02,0.19,-0.17,1.08,0.75,0.33,1,0,1,0.67,40.50,37.63,44.41,0.5,0.7,141,7,8,13,16.0,18.57,10.95,3,2,17,3,22,51.0,26.01,62.53,76.51,77.03,39.5,2,Juventude 1-0 Londrina,2026-04-25
Novorizontino,1.26,2.21,-0.95,0.68,2.21,-1.53,0.58,0.00,0.58,1.26,2.21,-0.95,0,1,-1,-0.05,43.70,58.53,46.38,0.53,0.54,142,9,10,10,18.87,18.52,10.54,1,4,19,5,21,77.8,53.62,77.0,71.56,112.0,64.7,2,Sport Recife 1-0 Novorizontino,2026-04-25
Sport Recife,2.21,1.26,0.95,2.21,0.68,1.53,0.00,0.58,-0.58,2.21,1.26,0.95,1,0,1,0.05,56.30,41.47,41.08,0.54,0.53,126,6,10,10,18.52,18.87,7.91,4,1,15,3,13,67.3,46.38,30.6,28.44,61.1,35.3,1,Sport Recife 1-0 Novorizontino,2026-04-25
América Mineiro,1.15,0.93,0.22,0.81,0.89,-0.08,0.33,0.04,0.29,1.15,0.93,0.22,0,1,-1,-1.22,69.2,67.37,48.62,0.44,0.39,243,13,12,10,27.27,25.64,4.45,5,4,28,10,13,132.0,80.15,5.2,4.27,64.43,42.43,0,Ponte Preta 1-0 América Mineiro,2026-04-24
Ponte Preta,0.93,1.15,-0.22,0.89,0.81,0.08,0.04,0.33,-0.29,0.93,1.15,-0.22,1,0,1,1.22,30.8,32.63,47.9,0.39,0.44,107,9,10,12,25.64,27.27,10.51,4,5,13,2,29,32.7,19.85,116.6,95.73,87.43,57.57,1,Ponte Preta 1-0 América Mineiro,2026-04-24
Botafogo SP,1.43,1.15,0.28,0.38,1.1,-0.72,0.29,0.05,0.24,0.67,1.15,-0.48,1,1,0,-0.28,44.4,46.38,47.96,0.64,0.46,139,11,10,17,15.62,36.96,8.43,6,3,18,4,7,63.6,33.37,42.6,67.27,68.47,37.84,6,Cuiabá 1-1 Botafogo SP,2026-04-22
Cuiabá,1.15,1.43,-0.28,1.1,0.38,0.72,0.05,0.29,-0.24,1.15,0.67,0.48,1,1,0,0.28,55.6,53.62,48.83,0.46,0.64,190,8,17,10,36.96,15.62,6.69,3,6,17,6,20,127.0,66.63,20.73,32.73,112.5,62.16,3,Cuiabá 1-1 Botafogo SP,2026-04-22
Criciúma,1.14,0.54,0.6,1.14,0.52,0.62,0.0,0.03,-0.03,1.14,0.54,0.6,2,3,-1,-1.6,55.0,50.45,46.39,0.91,0.35,204,9,6,16,6.59,45.71,9.0,3,2,16,3,16,52.1,41.45,35.53,38.23,63.93,46.86,0,Fortaleza 3-2 Criciúma,2026-04-19
Fortaleza,0.54,1.14,-0.6,0.52,1.14,-0.62,0.03,0.0,0.03,0.54,1.14,-0.6,3,2,1,1.6,45.0,49.55,45.16,0.35,0.91,155,5,16,6,45.71,6.59,10.07,2,3,16,4,18,73.6,58.55,57.4,61.77,72.5,53.14,0,Fortaleza 3-2 Criciúma,2026-04-19
Athletic Club MG,1.24,2.81,-1.57,0.49,2.62,-2.13,0.75,0.18,0.57,1.24,2.81,-1.57,1,2,-1,0.57,37.2,20.87,36.94,0.27,1.54,93,5,7,20,25.93,12.99,17.4,0,5,7,1,15,21.5,6.53,75.93,52.8,11.13,3.2,0,Novorizontino 2-1 Athletic Club MG,2026-04-19
Novorizontino,2.81,1.24,1.57,2.62,0.49,2.13,0.18,0.75,-0.57,2.81,1.24,1.57,2,1,1,-0.57,62.8,79.13,57.31,1.54,0.27,379,19,20,7,12.99,25.93,10.21,5,0,41,11,11,307.8,93.47,67.87,47.2,337.07,96.8,3,Novorizontino 2-1 Athletic Club MG,2026-04-19
Cuiabá,2.36,0.3,2.06,2.22,0.28,1.94,0.14,0.02,0.12,2.36,0.3,2.06,2,0,2,-0.06,34.6,39.7,42.3,0.55,0.42,104,12,11,8,20.0,19.05,10.88,1,7,11,4,26,66.0,41.2,107.4,94.94,127.83,84.66,1,Goiás 0-2 Cuiabá,2026-04-19
Goiás,0.3,2.36,-2.06,0.28,2.22,-1.94,0.02,0.14,-0.12,0.3,2.36,-2.06,0,2,-2,0.06,65.4,60.3,49.68,0.42,0.55,295,6,8,11,19.05,20.0,4.96,7,1,19,4,15,94.2,58.8,5.73,5.06,23.17,15.34,0,Goiás 0-2 Cuiabá,2026-04-19
