Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Inter Toronto,0.36,2.16,-1.80,0.17,1.57,-1.40,0.19,0.59,-0.40,0.36,2.16,-1.80,1,1,0,1.80,45.80,33.11,43.64,0.38,1.19,135,8,8,17,21.05,14.29,10.47,4,10,10,4,10,38.8,18.35,28.73,37.6,35.57,15.64,2,Cavalry 1-1 Inter Toronto,2026-04-25
Cavalry,2.16,0.36,1.80,1.57,0.17,1.40,0.59,0.19,0.40,2.16,0.36,1.80,1,1,0,-1.80,54.20,66.89,52.15,1.19,0.38,251,21,17,8,14.29,21.05,7.77,10,4,31,13,15,172.6,81.65,47.67,62.4,191.8,84.36,4,Cavalry 1-1 Inter Toronto,2026-04-25
HFX Wanderers,1.4,1.39,0.01,0.55,1.01,-0.46,0.09,0.38,-0.29,0.64,1.39,-0.75,1,2,-1,-1.01,37.7,35.38,48.02,0.44,0.61,168,9,6,22,13.64,36.07,13.15,4,7,20,5,11,38.5,14.25,143.27,81.09,71.2,32.08,4,Supra du Québec 2-1 HFX Wanderers,2026-04-24
Supra du Québec,1.39,1.4,-0.01,1.01,0.55,0.46,0.38,0.09,0.29,1.39,0.64,0.75,2,1,1,1.01,62.3,64.62,48.6,0.61,0.44,276,19,22,6,36.07,13.64,9.52,7,4,26,10,10,231.6,85.75,33.4,18.91,150.73,67.92,0,Supra du Québec 2-1 HFX Wanderers,2026-04-24
Vancouver FC,1.63,0.5,1.13,1.61,0.5,1.11,0.02,0.0,0.02,1.63,0.5,1.13,0,1,-1,-2.13,54.5,63.34,50.43,1.05,0.68,262,14,14,6,13.33,8.82,14.04,6,6,45,10,5,161.8,77.64,38.13,48.76,138.33,72.88,0,Inter Toronto 1-0 Vancouver FC,2026-04-19
Inter Toronto,0.5,1.63,-1.13,0.5,1.61,-1.11,0.0,0.02,-0.02,0.5,1.63,-1.13,1,0,1,2.13,45.5,36.66,44.49,0.68,1.05,156,4,6,14,8.82,13.33,10.97,6,6,11,0,20,46.6,22.36,40.07,51.24,51.47,27.12,2,Inter Toronto 1-0 Vancouver FC,2026-04-19
Atlético Ottawa,0.93,1.93,-1.0,0.8,1.61,-0.81,0.13,0.31,-0.18,0.93,1.93,-1.0,1,0,1,2.0,57.0,29.83,36.12,0.3,0.68,159,7,6,22,20.0,32.35,11.71,3,15,4,2,11,30.8,14.39,14.87,6.84,16.07,4.34,1,Supra du Québec 0-1 Atlético Ottawa,2026-04-19
Supra du Québec,1.93,0.93,1.0,1.61,0.8,0.81,0.31,0.13,0.18,1.93,0.93,1.0,0,1,-1,-2.0,43.0,70.17,51.02,0.68,0.3,242,16,22,6,32.35,20.0,12.72,15,3,22,10,9,183.3,85.61,202.47,93.16,353.97,95.66,1,Supra du Québec 0-1 Atlético Ottawa,2026-04-19
Cavalry,0.83,1.64,-0.81,0.83,1.58,-0.75,0.0,0.06,-0.06,0.83,1.64,-0.81,0,0,0,0.81,63.1,63.95,49.54,0.77,0.71,270,12,6,15,7.79,21.13,8.0,2,6,16,3,17,135.7,64.01,9.67,9.3,100.63,44.42,1,Forge 0-0 Cavalry,2026-04-18
Forge,1.64,0.83,0.81,1.58,0.83,0.75,0.06,0.0,0.06,1.64,0.83,0.81,0,0,0,-0.81,36.9,36.05,43.55,0.71,0.77,104,12,15,6,21.13,7.79,11.86,6,2,16,4,12,76.3,35.99,94.33,90.7,125.9,55.58,4,Forge 0-0 Cavalry,2026-04-18
