Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Beerschot,2.45,0.42,2.03,2.45,0.30,2.15,0.00,0.11,-0.11,2.45,0.42,2.03,1,1,0,-2.03,78.10,80.15,58.12,1.27,0.25,446,23,13,5,10.24,20.0,6.64,2,1,35,5,7,247.1,98.33,0.0,0.0,93.8,66.37,0,Patro Eisden 1-1 Beerschot,2026-04-23
Patro Eisden,0.42,2.45,-2.03,0.30,2.45,-2.15,0.11,0.00,0.11,0.42,2.45,-2.03,1,1,0,2.03,21.90,19.85,45.12,0.25,1.27,67,4,5,13,20.0,10.24,21.89,1,2,11,2,15,4.2,1.67,184.13,100.0,47.53,33.63,1,Patro Eisden 1-1 Beerschot,2026-04-23
Liège,0.48,1.46,-0.98,0.40,1.46,-1.06,0.08,0.00,0.08,0.48,1.46,-0.98,0,3,-3,-2.02,45.00,44.9,46.61,0.58,1.21,221,11,6,11,10.34,9.09,17.96,5,4,28,2,14,81.3,36.8,86.8,72.13,49.08,16.46,0,Lommel 3-0 Liège,2026-04-23
Lommel,1.46,0.48,0.98,1.46,0.40,1.06,0.00,0.08,-0.08,1.46,0.48,0.98,3,0,3,2.02,55.00,55.1,45.95,1.21,0.58,262,23,11,6,9.09,10.34,15.58,4,5,18,3,7,139.6,63.2,33.53,27.87,249.03,83.54,2,Lommel 3-0 Liège,2026-04-23
Eupen,2.11,1.91,0.2,1.8,1.72,0.08,0.31,0.19,0.12,2.11,1.91,0.2,1,2,-1,-1.2,53.6,55.16,43.68,0.88,0.81,184,21,15,12,17.05,14.81,6.87,8,4,22,7,16,112.3,60.77,41.07,37.89,105.47,53.84,5,Liège 2-1 Eupen,2026-04-17
Liège,1.91,2.11,-0.2,1.72,1.8,-0.08,0.19,0.31,-0.12,1.91,2.11,-0.2,2,1,1,1.2,46.4,44.84,42.67,0.81,0.88,158,13,12,15,14.81,17.05,9.53,4,8,19,6,19,72.5,39.23,67.33,62.11,90.43,46.16,0,Liège 2-1 Eupen,2026-04-17
Francs Borains,0.61,2.86,-2.25,0.61,2.68,-2.07,0.0,0.19,-0.19,0.61,2.86,-2.25,0,4,-4,-1.75,59.1,57.55,49.45,0.39,0.5,217,12,8,15,20.51,30.0,7.35,11,4,17,4,8,59.5,45.39,14.13,16.18,23.58,14.26,4,Patro Eisden 4-0 Francs Borains,2026-04-17
Patro Eisden,2.86,0.61,2.25,2.68,0.61,2.07,0.19,0.0,0.19,2.86,0.61,2.25,4,0,4,1.75,40.9,42.45,42.76,0.5,0.39,108,11,15,8,30.0,20.51,14.04,4,11,14,2,15,71.6,54.61,73.2,83.82,141.73,85.74,4,Patro Eisden 4-0 Francs Borains,2026-04-17
Beveren,1.5,2.33,-0.83,1.47,2.21,-0.74,0.02,0.12,-0.1,1.5,2.33,-0.83,2,1,1,1.83,61.1,56.05,46.97,1.43,0.62,270,16,14,10,9.79,16.13,11.21,6,4,18,3,10,132.5,65.43,36.4,31.31,116.9,57.71,0,Seraing 1-2 Beveren,2026-04-17
Seraing,2.33,1.5,0.83,2.21,1.47,0.74,0.12,0.02,0.1,2.33,1.5,0.83,1,2,-1,-1.83,38.9,43.95,41.7,0.62,1.43,150,7,10,14,16.13,9.79,19.41,4,6,15,2,12,70.0,34.57,79.87,68.69,85.67,42.29,0,Seraing 1-2 Beveren,2026-04-17
