Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Shijiazhuang Gongfu,0.24,0.69,-0.45,0.19,0.69,-0.50,0.04,0.00,0.04,0.24,0.69,-0.45,0,0,0,0.45,42.10,37.69,46.87,0.23,0.44,124,6,7,11,30.43,25.0,9.47,0,4,10,4,22,38.7,28.77,57.4,86.88,66.4,47.04,0,Wuxi Wugou 0-0 Shijiazhuang Gongfu,2026-04-26
Wuxi Wugou,0.69,0.24,0.45,0.69,0.19,0.50,0.00,0.04,-0.04,0.69,0.24,0.45,0,0,0,-0.45,57.90,62.31,50.22,0.44,0.23,210,9,11,7,25.0,30.43,5.43,4,0,19,4,17,95.8,71.23,8.67,13.12,74.77,52.96,1,Wuxi Wugou 0-0 Shijiazhuang Gongfu,2026-04-26
Ningbo,0.75,0.82,-0.07,0.73,0.74,-0.01,0.02,0.08,-0.06,0.75,0.82,-0.07,3,0,3,3.07,36.70,35.54,43.06,0.34,0.6,112,8,8,16,23.53,26.67,13.33,2,3,13,6,20,31.0,20.61,73.33,76.28,85.6,61.91,0,Meizhou Hakka 0-3 Ningbo,2026-04-25
Meizhou Hakka,0.82,0.75,0.07,0.74,0.73,0.01,0.08,0.02,0.06,0.82,0.75,0.07,0,3,-3,-3.07,63.30,64.46,50.35,0.6,0.34,298,13,16,8,26.67,23.53,6.02,3,2,22,5,13,119.4,79.39,22.8,23.72,52.67,38.09,0,Meizhou Hakka 0-3 Ningbo,2026-04-25
Nanjing City,0.23,0.93,-0.70,0.23,0.91,-0.68,0.00,0.01,-0.01,0.23,0.93,-0.70,0,1,-1,-0.30,33.20,32.09,46.53,0.28,0.78,101,3,7,15,25.0,19.23,12.93,1,4,13,4,15,45.6,19.67,109.4,89.92,55.13,33.03,4,Guangxi Hengchen 1-0 Nanjing City,2026-04-25
Guangxi Hengchen,0.93,0.23,0.70,0.91,0.23,0.68,0.01,0.00,0.01,0.93,0.23,0.70,1,0,1,0.30,66.80,67.91,51.56,0.78,0.28,276,12,15,7,19.23,25.0,6.86,4,1,18,9,12,186.2,80.33,12.27,10.08,111.8,66.97,1,Guangxi Hengchen 1-0 Nanjing City,2026-04-25
Dingnan United,0.81,0.73,0.08,0.72,0.71,0.01,0.09,0.02,0.07,0.81,0.73,0.08,1,0,1,0.92,51.80,25.93,38.72,0.64,0.96,120,6,8,10,12.5,10.42,7.82,2,9,14,3,16,28.5,16.65,38.07,29.0,13.77,8.44,0,Suzhou Dongwu 0-1 Dingnan United,2026-04-25
Suzhou Dongwu,0.73,0.81,-0.08,0.71,0.72,-0.01,0.02,0.09,-0.07,0.73,0.81,-0.08,0,1,-1,-0.92,48.20,74.07,53.67,0.96,0.64,236,20,10,8,10.42,12.5,7.98,9,2,35,6,17,142.7,83.35,93.2,71.0,149.4,91.56,1,Suzhou Dongwu 0-1 Dingnan United,2026-04-25
Foshan Nanshi,1.10,1.41,-0.31,1.04,1.27,-0.23,0.06,0.13,-0.07,1.10,1.41,-0.31,3,0,3,3.31,30.70,28.37,44.13,0.66,1.13,89,9,10,15,15.15,13.27,14.52,2,1,11,4,15,23.4,11.81,103.33,94.92,46.03,46.33,1,Shenzhen Juniors 0-3 Foshan Nanshi,2026-04-25
Shenzhen Juniors,1.41,1.10,0.31,1.27,1.04,0.23,0.13,0.06,0.07,1.41,1.10,0.31,0,3,-3,-3.31,69.30,71.63,51.03,1.13,0.66,268,12,15,10,13.27,15.15,6.12,1,2,25,8,16,174.7,88.19,5.53,5.08,53.33,53.67,0,Shenzhen Juniors 0-3 Foshan Nanshi,2026-04-25
