Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Wenzhou,0.91,2.13,-1.22,0.73,1.30,-0.57,0.17,0.07,0.10,0.91,1.37,-0.46,0,1,-1,0.22,51.70,41.8,42.96,0.87,0.9,130,8,10,16,11.49,17.78,9.33,5,3,11,4,11,43.2,29.27,30.13,43.97,41.0,26.24,4,Guizhou Guiyang 1-0 Wenzhou,2026-04-25
Guizhou Guiyang,2.13,0.91,1.22,1.30,0.73,0.57,0.07,0.17,-0.10,1.37,0.91,0.46,1,0,1,-0.22,48.30,58.2,48.27,0.9,0.87,160,13,16,10,17.78,11.49,8.31,3,5,18,7,18,104.4,70.73,38.4,56.03,115.27,73.76,0,Guizhou Guiyang 1-0 Wenzhou,2026-04-25
Beijing BIT,0.17,1.73,-1.56,0.04,1.24,-1.20,0.13,0.49,-0.36,0.17,1.73,-1.56,2,2,0,1.56,27.80,27.19,41.57,0.06,1.44,76,4,4,15,66.67,10.42,22.78,1,3,6,1,14,12.8,5.69,132.27,99.7,68.7,63.42,0,Haimen Codion 2-2 Beijing BIT,2026-04-25
Haimen Codion,1.73,0.17,1.56,1.24,0.04,1.20,0.49,0.13,0.36,1.73,0.17,1.56,2,2,0,-1.56,72.20,72.81,52.80,1.44,0.06,343,21,15,4,10.42,66.67,7.62,3,1,42,8,9,212.1,94.31,0.4,0.3,39.63,36.58,0,Haimen Codion 2-2 Beijing BIT,2026-04-25
Wuhan Three Towns II,0.70,1.79,-1.09,0.63,1.73,-1.10,0.08,0.06,0.02,0.70,1.79,-1.09,1,2,-1,0.09,45.70,48.99,48.52,0.51,0.9,206,10,6,11,11.76,12.22,15.46,1,1,17,6,13,69.4,40.37,79.47,61.38,55.77,39.69,3,Xiamen Feilu 2-1 Wuhan Three Towns II,2026-04-25
Xiamen Feilu,1.79,0.70,1.09,1.73,0.63,1.10,0.06,0.08,-0.02,1.79,0.70,1.09,2,1,1,-0.09,54.30,51.01,44.63,0.9,0.51,188,10,11,6,12.22,11.76,12.48,1,1,21,6,10,102.5,59.63,50.0,38.62,84.73,60.31,0,Xiamen Feilu 2-1 Wuhan Three Towns II,2026-04-25
Guangdong Mingtu,1.07,1.91,-0.84,1.03,1.78,-0.75,0.04,0.13,-0.09,1.07,1.91,-0.84,1,3,-2,-1.16,48.40,48.86,43.02,0.35,0.77,143,4,10,11,28.57,14.29,12.23,0,2,19,2,13,62.4,43.0,45.0,57.45,66.5,40.68,0,Shenzhen 2028 3-1 Guangdong Mingtu,2026-04-25
Shenzhen 2028,1.91,1.07,0.84,1.78,1.03,0.75,0.13,0.04,0.09,1.91,1.07,0.84,3,1,2,1.16,51.60,51.14,44.30,0.77,0.35,173,10,11,10,14.29,28.57,9.64,2,0,19,5,15,82.7,57.0,33.33,42.55,96.97,59.32,0,Shenzhen 2028 3-1 Guangdong Mingtu,2026-04-25
Lanzhou Longyuan,0.24,0.78,-0.54,0.24,0.75,-0.51,0.00,0.03,-0.03,0.24,0.78,-0.54,0,0,0,0.54,60.10,47.75,45.70,0.44,0.49,177,6,4,17,9.09,34.69,6.23,3,6,11,5,17,34.6,24.33,11.67,11.04,3.97,2.43,2,Tai'an Tiankuang 0-0 Lanzhou Longyuan,2026-04-25
Tai'an Tiankuang,0.78,0.24,0.54,0.75,0.24,0.51,0.03,0.00,0.03,0.78,0.24,0.54,0,0,0,-0.54,39.90,52.25,52.32,0.49,0.44,146,19,17,4,34.69,9.09,9.03,6,3,27,7,16,107.6,75.67,94.07,88.96,159.37,97.57,3,Tai'an Tiankuang 0-0 Lanzhou Longyuan,2026-04-25
