Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Wuhan Three Towns,0.41,3.10,-2.69,0.41,2.70,-2.29,0.00,0.40,-0.40,0.41,3.10,-2.69,0,4,-4,-1.31,40.30,50.89,44.89,0.51,0.52,137,8,6,14,11.76,26.92,11.73,9,3,12,3,22,40.9,31.2,87.2,88.2,45.17,24.47,1,Shanghai Port 4-0 Wuhan Three Towns,2026-04-25
Shanghai Port,3.10,0.41,2.69,2.70,0.41,2.29,0.40,0.00,0.40,3.10,0.41,2.69,4,0,4,1.31,59.70,49.11,42.29,0.52,0.51,194,7,14,6,26.92,11.76,7.97,3,9,11,3,14,90.2,68.8,11.67,11.8,139.45,75.53,0,Shanghai Port 4-0 Wuhan Three Towns,2026-04-25
Tianjin Jinmen Tiger,1.79,2.75,-0.96,1.79,1.52,0.27,0.00,1.23,-1.23,1.79,2.75,-0.96,4,2,2,2.96,24.30,12.81,36.28,0.36,1.04,61,6,10,21,27.78,20.19,36.17,1,11,3,3,9,11.1,2.84,115.6,91.02,30.57,15.5,1,Beijing Guoan 2-4 Tianjin Jinmen Tiger,2026-04-25
Beijing Guoan,2.75,1.79,0.96,1.52,1.79,-0.27,1.23,0.00,1.23,2.75,1.79,0.96,2,4,-2,-2.96,75.70,87.19,60.29,1.04,0.36,535,31,21,10,20.19,27.78,5.20,11,1,51,17,14,379.7,97.16,11.4,8.98,166.67,84.5,2,Beijing Guoan 2-4 Tianjin Jinmen Tiger,2026-04-25
Zhejiang,0.65,2.74,-2.09,0.58,2.70,-2.12,0.08,0.04,0.04,0.65,2.74,-2.09,0,4,-4,-1.91,42.20,40.53,46.65,0.56,1.21,178,8,12,16,21.43,13.22,13.84,2,2,17,3,15,64.7,27.25,67.07,58.32,26.68,8.58,0,Chengdu Rongcheng 4-0 Zhejiang,2026-04-25
Chengdu Rongcheng,2.74,0.65,2.09,2.70,0.58,2.12,0.04,0.08,-0.04,2.74,0.65,2.09,4,0,4,1.91,57.80,59.47,46.04,1.21,0.56,202,18,16,12,13.22,21.43,10.12,2,2,11,2,11,172.7,72.75,47.93,41.68,284.27,91.42,1,Chengdu Rongcheng 4-0 Zhejiang,2026-04-25
Qingdao Hainiu,0.56,4.71,-4.15,0.56,4.55,-3.99,0.0,0.16,-0.16,0.56,4.71,-4.15,0,2,-2,2.15,43.6,37.46,47.97,0.3,1.38,182,3,10,21,33.33,15.22,12.39,2,9,23,4,9,43.8,19.14,65.47,62.79,39.2,15.54,1,Shanghai Shenhua 2-0 Qingdao Hainiu,2026-04-22
Shanghai Shenhua,4.71,0.56,4.15,4.55,0.56,3.99,0.16,0.0,0.16,4.71,0.56,4.15,2,0,2,-2.15,56.4,62.54,53.54,1.38,0.3,295,28,21,10,15.22,33.33,8.76,9,2,29,9,19,185.0,80.86,38.8,37.21,213.0,84.46,1,Shanghai Shenhua 2-0 Qingdao Hainiu,2026-04-22
Henan,0.31,0.42,-0.11,0.29,0.4,-0.11,0.02,0.03,-0.01,0.31,0.42,-0.11,0,0,0,0.11,55.1,57.69,47.3,0.54,0.27,197,12,7,6,12.96,22.22,7.98,3,5,15,3,12,94.7,72.12,19.67,23.87,63.23,56.74,0,Qingdao West Coast 0-0 Henan,2026-04-22
Qingdao West Coast,0.42,0.31,0.11,0.4,0.29,0.11,0.03,0.02,0.01,0.42,0.31,0.11,0,0,0,-0.11,44.9,42.31,45.12,0.27,0.54,148,4,6,7,22.22,12.96,10.65,5,3,13,4,18,36.6,27.88,62.73,76.13,48.2,43.26,1,Qingdao West Coast 0-0 Henan,2026-04-22
Dalian Yingbo,1.27,1.13,0.14,1.26,1.13,0.13,0.02,0.0,0.02,1.27,1.13,0.14,1,0,1,0.86,44.6,54.32,50.38,0.42,0.52,190,8,11,6,26.19,11.54,10.46,5,1,19,6,12,108.9,68.32,69.8,78.84,142.33,88.18,2,Liaoning Tieren 0-1 Dalian Yingbo,2026-04-22
Liaoning Tieren,1.13,1.27,-0.14,1.13,1.26,-0.13,0.0,0.02,-0.02,1.13,1.27,-0.14,0,1,-1,-0.86,55.4,45.68,46.87,0.52,0.42,188,12,6,11,11.54,26.19,9.83,1,5,18,4,15,50.5,31.68,18.73,21.16,19.07,11.82,1,Liaoning Tieren 0-1 Dalian Yingbo,2026-04-22
Shandong Taishan,1.59,1.84,-0.25,1.54,0.64,0.9,0.06,0.44,-0.38,1.59,1.08,0.51,2,1,1,1.25,51.2,61.69,55.11,1.23,0.33,299,16,11,11,8.94,33.33,12.33,3,3,24,6,15,153.7,79.19,76.8,59.38,161.67,87.69,1,Tianjin Jinmen Tiger 1-2 Shandong Taishan,2026-04-21
Tianjin Jinmen Tiger,1.84,1.59,0.25,0.64,1.54,-0.9,0.44,0.06,0.38,1.08,1.59,-0.51,1,2,-1,-1.25,48.8,38.31,42.21,0.33,1.23,169,6,11,11,33.33,8.94,11.52,3,3,11,3,8,40.4,20.81,52.53,40.62,22.7,12.31,3,Tianjin Jinmen Tiger 1-2 Shandong Taishan,2026-04-21
Chongqing Tonglianglong,0.38,1.88,-1.5,0.1,1.44,-1.34,0.28,0.45,-0.17,0.38,1.88,-1.5,2,1,1,2.5,29.0,17.25,34.17,0.05,0.7,60,4,3,15,60.0,21.43,15.0,4,4,5,4,19,16.3,6.06,89.73,83.86,45.43,26.85,0,Shanghai Port 1-2 Chongqing Tonglianglong,2026-04-21
Shanghai Port,1.88,0.38,1.5,1.44,0.1,1.34,0.45,0.28,0.17,1.88,0.38,1.5,1,2,-1,-2.5,71.0,82.75,53.76,0.7,0.05,396,12,15,3,21.43,60.0,7.27,4,4,38,11,9,252.8,93.94,17.27,16.14,123.77,73.15,0,Shanghai Port 1-2 Chongqing Tonglianglong,2026-04-21
Zhejiang,1.03,3.09,-2.06,0.83,2.6,-1.77,0.19,0.48,-0.29,1.03,3.09,-2.06,0,2,-2,0.06,53.4,55.0,49.77,0.82,0.59,236,17,8,14,9.76,23.73,11.3,3,4,27,7,11,83.8,47.86,33.47,32.0,51.87,28.99,1,Wuhan Three Towns 2-0 Zhejiang,2026-04-21
Wuhan Three Towns,3.09,1.03,2.06,2.6,0.83,1.77,0.48,0.19,0.29,3.09,1.03,2.06,2,0,2,-0.06,46.6,45.0,48.39,0.59,0.82,191,12,14,8,23.73,9.76,14.04,4,3,22,6,13,91.3,52.14,71.13,68.0,127.07,71.01,2,Wuhan Three Towns 2-0 Zhejiang,2026-04-21
Yunnan Yukun,1.82,3.76,-1.94,1.8,3.69,-1.89,0.02,0.07,-0.05,1.82,3.76,-1.94,1,2,-1,0.94,46.2,46.57,48.95,0.99,1.66,198,12,16,16,16.16,9.64,14.38,1,6,26,3,11,90.7,40.06,44.27,58.81,98.5,44.16,0,Chengdu Rongcheng 2-1 Yunnan Yukun,2026-04-21
Chengdu Rongcheng,3.76,1.82,1.94,3.69,1.8,1.89,0.07,0.02,0.05,3.76,1.82,1.94,2,1,1,-0.94,53.8,53.43,49.18,1.66,0.99,226,26,16,16,9.64,16.16,11.03,6,1,21,4,12,135.7,59.94,31.0,41.19,124.53,55.84,2,Chengdu Rongcheng 2-1 Yunnan Yukun,2026-04-21
Beijing Guoan,0.94,0.73,0.21,0.91,0.69,0.22,0.03,0.04,-0.01,0.94,0.73,0.21,1,0,1,0.79,63.3,61.95,52.85,0.18,0.33,293,12,11,11,61.11,33.33,7.12,6,2,25,7,15,158.6,72.22,20.87,19.79,112.23,59.19,1,Shenzhen Peng City 0-1 Beijing Guoan,2026-04-21
Shenzhen Peng City,0.73,0.94,-0.21,0.69,0.91,-0.22,0.04,0.03,0.01,0.73,0.94,-0.21,0,1,-1,-0.79,36.7,38.05,50.43,0.33,0.18,152,6,11,11,33.33,61.11,11.55,2,6,13,3,12,61.0,27.78,84.6,80.21,77.37,40.81,3,Shenzhen Peng City 0-1 Beijing Guoan,2026-04-21
Liaoning Tieren,2.83,3.32,-0.49,2.83,2.68,0.15,0.0,0.64,-0.64,2.83,3.32,-0.49,1,3,-2,-1.51,53.4,56.17,48.34,1.26,1.53,275,14,18,19,14.29,12.42,12.75,8,3,28,4,11,81.9,49.16,31.13,41.18,30.92,11.65,0,Shanghai Shenhua 3-1 Liaoning Tieren,2026-04-18
Shanghai Shenhua,3.32,2.83,0.49,2.68,2.83,-0.15,0.64,0.0,0.64,3.32,2.83,0.49,3,1,2,1.51,46.6,43.83,43.72,1.53,1.26,179,24,19,18,12.42,14.29,14.71,3,8,11,3,12,84.7,50.84,44.47,58.82,234.59,88.35,0,Shanghai Shenhua 3-1 Liaoning Tieren,2026-04-18
