Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Mladá Boleslav,1.55,0.79,0.76,1.45,0.50,0.95,0.10,0.29,-0.19,1.55,0.79,0.76,3,0,3,2.24,42.50,53.8,49.17,0.57,0.37,166,14,14,9,24.56,24.32,8.26,7,2,6,3,16,120.5,62.53,83.53,85.76,182.57,87.28,0,Karviná 0-3 Mladá Boleslav,2026-04-25
Karviná,0.79,1.55,-0.76,0.50,1.45,-0.95,0.29,0.10,0.19,0.79,1.55,-0.76,0,3,-3,-2.24,57.50,46.2,44.24,0.37,0.57,178,11,9,14,24.32,24.56,5.42,2,7,30,6,11,72.2,37.47,13.87,14.24,26.6,12.72,1,Karviná 0-3 Mladá Boleslav,2026-04-25
Hradec Králové,1.90,2.10,-0.20,1.11,1.96,-0.85,0.03,0.14,-0.11,1.14,2.10,-0.96,1,0,1,1.20,41.00,37.31,45.25,1.18,0.78,108,10,9,17,7.63,21.79,9.70,1,1,13,2,15,36.9,22.67,41.87,68.42,49.9,32.41,2,Teplice 0-1 Hradec Králové,2026-04-25
Teplice,2.10,1.90,0.20,1.96,1.11,0.85,0.14,0.03,0.11,2.10,1.14,0.96,0,1,-1,-1.20,59.00,62.69,49.41,0.78,1.18,186,14,17,9,21.79,7.63,6.84,1,1,33,10,15,125.9,77.33,19.33,31.58,104.07,67.59,5,Teplice 0-1 Hradec Králové,2026-04-25
Viktoria Plzeň,1.60,1.33,0.27,1.42,1.15,0.27,0.18,0.18,0.00,1.60,1.33,0.27,1,0,1,0.73,52.30,49.12,45.22,0.56,1.11,179,12,16,9,28.57,8.11,9.22,0,3,16,8,12,107.3,60.35,29.53,31.82,94.43,56.65,2,Baník Ostrava 0-1 Viktoria Plzeň,2026-04-25
Baník Ostrava,1.33,1.60,-0.27,1.15,1.42,-0.27,0.18,0.18,0.00,1.33,1.60,-0.27,0,1,-1,-0.73,47.70,50.88,47.73,1.11,0.56,172,17,9,16,8.11,28.57,12.81,3,0,20,4,15,70.5,39.65,63.27,68.18,72.27,43.35,2,Baník Ostrava 0-1 Viktoria Plzeň,2026-04-25
Zlín,1.61,1.51,0.10,1.61,1.48,0.13,0.00,0.02,-0.02,1.61,1.51,0.10,1,3,-2,-2.10,45.20,50.97,47.84,0.78,0.44,150,12,10,9,12.82,20.45,9.54,5,2,18,4,19,71.9,53.62,51.47,78.53,86.6,63.21,4,Pardubice 3-1 Zlín,2026-04-25
Pardubice,1.51,1.61,-0.10,1.48,1.61,-0.13,0.02,0.00,0.02,1.51,1.61,-0.10,3,1,2,2.10,54.80,49.03,44.32,0.44,0.78,151,6,9,10,20.45,12.82,8.50,2,5,11,3,15,62.2,46.38,14.07,21.47,50.4,36.79,4,Pardubice 3-1 Zlín,2026-04-25
Sparta Praha,0.60,2.50,-1.90,0.57,2.29,-1.72,0.03,0.21,-0.18,0.60,2.50,-1.90,0,2,-2,-0.10,60.10,45.49,42.65,0.23,0.75,164,8,5,12,21.74,16.0,7.38,1,9,13,4,14,66.6,38.3,15.93,15.07,32.07,15.7,3,Bohemians 1905 2-0 Sparta Praha,2026-04-25
Bohemians 1905,2.50,0.60,1.90,2.29,0.57,1.72,0.21,0.03,0.18,2.50,0.60,1.90,2,0,2,0.10,39.90,54.51,50.38,0.75,0.23,142,14,12,5,16.0,21.74,10.69,9,1,16,7,15,107.3,61.7,89.8,84.93,172.23,84.3,2,Bohemians 1905 2-0 Sparta Praha,2026-04-25
Slovan Liberec,0.65,2.39,-1.74,0.61,0.72,-0.11,0.03,0.15,-0.12,0.65,0.87,-0.22,2,1,1,2.74,39.20,52.61,47.17,0.33,0.34,115,6,10,10,30.3,29.41,9.06,3,6,25,6,20,57.8,47.07,106.93,93.42,140.73,84.75,4,Jablonec 1-2 Slovan Liberec,2026-04-25
Jablonec,2.39,0.65,1.74,0.72,0.61,0.11,0.15,0.03,0.12,0.87,0.65,0.22,1,2,-1,-2.74,60.80,47.39,41.43,0.34,0.33,128,12,10,10,29.41,30.3,4.62,6,3,26,6,16,65.0,52.93,7.53,6.58,25.33,15.25,4,Jablonec 1-2 Slovan Liberec,2026-04-25
Sigma Olomouc,0.55,4.94,-4.39,0.52,3.99,-3.47,0.03,0.94,-0.91,0.55,4.94,-4.39,1,2,-1,3.39,36.30,23.81,41.11,0.26,2.54,102,2,4,31,15.38,12.2,21.06,1,7,4,2,6,15.5,4.53,63.6,87.6,24.13,9.35,0,Slavia Praha 2-1 Sigma Olomouc,2026-04-25
