Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
LDU Quito,0.82,0.90,-0.08,0.70,0.88,-0.18,0.12,0.02,0.10,0.82,0.90,-0.08,0,1,-1,-0.92,54.20,54.09,48.23,0.67,0.48,194,19,14,7,20.9,14.58,10.60,3,2,12,4,6,115.5,66.38,30.27,33.66,75.83,58.26,3,Emelec 1-0 LDU Quito,2026-04-25
Emelec,0.90,0.82,0.08,0.88,0.70,0.18,0.02,0.12,-0.10,0.90,0.82,0.08,1,0,1,0.92,45.80,45.91,46.43,0.48,0.67,136,13,7,14,14.58,20.9,15.30,2,3,19,9,9,58.5,33.62,59.67,66.34,54.33,41.74,3,Emelec 1-0 LDU Quito,2026-04-25
Leones,0.60,3.37,-2.77,0.60,2.67,-2.07,0.00,0.71,-0.71,0.60,3.37,-2.77,1,2,-1,1.77,38.40,34.25,47.76,0.59,1.18,152,3,8,22,13.56,18.64,14.81,5,3,14,5,12,21.5,9.33,82.93,91.07,38.87,21.47,0,Independiente Valle 2-1 Leones,2026-04-25
Independiente Valle,3.37,0.60,2.77,2.67,0.60,2.07,0.71,0.00,0.71,3.37,0.60,2.77,2,1,1,-1.77,61.60,65.75,48.65,1.18,0.59,253,14,22,8,18.64,13.56,11.00,3,5,22,5,10,209.0,90.67,8.13,8.93,142.17,78.53,0,Independiente Valle 2-1 Leones,2026-04-25
Deportivo Cuenca,1.22,2.68,-1.46,0.98,1.84,-0.86,0.24,0.08,0.16,1.22,1.92,-0.70,1,4,-3,-1.54,49.50,43.93,43.11,0.76,0.5,169,12,16,15,21.05,30.0,13.29,4,2,26,8,9,44.3,37.73,62.93,61.66,38.1,28.89,1,Mushuc Runa 4-1 Deportivo Cuenca,2026-04-25
Mushuc Runa,2.68,1.22,1.46,1.84,0.98,0.86,0.08,0.24,-0.16,1.92,1.22,0.70,4,1,3,1.54,50.50,56.07,45.79,0.5,0.76,199,5,15,16,30.0,21.05,14.33,2,4,17,3,12,73.1,62.27,39.13,38.34,93.77,71.11,1,Mushuc Runa 4-1 Deportivo Cuenca,2026-04-25
Macará,0.58,4.13,-3.55,0.47,2.39,-1.92,0.1,0.22,-0.12,0.58,2.61,-2.03,0,4,-4,-0.45,43.9,49.39,47.53,0.51,0.53,156,4,9,16,17.65,30.19,13.23,4,2,17,6,18,37.3,31.45,66.13,79.74,64.03,48.18,0,Universidad Católica 4-0 Macará,2026-04-23
Universidad Católica,4.13,0.58,3.55,2.39,0.47,1.92,0.22,0.1,0.12,2.61,0.58,2.03,4,0,4,0.45,56.1,50.61,45.16,0.53,0.51,176,7,16,9,30.19,17.65,9.13,2,4,12,3,11,81.3,68.55,16.8,20.26,68.87,51.82,2,Universidad Católica 4-0 Macará,2026-04-23
Aucas,1.87,0.18,1.69,1.58,0.18,1.4,0.29,0.0,0.29,1.87,0.18,1.69,0,0,0,-1.69,50.5,49.34,47.74,0.38,0.52,211,6,16,3,42.11,5.77,16.95,2,3,8,4,6,113.1,70.91,46.87,47.63,107.37,70.31,1,LDU Quito 0-0 Aucas,2026-04-22
LDU Quito,0.18,1.87,-1.69,0.18,1.58,-1.4,0.0,0.29,-0.29,0.18,1.87,-1.69,0,0,0,1.69,49.5,50.66,49.21,0.52,0.38,214,11,3,16,5.77,42.11,14.72,3,2,24,4,11,46.4,29.09,51.53,52.37,45.33,29.69,5,LDU Quito 0-0 Aucas,2026-04-22
