Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Vitesse,0.75,3.11,-2.36,0.74,2.69,-1.95,0.01,0.42,-0.41,0.75,3.11,-2.36,1,2,-1,1.36,27.80,22.43,43.97,0.27,1.37,85,10,10,24,37.04,17.52,14.36,4,5,12,2,16,15.5,4.63,111.33,98.58,43.3,16.91,0,Cambuur 2-1 Vitesse,2026-04-24
Cambuur,3.11,0.75,2.36,2.69,0.74,1.95,0.42,0.01,0.41,3.11,0.75,2.36,2,1,1,-1.36,72.20,77.57,56.37,1.37,0.27,392,20,24,10,17.52,37.04,5.67,5,4,26,9,13,319.2,95.37,1.6,1.42,212.77,83.09,0,Cambuur 2-1 Vitesse,2026-04-24
Almere City,0.71,1.06,-0.35,0.60,1.06,-0.46,0.11,0.00,0.11,0.71,1.06,-0.35,1,3,-2,-1.65,51.30,62.55,45.80,0.82,0.39,217,20,12,9,14.63,23.08,14.41,7,7,21,7,10,110.6,73.98,75.2,61.88,109.9,49.29,0,VVV 3-1 Almere City,2026-04-24
VVV,1.06,0.71,0.35,1.06,0.60,0.46,0.00,0.11,-0.11,1.06,0.71,0.35,3,1,2,1.65,48.70,37.45,39.65,0.39,0.82,144,8,9,12,23.08,14.63,13.72,7,7,11,2,8,38.9,26.02,46.33,38.12,113.08,50.71,2,VVV 3-1 Almere City,2026-04-24
PSV II,1.31,2.85,-1.54,1.05,2.85,-1.80,0.26,0.00,0.26,1.31,2.85,-1.54,1,4,-3,-1.46,50.80,56.69,49.45,0.89,0.88,222,16,16,16,17.98,18.18,13.73,5,6,17,9,6,101.7,53.98,29.27,42.21,74.3,34.69,2,RKC Waalwijk 4-1 PSV II,2026-04-24
RKC Waalwijk,2.85,1.31,1.54,2.85,1.05,1.80,0.00,0.26,-0.26,2.85,1.31,1.54,4,1,3,1.46,49.20,43.31,44.54,0.88,0.89,177,12,16,16,18.18,17.98,12.59,6,5,9,0,10,86.7,46.02,40.07,57.79,139.87,65.31,0,RKC Waalwijk 4-1 PSV II,2026-04-24
TOP Oss,2.33,0.47,1.86,2.26,0.24,2.02,0.07,0.23,-0.16,2.33,0.47,1.86,2,0,2,0.14,39.80,38.31,43.03,0.41,0.76,114,11,10,10,24.39,13.16,19.63,0,4,13,3,12,44.9,29.38,61.93,80.16,73.67,53.06,1,MVV 0-2 TOP Oss,2026-04-24
MVV,0.47,2.33,-1.86,0.24,2.26,-2.02,0.23,0.07,0.16,0.47,2.33,-1.86,0,2,-2,-0.14,60.20,61.69,48.10,0.76,0.41,238,9,10,10,13.16,24.39,9.07,4,0,33,8,14,107.9,70.62,15.33,19.84,65.17,46.94,0,MVV 0-2 TOP Oss,2026-04-24
Roda JC,0.89,2.77,-1.88,0.74,2.61,-1.87,0.15,0.16,-0.01,0.89,2.77,-1.88,0,2,-2,-0.12,41.00,31.51,40.65,0.49,1.5,123,11,10,29,20.41,19.33,16.30,4,11,17,4,8,21.5,7.87,75.4,79.87,23.3,6.86,1,AZ II 2-0 Roda JC,2026-04-24
AZ II,2.77,0.89,1.88,2.61,0.74,1.87,0.16,0.15,0.01,2.77,0.89,1.88,2,0,2,0.12,59.00,68.49,51.50,1.5,0.49,271,39,29,10,19.33,20.41,7.71,11,4,22,12,12,251.7,92.13,19.0,20.13,316.43,93.14,2,AZ II 2-0 Roda JC,2026-04-24
Utrecht II,2.04,0.62,1.42,1.98,0.53,1.45,0.06,0.09,-0.03,2.04,0.62,1.42,2,0,2,0.58,37.90,46.15,47.52,1.55,0.53,164,21,23,11,14.84,20.75,13.42,5,4,9,3,12,133.9,66.85,123.8,95.97,241.93,94.41,0,Ajax II 0-2 Utrecht II,2026-04-24
