Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Pogoń Szczecin,1.33,1.49,-0.16,1.33,1.39,-0.06,0.00,0.10,-0.10,1.33,1.49,-0.16,1,1,0,0.16,44.60,48.17,48.30,0.62,0.88,166,9,9,14,14.52,15.91,10.65,4,4,8,0,20,56.4,33.25,61.27,61.11,65.43,52.81,2,Cracovia 1-1 Pogoń Szczecin,2026-04-25
Cracovia,1.49,1.33,0.16,1.39,1.33,0.06,0.10,0.00,0.10,1.49,1.33,0.16,1,1,0,-0.16,55.40,51.83,46.01,0.88,0.62,194,12,14,9,15.91,14.52,7.49,4,4,24,7,14,113.2,66.75,39.0,38.89,58.47,47.19,3,Cracovia 1-1 Pogoń Szczecin,2026-04-25
Raków Częstochowa,1.64,2.13,-0.49,0.58,1.34,-0.76,1.06,0.03,1.03,1.64,1.37,0.27,2,1,1,1.49,51.40,44.96,43.99,0.44,1.16,134,8,16,11,36.36,9.48,13.00,5,5,15,3,13,86.5,46.08,23.13,30.04,63.13,36.7,1,Lechia Gdańsk 1-2 Raków Częstochowa,2026-04-25
Lechia Gdańsk,2.13,1.64,0.49,1.34,0.58,0.76,0.03,1.06,-1.03,1.37,1.64,-0.27,1,2,-1,-1.49,48.60,55.04,50.21,1.16,0.44,216,18,11,16,9.48,36.36,10.73,5,5,27,3,13,101.2,53.92,53.87,69.96,108.87,63.3,3,Lechia Gdańsk 1-2 Raków Częstochowa,2026-04-25
GKS Katowice,2.23,1.26,0.97,2.19,1.14,1.05,0.03,0.12,-0.09,2.23,1.26,0.97,1,1,0,-0.97,44.20,40.6,43.07,0.53,1.02,137,11,16,17,30.19,16.67,16.38,8,4,15,3,8,108.4,42.48,80.4,80.02,141.17,56.95,2,Korona Kielce 1-1 GKS Katowice,2026-04-25
Korona Kielce,1.26,2.23,-0.97,1.14,2.19,-1.05,0.12,0.03,0.09,1.26,2.23,-0.97,1,1,0,0.97,55.80,59.4,45.85,1.02,0.53,216,20,17,16,16.67,30.19,12.26,4,8,26,5,9,146.8,57.52,20.07,19.98,106.73,43.05,5,Korona Kielce 1-1 GKS Katowice,2026-04-25
Górnik Zabrze,1.63,0.94,0.69,0.83,0.87,-0.04,0.04,0.07,-0.03,0.87,0.94,-0.07,2,1,1,0.31,38.9,35.08,46.89,0.53,0.64,161,9,11,18,20.75,28.12,14.17,3,4,7,2,14,60.3,23.66,79.6,70.65,70.57,27.75,2,Jagiellonia Białystok 1-2 Górnik Zabrze,2026-04-24
Jagiellonia Białystok,0.94,1.63,-0.69,0.87,0.83,0.04,0.07,0.04,0.03,0.94,0.87,0.07,1,2,-1,-0.31,61.1,64.92,48.63,0.64,0.53,260,12,18,11,28.12,20.75,8.22,4,3,24,7,13,194.6,76.34,33.07,29.35,183.77,72.25,0,Jagiellonia Białystok 1-2 Górnik Zabrze,2026-04-24
Nieciecza,1.56,0.66,0.9,1.48,0.33,1.15,0.09,0.33,-0.24,1.56,0.66,0.9,2,1,1,0.1,58.1,59.93,52.87,1.08,0.26,250,15,15,10,13.89,38.46,10.65,3,3,29,4,16,162.6,70.76,21.6,25.65,131.77,60.54,1,Zagłębie Lubin 1-2 Nieciecza,2026-04-24
Zagłębie Lubin,0.66,1.56,-0.9,0.33,1.48,-1.15,0.33,0.09,0.24,0.66,1.56,-0.9,1,2,-1,-0.1,41.9,40.07,47.34,0.26,1.08,140,18,10,15,38.46,13.89,11.21,3,3,19,6,11,67.2,29.24,62.6,74.35,85.87,39.46,7,Zagłębie Lubin 1-2 Nieciecza,2026-04-24
Piast Gliwice,1.54,1.72,-0.18,0.78,1.35,-0.57,0.0,0.37,-0.37,0.78,1.72,-0.94,1,1,0,0.18,44.1,33.93,43.04,0.62,0.82,134,10,8,19,12.9,23.17,14.22,4,5,10,0,9,57.8,23.62,32.6,45.07,44.37,19.42,2,Lechia Gdańsk 1-1 Piast Gliwice,2026-04-20
Lechia Gdańsk,1.72,1.54,0.18,1.35,0.78,0.57,0.37,0.0,0.37,1.72,0.78,0.94,1,1,0,-0.18,55.9,66.07,53.26,0.82,0.62,279,28,19,8,23.17,12.9,8.91,5,4,31,11,13,186.9,76.38,39.73,54.93,184.1,80.58,4,Lechia Gdańsk 1-1 Piast Gliwice,2026-04-20
Jagiellonia Białystok,1.99,3.02,-1.03,1.99,2.21,-0.22,0.0,0.82,-0.82,1.99,3.02,-1.03,3,0,3,4.03,51.2,35.94,38.62,1.08,0.88,137,15,9,17,8.33,19.32,11.96,2,9,12,3,16,40.2,23.61,27.87,23.43,45.87,28.38,0,Arka Gdynia 0-3 Jagiellonia Białystok,2026-04-19
Arka Gdynia,3.02,1.99,1.03,2.21,1.99,0.22,0.82,0.0,0.82,3.02,1.99,1.03,0,3,-3,-4.03,48.8,64.06,51.8,0.88,1.08,215,13,17,9,19.32,8.33,8.4,9,2,33,7,12,130.1,76.39,91.07,76.57,115.77,71.62,2,Arka Gdynia 0-3 Jagiellonia Białystok,2026-04-19
Cracovia,1.64,2.54,-0.9,1.42,1.74,-0.32,0.22,0.04,0.18,1.64,1.78,-0.14,1,4,-3,-2.1,39.4,56.38,49.66,0.49,0.58,189,13,19,9,38.78,15.52,14.49,3,1,23,7,17,114.0,67.86,144.93,95.02,158.33,74.18,1,Raków Częstochowa 4-1 Cracovia,2026-04-19
Raków Częstochowa,2.54,1.64,0.9,1.74,1.42,0.32,0.04,0.22,-0.18,1.78,1.64,0.14,4,1,3,2.1,60.6,43.62,42.11,0.58,0.49,194,10,9,19,15.52,38.78,11.29,1,3,10,2,10,54.0,32.14,7.6,4.98,55.11,25.82,0,Raków Częstochowa 4-1 Cracovia,2026-04-19
Wisła Płock,1.58,1.51,0.07,0.95,1.48,-0.53,0.63,0.04,0.59,1.58,1.51,0.07,3,1,2,1.93,43.3,38.12,44.15,1.03,1.75,154,15,16,14,15.53,8.0,24.44,2,8,15,5,13,81.0,39.88,60.93,67.3,153.37,71.04,2,Nieciecza 1-3 Wisła Płock,2026-04-19
Nieciecza,1.51,1.58,-0.07,1.48,0.95,0.53,0.04,0.63,-0.59,1.51,1.58,-0.07,1,3,-2,-1.93,56.7,61.88,53.32,1.75,1.03,318,23,14,16,8.0,15.53,12.31,8,2,29,2,9,122.1,60.12,29.6,32.7,62.53,28.96,2,Nieciecza 1-3 Wisła Płock,2026-04-19
Lech Poznań,3.39,0.77,2.62,3.38,0.73,2.65,0.01,0.03,-0.02,3.39,0.77,2.62,2,1,1,-1.62,45.1,43.71,46.61,0.9,0.43,157,17,22,6,24.44,13.95,10.34,7,5,16,6,12,95.8,60.18,57.33,71.73,140.43,83.33,1,Pogoń Szczecin 1-2 Lech Poznań,2026-04-18
Pogoń Szczecin,0.77,3.39,-2.62,0.73,3.38,-2.65,0.03,0.01,0.02,0.77,3.39,-2.62,1,2,-1,1.62,54.9,56.29,47.45,0.43,0.9,202,8,6,22,13.95,24.44,8.31,5,7,22,5,13,63.4,39.82,22.6,28.27,28.1,16.67,4,Pogoń Szczecin 1-2 Lech Poznań,2026-04-18
Korona Kielce,1.51,2.17,-0.66,0.97,1.61,-0.64,0.55,0.56,-0.01,1.51,2.17,-0.66,0,1,-1,-0.34,42.8,36.99,49.24,0.96,0.86,159,20,17,20,17.71,23.26,10.82,2,4,24,6,15,75.8,29.52,67.4,69.15,71.07,32.98,4,Górnik Zabrze 1-0 Korona Kielce,2026-04-18
Górnik Zabrze,2.17,1.51,0.66,1.61,0.97,0.64,0.56,0.55,0.01,2.17,1.51,0.66,1,0,1,0.34,57.2,63.01,54.49,0.86,0.96,288,19,20,17,23.26,17.71,10.38,4,2,22,6,5,181.0,70.48,30.07,30.85,144.43,67.02,0,Górnik Zabrze 1-0 Korona Kielce,2026-04-18
Widzew Łódź,0.39,2.4,-2.01,0.39,2.4,-2.01,0.0,0.0,0.0,0.39,2.4,-2.01,1,2,-1,1.01,49.4,44.98,46.89,0.36,0.85,165,11,8,20,22.22,23.53,8.31,5,4,15,2,15,54.1,27.46,38.33,58.14,73.53,31.39,0,Radomiak Radom 2-1 Widzew Łódź,2026-04-18
Radomiak Radom,2.4,0.39,2.01,2.4,0.39,2.01,0.0,0.0,0.0,2.4,0.39,2.01,2,1,1,-1.01,50.6,55.02,49.31,0.85,0.36,184,17,20,8,23.53,22.22,10.67,4,5,29,6,12,142.9,72.54,27.6,41.86,160.7,68.61,5,Radomiak Radom 2-1 Widzew Łódź,2026-04-18
Zagłębie Lubin,0.57,2.11,-1.54,0.57,1.28,-0.71,0.0,0.83,-0.83,0.57,2.11,-1.54,0,1,-1,0.54,37.7,32.03,43.23,0.4,1.33,93,11,8,13,20.0,9.77,9.42,1,4,15,4,17,36.0,18.83,69.4,82.3,52.67,25.18,2,Legia Warszawa 1-0 Zagłębie Lubin,2026-04-17
Legia Warszawa,2.11,0.57,1.54,1.28,0.57,0.71,0.83,0.0,0.83,2.11,0.57,1.54,1,0,1,-0.54,62.3,67.97,51.65,1.33,0.4,226,20,13,8,9.77,20.0,6.38,4,1,25,10,13,155.2,81.17,14.93,17.7,156.5,74.82,5,Legia Warszawa 1-0 Zagłębie Lubin,2026-04-17
Motor Lublin,1.24,2.66,-1.42,1.22,2.61,-1.39,0.02,0.05,-0.03,1.24,2.66,-1.42,2,3,-1,0.42,55.0,41.64,44.21,0.66,1.77,187,16,16,23,24.24,12.99,7.67,2,9,21,7,14,48.8,21.6,9.2,9.38,21.67,7.25,4,GKS Katowice 3-2 Motor Lublin,2026-04-17
GKS Katowice,2.66,1.24,1.42,2.61,1.22,1.39,0.05,0.02,0.03,2.66,1.24,1.42,3,2,1,-0.42,45.0,58.36,53.78,1.77,0.66,222,34,23,16,12.99,24.24,11.09,9,2,26,4,12,177.1,78.4,88.93,90.62,277.3,92.75,2,GKS Katowice 3-2 Motor Lublin,2026-04-17
