Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
NEC,1.99,1.70,0.29,1.59,1.63,-0.04,0.40,0.06,0.34,1.99,1.70,0.29,1,1,0,-0.29,50.40,58.2,50.69,0.78,0.51,228,18,20,13,25.64,25.49,13.27,1,3,26,9,16,155.4,78.88,36.33,56.77,172.57,74.01,2,Twente 1-1 NEC,2026-04-25
Twente,1.70,1.99,-0.29,1.63,1.59,0.04,0.06,0.40,-0.34,1.70,1.99,-0.29,1,1,0,0.29,49.60,41.8,45.58,0.51,0.78,187,10,13,20,25.49,25.64,10.82,3,1,12,3,6,41.6,21.12,27.67,43.23,60.6,25.99,4,Twente 1-1 NEC,2026-04-25
Ajax,2.65,1.86,0.79,2.64,1.27,1.37,0.01,0.60,-0.59,2.65,1.86,0.79,2,0,2,1.21,42.40,32.8,44.35,0.92,0.84,163,15,8,21,8.7,25.0,14.00,7,8,12,2,11,34.6,15.23,54.53,63.46,55.33,40.5,1,NAC Breda 0-2 Ajax,2026-04-25
NAC Breda,1.86,2.65,-0.79,1.27,2.64,-1.37,0.60,0.01,0.59,1.86,2.65,-0.79,0,2,-2,-1.21,57.60,67.2,53.38,0.84,0.92,337,13,21,8,25.0,8.7,10.26,8,7,41,11,6,192.6,84.77,31.4,36.54,81.3,59.5,1,NAC Breda 0-2 Ajax,2026-04-25
Fortuna Sittard,0.86,2.81,-1.95,0.86,2.44,-1.58,0.00,0.37,-0.37,0.86,2.81,-1.95,1,2,-1,0.95,41.80,43.03,48.17,0.5,0.78,207,5,16,15,32.0,19.23,13.40,8,3,15,0,6,60.9,34.25,87.67,80.68,78.63,52.42,0,Heerenveen 2-1 Fortuna Sittard,2026-04-25
Heerenveen,2.81,0.86,1.95,2.44,0.86,1.58,0.37,0.00,0.37,2.81,0.86,1.95,2,1,1,-0.95,58.20,56.97,48.54,0.78,0.5,281,15,15,16,19.23,32.0,13.60,3,8,14,7,10,116.9,65.75,21.0,19.32,71.37,47.58,4,Heerenveen 2-1 Fortuna Sittard,2026-04-25
Groningen,1.10,1.82,-0.72,1.01,1.01,0.00,0.09,0.06,0.03,1.10,1.06,0.04,1,3,-2,-1.28,52.30,46.99,48.21,0.74,0.67,251,13,10,10,13.51,14.93,9.88,9,6,11,3,15,77.7,44.15,64.33,51.63,32.42,15.73,1,Feyenoord 3-1 Groningen,2026-04-25
Feyenoord,1.82,1.10,0.72,1.01,1.01,0.00,0.06,0.09,-0.03,1.06,1.10,-0.04,3,1,2,1.28,47.70,53.01,48.51,0.67,0.74,216,10,10,10,14.93,13.51,13.66,6,9,12,3,10,98.3,55.85,60.27,48.37,173.63,84.27,1,Feyenoord 3-1 Groningen,2026-04-25
PEC Zwolle,1.0,2.34,-1.34,1.0,2.27,-1.27,0.0,0.07,-0.07,1.0,2.34,-1.34,1,6,-5,-3.66,32.8,25.91,42.03,0.25,1.2,134,2,6,18,24.0,15.0,22.48,4,6,7,4,4,22.1,9.25,137.6,83.16,18.13,8.89,0,PSV 6-1 PEC Zwolle,2026-04-23
PSV,2.34,1.0,1.34,2.27,1.0,1.27,0.07,0.0,0.07,2.34,1.0,1.34,6,1,5,3.66,67.2,74.09,49.89,1.2,0.25,353,22,18,6,15.0,24.0,11.25,6,4,14,4,10,216.8,90.75,27.87,16.84,185.74,91.11,3,PSV 6-1 PEC Zwolle,2026-04-23
AZ,1.75,2.02,-0.27,1.48,1.27,0.21,0.26,0.75,-0.49,1.75,2.02,-0.27,0,0,0,0.27,50.1,53.79,46.26,0.89,0.66,188,18,23,15,25.84,22.73,10.58,7,4,26,10,13,122.4,66.92,58.87,64.83,132.43,75.23,3,Go Ahead Eagles 0-0 AZ,2026-04-23
Go Ahead Eagles,2.02,1.75,0.27,1.27,1.48,-0.21,0.75,0.26,0.49,2.02,1.75,0.27,0,0,0,-0.27,49.9,46.21,45.35,0.66,0.89,161,10,15,23,22.73,25.84,12.48,4,7,26,5,9,60.5,33.08,31.93,35.17,43.6,24.77,0,Go Ahead Eagles 0-0 AZ,2026-04-23
Sparta Rotterdam,0.9,1.88,-0.98,0.89,1.4,-0.51,0.01,0.48,-0.47,0.9,1.88,-0.98,1,4,-3,-2.02,53.4,45.85,49.32,0.97,1.03,218,10,10,11,10.31,10.68,10.38,6,2,20,5,9,57.2,38.21,35.93,41.59,39.8,28.36,0,Telstar 4-1 Sparta Rotterdam,2026-04-22
Telstar,1.88,0.9,0.98,1.4,0.89,0.51,0.48,0.01,0.47,1.88,0.9,0.98,4,1,3,2.02,46.6,54.15,48.82,1.03,0.97,194,17,11,10,10.68,10.31,11.84,2,6,22,6,14,92.5,61.79,50.47,58.41,100.54,71.64,1,Telstar 4-1 Sparta Rotterdam,2026-04-22
Heerenveen,0.58,2.91,-2.33,0.51,2.12,-1.61,0.07,0.79,-0.72,0.58,2.91,-2.33,0,3,-3,-0.67,42.3,42.03,44.63,0.74,0.71,157,18,7,23,9.46,32.39,18.83,5,3,10,6,10,56.4,26.34,70.73,74.41,22.24,8.13,1,AZ 3-0 Heerenveen,2026-04-12
AZ,2.91,0.58,2.33,2.12,0.51,1.61,0.79,0.07,0.72,2.91,0.58,2.33,3,0,3,0.67,57.7,57.97,46.69,0.71,0.74,237,20,23,7,32.39,9.46,15.27,3,5,8,6,5,157.7,73.66,24.33,25.59,251.19,91.87,0,AZ 3-0 Heerenveen,2026-04-12
Excelsior,2.71,2.48,0.23,2.65,1.89,0.76,0.06,0.6,-0.54,2.71,2.48,0.23,2,2,0,-0.23,51.5,51.89,44.67,0.6,0.53,189,9,16,15,26.67,28.3,11.0,6,5,14,2,13,107.6,61.17,46.73,47.72,113.5,55.59,4,PEC Zwolle 2-2 Excelsior,2026-04-12
