Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Werder Bremen,2.00,1.41,0.59,0.50,1.41,-0.91,0.74,0.00,0.74,1.24,1.41,-0.17,1,1,0,-0.59,52.80,46.12,41.79,0.38,0.62,146,12,9,9,23.68,14.52,9.23,4,7,22,7,10,72.6,41.94,33.93,44.3,71.9,36.89,2,RB Leipzig 1-1 Werder Bremen,2026-04-25
RB Leipzig,1.41,2.00,-0.59,1.41,0.50,0.91,0.00,0.74,-0.74,1.41,1.24,0.17,1,1,0,0.59,47.20,53.88,43.96,0.62,0.38,151,16,9,9,14.52,23.68,10.15,7,4,14,4,17,100.5,58.06,42.67,55.7,123.03,63.11,4,RB Leipzig 1-1 Werder Bremen,2026-04-25
Carl Zeiss Jena,1.94,3.46,-1.52,1.90,3.46,-1.56,0.04,0.00,0.04,1.94,3.46,-1.52,3,4,-1,0.52,51.30,44.73,42.05,0.54,1.42,163,7,16,15,29.63,10.56,10.76,8,7,14,2,12,70.8,38.0,25.07,33.4,43.8,19.08,0,SGS Essen 4-3 Carl Zeiss Jena,2026-04-25
SGS Essen,3.46,1.94,1.52,3.46,1.90,1.56,0.00,0.04,-0.04,3.46,1.94,1.52,4,3,1,-0.52,48.70,55.27,45.20,1.42,0.54,188,18,15,16,10.56,29.63,11.38,7,8,15,4,10,115.5,62.0,50.0,66.6,185.72,80.92,2,SGS Essen 4-3 Carl Zeiss Jena,2026-04-25
Hamburger SV,0.96,0.4,0.56,0.75,0.4,0.35,0.21,0.0,0.21,0.96,0.4,0.56,1,0,1,0.44,64.7,58.75,44.7,1.08,0.35,176,16,14,7,12.96,20.0,6.91,1,1,16,7,9,145.6,81.89,3.0,3.85,102.83,65.72,0,Nürnberg 0-1 Hamburger SV,2026-04-24
Nürnberg,0.4,0.96,-0.56,0.4,0.75,-0.35,0.0,0.21,-0.21,0.4,0.96,-0.56,0,1,-1,-0.44,35.3,41.25,45.66,0.35,1.08,108,5,7,14,20.0,12.96,11.11,1,1,6,1,17,32.2,18.11,75.0,96.15,53.63,34.28,2,Nürnberg 0-1 Hamburger SV,2026-04-24
Bayern München,2.1,0.89,1.21,1.67,0.89,0.78,0.43,0.0,0.43,2.1,0.89,1.21,3,2,1,-0.21,67.7,72.7,48.99,0.98,0.36,315,18,27,4,27.55,11.11,7.14,10,6,24,13,9,230.9,94.71,7.33,4.73,155.5,69.58,0,Union Berlin 2-3 Bayern München,2026-04-22
Union Berlin,0.89,2.1,-1.21,0.89,1.67,-0.78,0.0,0.43,-0.43,0.89,2.1,-1.21,2,3,-1,0.21,32.3,27.3,41.59,0.36,0.98,99,2,4,27,11.11,27.55,18.3,6,10,8,3,7,12.9,5.29,147.6,95.27,67.97,30.42,0,Union Berlin 2-3 Bayern München,2026-04-22
Wolfsburg,0.77,1.21,-0.44,0.77,1.14,-0.37,0.0,0.07,-0.07,0.77,1.21,-0.44,0,0,0,0.44,64.1,53.28,40.61,0.54,0.46,198,9,9,14,16.67,30.43,8.3,3,13,19,5,12,78.4,48.16,7.2,4.74,47.47,19.92,2,Werder Bremen 0-0 Wolfsburg,2026-04-22
Werder Bremen,1.21,0.77,0.44,1.14,0.77,0.37,0.07,0.0,0.07,1.21,0.77,0.44,0,0,0,-0.44,35.9,46.72,44.62,0.46,0.54,139,9,14,9,30.43,16.67,15.84,13,3,14,1,11,84.4,51.84,144.6,95.26,190.87,80.08,1,Werder Bremen 0-0 Wolfsburg,2026-04-22
