Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Châteauroux,0.83,2.24,-1.41,0.83,1.85,-1.02,0.00,0.39,-0.39,0.83,2.24,-1.41,0,4,-4,-2.59,52.50,41.11,38.40,0.22,0.59,139,1,3,16,13.64,27.12,12.15,2,9,7,0,10,35.1,21.56,22.07,21.61,11.65,3.58,0,Versailles 4-0 Châteauroux,2026-04-17
Versailles,2.24,0.83,1.41,1.85,0.83,1.02,0.39,0.00,0.39,2.24,0.83,1.41,4,0,4,2.59,47.50,58.89,46.32,0.59,0.22,204,12,16,3,27.12,13.64,8.49,9,2,12,6,25,127.7,78.44,80.07,78.39,313.46,96.42,0,Versailles 4-0 Châteauroux,2026-04-17
Le Puy Foot,0.40,1.30,-0.90,0.38,1.30,-0.92,0.01,0.00,0.01,0.40,1.30,-0.90,0,0,0,0.90,51.30,52.59,41.19,0.49,0.54,179,12,6,11,12.24,20.37,15.24,3,3,20,6,14,67.9,53.76,35.8,37.66,59.93,44.78,1,Quevilly-Rouen Métropole 0-0 Le Puy Foot,2026-04-17
Quevilly-Rouen Métropole,1.30,0.40,0.90,1.30,0.38,0.92,0.00,0.01,-0.01,1.30,0.40,0.90,0,0,0,-0.90,48.70,47.41,41.60,0.54,0.49,178,9,11,6,20.37,12.24,12.30,3,3,14,2,17,58.4,46.24,59.27,62.34,73.9,55.22,1,Quevilly-Rouen Métropole 0-0 Le Puy Foot,2026-04-17
Valenciennes,0.87,2.06,-1.19,0.70,2.06,-1.36,0.17,0.00,0.17,0.87,2.06,-1.19,0,2,-2,-0.81,56.20,60.2,48.56,1.14,0.45,237,14,13,10,11.4,22.22,11.96,3,7,32,8,8,107.3,74.62,32.0,39.09,83.33,65.65,0,Fleury 2-0 Valenciennes,2026-04-17
Fleury,2.06,0.87,1.19,2.06,0.70,1.36,0.00,0.17,-0.17,2.06,0.87,1.19,2,0,2,0.81,43.80,39.8,43.57,0.45,1.14,140,8,10,13,22.22,11.4,11.45,7,3,6,2,13,36.5,25.38,49.87,60.91,43.6,34.35,0,Fleury 2-0 Valenciennes,2026-04-17
Caen,2.27,0.92,1.35,1.98,0.69,1.29,0.28,0.24,0.04,2.27,0.92,1.35,2,0,2,0.65,53.10,44.12,39.42,0.57,1.02,157,12,9,9,15.79,8.82,11.88,1,8,13,4,13,57.8,41.05,31.73,28.05,56.87,41.75,2,Bourg-Péronnas 0-2 Caen,2026-04-17
Bourg-Péronnas,0.92,2.27,-1.35,0.69,1.98,-1.29,0.24,0.28,-0.04,0.92,2.27,-1.35,0,2,-2,-0.65,46.90,55.88,47.17,1.02,0.57,191,9,9,9,8.82,15.79,10.53,8,1,19,4,13,83.0,58.95,81.4,71.95,79.33,58.25,0,Bourg-Péronnas 0-2 Caen,2026-04-17
Sochaux,1.23,1.06,0.17,0.91,1.06,-0.15,0.32,0.00,0.32,1.23,1.06,0.17,0,0,0,-0.17,38.50,40.58,43.98,0.74,1.16,121,12,11,10,14.86,8.62,11.31,6,7,18,6,11,55.2,37.0,73.8,89.78,80.9,59.84,0,Dijon 0-0 Sochaux,2026-04-17
Dijon,1.06,1.23,-0.17,1.06,0.91,0.15,0.00,0.32,-0.32,1.06,1.23,-0.17,0,0,0,0.17,61.50,59.42,45.83,1.16,0.74,213,13,10,11,8.62,14.86,6.63,7,6,18,3,12,94.0,63.0,8.4,10.22,54.3,40.16,6,Dijon 0-0 Sochaux,2026-04-17
Rouen,0.46,1.77,-1.31,0.36,1.57,-1.21,0.10,0.20,-0.10,0.46,1.77,-1.31,0,0,0,1.31,54.20,53.08,43.83,0.43,0.59,185,12,6,17,13.95,28.81,11.29,7,4,19,8,12,69.5,47.51,23.2,29.1,53.23,36.19,2,Concarneau 0-0 Rouen,2026-04-17
Concarneau,1.77,0.46,1.31,1.57,0.36,1.21,0.20,0.10,0.10,1.77,0.46,1.31,0,0,0,-1.31,45.80,46.92,45.78,0.59,0.43,163,17,17,6,28.81,13.95,19.67,4,7,13,4,10,76.8,52.49,56.53,70.9,93.87,63.81,2,Concarneau 0-0 Rouen,2026-04-17
Orléans,3.68,0.54,3.14,2.12,0.54,1.58,0.04,0.00,0.04,2.16,0.54,1.62,2,0,2,-1.14,60.10,71.43,52.49,1.44,0.48,261,20,20,8,13.89,16.67,6.90,10,3,20,5,12,213.3,90.96,20.07,31.23,204.23,86.25,1,Aubagne 0-2 Orléans,2026-04-17
Aubagne,0.54,3.68,-3.14,0.54,2.12,-1.58,0.00,0.04,-0.04,0.54,2.16,-1.62,0,2,-2,1.14,39.90,28.57,37.74,0.48,1.44,88,13,8,20,16.67,13.89,12.22,3,10,10,1,15,21.2,9.04,44.2,68.77,32.57,13.75,1,Aubagne 0-2 Orléans,2026-04-17
Versailles,0.94,1.29,-0.35,0.88,1.29,-0.41,0.06,0.00,0.06,0.94,1.29,-0.35,0,1,-1,-0.65,48.20,49.81,44.74,0.77,0.77,167,12,12,13,15.58,16.88,13.41,3,1,25,9,8,60.6,48.52,51.13,66.18,81.97,55.52,1,Valenciennes 1-0 Versailles,2026-04-10
