Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Chennaiyin,0.99,1.65,-0.66,0.66,1.65,-0.99,0.33,0.00,0.33,0.99,1.65,-0.66,1,4,-3,-2.34,48.60,38.46,37.34,0.31,1.18,108,5,9,20,29.03,16.95,10.21,2,4,13,3,15,38.4,22.44,23.0,25.65,7.49,2.93,1,Jamshedpur 4-1 Chennaiyin,2026-04-25
Jamshedpur,1.65,0.99,0.66,1.65,0.66,0.99,0.00,0.33,-0.33,1.65,0.99,0.66,4,1,3,2.34,51.40,61.54,49.80,1.18,0.31,182,23,20,9,16.95,29.03,11.34,4,2,22,5,10,132.7,77.56,66.67,74.35,247.86,97.07,2,Jamshedpur 4-1 Chennaiyin,2026-04-25
Mumbai City,0.68,0.53,0.15,0.68,0.50,0.18,0.00,0.03,-0.03,0.68,0.53,0.15,0,0,0,-0.15,35.60,38.36,41.44,0.14,0.43,119,4,11,10,78.57,23.26,15.45,3,6,11,1,10,40.6,30.53,105.47,86.31,75.73,66.12,2,Bengaluru 0-0 Mumbai City,2026-04-25
Bengaluru,0.53,0.68,-0.15,0.50,0.68,-0.18,0.03,0.00,0.03,0.53,0.68,-0.15,0,0,0,0.15,64.40,61.64,44.21,0.43,0.14,209,7,10,11,23.26,78.57,8.97,6,3,34,7,8,92.4,69.47,16.73,13.69,38.8,33.88,1,Bengaluru 0-0 Mumbai City,2026-04-25
Goa,0.95,0.29,0.66,0.88,0.29,0.59,0.07,0.0,0.07,0.95,0.29,0.66,2,0,2,1.34,55.0,62.76,49.89,0.22,0.26,186,4,11,4,50.0,15.38,7.94,3,6,18,8,9,96.5,80.28,26.0,39.71,96.8,80.82,2,NorthEast United 0-2 Goa,2026-04-24
NorthEast United,0.29,0.95,-0.66,0.29,0.88,-0.59,0.0,0.07,-0.07,0.29,0.95,-0.66,0,2,-2,-1.34,45.0,37.24,41.42,0.26,0.22,101,8,4,11,15.38,50.0,11.15,6,3,10,6,20,23.7,19.72,39.47,60.29,22.97,19.18,4,NorthEast United 0-2 Goa,2026-04-24
Odisha,0.72,1.69,-0.97,0.54,1.51,-0.97,0.19,0.19,0.0,0.72,1.69,-0.97,1,2,-1,-0.03,51.2,48.21,43.67,0.36,0.64,122,12,11,15,30.56,23.44,14.89,1,1,16,7,7,67.1,38.74,26.53,35.31,46.97,29.45,0,Kerala Blasters 2-1 Odisha,2026-04-23
Kerala Blasters,1.69,0.72,0.97,1.51,0.54,0.97,0.19,0.19,0.0,1.69,0.72,0.97,2,1,1,0.03,48.8,51.79,48.13,0.64,0.36,154,13,15,11,23.44,30.56,17.0,1,1,12,4,7,106.1,61.26,48.6,64.69,112.53,70.55,0,Kerala Blasters 2-1 Odisha,2026-04-23
Mohammedan,0.51,0.69,-0.18,0.44,0.67,-0.23,0.07,0.03,0.04,0.51,0.69,-0.18,0,0,0,0.18,29.7,35.69,48.39,0.42,1.62,103,7,9,17,21.43,10.49,37.31,1,2,21,6,4,27.5,18.06,126.87,92.38,63.4,58.87,1,Chennaiyin 0-0 Mohammedan,2026-04-21
Chennaiyin,0.69,0.51,0.18,0.67,0.44,0.23,0.03,0.07,-0.04,0.69,0.51,0.18,0,0,0,-0.18,70.3,64.31,48.65,1.62,0.42,264,18,17,9,10.49,21.43,10.88,2,1,20,9,9,124.8,81.94,10.47,7.62,44.3,41.13,0,Chennaiyin 0-0 Mohammedan,2026-04-21
Inter Kashi,0.22,2.35,-2.13,0.21,1.81,-1.6,0.01,0.54,-0.53,0.22,2.35,-2.13,0,3,-3,-0.87,49.1,42.56,41.47,0.34,0.6,144,5,7,14,20.59,23.33,12.69,4,6,15,2,8,26.6,22.24,49.07,56.57,28.04,15.03,0,Punjab 3-0 Inter Kashi,2026-04-20
