Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Yokohama,2.37,0.37,2.00,0.70,0.28,0.42,0.16,0.09,0.07,0.85,0.37,0.48,3,1,2,0.00,67.50,56.03,48.75,0.07,0.31,180,6,14,7,200.0,22.58,5.36,4,1,15,8,8,102.4,75.35,7.67,8.03,57.53,59.99,0,Blaublitz Akita 1-3 Yokohama,2026-04-19
Blaublitz Akita,0.37,2.37,-2.00,0.28,0.70,-0.42,0.09,0.16,-0.07,0.37,0.85,-0.48,1,3,-2,0.00,32.50,43.97,53.42,0.31,0.07,97,9,7,14,22.58,200.0,12.58,1,4,9,1,18,33.5,24.65,87.8,91.97,38.37,40.01,10,Blaublitz Akita 1-3 Yokohama,2026-04-19
Giravanz Kitakyushu,1.74,0.44,1.30,1.60,0.34,1.26,0.14,0.10,0.04,1.74,0.44,1.30,2,0,2,0.70,48.00,51.97,48.24,0.67,0.78,191,14,11,8,16.42,10.26,13.38,5,0,12,5,8,87.0,48.31,60.0,63.42,115.6,65.09,0,Ryūkyū 0-2 Giravanz Kitakyushu,2026-04-18
Ryūkyū,0.44,1.74,-1.30,0.34,1.60,-1.26,0.10,0.14,-0.04,0.44,1.74,-1.30,0,2,-2,-0.70,52.00,48.03,42.55,0.78,0.67,163,11,8,11,10.26,16.42,22.93,0,5,14,4,8,93.1,51.69,34.6,36.58,62.0,34.91,1,Ryūkyū 0-2 Giravanz Kitakyushu,2026-04-18
Zweigen Kanazawa,0.79,0.97,-0.18,0.79,0.95,-0.16,0.00,0.03,-0.03,0.79,0.97,-0.18,1,2,-1,-0.82,44.60,58.94,54.46,0.57,0.44,279,12,8,7,14.04,15.91,15.32,1,3,25,5,14,125.3,70.39,75.13,68.42,142.27,76.5,4,Tokushima Vortis 2-1 Zweigen Kanazawa,2026-04-18
Tokushima Vortis,0.97,0.79,0.18,0.95,0.79,0.16,0.03,0.00,0.03,0.97,0.79,0.18,2,1,1,0.82,55.40,41.06,45.50,0.44,0.57,213,9,7,8,15.91,14.04,13.00,3,1,20,4,9,52.7,29.61,34.67,31.58,43.7,23.5,0,Tokushima Vortis 2-1 Zweigen Kanazawa,2026-04-18
Kamatamare Sanuki,0.64,0.63,0.01,0.42,0.32,0.10,0.22,0.31,-0.09,0.64,0.63,0.01,1,1,0,-0.01,29.50,47.35,51.98,0.25,0.67,137,9,8,9,32.0,13.43,20.60,5,1,15,3,12,50.8,35.85,176.67,96.23,177.17,92.18,6,Nara Club 1-1 Kamatamare Sanuki,2026-04-18
Nara Club,0.63,0.64,-0.01,0.32,0.42,-0.10,0.31,0.22,0.09,0.63,0.64,-0.01,1,1,0,0.01,70.50,52.65,43.85,0.67,0.25,249,15,9,8,13.43,32.0,6.76,1,5,21,7,10,90.9,64.15,6.93,3.77,15.03,7.82,0,Nara Club 1-1 Kamatamare Sanuki,2026-04-18
Imabari,0.40,0.49,-0.09,0.36,0.38,-0.02,0.05,0.11,-0.06,0.40,0.49,-0.09,0,1,-1,-0.91,49.70,41.62,43.71,0.78,0.48,177,7,14,7,17.95,14.58,18.42,4,3,26,9,6,81.1,43.58,66.67,54.67,72.8,40.69,1,Albirex Niigata 1-0 Imabari,2026-04-18
Albirex Niigata,0.49,0.40,0.09,0.38,0.36,0.02,0.11,0.05,0.06,0.49,0.40,0.09,1,0,1,0.91,50.30,58.38,47.93,0.48,0.78,214,10,7,14,14.58,17.95,16.91,3,4,25,4,7,105.0,56.42,55.27,45.33,106.1,59.31,0,Albirex Niigata 1-0 Imabari,2026-04-18
Fujieda MYFC,1.15,1.25,-0.10,1.14,1.18,-0.04,0.01,0.08,-0.07,1.15,1.25,-0.10,1,0,1,1.10,46.80,39.29,40.98,0.58,0.77,120,13,13,9,22.41,11.69,15.14,1,1,10,5,12,61.4,41.21,51.73,56.23,61.27,51.76,3,Ventforet Kofu 0-1 Fujieda MYFC,2026-04-18
Ventforet Kofu,1.25,1.15,0.10,1.18,1.14,0.04,0.08,0.01,0.07,1.25,1.15,0.10,0,1,-1,-1.10,53.20,60.71,48.85,0.77,0.58,210,9,9,13,11.69,22.41,10.26,1,1,20,2,14,87.6,58.79,40.27,43.77,57.1,48.24,1,Ventforet Kofu 0-1 Fujieda MYFC,2026-04-18
Thespa Gunma,1.71,2.17,-0.46,0.81,1.99,-1.18,0.89,0.18,0.71,1.71,2.17,-0.46,2,1,1,1.46,56.60,47.35,44.60,0.58,1.0,237,12,16,15,27.59,15.0,18.89,2,3,16,3,9,110.0,47.89,19.27,14.82,67.67,26.45,0,Shonan Bellmare 1-2 Thespa Gunma,2026-04-18
Shonan Bellmare,2.17,1.71,0.46,1.99,0.81,1.18,0.18,0.89,-0.71,2.17,1.71,0.46,1,2,-1,-1.46,43.40,52.65,47.02,1.0,0.58,197,12,15,16,15.0,27.59,26.78,3,2,10,6,5,119.7,52.11,110.73,85.18,188.13,73.55,0,Shonan Bellmare 1-2 Thespa Gunma,2026-04-18
Tochigi City,0.16,3.08,-2.92,0.16,2.13,-1.97,0.00,0.19,-0.19,0.16,2.32,-2.16,0,5,-5,-2.08,53.30,44.94,42.95,0.35,0.81,164,4,3,21,8.57,25.93,9.76,8,12,10,2,12,26.2,17.65,16.87,18.19,2.1,0.94,0,Vegalta Sendai 5-0 Tochigi City,2026-04-18
Vegalta Sendai,3.08,0.16,2.92,2.13,0.16,1.97,0.19,0.00,0.19,2.32,0.16,2.16,5,0,5,2.08,46.70,55.06,46.02,0.81,0.35,181,8,21,3,25.93,8.57,11.03,12,8,25,7,10,122.2,82.35,75.87,81.81,221.35,99.06,5,Vegalta Sendai 5-0 Tochigi City,2026-04-18
Kagoshima United,0.65,1.12,-0.47,0.43,1.12,-0.69,0.22,0.00,0.22,0.65,1.12,-0.47,1,2,-1,-0.53,57.10,62.31,53.01,0.31,0.83,196,12,11,7,35.48,8.43,7.62,3,3,33,10,14,114.3,82.17,19.13,33.02,81.56,48.81,6,Renofa Yamaguchi 2-1 Kagoshima United,2026-04-18
Renofa Yamaguchi,1.12,0.65,0.47,1.12,0.43,0.69,0.00,0.22,-0.22,1.12,0.65,0.47,2,1,1,0.53,42.90,37.69,45.99,0.83,0.31,111,13,7,11,8.43,35.48,10.96,3,3,8,1,15,24.8,17.83,38.8,66.98,85.54,51.19,1,Renofa Yamaguchi 2-1 Kagoshima United,2026-04-18
