Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Anyang,1.41,1.12,0.29,1.41,1.05,0.36,0.00,0.07,-0.07,1.41,1.12,0.29,1,0,1,0.71,40.50,35.89,46.41,0.56,1.42,163,6,8,12,14.29,8.45,11.03,4,4,10,3,18,51.0,25.64,73.33,70.02,43.07,33.31,2,Pohang Steelers 0-1 Anyang,2026-04-19
Pohang Steelers,1.12,1.41,-0.29,1.05,1.41,-0.36,0.07,0.00,0.07,1.12,1.41,-0.29,0,1,-1,-0.71,59.50,64.11,50.67,1.42,0.56,266,19,12,8,8.45,14.29,8.51,4,4,25,4,9,147.9,74.36,31.4,29.98,86.23,66.69,0,Pohang Steelers 0-1 Anyang,2026-04-19
Gwangju,0.82,5.02,-4.20,0.82,3.08,-2.26,0.00,0.42,-0.42,0.82,3.50,-2.68,1,5,-4,0.20,51.70,58.84,48.89,1.13,1.78,217,16,8,17,7.08,9.55,10.97,5,7,16,2,16,96.7,51.41,72.27,64.18,90.27,48.57,0,Ulsan HD 5-1 Gwangju,2026-04-19
Ulsan HD,5.02,0.82,4.20,3.08,0.82,2.26,0.42,0.00,0.42,3.50,0.82,2.68,5,1,4,-0.20,48.30,41.16,41.66,1.78,1.13,147,16,17,8,9.55,7.08,12.33,7,5,18,3,7,91.4,48.59,40.33,35.82,95.57,51.43,0,Ulsan HD 5-1 Gwangju,2026-04-19
Incheon United,1.03,1.06,-0.03,0.77,1.06,-0.29,0.26,0.00,0.26,1.03,1.06,-0.03,2,2,0,0.03,53.90,35.9,40.57,0.56,0.63,133,15,13,14,23.21,22.22,10.90,1,7,17,5,13,56.5,31.03,35.2,32.37,57.0,34.46,1,Bucheon 1995 2-2 Incheon United,2026-04-18
Bucheon 1995,1.06,1.03,0.03,1.06,0.77,0.29,0.00,0.26,-0.26,1.06,1.03,0.03,2,2,0,-0.03,46.10,64.1,51.57,0.63,0.56,222,8,14,13,22.22,23.21,13.09,7,1,18,2,11,125.6,68.97,73.53,67.63,108.43,65.54,2,Bucheon 1995 2-2 Incheon United,2026-04-18
Gimcheon Sangmu,0.69,1.03,-0.34,0.66,1.03,-0.37,0.02,0.00,0.02,0.69,1.03,-0.34,1,1,0,0.34,64.50,66.4,45.28,0.5,0.81,257,8,6,7,12.0,8.64,6.62,6,3,15,4,23,83.8,74.22,5.4,4.62,38.17,30.59,0,Jeju FC 1-1 Gimcheon Sangmu,2026-04-18
Jeju FC,1.03,0.69,0.34,1.03,0.66,0.37,0.00,0.02,-0.02,1.03,0.69,0.34,1,1,0,-0.34,35.50,33.6,42.58,0.81,0.5,121,7,7,6,8.64,12.0,11.91,3,6,10,1,17,29.1,25.78,111.53,95.38,86.6,69.41,1,Jeju FC 1-1 Gimcheon Sangmu,2026-04-18
Daejeon Hana Citizen,1.91,2.03,-0.12,1.85,1.91,-0.06,0.06,0.12,-0.06,1.91,2.03,-0.12,1,0,1,1.12,41.00,41.04,44.42,0.85,1.35,147,11,9,13,10.59,9.63,13.75,6,8,15,6,18,40.1,27.22,75.53,77.66,71.17,60.04,2,Seoul 0-1 Daejeon Hana Citizen,2026-04-18
Seoul,2.03,1.91,0.12,1.91,1.85,0.06,0.12,0.06,0.06,2.03,1.91,0.12,0,1,-1,-1.12,59.00,58.96,46.49,1.35,0.85,224,16,13,9,9.63,10.59,9.18,8,6,22,5,2,107.2,72.78,21.73,22.34,47.37,39.96,1,Seoul 0-1 Daejeon Hana Citizen,2026-04-18
Jeonbuk Motors,4.56,1.61,2.95,3.89,1.19,2.70,0.66,0.42,0.24,4.56,1.61,2.95,1,1,0,-2.95,59.20,48.23,42.84,0.87,0.29,170,16,17,11,19.54,37.93,7.48,3,12,20,5,13,95.9,51.89,24.2,21.45,63.5,36.94,1,Gangwon 1-1 Jeonbuk Motors,2026-04-18
Gangwon,1.61,4.56,-2.95,1.19,3.89,-2.70,0.42,0.66,-0.24,1.61,4.56,-2.95,1,1,0,2.95,40.80,51.77,53.09,0.29,0.87,187,6,11,17,37.93,19.54,8.77,12,3,20,5,19,88.9,48.11,88.6,78.55,108.4,63.06,1,Gangwon 1-1 Jeonbuk Motors,2026-04-18
