Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Levante,3.15,1.44,1.71,1.54,1.38,0.16,0.09,0.05,0.04,1.63,1.44,0.19,1,2,-1,-2.71,65.40,63.24,49.15,1.86,0.63,246,22,20,12,10.75,19.05,6.06,9,4,44,10,12,154.5,79.89,5.53,5.88,95.33,51.57,4,Eibar 2-1 Levante,2026-04-25
Eibar,1.44,3.15,-1.71,1.38,1.54,-0.16,0.05,0.09,-0.04,1.44,1.63,-0.19,2,1,1,2.71,34.60,36.76,44.45,0.63,1.86,107,9,12,20,19.05,10.75,13.70,4,9,9,3,12,38.9,20.11,88.53,94.12,89.53,48.43,0,Eibar 2-1 Levante,2026-04-25
Atlético Madrid,1.55,1.93,-0.38,1.55,1.90,-0.35,0.00,0.03,-0.03,1.55,1.93,-0.38,4,2,2,2.38,39.40,35.93,39.36,0.5,0.41,104,11,10,10,20.0,24.39,12.94,3,8,10,4,12,32.6,26.63,76.4,82.98,87.17,65.64,1,Badalona 2-4 Atlético Madrid,2026-04-25
Badalona,1.93,1.55,0.38,1.90,1.55,0.35,0.03,0.00,0.03,1.93,1.55,0.38,2,4,-2,-2.38,60.60,64.07,46.80,0.41,0.5,250,9,10,10,24.39,20.0,8.57,8,3,18,4,11,89.8,73.37,15.67,17.02,45.63,34.36,0,Badalona 2-4 Atlético Madrid,2026-04-25
Granada,1.12,1.71,-0.59,0.67,1.19,-0.52,0.45,0.52,-0.07,1.12,1.71,-0.59,2,1,1,1.59,43.40,24.76,36.20,0.31,1.15,104,7,9,20,29.03,17.39,18.57,3,9,5,4,4,33.4,13.94,60.47,64.6,72.4,37.02,0,Athletic Club 1-2 Granada,2026-04-25
Athletic Club,1.71,1.12,0.59,1.19,0.67,0.52,0.52,0.45,0.07,1.71,1.12,0.59,1,2,-1,-1.59,56.60,75.24,48.95,1.15,0.31,264,17,20,9,17.39,29.03,13.24,9,3,43,13,11,206.2,86.06,33.13,35.4,123.17,62.98,2,Athletic Club 1-2 Granada,2026-04-25
Barcelona,3.28,0.98,2.3,3.28,0.22,3.06,0.0,0.0,0.0,3.28,0.22,3.06,4,1,3,0.7,81.4,79.55,49.65,1.49,0.18,424,25,20,3,13.42,16.67,5.54,3,5,12,2,6,312.9,98.74,0.0,0.0,139.47,74.65,0,Espanyol 1-4 Barcelona,2026-04-22
Espanyol,0.98,3.28,-2.3,0.22,3.28,-3.06,0.0,0.0,0.0,0.22,3.28,-3.06,1,4,-3,-0.7,18.6,20.45,41.96,0.18,1.49,73,3,3,20,16.67,13.42,19.42,5,3,13,3,14,4.0,1.26,231.8,100.0,47.37,25.35,2,Espanyol 1-4 Barcelona,2026-04-22
Badalona,0.87,4.02,-3.15,0.87,2.39,-1.52,0.0,0.87,-0.87,0.87,3.26,-2.39,0,6,-6,-2.85,34.4,15.92,35.9,0.11,1.23,87,5,5,22,45.45,17.89,16.55,2,7,7,1,13,29.5,7.91,90.4,86.65,30.77,5.27,0,Barcelona 6-0 Badalona,2026-04-06
Barcelona,4.02,0.87,3.15,2.39,0.87,1.52,0.87,0.0,0.87,3.26,0.87,2.39,6,0,6,2.85,65.6,84.08,57.35,1.23,0.11,371,26,22,5,17.89,45.45,8.8,7,2,24,9,7,343.6,92.09,13.93,13.35,553.25,94.73,1,Barcelona 6-0 Badalona,2026-04-06
Real Madrid,0.67,0.51,0.16,0.67,0.51,0.16,0.0,0.0,0.0,0.67,0.51,0.16,2,0,2,1.84,52.8,60.08,45.61,0.38,0.55,182,7,9,11,23.68,20.0,8.11,7,10,8,1,16,107.8,72.11,25.13,32.33,107.33,68.44,1,Madrid 0-2 Real Madrid,2026-04-05
Madrid,0.51,0.67,-0.16,0.51,0.67,-0.16,0.0,0.0,0.0,0.51,0.67,-0.16,0,2,-2,-1.84,47.2,39.92,45.06,0.55,0.38,144,8,11,9,20.0,23.68,6.52,10,7,15,1,14,41.7,27.89,52.6,67.67,49.5,31.56,1,Madrid 0-2 Real Madrid,2026-04-05
Athletic Club,1.8,0.88,0.92,1.75,0.88,0.87,0.06,0.0,0.06,1.8,0.88,0.92,1,0,1,0.08,66.4,65.62,46.94,1.22,0.28,273,10,12,9,9.84,32.14,9.96,3,5,22,6,13,155.1,93.15,5.53,4.36,88.83,59.31,2,Levante 0-1 Athletic Club,2026-04-05
Levante,0.88,1.8,-0.92,0.88,1.75,-0.87,0.0,0.06,-0.06,0.88,1.8,-0.92,0,1,-1,-0.08,33.6,34.38,42.86,0.28,1.22,113,5,9,12,32.14,9.84,11.97,5,3,11,0,12,11.4,6.85,121.33,95.64,60.93,40.69,5,Levante 0-1 Athletic Club,2026-04-05
Deportivo La Coruña,0.95,2.57,-1.62,0.84,2.51,-1.67,0.11,0.06,0.05,0.95,2.57,-1.62,0,2,-2,-0.38,47.6,33.82,42.05,0.44,1.04,154,8,11,15,25.0,14.42,12.86,4,7,12,2,9,53.9,26.33,65.53,73.3,38.33,20.22,0,Atlético Madrid 2-0 Deportivo La Coruña,2026-04-05
Atlético Madrid,2.57,0.95,1.62,2.51,0.84,1.67,0.06,0.11,-0.05,2.57,0.95,1.62,2,0,2,0.38,52.4,66.18,46.73,1.04,0.44,229,16,15,11,14.42,25.0,11.06,7,4,20,4,9,150.8,73.67,23.87,26.7,151.23,79.78,0,Atlético Madrid 2-0 Deportivo La Coruña,2026-04-05
Espanyol,1.66,1.88,-0.22,1.5,1.73,-0.23,0.16,0.15,0.01,1.66,1.88,-0.22,0,2,-2,-1.78,40.4,58.91,47.71,0.58,1.25,177,15,13,13,22.41,10.4,20.41,2,8,25,9,9,96.8,51.46,119.13,91.13,162.53,67.44,4,Granada 2-0 Espanyol,2026-04-04
Granada,1.88,1.66,0.22,1.73,1.5,0.23,0.15,0.16,-0.01,1.88,1.66,0.22,2,0,2,1.78,59.6,41.09,39.41,1.25,0.58,142,15,13,13,10.4,22.41,11.25,8,2,15,4,9,91.3,48.54,11.6,8.87,78.47,32.56,2,Granada 2-0 Espanyol,2026-04-04
Sevilla,1.03,1.64,-0.61,0.95,0.88,0.07,0.07,0.0,0.07,1.03,0.88,0.15,1,2,-1,-0.39,65.7,54.9,44.59,0.47,0.63,201,9,16,8,34.04,12.7,6.25,5,1,11,2,13,86.1,64.79,1.07,1.04,26.57,19.63,1,Logroño 2-1 Sevilla,2026-04-04
Logroño,1.64,1.03,0.61,0.88,0.95,-0.07,0.0,0.07,-0.07,0.88,1.03,-0.15,2,1,1,0.39,34.3,45.1,48.97,0.63,0.47,126,15,8,16,12.7,34.04,12.6,1,5,13,5,15,46.8,35.21,101.6,98.96,108.8,80.37,4,Logroño 2-1 Sevilla,2026-04-04
Real Sociedad,2.8,0.4,2.4,1.78,0.32,1.46,0.26,0.09,0.17,2.04,0.4,1.64,5,1,4,1.6,77.0,77.08,50.16,0.66,0.3,322,26,18,5,27.27,16.67,8.61,1,2,26,8,7,225.9,93.31,2.0,1.24,111.97,81.89,9,Alhama 1-5 Real Sociedad,2026-04-04
Alhama,0.4,2.8,-2.4,0.32,1.78,-1.46,0.09,0.26,-0.17,0.4,2.04,-1.64,1,5,-4,-1.6,23.0,22.92,46.01,0.3,0.66,72,9,5,18,16.67,27.27,21.86,2,1,16,2,10,16.2,6.69,158.8,98.76,24.77,18.11,2,Alhama 1-5 Real Sociedad,2026-04-04
