Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Zalaegerszeg,1.34,2.39,-1.05,1.28,2.37,-1.09,0.06,0.02,0.04,1.34,2.39,-1.05,1,2,-1,0.05,63.70,63.69,48.90,1.04,0.59,279,21,14,13,13.46,22.03,13.84,4,3,14,5,4,153.3,78.86,18.0,15.61,105.67,53.65,3,Nyíregyháza Spartacus 2-1 Zalaegerszeg,2026-04-25
Nyíregyháza Spartacus,2.39,1.34,1.05,2.37,1.28,1.09,0.02,0.06,-0.04,2.39,1.34,1.05,2,1,1,-0.05,36.30,36.31,43.80,0.59,1.04,134,9,13,14,22.03,13.46,14.71,3,4,18,5,14,41.1,21.14,97.33,84.39,91.3,46.35,2,Nyíregyháza Spartacus 2-1 Zalaegerszeg,2026-04-25
Újpest,1.19,2.73,-1.54,1.17,2.41,-1.24,0.02,0.33,-0.31,1.19,2.73,-1.54,0,2,-2,-0.46,65.20,46.33,42.91,0.64,1.03,170,10,12,22,18.75,21.36,5.55,2,6,13,4,8,57.6,35.14,1.73,1.61,27.2,10.12,3,Puskás 2-0 Újpest,2026-04-25
Puskás,2.73,1.19,1.54,2.41,1.17,1.24,0.33,0.02,0.31,2.73,1.19,1.54,2,0,2,0.46,34.80,53.67,54.00,1.03,0.64,153,24,22,12,21.36,18.75,9.49,6,2,28,5,23,106.3,64.86,105.4,98.39,241.7,89.88,4,Puskás 2-0 Újpest,2026-04-25
Diósgyőr,2.27,1.73,0.54,1.50,1.73,-0.23,0.01,0.00,0.01,1.51,1.73,-0.22,2,1,1,0.46,37.60,33.77,43.56,0.25,0.31,137,5,10,10,40.0,32.26,13.81,7,4,9,2,15,33.6,19.4,79.8,69.76,59.63,39.76,0,Kisvárda 1-2 Diósgyőr,2026-04-25
Kisvárda,1.73,2.27,-0.54,1.73,1.50,0.23,0.00,0.01,-0.01,1.73,1.51,0.22,1,2,-1,-0.46,62.40,66.23,50.32,0.31,0.25,289,4,10,10,32.26,40.0,10.37,4,7,17,2,10,139.6,80.6,34.6,30.24,90.33,60.24,3,Kisvárda 1-2 Diósgyőr,2026-04-25
MTK,1.59,1.09,0.5,1.44,0.85,0.59,0.15,0.24,-0.09,1.59,1.09,0.5,0,0,0,-0.5,68.9,75.72,51.84,1.06,0.28,349,16,18,9,16.98,32.14,5.22,8,3,22,6,15,204.8,87.41,2.33,1.78,121.9,62.52,0,Kazincbarcika 0-0 MTK,2026-04-24
Kazincbarcika,1.09,1.59,-0.5,0.85,1.44,-0.59,0.24,0.15,0.09,1.09,1.59,-0.5,0,0,0,0.5,31.1,24.28,40.67,0.28,1.06,88,9,9,18,32.14,16.98,19.92,3,8,12,4,13,29.5,12.59,128.8,98.22,73.07,37.48,2,Kazincbarcika 0-0 MTK,2026-04-24
Ferencváros,2.78,1.64,1.14,2.4,0.89,1.51,0.37,0.75,-0.38,2.78,1.64,1.14,0,1,-1,-2.14,47.9,36.11,42.94,0.5,0.87,139,13,16,13,32.0,14.94,12.12,3,9,23,6,15,68.9,32.97,45.13,46.05,65.43,30.82,1,Győri ETO 1-0 Ferencváros,2026-04-19
Győri ETO,1.64,2.78,-1.14,0.89,2.4,-1.51,0.75,0.37,0.38,1.64,2.78,-1.14,1,0,1,2.14,52.1,63.89,50.83,0.87,0.5,217,17,13,16,14.94,32.0,10.72,9,3,26,6,4,140.1,67.03,52.87,53.95,146.87,69.18,1,Győri ETO 1-0 Ferencváros,2026-04-19
Puskás,2.43,1.65,0.78,2.27,0.66,1.61,0.16,0.23,-0.07,2.43,0.89,1.54,0,1,-1,-1.78,59.5,52.87,47.05,1.27,0.64,195,17,17,9,13.39,14.06,8.32,1,4,26,6,18,134.8,74.23,20.4,17.05,72.1,48.37,2,Paks 1-0 Puskás,2026-04-19
Paks,1.65,2.43,-0.78,0.66,2.27,-1.61,0.23,0.16,0.07,0.89,2.43,-1.54,1,0,1,1.78,40.5,47.13,49.53,0.64,1.27,154,6,9,17,14.06,13.39,11.3,4,1,19,4,10,46.8,25.77,99.27,82.95,76.97,51.63,1,Paks 1-0 Puskás,2026-04-19
Debrecen,1.98,0.9,1.08,1.8,0.9,0.9,0.18,0.0,0.18,1.98,0.9,1.08,5,0,5,3.92,49.6,48.68,46.41,0.68,0.4,177,13,17,13,25.0,32.5,8.93,7,11,14,4,12,82.2,53.87,48.93,55.69,97.2,53.26,0,Diósgyőr 0-5 Debrecen,2026-04-18
Diósgyőr,0.9,1.98,-1.08,0.9,1.8,-0.9,0.0,0.18,-0.18,0.9,1.98,-1.08,0,5,-5,-3.92,50.4,51.32,42.86,0.4,0.68,150,12,13,17,32.5,25.0,8.13,11,7,18,1,18,70.4,46.13,38.93,44.31,85.3,46.74,1,Diósgyőr 0-5 Debrecen,2026-04-18
Kisvárda,0.67,3.08,-2.41,0.61,2.79,-2.18,0.06,0.29,-0.23,0.67,3.08,-2.41,1,2,-1,1.41,47.2,44.41,46.25,0.5,0.92,198,11,8,22,16.0,23.91,10.71,7,6,22,7,9,52.8,24.56,58.0,58.27,38.87,18.79,3,MTK 2-1 Kisvárda,2026-04-18
MTK,3.08,0.67,2.41,2.79,0.61,2.18,0.29,0.06,0.23,3.08,0.67,2.41,2,1,1,-1.41,52.8,55.59,48.16,0.92,0.5,242,21,22,8,23.91,16.0,13.03,6,7,16,5,9,162.2,75.44,41.53,41.73,168.0,81.21,3,MTK 2-1 Kisvárda,2026-04-18
