Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
San Diego Wave,1.14,1.40,-0.26,0.77,1.40,-0.63,0.37,0.00,0.37,1.14,1.40,-0.26,3,2,1,1.26,56.50,46.51,40.76,0.29,0.58,163,7,9,9,31.03,15.52,13.13,1,4,13,4,9,52.7,41.93,29.67,25.11,31.23,15.75,0,Denver Summit 2-3 San Diego Wave,2026-04-25
Denver Summit,1.40,1.14,0.26,1.40,0.77,0.63,0.00,0.37,-0.37,1.40,1.14,0.26,2,3,-1,-1.26,43.50,53.49,46.00,0.58,0.29,179,13,9,9,15.52,31.03,15.61,4,1,8,2,12,73.0,58.07,88.47,74.89,167.1,84.25,4,Denver Summit 2-3 San Diego Wave,2026-04-25
North Carolina Courage,1.76,1.31,0.45,1.69,0.84,0.85,0.07,0.47,-0.40,1.76,1.31,0.45,1,0,1,0.55,47.30,40.0,49.69,0.42,1.52,243,11,16,16,38.1,10.53,15.50,4,8,14,2,9,119.8,37.55,38.0,56.55,123.37,46.2,1,Houston Dash 0-1 North Carolina Courage,2026-04-25
Houston Dash,1.31,1.76,-0.45,0.84,1.69,-0.85,0.47,0.07,0.40,1.31,1.76,-0.45,0,1,-1,-0.55,52.70,60.0,49.96,1.52,0.42,269,26,16,16,10.53,38.1,12.96,8,4,33,9,8,199.2,62.45,29.2,43.45,143.67,53.8,0,Houston Dash 0-1 North Carolina Courage,2026-04-25
Boston Legacy,3.39,0.98,2.41,2.80,0.38,2.42,0.59,0.61,-0.02,3.39,0.98,2.41,0,2,-2,-4.41,57.90,66.89,52.63,1.59,0.2,246,34,27,6,16.98,30.0,12.55,5,1,30,9,8,206.7,88.75,16.33,30.17,159.9,75.42,1,Chicago Stars 2-0 Boston Legacy,2026-04-25
Chicago Stars,0.98,3.39,-2.41,0.38,2.80,-2.42,0.61,0.59,0.02,0.98,3.39,-2.41,2,0,2,4.41,42.10,33.11,42.90,0.2,1.59,118,5,6,27,30.0,16.98,12.92,1,5,8,2,11,26.2,11.25,37.8,69.83,52.1,24.58,0,Chicago Stars 2-0 Boston Legacy,2026-04-25
Bay FC,0.79,3.52,-2.73,0.79,2.76,-1.97,0.00,0.00,0.00,0.79,2.76,-1.97,0,3,-3,-0.27,41.70,38.05,43.34,0.37,1.5,155,2,3,26,8.11,17.33,15.28,6,9,10,2,14,27.1,11.09,75.0,75.91,34.4,15.57,1,Gotham FC 3-0 Bay FC,2026-04-25
Gotham FC,3.52,0.79,2.73,2.76,0.79,1.97,0.00,0.00,0.00,2.76,0.79,1.97,3,0,3,0.27,58.30,61.95,45.75,1.5,0.37,225,28,26,3,17.33,8.11,10.39,9,6,18,3,8,217.2,88.91,23.8,24.09,186.5,84.43,1,Gotham FC 3-0 Bay FC,2026-04-25
Kansas City Current,0.75,2.47,-1.72,0.75,2.33,-1.58,0.0,0.14,-0.14,0.75,2.47,-1.72,0,4,-4,-2.28,43.4,44.55,48.43,0.45,0.49,171,11,8,17,17.78,34.69,8.09,7,8,11,3,13,52.2,29.85,53.4,78.38,46.27,19.46,2,Washington Spirit 4-0 Kansas City Current,2026-04-24
Washington Spirit,2.47,0.75,1.72,2.33,0.75,1.58,0.14,0.0,0.14,2.47,0.75,1.72,4,0,4,2.28,56.6,55.45,47.71,0.49,0.45,213,9,17,8,34.69,17.78,6.67,8,7,11,4,17,122.7,70.15,14.73,21.62,191.51,80.54,0,Washington Spirit 4-0 Kansas City Current,2026-04-24
Orlando Pride,3.8,1.52,2.28,3.12,1.13,1.99,0.69,0.39,0.3,3.8,1.52,2.28,2,3,-1,-3.28,62.1,62.62,49.29,1.71,0.46,239,19,27,11,15.79,23.91,8.46,4,4,26,9,7,182.2,81.05,17.0,19.77,139.0,55.62,2,Racing Louisville 3-2 Orlando Pride,2026-04-24
Racing Louisville,1.52,3.8,-2.28,1.13,3.12,-1.99,0.39,0.69,-0.3,1.52,3.8,-2.28,3,2,1,3.28,37.9,37.38,47.0,0.46,1.71,133,9,11,27,23.91,15.79,12.5,4,4,15,5,9,42.6,18.95,69.0,80.23,110.9,44.38,0,Racing Louisville 3-2 Orlando Pride,2026-04-24
Washington Spirit,2.97,0.39,2.58,2.51,0.34,2.17,0.46,0.05,0.41,2.97,0.39,2.58,2,0,2,-0.58,61.7,72.3,48.24,1.29,0.22,241,22,21,6,16.28,27.27,7.88,10,4,13,12,11,202.6,87.78,13.2,13.44,160.0,71.3,1,Bay FC 0-2 Washington Spirit,2026-04-05
Bay FC,0.39,2.97,-2.58,0.34,2.51,-2.17,0.05,0.46,-0.41,0.39,2.97,-2.58,0,2,-2,0.58,38.3,27.7,40.94,0.22,1.29,98,3,6,21,27.27,16.28,20.5,4,10,6,3,5,28.2,12.22,85.0,86.56,64.4,28.7,1,Bay FC 0-2 Washington Spirit,2026-04-05
Denver Summit,0.94,1.67,-0.73,0.81,1.67,-0.86,0.13,0.0,0.13,0.94,1.67,-0.73,0,0,0,0.73,53.4,63.21,49.22,0.66,0.61,234,20,18,12,27.27,19.67,18.53,4,5,25,8,9,163.2,76.12,56.13,58.51,166.53,81.34,3,Seattle Reign 0-0 Denver Summit,2026-04-04
Seattle Reign,1.67,0.94,0.73,1.67,0.81,0.86,0.0,0.13,-0.13,1.67,0.94,0.73,0,0,0,-0.73,46.6,36.79,40.11,0.61,0.66,133,11,12,18,19.67,27.27,13.8,5,4,15,6,5,51.2,23.88,39.8,41.49,38.2,18.66,1,Seattle Reign 0-0 Denver Summit,2026-04-04
Portland Thorns,2.37,1.71,0.66,2.29,1.24,1.05,0.08,0.47,-0.39,2.37,1.71,0.66,2,2,0,-0.66,40.9,40.6,43.29,0.55,1.18,135,12,16,12,29.09,10.17,14.21,6,5,19,4,8,66.4,37.62,89.47,82.79,114.03,62.18,1,North Carolina Courage 2-2 Portland Thorns,2026-04-04
North Carolina Courage,1.71,2.37,-0.66,1.24,2.29,-1.05,0.47,0.08,0.39,1.71,2.37,-0.66,2,2,0,0.66,59.1,59.4,47.11,1.18,0.55,236,22,12,16,10.17,29.09,14.14,5,6,17,7,9,110.1,62.38,18.6,17.21,69.37,37.82,0,North Carolina Courage 2-2 Portland Thorns,2026-04-04
Gotham FC,1.39,1.8,-0.41,1.23,1.24,-0.01,0.16,0.56,-0.4,1.39,1.8,-0.41,1,2,-1,-0.59,62.8,59.48,48.17,1.08,1.69,286,16,15,14,13.89,8.28,9.61,7,7,26,3,9,158.0,66.16,8.8,6.62,95.5,42.6,0,Kansas City Current 2-1 Gotham FC,2026-04-04
Kansas City Current,1.8,1.39,0.41,1.24,1.23,0.01,0.56,0.16,0.4,1.8,1.39,0.41,2,1,1,0.59,37.2,40.52,49.65,1.69,1.08,163,13,14,15,8.28,13.89,17.0,7,7,18,8,6,80.8,33.84,124.2,93.38,128.7,57.4,1,Kansas City Current 2-1 Gotham FC,2026-04-04
Chicago Stars,0.24,3.29,-3.05,0.24,1.12,-0.88,0.0,1.41,-1.41,0.24,2.53,-2.29,0,1,-1,2.05,38.6,24.14,36.37,0.29,0.86,72,4,3,27,10.34,31.4,16.63,2,9,10,1,6,12.0,4.82,22.0,40.34,12.37,4.61,0,Utah Royals 1-0 Chicago Stars,2026-04-03
Utah Royals,3.29,0.24,3.05,1.12,0.24,0.88,1.41,0.0,1.41,2.53,0.24,2.29,1,0,1,-2.05,61.4,75.86,51.45,0.86,0.29,229,20,27,3,31.4,10.34,7.65,9,2,28,14,11,237.1,95.18,32.53,59.66,256.2,95.39,1,Utah Royals 1-0 Chicago Stars,2026-04-03
Racing Louisville,2.71,3.44,-0.73,1.19,1.82,-0.63,0.0,0.1,-0.1,1.19,1.92,-0.73,3,4,-1,-0.27,54.1,50.17,49.05,0.43,0.78,199,9,8,24,18.6,30.77,10.38,3,12,20,3,10,71.4,31.25,11.13,23.06,67.97,28.2,0,Houston Dash 4-3 Racing Louisville,2026-04-03
Houston Dash,3.44,2.71,0.73,1.82,1.19,0.63,0.1,0.0,0.1,1.92,1.19,0.73,4,3,1,0.27,45.9,49.83,52.31,0.78,0.43,187,16,24,8,30.77,18.6,9.53,12,3,12,5,14,157.1,68.75,37.13,76.94,173.07,71.8,0,Houston Dash 4-3 Racing Louisville,2026-04-03
Angel City,1.19,2.95,-1.76,1.15,1.86,-0.71,0.04,1.09,-1.05,1.19,2.95,-1.76,1,2,-1,0.76,61.7,54.94,43.08,0.42,0.95,180,9,15,17,35.71,17.89,9.21,5,4,19,3,9,59.1,37.5,9.87,8.42,30.0,15.22,4,Orlando Pride 2-1 Angel City,2026-04-03
Orlando Pride,2.95,1.19,1.76,1.86,1.15,0.71,1.09,0.04,1.05,2.95,1.19,1.76,2,1,1,-0.76,38.3,45.06,45.25,0.95,0.42,108,12,17,15,17.89,35.71,19.5,4,5,16,5,12,98.5,62.5,107.4,91.58,167.13,84.78,1,Orlando Pride 2-1 Angel City,2026-04-03
San Diego Wave,0.36,0.42,-0.06,0.36,0.36,0.0,0.0,0.07,-0.07,0.36,0.42,-0.06,1,0,1,1.06,53.5,59.6,46.21,0.49,0.44,209,13,8,8,16.33,18.18,8.4,11,13,18,3,13,116.5,71.25,40.0,34.86,109.73,63.06,0,Boston Legacy 0-1 San Diego Wave,2026-04-03
Boston Legacy,0.42,0.36,0.06,0.36,0.36,0.0,0.07,0.0,0.07,0.42,0.36,0.06,0,1,-1,-1.06,46.5,40.4,43.02,0.44,0.49,156,7,8,8,18.18,16.33,7.57,13,11,13,1,19,47.0,28.75,74.73,65.14,64.27,36.94,0,Boston Legacy 0-1 San Diego Wave,2026-04-03
Orlando Pride,0.82,1.03,-0.21,0.77,1.0,-0.23,0.05,0.03,0.02,0.82,1.03,-0.21,0,0,0,0.21,39.6,32.23,42.68,0.26,0.66,123,5,11,10,42.31,15.15,12.77,7,6,9,1,11,52.7,30.46,81.8,86.17,79.1,50.34,0,Gotham FC 0-0 Orlando Pride,2026-03-29
Gotham FC,1.03,0.82,0.21,1.0,0.77,0.23,0.03,0.05,-0.02,1.03,0.82,0.21,0,0,0,-0.21,60.4,67.77,48.03,0.66,0.26,258,14,10,11,15.15,42.31,8.33,6,7,24,11,15,120.3,69.54,13.13,13.83,78.03,49.66,0,Gotham FC 0-0 Orlando Pride,2026-03-29
Chicago Stars,0.07,1.99,-1.92,0.07,1.91,-1.84,0.0,0.08,-0.08,0.07,1.99,-1.92,0,2,-2,-0.08,41.9,22.68,40.04,0.16,1.35,122,2,2,20,12.5,14.81,18.38,2,7,4,0,12,16.7,5.5,47.6,47.79,13.33,3.87,2,San Diego Wave 2-0 Chicago Stars,2026-03-28
San Diego Wave,1.99,0.07,1.92,1.91,0.07,1.84,0.08,0.0,0.08,1.99,0.07,1.92,2,0,2,0.08,58.1,77.32,53.0,1.35,0.16,288,27,20,2,14.81,12.5,9.44,7,2,20,4,10,287.0,94.5,52.0,52.21,330.97,96.13,0,San Diego Wave 2-0 Chicago Stars,2026-03-28
Bay FC,1.81,1.82,-0.01,1.71,1.37,0.34,0.11,0.45,-0.34,1.81,1.82,-0.01,3,1,2,2.01,48.8,51.75,43.47,0.53,0.86,176,9,14,13,26.42,15.12,10.1,13,9,11,4,11,81.8,57.77,59.93,57.44,142.57,80.14,1,North Carolina Courage 1-3 Bay FC,2026-03-28
North Carolina Courage,1.82,1.81,0.01,1.37,1.71,-0.34,0.45,0.11,0.34,1.82,1.81,0.01,1,3,-2,-2.01,51.2,48.25,44.65,0.86,0.53,188,15,13,14,15.12,26.42,9.66,9,13,15,4,12,59.8,42.23,44.4,42.56,35.33,19.86,0,North Carolina Courage 1-3 Bay FC,2026-03-28
Racing Louisville,1.66,0.75,0.91,1.63,0.75,0.88,0.02,0.0,0.02,1.66,0.75,0.91,1,2,-1,-1.91,43.8,53.02,46.77,0.95,0.25,151,19,19,6,20.0,24.0,14.03,5,5,14,2,11,112.5,71.7,95.53,85.86,125.37,67.34,2,Seattle Reign 2-1 Racing Louisville,2026-03-28
Seattle Reign,0.75,1.66,-0.91,0.75,1.63,-0.88,0.0,0.02,-0.02,0.75,1.66,-0.91,2,1,1,1.91,56.2,46.98,37.75,0.25,0.95,136,3,6,19,24.0,20.0,9.3,5,5,6,1,10,44.4,28.3,15.73,14.14,60.8,32.66,0,Seattle Reign 2-1 Racing Louisville,2026-03-28
Kansas City Current,0.83,2.74,-1.91,0.73,1.96,-1.23,0.1,0.02,0.08,0.83,1.98,-1.15,0,2,-2,-0.09,41.7,48.35,46.68,0.6,0.65,158,12,6,18,10.0,27.69,12.88,2,8,18,6,13,57.4,29.36,87.73,78.43,70.33,33.22,0,Portland Thorns 2-0 Kansas City Current,2026-03-28
Portland Thorns,2.74,0.83,1.91,1.96,0.73,1.23,0.02,0.1,-0.08,1.98,0.83,1.15,2,0,2,0.09,58.3,51.65,45.83,0.65,0.6,217,12,18,6,27.69,10.0,8.55,8,2,15,3,10,138.1,70.64,24.13,21.57,141.4,66.78,1,Portland Thorns 2-0 Kansas City Current,2026-03-28
Washington Spirit,0.93,1.56,-0.63,0.91,0.99,-0.08,0.02,0.57,-0.55,0.93,1.56,-0.63,0,0,0,0.63,53.9,67.0,49.43,0.25,0.34,252,11,10,9,40.0,26.47,12.42,9,8,12,4,10,126.1,72.68,34.47,43.89,113.07,72.0,0,Denver Summit 0-0 Washington Spirit,2026-03-28
Denver Summit,1.56,0.93,0.63,0.99,0.91,0.08,0.57,0.02,0.55,1.56,0.93,0.63,0,0,0,-0.63,46.1,33.0,40.24,0.34,0.25,135,11,9,10,26.47,40.0,11.15,8,9,14,3,7,47.4,27.32,44.07,56.11,43.97,28.0,0,Denver Summit 0-0 Washington Spirit,2026-03-28
Utah Royals,1.48,1.32,0.16,0.58,1.29,-0.71,0.13,0.04,0.09,0.72,1.32,-0.6,2,1,1,0.84,39.0,41.37,46.3,0.2,0.57,122,6,7,11,35.0,19.3,6.27,12,5,9,3,15,45.5,27.43,72.73,84.91,78.77,63.45,0,Boston Legacy 1-2 Utah Royals,2026-03-28
Boston Legacy,1.32,1.48,-0.16,1.29,0.58,0.71,0.04,0.13,-0.09,1.32,0.72,0.6,1,2,-1,-0.84,61.0,58.63,47.55,0.57,0.2,206,9,11,7,19.3,35.0,4.67,5,12,13,4,25,120.4,72.57,12.93,15.09,45.37,36.55,1,Boston Legacy 1-2 Utah Royals,2026-03-28
Houston Dash,1.71,1.09,0.62,1.49,1.08,0.41,0.22,0.02,0.2,1.71,1.09,0.62,1,2,-1,-1.62,49.2,64.71,53.23,0.71,0.18,205,14,15,9,21.13,50.0,7.21,8,5,17,7,12,162.0,70.59,50.93,68.45,178.7,75.17,0,Angel City 2-1 Houston Dash,2026-03-27
Angel City,1.09,1.71,-0.62,1.08,1.49,-0.41,0.02,0.22,-0.2,1.09,1.71,-0.62,2,1,1,1.62,50.8,35.29,40.96,0.18,0.71,139,7,9,15,50.0,21.13,6.53,5,8,8,3,21,67.5,29.41,23.47,31.55,59.03,24.83,4,Angel City 2-1 Houston Dash,2026-03-27
Portland Thorns,1.91,3.21,-1.3,1.61,3.07,-1.46,0.3,0.14,0.16,1.91,3.21,-1.3,1,3,-2,-0.7,36.1,41.7,46.73,0.15,0.49,161,12,16,18,106.67,36.73,13.44,8,9,16,6,14,75.9,34.25,167.53,91.75,134.43,58.77,0,San Diego Wave 3-1 Portland Thorns,2026-03-25
San Diego Wave,3.21,1.91,1.3,3.07,1.61,1.46,0.14,0.3,-0.16,3.21,1.91,1.3,3,1,2,0.7,63.9,58.3,43.68,0.49,0.15,213,17,18,16,36.73,106.67,8.53,9,8,15,3,9,145.7,65.75,15.07,8.25,94.3,41.23,0,San Diego Wave 3-1 Portland Thorns,2026-03-25
Kansas City Current,0.35,1.67,-1.32,0.35,1.63,-1.28,0.0,0.04,-0.04,0.35,1.67,-1.32,0,3,-3,-1.68,46.1,52.92,46.36,0.36,0.58,185,5,6,15,16.67,25.86,12.77,5,7,13,4,10,47.6,30.93,105.73,71.38,61.28,22.92,2,Seattle Reign 3-0 Kansas City Current,2026-03-25
Seattle Reign,1.67,0.35,1.32,1.63,0.35,1.28,0.04,0.0,0.04,1.67,0.35,1.32,3,0,3,1.68,53.9,47.08,39.4,0.58,0.36,142,6,15,6,25.86,16.67,8.68,7,5,11,1,15,106.3,69.07,42.4,28.62,206.09,77.08,1,Seattle Reign 3-0 Kansas City Current,2026-03-25
Orlando Pride,1.99,0.36,1.63,1.57,0.36,1.21,0.42,0.0,0.42,1.99,0.36,1.63,3,0,3,1.37,47.7,58.51,46.97,0.61,0.32,200,10,11,8,18.03,25.0,7.7,12,1,15,4,19,103.9,66.09,77.93,70.59,184.27,89.46,0,Chicago Stars 0-3 Orlando Pride,2026-03-25
Chicago Stars,0.36,1.99,-1.63,0.36,1.57,-1.21,0.0,0.42,-0.42,0.36,1.99,-1.63,0,3,-3,-1.37,52.3,41.49,39.82,0.32,0.61,151,8,8,11,25.0,18.03,10.09,1,12,10,4,16,53.3,33.91,32.47,29.41,21.7,10.54,0,Chicago Stars 0-3 Orlando Pride,2026-03-25
Utah Royals,2.2,3.1,-0.9,1.72,2.34,-0.62,0.48,0.76,-0.28,2.2,3.1,-0.9,1,1,0,0.9,49.5,50.19,48.43,0.89,0.89,174,17,18,16,20.22,17.98,6.49,11,5,22,4,7,77.4,48.22,31.07,45.11,54.57,36.24,2,Washington Spirit 1-1 Utah Royals,2026-03-25
