Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Saint-Étienne,0.78,1.03,-0.25,0.78,0.95,-0.17,0.00,0.08,-0.08,0.78,1.03,-0.25,0,1,-1,-0.75,50.90,57.43,48.16,0.44,1.02,200,9,10,12,22.73,11.76,10.31,5,2,22,8,9,42.2,38.89,16.67,27.9,38.07,24.23,2,Montpellier 1-0 Saint-Étienne,2026-04-25
Montpellier,1.03,0.78,0.25,0.95,0.78,0.17,0.08,0.00,0.08,1.03,0.78,0.25,1,0,1,0.75,49.10,42.57,43.10,1.02,0.44,123,6,12,10,11.76,22.73,12.08,2,5,9,2,14,66.3,61.11,43.07,72.1,119.07,75.77,0,Montpellier 1-0 Saint-Étienne,2026-04-25
Olympique Marseille,0.38,0.96,-0.58,0.26,0.77,-0.51,0.12,0.20,-0.08,0.38,0.96,-0.58,1,0,1,1.58,59.40,54.57,49.71,0.42,0.54,259,7,9,13,21.43,24.07,8.55,5,5,10,3,12,85.3,55.25,10.73,12.94,56.83,39.43,0,Lens 0-1 Olympique Marseille,2026-04-25
Lens,0.96,0.38,0.58,0.77,0.26,0.51,0.20,0.12,0.08,0.96,0.38,0.58,0,1,-1,-1.58,40.60,45.43,47.34,0.54,0.42,144,11,13,9,24.07,21.43,10.75,5,5,33,9,9,69.1,44.75,72.2,87.06,87.3,60.57,2,Lens 0-1 Olympique Marseille,2026-04-25
Le Havre,2.14,1.19,0.95,2.14,0.58,1.56,0.00,0.61,-0.61,2.14,1.19,0.95,3,2,1,0.05,24.20,25.65,45.43,0.26,0.77,79,4,5,11,19.23,14.29,17.82,2,4,9,2,8,10.3,5.95,172.33,100.0,95.47,68.68,1,Strasbourg 2-3 Le Havre,2026-04-25
Strasbourg,1.19,2.14,-0.95,0.58,2.14,-1.56,0.61,0.00,0.61,1.19,2.14,-0.95,2,3,-1,-0.05,75.80,74.35,50.11,0.77,0.26,346,12,11,5,14.29,19.23,5.39,4,2,33,10,15,162.9,94.05,0.0,0.0,43.53,31.32,1,Strasbourg 2-3 Le Havre,2026-04-25
PSG,1.25,0.51,0.74,1.25,0.49,0.76,0.00,0.02,-0.02,1.25,0.51,0.74,2,0,2,1.26,56.30,62.91,49.65,0.57,0.28,264,11,7,3,12.28,10.71,11.44,9,2,18,6,11,112.4,81.27,38.8,42.42,111.3,81.86,2,Fleury 91 0-2 PSG,2026-04-25
Fleury 91,0.51,1.25,-0.74,0.49,1.25,-0.76,0.02,0.00,0.02,0.51,1.25,-0.74,0,2,-2,-1.26,43.70,37.09,40.24,0.28,0.57,134,6,3,7,10.71,12.28,14.10,2,9,17,5,8,25.9,18.73,52.67,57.58,24.67,18.14,0,Fleury 91 0-2 PSG,2026-04-25
Paris FC,1.68,1.18,0.50,1.68,1.18,0.50,0.00,0.00,0.00,1.68,1.18,0.50,2,1,1,0.50,52.90,58.47,48.50,0.74,0.75,195,13,13,6,17.57,8.0,10.96,5,2,15,3,7,101.4,81.38,39.2,47.08,124.57,80.32,1,Dijon 1-2 Paris FC,2026-04-25
Dijon,1.18,1.68,-0.50,1.18,1.68,-0.50,0.00,0.00,0.00,1.18,1.68,-0.50,1,2,-1,-0.50,47.10,41.53,41.15,0.75,0.74,119,8,6,13,8.0,17.57,13.70,2,5,12,3,6,23.2,18.62,44.07,52.92,30.53,19.68,1,Dijon 1-2 Paris FC,2026-04-25
Paris FC,1.71,0.22,1.49,1.55,0.22,1.33,0.16,0.0,0.16,1.71,0.22,1.49,2,0,2,0.51,68.3,71.43,43.49,0.92,0.07,229,17,16,3,17.39,42.86,6.26,9,4,29,8,8,175.6,90.42,10.93,7.89,92.23,63.15,1,Montpellier 0-2 Paris FC,2026-04-22
