Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Rio Ave,0.57,1.61,-1.04,0.57,1.61,-1.04,0.00,0.00,0.00,0.57,1.61,-1.04,0,2,-2,-0.96,44.60,46.34,42.53,0.38,0.45,150,9,5,11,13.16,24.44,13.62,1,10,16,5,13,63.5,39.94,61.6,63.37,59.4,43.58,0,Vitória Guimarães 2-0 Rio Ave,2026-04-25
Vitória Guimarães,1.61,0.57,1.04,1.61,0.57,1.04,0.00,0.00,0.00,1.61,0.57,1.04,2,0,2,0.96,55.40,53.66,47.34,0.45,0.38,238,9,11,5,24.44,13.16,11.29,10,1,20,3,7,95.5,60.06,35.6,36.63,76.9,56.42,0,Vitória Guimarães 2-0 Rio Ave,2026-04-25
Moreirense,0.78,4.05,-3.27,0.49,3.45,-2.96,0.28,0.60,-0.32,0.78,4.05,-3.27,1,4,-3,0.27,42.60,41.46,42.07,0.43,0.98,131,8,8,18,18.6,18.37,15.21,2,10,7,2,14,57.9,29.51,74.47,59.48,59.8,27.73,0,Benfica 4-1 Moreirense,2026-04-25
Benfica,4.05,0.78,3.27,3.45,0.49,2.96,0.60,0.28,0.32,4.05,0.78,3.27,4,1,3,-0.27,57.40,58.54,46.61,0.98,0.43,233,18,18,8,18.37,18.6,7.36,10,2,15,9,13,138.3,70.49,50.73,40.52,155.82,72.27,0,Benfica 4-1 Moreirense,2026-04-25
Nacional,1.95,1.94,0.01,1.63,1.69,-0.06,0.32,0.25,0.07,1.95,1.94,0.01,2,0,2,1.99,37.70,39.51,49.02,0.18,1.0,151,7,18,22,100.0,22.0,11.12,4,7,19,7,15,38.9,18.65,85.53,94.9,78.9,39.22,2,Tondela 0-2 Nacional,2026-04-25
Tondela,1.94,1.95,-0.01,1.69,1.63,0.06,0.25,0.32,-0.07,1.94,1.95,-0.01,0,2,-2,-1.99,62.30,60.49,48.73,1.0,0.18,245,16,22,18,22.0,100.0,6.32,7,4,24,8,16,169.7,81.35,4.6,5.1,122.27,60.78,3,Tondela 0-2 Nacional,2026-04-25
Arouca,1.37,1.04,0.33,1.3,0.61,0.69,0.07,0.42,-0.35,1.37,1.04,0.33,1,2,-1,-1.33,64.6,63.53,48.31,0.46,0.99,308,7,14,7,30.43,7.07,7.29,6,0,17,3,12,122.0,76.15,11.13,8.19,39.47,30.95,2,Alverca 2-1 Arouca,2026-04-24
Alverca,1.04,1.37,-0.33,0.61,1.3,-0.69,0.42,0.07,0.35,1.04,1.37,-0.33,2,1,1,1.33,35.4,36.47,47.14,0.99,0.46,149,9,7,14,7.07,30.43,36.43,0,6,16,6,8,38.2,23.85,124.73,91.81,88.07,69.05,1,Alverca 2-1 Arouca,2026-04-24
Sporting Braga,0.34,0.67,-0.33,0.19,0.61,-0.42,0.15,0.06,0.09,0.34,0.67,-0.33,1,0,1,1.33,68.5,64.71,49.67,0.3,0.43,398,8,8,7,26.67,16.28,11.88,3,5,12,5,9,126.0,75.9,8.93,4.76,33.63,26.0,0,Casa Pia 0-1 Sporting Braga,2026-04-23
Casa Pia,0.67,0.34,0.33,0.61,0.19,0.42,0.06,0.15,-0.09,0.67,0.34,0.33,0,1,-1,-1.33,31.5,35.29,45.82,0.43,0.3,149,5,7,8,16.28,26.67,23.04,5,3,15,4,9,40.0,24.1,178.8,95.24,95.7,74.0,3,Casa Pia 0-1 Sporting Braga,2026-04-23
Estoril,0.5,1.26,-0.76,0.5,1.12,-0.62,0.0,0.15,-0.15,0.5,1.26,-0.76,0,1,-1,-0.24,57.0,49.8,41.78,0.41,0.65,179,5,4,11,9.76,16.92,7.54,9,6,10,1,12,36.6,29.49,21.93,19.65,10.1,5.97,2,Moreirense 1-0 Estoril,2026-04-20
Moreirense,1.26,0.5,0.76,1.12,0.5,0.62,0.15,0.0,0.15,1.26,0.5,0.76,1,0,1,0.24,43.0,50.2,45.65,0.65,0.41,190,11,11,4,16.92,9.76,14.43,6,9,7,5,14,87.5,70.51,89.67,80.35,159.13,94.03,0,Moreirense 1-0 Estoril,2026-04-20
Famalicão,0.67,1.96,-1.29,0.5,0.77,-0.27,0.16,0.43,-0.27,0.67,1.2,-0.53,2,2,0,1.29,32.0,23.33,39.94,0.31,0.5,123,7,6,10,19.35,20.0,22.12,2,6,8,2,11,55.4,16.18,167.0,80.29,106.63,37.95,3,Sporting Braga 2-2 Famalicão,2026-04-19
Sporting Braga,1.96,0.67,1.29,0.77,0.5,0.27,0.43,0.16,0.27,1.2,0.67,0.53,2,2,0,-1.29,68.0,76.67,53.77,0.5,0.31,470,15,10,6,20.0,19.35,11.11,6,2,17,5,10,287.1,83.82,41.0,19.71,174.33,62.05,1,Sporting Braga 2-2 Famalicão,2026-04-19
