Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Universitatea Cluj,1.23,1.88,-0.65,1.04,1.12,-0.08,0.19,0.00,0.19,1.23,1.12,0.11,0,1,-1,-0.35,54.70,48.69,47.59,0.84,0.6,206,14,12,15,14.29,25.0,9.71,4,3,22,2,12,84.3,40.3,10.73,12.8,52.33,24.65,4,CFR Cluj 1-0 Universitatea Cluj,2026-04-25
CFR Cluj,1.88,1.23,0.65,1.12,1.04,0.08,0.00,0.19,-0.19,1.12,1.23,-0.11,1,0,1,0.35,45.30,51.31,53.41,0.6,0.84,206,17,15,12,25.0,14.29,11.45,3,4,20,7,14,124.9,59.7,73.07,87.2,159.97,75.35,0,CFR Cluj 1-0 Universitatea Cluj,2026-04-25
Oţelul Galați,1.56,0.86,0.70,0.71,0.78,-0.07,0.09,0.08,0.01,0.80,0.86,-0.06,1,1,0,-0.70,45.70,57.51,49.62,0.33,0.73,161,8,8,6,24.24,8.22,8.32,6,3,14,4,19,83.9,64.74,74.87,74.42,112.83,88.89,2,Botoșani 1-1 Oţelul Galați,2026-04-25
Botoșani,0.86,1.56,-0.70,0.78,0.71,0.07,0.08,0.09,-0.01,0.86,0.80,0.06,1,1,0,0.70,54.30,42.49,42.97,0.73,0.33,141,7,6,8,8.22,24.24,7.31,3,6,15,5,13,45.7,35.26,25.73,25.58,14.1,11.11,1,Botoșani 1-1 Oţelul Galați,2026-04-25
Petrolul 52,1.02,4.01,-2.99,0.16,2.91,-2.75,0.86,0.34,0.52,1.02,3.25,-2.23,1,3,-2,0.99,33.9,28.95,42.02,0.24,1.35,110,6,7,21,29.17,15.56,17.33,2,8,9,6,19,29.5,12.54,84.07,89.25,19.34,6.56,1,FCSB 3-1 Petrolul 52,2026-04-24
FCSB,4.01,1.02,2.99,2.91,0.16,2.75,0.34,0.86,-0.52,3.25,1.02,2.23,3,1,2,-0.99,66.1,71.05,49.4,1.35,0.24,286,27,21,7,15.56,29.17,7.24,8,2,17,7,10,205.8,87.46,10.13,10.75,275.42,93.44,0,FCSB 3-1 Petrolul 52,2026-04-24
Csikszereda,0.83,0.79,0.04,0.78,0.72,0.06,0.05,0.07,-0.02,0.83,0.79,0.04,0,0,0,-0.04,49.5,43.99,47.66,0.46,0.55,188,10,13,14,28.26,25.45,13.17,5,1,18,3,11,95.4,44.54,29.8,35.68,67.43,37.01,0,Hermannstadt 0-0 Csikszereda,2026-04-24
Hermannstadt,0.79,0.83,-0.04,0.72,0.78,-0.06,0.07,0.05,0.02,0.79,0.83,-0.04,0,0,0,0.04,50.5,56.01,51.7,0.55,0.46,221,11,14,13,25.45,28.26,10.71,1,5,19,6,10,118.8,55.46,53.73,64.32,114.77,62.99,2,Hermannstadt 0-0 Csikszereda,2026-04-24
FCSB,2.45,1.0,1.45,2.45,1.0,1.45,0.0,0.0,0.0,2.45,1.0,1.45,3,2,1,-0.45,59.3,63.76,51.4,1.27,0.28,296,24,22,6,17.32,21.43,11.54,6,4,22,4,7,199.0,88.25,16.6,14.38,158.4,75.07,0,FCV Farul Constanţa 2-3 FCSB,2026-04-20
FCV Farul Constanţa,1.0,2.45,-1.45,1.0,2.45,-1.45,0.0,0.0,0.0,1.0,2.45,-1.45,2,3,-1,0.45,40.7,36.24,45.83,0.28,1.27,161,5,6,22,21.43,17.32,16.65,4,6,14,4,14,26.5,11.75,98.8,85.62,52.6,24.93,1,FCV Farul Constanţa 2-3 FCSB,2026-04-20
Metaloglobus,2.29,3.45,-1.16,1.97,2.16,-0.19,0.32,0.53,-0.21,2.29,2.69,-0.4,2,3,-1,0.16,33.1,30.66,43.74,0.72,0.8,130,6,7,16,9.72,20.0,16.42,5,4,14,3,9,33.3,17.3,145.73,94.02,66.83,40.07,0,Botoșani 3-2 Metaloglobus,2026-04-20
Botoșani,3.45,2.29,1.16,2.16,1.97,0.19,0.53,0.32,0.21,2.69,2.29,0.4,3,2,1,-0.16,66.9,69.34,48.36,0.8,0.72,299,21,16,7,20.0,9.72,9.9,4,5,14,6,8,159.2,82.7,9.27,5.98,99.97,59.93,0,Botoșani 3-2 Metaloglobus,2026-04-20
Rapid Bucureşti,0.95,1.18,-0.23,0.95,1.01,-0.06,0.0,0.17,-0.17,0.95,1.18,-0.23,0,1,-1,-0.77,51.6,39.64,40.41,0.38,0.52,157,7,6,14,15.79,26.92,14.35,3,11,7,0,12,60.7,27.34,31.47,24.13,28.9,12.27,3,Universitatea Craiova 1-0 Rapid Bucureşti,2026-04-19
Universitatea Craiova,1.18,0.95,0.23,1.01,0.95,0.06,0.17,0.0,0.17,1.18,0.95,0.23,1,0,1,0.77,48.4,60.36,50.66,0.52,0.38,240,7,14,6,26.92,15.79,14.19,11,3,24,4,10,161.3,72.66,98.93,75.87,206.67,87.73,0,Universitatea Craiova 1-0 Rapid Bucureşti,2026-04-19
Hermannstadt,1.08,1.12,-0.04,0.09,0.9,-0.81,0.23,0.23,0.0,0.32,1.12,-0.8,1,1,0,0.04,49.1,47.4,51.41,0.59,0.55,214,8,8,18,13.56,32.73,18.35,4,5,27,9,9,64.6,33.39,62.07,71.62,71.7,39.56,0,Petrolul 52 1-1 Hermannstadt,2026-04-19
Petrolul 52,1.12,1.08,0.04,0.9,0.09,0.81,0.23,0.23,0.0,1.12,0.32,0.8,1,1,0,-0.04,50.9,52.6,51.25,0.55,0.59,233,12,18,8,32.73,13.56,12.23,5,4,32,8,5,128.9,66.61,24.6,28.38,109.53,60.44,2,Petrolul 52 1-1 Hermannstadt,2026-04-19
Universitatea Cluj,0.72,0.61,0.11,0.67,0.45,0.22,0.05,0.16,-0.11,0.72,0.61,0.11,1,2,-1,-1.11,45.2,42.38,48.31,0.57,0.64,203,12,11,10,19.3,15.62,13.59,5,2,13,4,10,76.0,36.19,74.73,66.17,98.5,43.86,0,Dinamo Bucureşti 2-1 Universitatea Cluj,2026-04-18
Dinamo Bucureşti,0.61,0.72,-0.11,0.45,0.67,-0.22,0.16,0.05,0.11,0.61,0.72,-0.11,2,1,1,1.11,54.8,57.62,48.37,0.64,0.57,249,11,10,11,15.62,19.3,13.23,2,5,17,4,10,134.0,63.81,38.2,33.83,126.07,56.14,0,Dinamo Bucureşti 2-1 Universitatea Cluj,2026-04-18
