Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Al Riyadh,3.24,2.19,1.05,2.36,0.59,1.77,0.13,0.84,-0.71,2.48,1.43,1.05,1,2,-1,-2.05,54.40,54.22,46.07,0.88,0.9,188,11,18,14,20.45,15.56,9.16,6,4,20,6,12,104.1,60.28,32.2,40.11,93.47,58.13,1,Al Hazem 2-1 Al Riyadh,2026-04-24
Al Hazem,2.19,3.24,-1.05,0.59,2.36,-1.77,0.84,0.13,0.71,1.43,2.48,-1.05,2,1,1,2.05,45.60,45.78,49.19,0.9,0.88,172,9,14,18,15.56,20.45,13.68,4,6,18,7,9,68.6,39.72,48.07,59.89,67.33,41.87,0,Al Hazem 2-1 Al Riyadh,2026-04-24
Al Khaleej,0.66,1.42,-0.76,0.66,0.79,-0.13,0.00,0.64,-0.64,0.66,1.42,-0.76,0,1,-1,-0.24,55.10,49.68,48.47,0.56,0.51,191,15,8,13,14.29,25.49,7.71,3,4,29,2,14,56.1,37.47,40.6,43.07,62.13,32.59,0,Al Fateh 1-0 Al Khaleej,2026-04-24
Al Fateh,1.42,0.66,0.76,0.79,0.66,0.13,0.64,0.00,0.64,1.42,0.66,0.76,1,0,1,0.24,44.90,50.32,52.58,0.51,0.56,190,8,13,8,25.49,14.29,10.23,4,3,17,3,13,93.6,62.53,53.67,56.93,128.5,67.41,1,Al Fateh 1-0 Al Khaleej,2026-04-24
Al Okhdood,0.77,1.71,-0.94,0.72,1.34,-0.62,0.05,0.37,-0.32,0.77,1.71,-0.94,0,2,-2,-1.06,52.3,53.16,49.12,0.62,0.55,223,9,14,14,22.58,25.45,13.81,4,6,14,4,10,115.7,59.03,47.8,43.74,81.23,48.47,0,Damac 2-0 Al Okhdood,2026-04-23
Damac,1.71,0.77,0.94,1.34,0.72,0.62,0.37,0.05,0.32,1.71,0.77,0.94,2,0,2,1.06,47.7,46.84,44.49,0.55,0.62,172,10,14,14,25.45,22.58,8.71,6,4,18,4,18,80.3,40.97,61.47,56.26,86.37,51.53,0,Damac 2-0 Al Okhdood,2026-04-23
Al Taawoun,1.44,1.16,0.28,1.38,1.14,0.24,0.06,0.02,0.04,1.44,1.16,0.28,2,1,1,0.72,52.5,52.73,49.07,0.56,0.77,230,6,17,8,30.36,10.39,10.27,6,10,8,2,10,137.6,64.45,28.93,27.21,76.77,46.3,1,Al Najma 1-2 Al Taawoun,2026-04-23
Al Najma,1.16,1.44,-0.28,1.14,1.38,-0.24,0.02,0.06,-0.04,1.16,1.44,-0.28,1,2,-1,-0.72,47.5,47.27,52.38,0.77,0.56,255,9,8,17,10.39,30.36,11.42,10,6,17,5,14,75.9,35.55,77.4,72.79,89.03,53.7,0,Al Najma 1-2 Al Taawoun,2026-04-23
Al Ettifaq,1.17,3.27,-2.1,1.17,3.01,-1.84,0.0,0.26,-0.26,1.17,3.27,-2.1,0,1,-1,1.1,44.3,28.38,41.37,0.39,0.74,108,4,7,20,17.95,27.03,23.62,1,5,7,0,6,22.5,9.08,37.07,46.45,18.03,6.15,0,Al Nassr 1-0 Al Ettifaq,2026-04-15
Al Nassr,3.27,1.17,2.1,3.01,1.17,1.84,0.26,0.0,0.26,3.27,1.17,2.1,1,0,1,-1.1,55.7,71.62,55.47,0.74,0.39,299,20,20,7,27.03,17.95,10.12,5,1,23,9,14,225.2,90.92,42.73,53.55,275.2,93.85,1,Al Nassr 1-0 Al Ettifaq,2026-04-15
Al Shabab,2.84,3.5,-0.66,2.84,3.22,-0.38,0.0,0.28,-0.28,2.84,3.5,-0.66,2,2,0,0.66,35.8,20.33,42.42,0.71,2.04,126,11,12,26,16.9,12.75,19.74,3,12,6,4,8,15.9,5.09,91.67,81.27,33.47,11.83,0,Al-Qadsiah 2-2 Al Shabab,2026-04-14
Al-Qadsiah,3.5,2.84,0.66,3.22,2.84,0.38,0.28,0.0,0.28,3.5,2.84,0.66,2,2,0,-0.66,64.2,79.67,58.46,2.04,0.71,430,42,26,12,12.75,16.9,7.97,12,3,35,13,8,296.4,94.91,21.13,18.73,249.43,88.17,1,Al-Qadsiah 2-2 Al Shabab,2026-04-14
Al Nassr,4.08,0.16,3.92,3.58,0.1,3.48,0.5,0.06,0.44,4.08,0.16,3.92,2,0,2,-1.92,63.9,69.82,48.56,1.02,0.3,276,17,20,5,19.61,16.67,8.43,6,3,14,6,13,190.7,96.56,5.87,5.7,151.3,87.57,0,Al Okhdood 0-2 Al Nassr,2026-04-11
Al Okhdood,0.16,4.08,-3.92,0.1,3.58,-3.48,0.06,0.5,-0.44,0.16,4.08,-3.92,0,2,-2,1.92,36.1,30.18,41.9,0.3,1.02,109,5,5,20,16.67,19.61,18.04,3,6,9,2,6,6.8,3.44,97.13,94.3,21.47,12.43,1,Al Okhdood 0-2 Al Nassr,2026-04-11
Al Fayha,1.71,1.95,-0.24,1.1,1.94,-0.84,0.61,0.02,0.59,1.71,1.95,-0.24,0,2,-2,-1.76,54.8,55.13,44.96,0.71,0.22,197,17,15,16,21.13,72.73,12.71,3,6,25,10,13,106.3,52.47,26.6,24.17,79.3,33.05,5,Al Hazem 2-0 Al Fayha,2026-04-11
Al Hazem,1.95,1.71,0.24,1.94,1.1,0.84,0.02,0.61,-0.59,1.95,1.71,0.24,2,0,2,1.76,45.2,44.87,47.55,0.22,0.71,163,5,16,15,72.73,21.13,15.5,6,3,8,2,8,96.3,47.53,83.47,75.83,160.67,66.95,0,Al Hazem 2-0 Al Fayha,2026-04-11
Al Kholood,1.02,2.18,-1.16,0.26,1.2,-0.94,0.0,0.98,-0.98,0.26,2.18,-1.92,2,1,1,2.16,40.9,35.31,43.43,0.08,0.98,158,3,6,17,75.0,17.35,11.97,5,5,5,0,20,30.5,15.75,102.87,75.42,69.37,45.49,1,Al Taawoun 1-2 Al Kholood,2026-04-11
Al Taawoun,2.18,1.02,1.16,1.2,0.26,0.94,0.98,0.0,0.98,2.18,0.26,1.92,1,2,-1,-2.16,59.1,64.69,52.35,0.98,0.08,310,14,17,6,17.35,75.0,7.69,5,5,24,3,18,163.1,84.25,33.53,24.58,83.13,54.51,3,Al Taawoun 1-2 Al Kholood,2026-04-11
NEOM,3.37,0.55,2.82,2.64,0.55,2.09,0.73,0.0,0.73,3.37,0.55,2.82,1,2,-1,-3.82,76.3,86.02,61.45,1.4,0.18,463,37,33,6,23.57,33.33,4.91,10,2,68,22,7,417.5,98.03,4.33,4.74,342.67,93.42,2,Al Najma 2-1 NEOM,2026-04-11
Al Najma,0.55,3.37,-2.82,0.55,2.64,-2.09,0.0,0.73,-0.73,0.55,3.37,-2.82,2,1,1,3.82,23.7,13.98,43.76,0.18,1.4,64,5,6,33,33.33,23.57,23.29,2,10,4,3,12,8.4,1.97,87.07,95.26,24.13,6.58,0,Al Najma 2-1 NEOM,2026-04-11
Al Riyadh,2.68,2.04,0.64,2.31,1.78,0.53,0.37,0.26,0.11,2.68,2.04,0.64,3,2,1,0.36,48.4,50.92,47.21,1.07,0.87,158,19,19,13,17.76,14.94,12.63,4,2,24,7,11,124.2,69.58,63.53,66.92,127.43,74.61,1,Al Ettifaq 2-3 Al Riyadh,2026-04-09
Al Ettifaq,2.04,2.68,-0.64,1.78,2.31,-0.53,0.26,0.37,-0.11,2.04,2.68,-0.64,2,3,-1,-0.36,51.6,49.08,45.82,0.87,1.07,174,11,13,19,14.94,17.76,17.59,2,4,17,6,12,54.3,30.42,31.4,33.08,43.37,25.39,0,Al Ettifaq 2-3 Al Riyadh,2026-04-09
Al-Qadsiah,1.49,0.29,1.2,1.49,0.23,1.26,0.0,0.06,-0.06,1.49,0.29,1.2,1,1,0,-1.2,69.1,87.72,61.43,1.76,0.09,499,35,16,6,9.09,66.67,10.54,7,0,43,12,7,391.9,99.8,12.67,13.8,330.2,98.93,1,Damac 1-1 Al-Qadsiah,2026-04-09
Damac,0.29,1.49,-1.2,0.23,1.49,-1.26,0.06,0.0,0.06,0.29,1.49,-1.2,1,1,0,1.2,30.9,12.28,36.9,0.09,1.76,76,4,6,16,66.67,9.09,25.93,0,7,9,3,5,0.8,0.2,79.13,86.2,3.57,1.07,0,Damac 1-1 Al-Qadsiah,2026-04-09
NEOM,3.67,2.28,1.39,3.28,1.36,1.92,0.4,0.92,-0.52,3.67,2.28,1.39,4,3,1,-0.39,43.9,36.43,41.16,0.92,0.82,128,15,19,11,20.65,13.41,11.16,7,6,9,3,14,54.4,36.34,51.67,49.97,69.93,48.89,7,Al Ittihad 3-4 NEOM,2026-04-08
Al Ittihad,2.28,3.67,-1.39,1.36,3.28,-1.92,0.92,0.4,0.52,2.28,3.67,-1.39,3,4,-1,0.39,56.1,63.57,50.22,0.82,0.92,247,15,11,19,13.41,20.65,9.33,6,7,23,6,13,95.3,63.66,51.73,50.03,73.1,51.11,0,Al Ittihad 3-4 NEOM,2026-04-08
Al Kholood,0.86,3.77,-2.91,0.36,2.99,-2.63,0.5,0.02,0.48,0.86,3.01,-2.15,0,6,-6,-3.09,42.8,42.22,48.57,0.24,0.64,206,8,9,16,37.5,25.0,21.7,5,9,14,8,7,73.3,32.3,80.93,81.48,27.66,6.87,0,Al Hilal 6-0 Al Kholood,2026-04-08
Al Hilal,3.77,0.86,2.91,2.99,0.36,2.63,0.02,0.5,-0.48,3.01,0.86,2.15,6,0,6,3.09,57.2,57.78,48.82,0.64,0.24,288,12,16,9,25.0,37.5,10.29,9,5,14,3,10,153.6,67.7,18.4,18.52,374.9,93.13,0,Al Hilal 6-0 Al Kholood,2026-04-08
Al Ahli,1.97,1.95,0.02,1.66,1.95,-0.29,0.31,0.0,0.31,1.97,1.95,0.02,1,1,0,-0.02,57.3,67.03,49.88,0.72,0.38,238,17,11,7,15.28,18.42,15.3,4,3,19,5,10,146.3,77.82,38.93,40.75,137.67,76.74,3,Al Fayha 1-1 Al Ahli,2026-04-08
Al Fayha,1.95,1.97,-0.02,1.95,1.66,0.29,0.0,0.31,-0.31,1.95,1.97,-0.02,1,1,0,0.02,42.7,32.97,41.62,0.38,0.72,124,4,7,11,18.42,15.28,14.12,3,4,7,2,5,41.7,22.18,56.6,59.25,41.73,23.26,1,Al Fayha 1-1 Al Ahli,2026-04-08
Al-Qadsiah,2.8,1.38,1.42,2.78,0.55,2.23,0.01,0.07,-0.06,2.8,0.62,2.18,2,3,-1,-2.42,55.9,63.42,49.51,0.83,0.55,233,17,15,11,18.07,20.0,10.81,6,1,23,7,11,142.5,82.37,45.87,61.65,139.3,84.24,1,Al Ettifaq 3-2 Al-Qadsiah,2026-04-05
Al Ettifaq,1.38,2.8,-1.42,0.55,2.78,-2.23,0.07,0.01,0.06,0.62,2.8,-2.18,3,2,1,2.42,44.1,36.58,41.25,0.55,0.83,126,7,11,15,20.0,18.07,16.54,1,6,8,4,13,30.5,17.63,28.53,38.35,26.07,15.76,0,Al Ettifaq 3-2 Al-Qadsiah,2026-04-05
Al Shabab,2.84,1.78,1.06,2.53,0.97,1.56,0.31,0.05,0.26,2.84,1.02,1.82,1,1,0,-1.06,57.9,63.97,55.1,1.49,0.35,284,29,19,10,12.75,28.57,6.16,11,6,24,9,11,186.9,88.08,40.07,52.45,201.33,86.84,2,Al Riyadh 1-1 Al Shabab,2026-04-05
Al Riyadh,1.78,2.84,-1.06,0.97,2.53,-1.56,0.05,0.31,-0.26,1.02,2.84,-1.82,1,1,0,1.06,42.1,36.03,44.93,0.35,1.49,148,10,10,19,28.57,12.75,10.28,6,11,22,2,16,25.3,11.92,36.33,47.55,30.5,13.16,2,Al Riyadh 1-1 Al Shabab,2026-04-05
Al Fateh,1.22,0.71,0.51,1.21,0.45,0.76,0.01,0.26,-0.25,1.22,0.71,0.51,0,1,-1,-1.51,60.6,56.16,45.87,0.52,0.21,205,12,10,11,19.23,52.38,6.15,1,5,25,7,17,105.5,59.71,11.8,14.48,65.53,38.38,1,Al Okhdood 1-0 Al Fateh,2026-04-05
Al Okhdood,0.71,1.22,-0.51,0.45,1.21,-0.76,0.26,0.01,0.25,0.71,1.22,-0.51,1,0,1,1.51,39.4,43.84,45.02,0.21,0.52,126,6,11,10,52.38,19.23,9.73,5,1,11,5,19,71.2,40.29,69.67,85.52,105.2,61.62,0,Al Okhdood 1-0 Al Fateh,2026-04-05
