Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
TSC,4.97,0.53,4.44,4.55,0.53,4.02,0.42,0.00,0.42,4.97,0.53,4.44,4,1,3,-1.44,60.50,65.98,51.32,2.13,0.33,295,24,23,8,10.8,24.24,6.73,8,1,29,9,19,178.1,90.5,24.73,24.49,145.63,84.42,0,Spartak Subotica 1-4 TSC,2026-04-23
Spartak Subotica,0.53,4.97,-4.44,0.53,4.55,-4.02,0.00,0.42,-0.42,0.53,4.97,-4.44,1,4,-3,1.44,39.50,34.02,42.61,0.33,2.13,119,4,8,23,24.24,10.8,15.26,1,8,7,2,8,18.7,9.5,76.27,75.51,26.87,15.58,0,Spartak Subotica 1-4 TSC,2026-04-23
Radnički Kragujevac,3.51,0.68,2.83,1.90,0.66,1.24,1.62,0.01,1.61,3.51,0.68,2.83,0,0,0,-2.83,49.50,47.73,46.62,1.22,0.9,184,21,18,9,14.75,10.0,10.11,7,4,14,4,11,119.3,67.94,58.13,66.56,133.87,76.15,1,Mladost Lučani 0-0 Radnički Kragujevac,2026-04-23
Mladost Lučani,0.68,3.51,-2.83,0.66,1.90,-1.24,0.01,1.62,-1.61,0.68,3.51,-2.83,0,0,0,2.83,50.50,52.27,46.34,0.9,1.22,217,9,9,18,10.0,14.75,9.68,4,7,26,5,17,56.3,32.06,29.2,33.44,41.93,23.85,0,Mladost Lučani 0-0 Radnički Kragujevac,2026-04-23
IMT Novi Beograd,1.10,0.67,0.43,0.88,0.60,0.28,0.21,0.07,0.14,1.10,0.67,0.43,1,0,1,0.57,58.80,64.04,51.98,1.31,0.62,285,24,14,7,10.69,11.29,8.44,6,2,27,5,16,152.1,85.84,33.53,34.31,132.23,78.65,2,Napredak 0-1 IMT Novi Beograd,2026-04-23
Napredak,0.67,1.10,-0.43,0.60,0.88,-0.28,0.07,0.21,-0.14,0.67,1.10,-0.43,0,1,-1,-0.57,41.20,35.96,43.33,0.62,1.31,143,6,7,14,11.29,10.69,15.04,2,6,9,3,15,25.1,14.16,64.2,65.69,35.9,21.35,0,Napredak 0-1 IMT Novi Beograd,2026-04-23
Javor,2.01,3.04,-1.03,1.52,2.22,-0.70,0.49,0.06,0.43,2.01,2.28,-0.27,2,3,-1,0.03,57.10,54.55,46.01,0.65,0.68,202,12,13,18,20.0,26.47,13.50,4,4,21,4,9,64.3,46.26,28.8,27.12,35.23,22.46,2,Radnički Niš 3-2 Javor,2026-04-23
Radnički Niš,3.04,2.01,1.03,2.22,1.52,0.70,0.06,0.49,-0.43,2.28,2.01,0.27,3,2,1,-0.03,42.90,45.45,48.24,0.68,0.65,165,12,18,13,26.47,20.0,16.79,4,4,10,4,11,74.7,53.74,77.4,72.88,121.63,77.54,1,Radnički Niš 3-2 Javor,2026-04-23
Crvena zvezda,2.95,0.39,2.56,2.32,0.28,2.04,0.63,0.11,0.52,2.95,0.39,2.56,2,2,0,-2.56,70.6,80.74,51.05,1.39,0.21,383,18,18,4,12.95,19.05,7.7,6,2,37,6,14,262.1,92.84,17.33,11.71,173.17,77.73,8,Železničar Pančevo 2-2 Crvena zvezda,2026-04-22
Železničar Pančevo,0.39,2.95,-2.56,0.28,2.32,-2.04,0.11,0.63,-0.52,0.39,2.95,-2.56,2,2,0,2.56,29.4,19.26,35.7,0.21,1.39,69,4,4,18,19.05,12.95,22.41,2,6,3,1,9,20.2,7.16,130.67,88.29,49.6,22.27,0,Železničar Pančevo 2-2 Crvena zvezda,2026-04-22
Čukarički,1.1,0.79,0.31,1.01,0.31,0.7,0.09,0.48,-0.39,1.1,0.79,0.31,0,0,0,-0.31,50.5,42.19,42.95,0.58,0.35,153,19,13,6,22.41,17.14,9.5,3,6,13,4,15,70.5,47.16,36.07,46.01,67.87,45.1,2,OFK Beograd 0-0 Čukarički,2026-04-22
OFK Beograd,0.79,1.1,-0.31,0.31,1.01,-0.7,0.48,0.09,0.39,0.79,1.1,-0.31,0,0,0,0.31,49.5,57.81,45.92,0.35,0.58,187,6,6,13,17.14,22.41,8.81,6,3,12,2,16,79.0,52.84,42.33,53.99,82.63,54.9,1,OFK Beograd 0-0 Čukarički,2026-04-22
Novi Pazar,0.57,1.25,-0.68,0.57,1.1,-0.53,0.0,0.15,-0.15,0.57,1.25,-0.68,0,2,-2,-1.32,42.0,40.41,42.31,0.27,0.16,109,6,6,16,22.22,100.0,10.21,3,5,8,1,15,41.3,29.69,48.13,72.05,53.3,39.59,0,Radnik Surdulica 2-0 Novi Pazar,2026-04-22
Radnik Surdulica,1.25,0.57,0.68,1.1,0.57,0.53,0.15,0.0,0.15,1.25,0.57,0.68,2,0,2,1.32,58.0,59.59,44.37,0.16,0.27,167,2,16,6,100.0,22.22,8.29,5,3,16,7,10,97.8,70.31,18.67,27.95,81.33,60.41,0,Radnik Surdulica 2-0 Novi Pazar,2026-04-22
