Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Internazionale,3.00,1.05,1.95,1.35,0.69,0.66,1.64,0.36,1.28,3.00,1.05,1.95,2,1,1,-0.95,67.70,67.24,49.59,1.0,0.45,299,16,24,11,24.0,24.44,7.53,14,3,23,9,5,190.2,86.85,4.4,4.3,125.6,70.6,3,Genoa 1-2 Internazionale,2026-04-25
Genoa,1.05,3.00,-1.95,0.69,1.35,-0.66,0.36,1.64,-1.28,1.05,3.00,-1.95,1,2,-1,0.95,32.30,32.76,44.83,0.45,1.0,113,8,11,24,24.44,24.0,22.21,3,14,16,2,6,28.8,13.15,98.0,95.7,52.3,29.4,0,Genoa 1-2 Internazionale,2026-04-25
Napoli Women,0.80,0.92,-0.12,0.62,0.82,-0.20,0.18,0.09,0.09,0.80,0.92,-0.12,0,0,0,0.12,51.40,42.18,38.42,0.18,0.56,121,10,7,10,38.89,17.86,15.06,4,7,12,7,5,36.7,30.18,20.47,30.83,36.67,24.95,2,Milan 0-0 Napoli Women,2026-04-25
Milan,0.92,0.80,0.12,0.82,0.62,0.20,0.09,0.18,-0.09,0.92,0.80,0.12,0,0,0,-0.12,48.60,57.82,46.38,0.56,0.18,168,11,10,7,17.86,38.89,14.91,7,4,20,6,9,84.9,69.82,45.93,69.17,110.33,75.05,0,Milan 0-0 Napoli Women,2026-04-25
Sassuolo,2.18,1.13,1.05,1.36,0.84,0.52,0.07,0.29,-0.22,1.42,1.13,0.29,3,0,3,1.95,30.70,34.71,52.99,0.48,0.66,112,9,13,14,27.08,21.21,12.81,11,4,11,3,8,42.0,22.11,110.13,99.88,142.13,86.69,1,Lazio 0-3 Sassuolo,2026-04-25
Lazio,1.13,2.18,-1.05,0.84,1.36,-0.52,0.29,0.07,0.22,1.13,1.42,-0.29,0,3,-3,-1.95,69.30,65.29,50.98,0.66,0.48,255,14,14,13,21.21,27.08,6.12,4,11,30,10,8,148.0,77.89,0.13,0.12,21.83,13.31,1,Lazio 0-3 Sassuolo,2026-04-25
Roma,2.53,2.53,0.00,2.52,2.48,0.04,0.01,0.05,-0.04,2.53,2.53,0.00,1,0,1,1.00,49.60,42.33,44.07,1.06,1.05,175,14,16,14,15.09,13.33,24.79,3,7,12,2,9,94.9,47.19,24.33,31.99,89.1,46.24,0,Juventus 0-1 Roma,2026-04-25
Juventus,2.53,2.53,0.00,2.48,2.52,-0.04,0.05,0.01,0.04,2.53,2.53,0.00,0,1,-1,-1.00,50.40,57.67,46.77,1.05,1.06,238,12,14,16,13.33,15.09,14.62,7,3,25,7,6,106.2,52.81,51.73,68.01,103.6,53.76,5,Juventus 0-1 Roma,2026-04-25
Parma,0.81,1.13,-0.32,0.65,1.11,-0.46,0.16,0.02,0.14,0.81,1.13,-0.32,1,1,0,0.32,47.90,66.32,47.31,0.42,0.2,247,7,12,14,28.57,70.0,13.53,14,4,21,4,8,100.3,68.37,87.53,74.35,144.5,81.06,1,Como Women 1-1 Parma,2026-04-25
Como Women,1.13,0.81,0.32,1.11,0.65,0.46,0.02,0.16,-0.14,1.13,0.81,0.32,1,1,0,-0.32,52.10,33.68,38.59,0.2,0.42,148,8,14,12,70.0,28.57,17.62,4,14,8,3,5,46.4,31.63,30.2,25.65,33.77,18.94,0,Como Women 1-1 Parma,2026-04-25
