Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Sampdoria,0.79,0.60,0.19,0.75,0.58,0.17,0.04,0.01,0.03,0.79,0.60,0.19,0,0,0,-0.19,48.80,50.72,49.74,0.63,0.9,227,17,13,10,20.63,11.11,10.71,5,2,22,5,14,101.1,55.92,55.73,65.21,106.6,64.29,3,Cesena 0-0 Sampdoria,2026-04-25
Cesena,0.60,0.79,-0.19,0.58,0.75,-0.17,0.01,0.04,-0.03,0.60,0.79,-0.19,0,0,0,0.19,51.20,49.28,48.04,0.9,0.63,242,13,10,13,11.11,20.63,12.88,2,5,18,4,16,79.7,44.08,29.73,34.79,59.2,35.71,0,Cesena 0-0 Sampdoria,2026-04-25
Empoli,0.97,2.05,-1.08,0.82,1.89,-1.07,0.14,0.15,-0.01,0.97,2.05,-1.08,0,2,-2,-0.92,23.20,22.29,42.55,0.27,0.87,69,13,9,18,33.33,20.69,18.68,0,2,16,6,15,16.5,6.18,140.87,98.88,34.07,18.4,6,Venezia 2-0 Empoli,2026-04-25
Venezia,2.05,0.97,1.08,1.89,0.82,1.07,0.15,0.14,0.01,2.05,0.97,1.08,2,0,2,0.92,76.80,77.71,53.79,0.87,0.27,359,19,18,9,20.69,33.33,4.96,2,0,19,9,10,250.6,93.82,1.6,1.12,151.1,81.6,0,Venezia 2-0 Empoli,2026-04-25
Padova,0.69,2.21,-1.52,0.55,2.03,-1.48,0.14,0.18,-0.04,0.69,2.21,-1.52,0,1,-1,0.52,42.40,47.11,48.26,0.3,0.8,160,7,8,14,26.67,17.5,10.20,3,2,18,3,14,44.5,25.65,59.8,68.74,46.1,30.82,5,Virtus Entella 1-0 Padova,2026-04-25
Virtus Entella,2.21,0.69,1.52,2.03,0.55,1.48,0.18,0.14,0.04,2.21,0.69,1.52,1,0,1,-0.52,57.60,52.89,49.60,0.8,0.3,222,14,14,8,17.5,26.67,7.82,2,3,19,5,18,129.0,74.35,27.2,31.26,103.5,69.18,1,Virtus Entella 1-0 Padova,2026-04-25
Mantova,1.15,0.93,0.22,1.09,0.93,0.16,0.06,0.00,0.06,1.15,0.93,0.22,3,0,3,2.78,59.20,53.59,44.69,0.4,1.0,221,8,11,8,27.5,8.0,10.81,4,3,7,2,12,106.3,58.86,23.27,14.73,44.83,43.97,0,Südtirol 0-3 Mantova,2026-04-25
Südtirol,0.93,1.15,-0.22,0.93,1.09,-0.16,0.00,0.06,-0.06,0.93,1.15,-0.22,0,3,-3,-2.78,40.80,46.41,47.95,1.0,0.4,170,12,8,11,8.0,27.5,13.94,3,4,19,2,15,74.3,41.14,134.67,85.27,57.13,56.03,2,Südtirol 0-3 Mantova,2026-04-25
Palermo,1.92,0.91,1.01,1.76,0.91,0.85,0.16,0.00,0.16,1.92,0.91,1.01,1,1,0,-1.01,68.50,74.71,57.30,0.92,0.22,335,17,20,3,21.74,13.64,6.37,8,4,36,7,9,249.5,96.74,6.6,6.84,172.0,92.39,1,Reggiana 1-1 Palermo,2026-04-25
Reggiana,0.91,1.92,-1.01,0.91,1.76,-0.85,0.00,0.16,-0.16,0.91,1.92,-1.01,1,1,0,1.01,31.50,25.29,42.13,0.22,0.92,89,3,3,20,13.64,21.74,15.67,4,8,10,2,11,8.4,3.26,89.87,93.16,14.17,7.61,6,Reggiana 1-1 Palermo,2026-04-25
Juve Stabia,2.07,0.50,1.57,1.65,0.50,1.15,0.41,0.00,0.41,2.07,0.50,1.57,1,1,0,-1.57,53.20,46.26,43.46,0.62,0.5,194,11,13,8,20.97,16.0,11.39,4,7,6,2,13,80.1,50.86,36.27,43.35,66.4,46.04,1,Pescara 1-1 Juve Stabia,2026-04-25
Pescara,0.50,2.07,-1.57,0.50,1.65,-1.15,0.00,0.41,-0.41,0.50,2.07,-1.57,1,1,0,1.57,46.80,53.74,49.67,0.5,0.62,224,7,8,13,16.0,20.97,11.31,7,4,14,3,16,77.4,49.14,47.4,56.65,77.83,53.96,0,Pescara 1-1 Juve Stabia,2026-04-25
Carrarese,1.40,3.35,-1.95,1.30,1.39,-0.09,0.10,0.44,-0.34,1.40,1.83,-0.43,0,3,-3,-1.05,43.10,38.87,49.91,1.15,1.19,150,17,15,20,13.04,16.81,11.62,2,2,28,8,13,62.7,31.67,61.47,64.43,75.3,32.54,0,Frosinone 3-0 Carrarese,2026-04-25
Frosinone,3.35,1.40,1.95,1.39,1.30,0.09,0.44,0.10,0.34,1.83,1.40,0.43,3,0,3,1.05,56.90,61.13,56.45,1.19,1.15,282,15,20,15,16.81,13.04,8.84,2,2,25,8,10,135.3,68.33,33.93,35.57,156.13,67.46,5,Frosinone 3-0 Carrarese,2026-04-25
Spezia,2.47,2.00,0.47,1.71,1.42,0.29,0.00,0.59,-0.59,1.71,2.00,-0.29,2,4,-2,-2.47,36.50,47.67,52.59,0.5,0.98,135,13,12,14,24.0,14.29,10.09,5,1,16,2,20,60.1,32.17,108.93,93.26,87.91,52.68,6,Catanzaro 4-2 Spezia,2026-04-25
Catanzaro,2.00,2.47,-0.47,1.42,1.71,-0.29,0.59,0.00,0.59,2.00,1.71,0.29,4,2,2,2.47,63.50,52.33,45.95,0.98,0.5,193,15,14,12,14.29,24.0,6.89,1,5,21,9,10,126.7,67.83,7.87,6.74,78.98,47.32,2,Catanzaro 4-2 Spezia,2026-04-25
Bari,0.54,2.58,-2.04,0.42,2.26,-1.84,0.12,0.32,-0.2,0.54,2.58,-2.04,0,2,-2,0.04,41.0,33.44,46.83,0.41,1.14,159,9,9,18,21.95,15.79,14.88,2,3,20,4,13,28.6,12.43,75.13,78.54,48.93,20.67,3,Avellino 2-0 Bari,2026-04-24
Avellino,2.58,0.54,2.04,2.26,0.42,1.84,0.32,0.12,0.2,2.58,0.54,2.04,2,0,2,-0.04,59.0,66.56,50.38,1.14,0.41,256,18,18,9,15.79,21.95,9.39,3,2,29,8,13,201.5,87.57,20.53,21.46,187.83,79.33,1,Avellino 2-0 Bari,2026-04-24
Modena,1.17,0.7,0.47,1.17,0.7,0.47,0.0,0.0,0.0,1.17,0.7,0.47,0,1,-1,-1.47,57.9,57.29,51.11,1.05,0.57,295,17,15,10,14.29,17.54,8.62,5,6,29,4,20,157.7,58.36,36.47,26.79,99.47,40.53,2,Monza 1-0 Modena,2026-04-24
Monza,0.7,1.17,-0.47,0.7,1.17,-0.47,0.0,0.0,0.0,0.7,1.17,-0.47,1,0,1,1.47,42.1,42.71,51.32,0.57,1.05,211,14,10,15,17.54,14.29,12.71,6,5,17,5,8,112.5,41.64,99.67,73.21,145.97,59.47,1,Monza 1-0 Modena,2026-04-24
Virtus Entella,0.71,1.22,-0.51,0.68,1.01,-0.33,0.03,0.21,-0.18,0.71,1.22,-0.51,1,1,0,0.51,38.1,38.79,48.49,0.39,0.86,140,10,9,15,23.08,17.44,17.82,2,5,19,5,13,36.8,26.72,92.0,92.0,85.3,63.8,0,Empoli 1-1 Virtus Entella,2026-04-19
Empoli,1.22,0.71,0.51,1.01,0.68,0.33,0.21,0.03,0.18,1.22,0.71,0.51,1,1,0,-0.51,61.9,61.21,45.99,0.86,0.39,209,20,15,9,17.44,23.08,7.53,5,2,35,6,11,100.9,73.28,8.0,8.0,48.4,36.2,5,Empoli 1-1 Virtus Entella,2026-04-19
Reggiana,1.0,1.44,-0.44,0.96,1.44,-0.48,0.04,0.0,0.04,1.0,1.44,-0.44,0,1,-1,-0.56,44.1,39.93,43.27,0.86,0.41,140,13,12,10,13.95,24.39,9.38,3,8,16,2,19,67.5,36.41,64.33,72.28,70.0,43.63,4,Padova 1-0 Reggiana,2026-04-19
Padova,1.44,1.0,0.44,1.44,0.96,0.48,0.0,0.04,-0.04,1.44,1.0,0.44,1,0,1,0.56,55.9,60.07,50.37,0.41,0.86,254,10,10,12,24.39,13.95,6.27,8,3,20,5,16,117.9,63.59,24.67,27.72,90.43,56.37,4,Padova 1-0 Reggiana,2026-04-19
Pescara,1.23,1.5,-0.27,1.16,1.22,-0.06,0.07,0.28,-0.21,1.23,1.5,-0.27,2,2,0,0.27,58.7,56.67,51.03,0.85,0.54,268,15,14,14,16.47,25.93,7.1,8,3,16,5,15,147.2,67.28,23.47,30.93,125.17,63.16,0,Carrarese 2-2 Pescara,2026-04-19
Carrarese,1.5,1.23,0.27,1.22,1.16,0.06,0.28,0.07,0.21,1.5,1.23,0.27,2,2,0,-0.27,41.3,43.33,46.87,0.54,0.85,162,17,14,14,25.93,16.47,12.31,3,8,22,6,18,71.6,32.72,52.4,69.07,73.0,36.84,0,Carrarese 2-2 Pescara,2026-04-19
Catanzaro,1.29,0.92,0.37,1.22,0.92,0.3,0.07,0.0,0.07,1.29,0.92,0.37,1,1,0,-0.37,55.3,67.38,52.56,0.94,0.29,295,15,13,7,13.83,24.14,10.24,7,5,19,4,14,223.3,82.73,51.73,44.16,183.83,82.39,0,Juve Stabia 1-1 Catanzaro,2026-04-18
Juve Stabia,0.92,1.29,-0.37,0.92,1.22,-0.3,0.0,0.07,-0.07,0.92,1.29,-0.37,1,1,0,0.37,44.7,32.62,40.99,0.29,0.94,125,7,7,13,24.14,13.83,11.03,5,7,14,3,14,46.6,17.27,65.4,55.84,39.3,17.61,3,Juve Stabia 1-1 Catanzaro,2026-04-18
Cesena,2.01,1.95,0.06,1.37,1.78,-0.41,0.64,0.17,0.47,2.01,1.95,0.06,0,2,-2,-2.06,60.6,50.6,45.54,0.38,1.63,258,16,14,17,36.84,10.43,13.22,2,3,18,6,5,95.3,46.53,7.27,5.49,41.17,14.79,0,Palermo 2-0 Cesena,2026-04-18
Palermo,1.95,2.01,-0.06,1.78,1.37,0.41,0.17,0.64,-0.47,1.95,2.01,-0.06,2,0,2,2.06,39.4,49.4,50.71,1.63,0.38,216,15,17,14,10.43,36.84,21.71,3,2,28,6,14,109.5,53.47,125.13,94.51,237.23,85.21,0,Palermo 2-0 Cesena,2026-04-18
