Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Žilina,1.09,2.35,-1.26,1.09,2.08,-0.99,0.00,0.27,-0.27,1.09,2.35,-1.26,1,3,-2,-0.74,49.70,38.99,38.81,0.38,1.1,129,7,4,22,10.53,20.0,6.00,5,7,7,0,13,26.1,13.2,30.33,30.25,25.43,10.03,3,DAC 1904 3-1 Žilina,2026-04-25
DAC 1904,2.35,1.09,1.26,2.08,1.09,0.99,0.27,0.00,0.27,2.35,1.09,1.26,3,1,2,0.74,50.30,61.01,50.28,1.1,0.38,197,20,22,4,20.0,10.53,6.14,7,5,31,10,23,171.6,86.8,69.93,69.75,228.17,89.97,0,DAC 1904 3-1 Žilina,2026-04-25
Podbrezová,0.81,1.57,-0.76,0.81,1.45,-0.64,0.00,0.12,-0.12,0.81,1.57,-0.76,2,1,1,1.76,32.80,23.84,38.97,0.32,0.95,76,3,8,21,25.0,22.11,10.46,4,3,1,0,16,16.0,5.7,107.8,86.01,51.93,27.05,0,Zemplín Michalovce 1-2 Podbrezová,2026-04-25
Zemplín Michalovce,1.57,0.81,0.76,1.45,0.81,0.64,0.12,0.00,0.12,1.57,0.81,0.76,1,2,-1,-1.76,67.20,76.16,49.15,0.95,0.32,262,19,21,8,22.11,25.0,5.69,3,4,17,7,16,264.6,94.3,17.53,13.99,140.07,72.95,0,Zemplín Michalovce 1-2 Podbrezová,2026-04-25
Ružomberok,2.43,2.38,0.05,1.14,2.08,-0.94,0.54,0.30,0.24,1.67,2.38,-0.71,1,3,-2,-2.05,54.60,56.94,45.95,0.82,0.7,203,13,17,15,20.73,21.43,12.67,7,4,24,6,7,107.2,54.42,26.33,27.95,45.87,20.32,4,FC Košice 3-1 Ružomberok,2026-04-25
FC Košice,2.38,2.43,-0.05,2.08,1.14,0.94,0.30,0.54,-0.24,2.38,1.67,0.71,3,1,2,2.05,45.40,43.06,42.22,0.7,0.82,142,16,15,17,21.43,20.73,18.95,4,7,8,2,7,89.8,45.58,67.87,72.05,179.88,79.68,0,FC Košice 3-1 Ružomberok,2026-04-25
Skalica,2.32,2.98,-0.66,1.53,1.70,-0.17,0.03,0.52,-0.49,1.56,2.22,-0.66,2,0,2,2.66,40.90,37.62,47.64,0.57,0.9,126,10,12,15,21.05,16.67,13.38,1,7,15,3,13,44.7,27.39,94.93,92.05,78.47,71.08,2,Komárno 0-2 Skalica,2026-04-25
Komárno,2.98,2.32,0.66,1.70,1.53,0.17,0.52,0.03,0.49,2.22,1.56,0.66,0,2,-2,-2.66,59.10,62.38,46.79,0.9,0.57,204,22,15,12,16.67,21.05,5.57,7,1,26,4,20,118.5,72.61,8.2,7.95,31.93,28.92,5,Komárno 0-2 Skalica,2026-04-25
FC Košice,0.58,1.6,-1.02,0.58,1.18,-0.6,0.0,0.42,-0.42,0.58,1.6,-1.02,1,2,-1,0.02,61.1,60.96,51.1,0.81,0.42,284,14,9,12,11.11,28.57,9.71,5,7,14,2,17,114.3,72.07,23.4,19.42,37.43,22.02,1,Tatran Prešov 2-1 FC Košice,2026-04-19
Tatran Prešov,1.6,0.58,1.02,1.18,0.58,0.6,0.42,0.0,0.42,1.6,0.58,1.02,2,1,1,-0.02,38.9,39.04,43.7,0.42,0.81,134,9,12,9,28.57,11.11,15.56,7,5,15,7,2,44.3,27.93,97.07,80.58,132.53,77.98,1,Tatran Prešov 2-1 FC Košice,2026-04-19
Trenčín,0.99,2.83,-1.84,0.46,2.6,-2.14,0.53,0.23,0.3,0.99,2.83,-1.84,1,4,-3,-1.16,63.5,41.05,38.27,0.33,0.81,136,13,10,19,30.3,23.46,7.07,0,3,11,4,12,33.3,21.43,2.0,1.24,4.32,1.42,1,Skalica 4-1 Trenčín,2026-04-19
Skalica,2.83,0.99,1.84,2.6,0.46,2.14,0.23,0.53,-0.3,2.83,0.99,1.84,4,1,3,1.16,36.5,58.95,48.9,0.81,0.33,131,16,19,10,23.46,30.3,10.68,3,0,20,10,19,122.1,78.57,159.2,98.76,300.73,98.58,1,Skalica 4-1 Trenčín,2026-04-19
Slovan Bratislava,1.31,2.0,-0.69,1.07,1.37,-0.3,0.24,0.62,-0.38,1.31,2.0,-0.69,1,0,1,1.69,57.4,62.31,49.29,1.45,0.46,223,17,14,11,9.66,23.91,5.81,5,6,20,6,14,148.6,77.92,33.47,25.73,113.3,63.39,0,Žilina 0-1 Slovan Bratislava,2026-04-18
Žilina,2.0,1.31,0.69,1.37,1.07,0.3,0.62,0.24,0.38,2.0,1.31,0.69,0,1,-1,-1.69,42.6,37.69,44.08,0.46,1.45,143,11,11,14,23.91,9.66,9.97,6,5,13,3,15,42.1,22.08,96.6,74.27,65.43,36.61,2,Žilina 0-1 Slovan Bratislava,2026-04-18
Zemplín Michalovce,0.93,3.66,-2.73,0.82,3.44,-2.62,0.11,0.22,-0.11,0.93,3.66,-2.73,0,3,-3,-0.27,46.4,43.92,44.77,0.8,0.94,156,13,12,16,15.0,17.02,8.87,7,3,6,5,14,63.9,34.37,30.93,54.71,33.07,13.32,0,Spartak Trnava 3-0 Zemplín Michalovce,2026-04-18
Spartak Trnava,3.66,0.93,2.73,3.44,0.82,2.62,0.22,0.11,0.11,3.66,0.93,2.73,3,0,3,0.27,53.6,56.08,45.02,0.94,0.8,173,18,16,12,17.02,15.0,7.05,3,7,19,4,18,122.0,65.63,25.6,45.29,215.24,86.68,3,Spartak Trnava 3-0 Zemplín Michalovce,2026-04-18
DAC 1904,2.64,1.45,1.19,1.71,1.16,0.55,0.17,0.29,-0.12,1.88,1.45,0.43,2,1,1,-0.19,41.9,32.88,41.05,0.45,1.92,92,9,15,12,33.33,6.25,6.42,2,4,9,5,22,64.3,33.81,45.13,63.81,80.63,47.06,0,Podbrezová 1-2 DAC 1904,2026-04-18
Podbrezová,1.45,2.64,-1.19,1.16,1.71,-0.55,0.29,0.17,0.12,1.45,1.88,-0.43,1,2,-1,0.19,58.1,67.12,54.14,1.92,0.45,218,23,12,15,6.25,33.33,6.22,4,2,26,7,16,125.9,66.19,25.6,36.19,90.7,52.94,4,Podbrezová 1-2 DAC 1904,2026-04-18
