Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Marumo Gallants,1.18,1.44,-0.26,0.84,1.37,-0.53,0.35,0.08,0.27,1.18,1.44,-0.26,1,1,0,0.26,42.90,52.16,48.98,0.52,0.74,197,9,12,11,23.08,14.86,15.38,4,5,16,2,8,80.9,46.93,68.2,73.28,97.5,57.6,0,Sekhukhune United 1-1 Marumo Gallants,2026-04-25
Sekhukhune United,1.44,1.18,0.26,1.37,0.84,0.53,0.08,0.35,-0.27,1.44,1.18,0.26,1,1,0,-0.26,57.10,47.84,45.00,0.74,0.52,201,7,11,12,14.86,23.08,9.76,5,4,13,3,12,91.5,53.07,24.87,26.72,71.77,42.4,0,Sekhukhune United 1-1 Marumo Gallants,2026-04-25
Chippa United,0.41,2.55,-2.14,0.41,2.39,-1.98,0.00,0.16,-0.16,0.41,2.55,-2.14,1,5,-4,-1.86,59.30,52.01,48.58,0.62,0.78,314,9,8,15,12.9,19.23,12.50,5,5,18,6,8,79.6,42.32,28.27,28.31,27.02,17.14,1,AmaZulu 5-1 Chippa United,2026-04-25
AmaZulu,2.55,0.41,2.14,2.39,0.41,1.98,0.16,0.00,0.16,2.55,0.41,2.14,5,1,4,1.86,40.70,47.99,47.98,0.78,0.62,189,17,15,8,19.23,12.9,18.62,5,5,21,8,10,108.5,57.68,71.6,71.69,130.6,82.86,0,AmaZulu 5-1 Chippa United,2026-04-25
Siwelele,0.96,0.58,0.38,0.36,0.46,-0.1,0.6,0.12,0.48,0.96,0.58,0.38,0,0,0,-0.38,47.7,53.04,49.02,0.56,0.61,193,6,8,10,14.29,16.39,8.78,6,2,10,1,10,80.0,51.35,64.0,68.82,92.27,63.49,1,Golden Arrows 0-0 Siwelele,2026-04-24
Golden Arrows,0.58,0.96,-0.38,0.46,0.36,0.1,0.12,0.6,-0.48,0.58,0.96,-0.38,0,0,0,0.38,52.3,46.96,43.9,0.61,0.56,155,10,10,8,16.39,14.29,7.79,2,6,21,5,16,75.8,48.65,29.0,31.18,53.07,36.51,3,Golden Arrows 0-0 Siwelele,2026-04-24
Orbit College,0.91,1.4,-0.49,0.91,1.21,-0.3,0.0,0.2,-0.2,0.91,1.4,-0.49,1,1,0,0.49,38.2,47.14,50.14,0.47,1.14,152,6,8,14,17.02,12.28,13.06,3,2,15,1,18,34.4,27.15,88.6,96.3,92.77,65.68,4,Durban City 1-1 Orbit College,2026-04-24
Durban City,1.4,0.91,0.49,1.21,0.91,0.3,0.2,0.0,0.2,1.4,0.91,0.49,1,1,0,-0.49,61.8,52.86,41.81,1.14,0.47,164,14,14,8,12.28,17.02,5.61,2,3,29,8,16,92.3,72.85,3.4,3.7,48.47,34.32,2,Durban City 1-1 Orbit College,2026-04-24
Stellenbosch,2.07,1.13,0.94,1.26,1.08,0.18,0.05,0.05,0.0,1.31,1.13,0.18,1,1,0,-0.94,26.4,37.79,41.65,0.16,0.76,92,4,7,9,43.75,11.84,22.39,4,3,9,3,9,41.8,28.63,197.87,99.4,157.63,76.71,3,Mamelodi Sundowns 1-1 Stellenbosch,2026-04-22
Mamelodi Sundowns,1.13,2.07,-0.94,1.08,1.26,-0.18,0.05,0.05,0.0,1.13,1.31,-0.18,1,1,0,0.94,73.6,62.21,41.62,0.76,0.16,209,12,9,7,11.84,43.75,11.21,3,4,10,4,8,104.2,71.37,1.2,0.6,47.87,23.29,0,Mamelodi Sundowns 1-1 Stellenbosch,2026-04-22
Durban City,1.68,2.73,-1.05,1.66,2.65,-0.99,0.02,0.08,-0.06,1.68,2.73,-1.05,2,5,-3,-1.95,54.6,49.32,45.79,1.07,0.53,179,14,12,16,11.21,30.19,8.1,5,1,19,4,12,63.3,44.45,14.73,20.86,35.23,18.77,2,Magesi 5-2 Durban City,2026-04-19
Magesi,2.73,1.68,1.05,2.65,1.66,0.99,0.08,0.02,0.06,2.73,1.68,1.05,5,2,3,1.95,45.4,50.68,47.16,0.53,1.07,138,12,16,12,30.19,11.21,10.52,1,5,15,2,15,79.1,55.55,55.87,79.14,152.48,81.23,3,Magesi 5-2 Durban City,2026-04-19
Richards Bay,1.37,2.37,-1.0,1.35,2.31,-0.96,0.01,0.06,-0.05,1.37,2.37,-1.0,1,0,1,2.0,45.2,48.84,48.3,0.63,1.78,184,15,15,16,23.81,8.99,11.12,2,4,25,8,10,70.6,42.53,56.0,84.34,93.83,64.51,1,TS Galaxy 0-1 Richards Bay,2026-04-19
TS Galaxy,2.37,1.37,1.0,2.31,1.35,0.96,0.06,0.01,0.05,2.37,1.37,1.0,0,1,-1,-2.0,54.8,51.16,47.62,1.78,0.63,201,19,16,15,8.99,23.81,11.12,4,2,23,5,17,95.4,57.47,10.4,15.66,51.63,35.49,0,TS Galaxy 0-1 Richards Bay,2026-04-19
