Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Panaitolikos,1.12,1.33,-0.21,0.36,1.24,-0.88,0.00,0.08,-0.08,0.36,1.33,-0.97,1,2,-1,-0.79,58.20,58.15,46.40,0.23,0.88,203,7,6,17,26.09,19.32,11.76,0,4,16,2,9,75.9,50.2,23.47,23.58,44.87,31.35,0,Asteras Tripolis 2-1 Panaitolikos,2026-04-22
Asteras Tripolis,1.33,1.12,0.21,1.24,0.36,0.88,0.08,0.00,0.08,1.33,0.36,0.97,2,1,1,0.79,41.80,41.85,43.77,0.88,0.23,120,12,17,6,19.32,26.09,16.20,4,0,14,1,15,75.3,49.8,76.07,76.42,98.27,68.65,0,Asteras Tripolis 2-1 Panaitolikos,2026-04-22
Kifisia,1.64,1.38,0.26,0.64,1.10,-0.46,0.24,0.28,-0.04,0.88,1.38,-0.50,1,1,0,-0.26,40.90,35.71,44.42,0.33,0.75,138,10,14,13,42.42,17.33,10.54,0,8,10,4,16,56.4,30.64,86.8,75.35,92.27,54.46,1,Larissa 1-1 Kifisia,2026-04-22
Larissa,1.38,1.64,-0.26,1.10,0.64,0.46,0.28,0.24,0.04,1.38,0.88,0.50,1,1,0,0.26,59.10,64.29,49.98,0.75,0.33,250,10,13,14,17.33,42.42,6.77,8,0,25,8,17,127.7,69.36,28.4,24.65,77.17,45.54,0,Larissa 1-1 Kifisia,2026-04-22
Atromitos,2.09,0.73,1.36,1.06,0.70,0.36,0.26,0.02,0.24,1.33,0.73,0.60,4,0,4,2.64,56.60,51.55,41.28,0.63,0.5,177,11,14,8,22.22,16.0,14.04,3,2,12,7,8,80.9,58.08,16.47,11.8,64.67,50.29,0,Panserraikos 0-4 Atromitos,2026-04-22
Panserraikos,0.73,2.09,-1.36,0.70,1.06,-0.36,0.02,0.26,-0.24,0.73,1.33,-0.60,0,4,-4,-2.64,43.40,48.45,43.29,0.5,0.63,156,14,8,14,16.0,22.22,16.07,2,3,16,6,14,58.4,41.92,123.13,88.2,63.93,49.71,5,Panserraikos 0-4 Atromitos,2026-04-22
Olympiakos Piraeus,2.12,1.07,1.05,2.06,0.99,1.07,0.06,0.08,-0.02,2.12,1.07,1.05,2,0,2,0.95,38.3,50.74,49.75,0.69,0.51,174,7,7,16,10.14,31.37,14.21,8,2,9,1,19,50.7,35.04,122.73,86.47,139.37,85.77,1,Panathinaikos 0-2 Olympiakos Piraeus,2026-04-19
Panathinaikos,1.07,2.12,-1.05,0.99,2.06,-1.07,0.08,0.06,0.02,1.07,2.12,-1.05,0,2,-2,-0.95,61.7,49.26,42.8,0.51,0.69,216,11,16,7,31.37,10.14,8.16,2,8,16,3,9,94.0,64.96,19.2,13.53,23.13,14.23,3,Panathinaikos 0-2 Olympiakos Piraeus,2026-04-19
PAOK,0.84,2.99,-2.15,0.79,2.32,-1.53,0.04,0.67,-0.63,0.84,2.99,-2.15,0,3,-3,-0.85,59.5,43.64,44.18,0.64,0.74,171,8,8,21,12.5,28.38,5.1,8,7,14,3,12,53.9,26.86,13.47,14.25,31.9,15.56,1,AEK Athens 3-0 PAOK,2026-04-19
AEK Athens,2.99,0.84,2.15,2.32,0.79,1.53,0.67,0.04,0.63,2.99,0.84,2.15,3,0,3,0.85,40.5,56.36,53.01,0.74,0.64,170,13,21,8,28.38,12.5,7.09,7,8,23,6,25,146.8,73.14,81.07,85.75,173.1,84.44,2,AEK Athens 3-0 PAOK,2026-04-19
