Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Antalyaspor,1.53,2.18,-0.65,1.50,1.99,-0.49,0.04,0.19,-0.15,1.53,2.18,-0.65,0,2,-2,-1.35,72.50,57.25,48.48,1.13,0.81,249,17,19,16,16.81,19.75,5.81,3,10,24,3,6,109.7,67.93,0.0,0.0,37.67,20.1,0,Göztepe 2-0 Antalyaspor,2026-04-25
Göztepe,2.18,1.53,0.65,1.99,1.50,0.49,0.19,0.04,0.15,2.18,1.53,0.65,2,0,2,1.35,27.50,42.75,47.31,0.81,1.13,91,15,16,19,19.75,16.81,9.62,10,3,15,4,24,51.8,32.07,127.07,100.0,149.73,79.9,6,Göztepe 2-0 Antalyaspor,2026-04-25
Rizespor,1.29,1.44,-0.15,1.09,1.00,0.09,0.21,0.44,-0.23,1.29,1.44,-0.15,0,2,-2,-1.85,56.40,52.57,46.89,0.33,0.71,163,10,12,17,36.36,23.94,8.88,0,4,15,6,16,75.1,51.47,8.27,14.46,55.27,36.72,1,Kayserispor 2-0 Rizespor,2026-04-25
Kayserispor,1.44,1.29,0.15,1.00,1.09,-0.09,0.44,0.21,0.23,1.44,1.29,0.15,2,0,2,1.85,43.60,47.43,47.66,0.71,0.33,138,16,17,12,23.94,36.36,8.91,4,0,18,8,15,70.8,48.53,48.93,85.54,95.23,63.28,2,Kayserispor 2-0 Rizespor,2026-04-25
Gaziantep FK,1.06,2.24,-1.18,0.89,1.89,-1.00,0.16,0.35,-0.19,1.06,2.24,-1.18,0,3,-3,-1.82,48.20,32.78,37.82,0.45,0.51,115,5,11,14,24.44,27.45,11.88,5,4,8,5,12,44.7,24.51,41.07,35.18,27.52,12.4,0,Eyüpspor 3-0 Gaziantep FK,2026-04-25
Eyüpspor,2.24,1.06,1.18,1.89,0.89,1.00,0.35,0.16,0.19,2.24,1.06,1.18,3,0,3,1.82,51.80,67.22,45.32,0.51,0.45,201,12,14,11,27.45,24.44,11.43,4,5,18,6,12,137.7,75.49,75.67,64.82,194.38,87.6,0,Eyüpspor 3-0 Gaziantep FK,2026-04-25
Kasımpaşa,0.28,2.55,-2.27,0.28,2.44,-2.16,0.0,0.12,-0.12,0.28,2.55,-2.27,0,4,-4,-1.73,32.3,17.77,34.98,0.51,1.56,58,6,5,14,9.8,8.97,24.25,1,4,7,2,8,12.3,5.11,131.4,90.62,8.47,2.74,0,İstanbul Başakşehir 4-0 Kasımpaşa,2026-04-24
İstanbul Başakşehir,2.55,0.28,2.27,2.44,0.28,2.16,0.12,0.0,0.12,2.55,0.28,2.27,4,0,4,1.73,67.7,82.23,50.62,1.56,0.51,319,15,14,5,8.97,9.8,10.15,4,1,29,6,14,228.3,94.89,13.6,9.38,300.64,97.26,2,İstanbul Başakşehir 4-0 Kasımpaşa,2026-04-24
Kayserispor,1.4,2.6,-1.2,1.3,1.66,-0.36,0.1,0.18,-0.08,1.4,1.84,-0.44,0,3,-3,-1.8,45.5,57.73,51.83,1.33,0.95,263,17,17,21,12.78,22.11,14.44,7,1,24,3,11,109.1,57.66,95.8,80.82,141.27,74.76,0,Gaziantep FK 3-0 Kayserispor,2026-04-20
Gaziantep FK,2.6,1.4,1.2,1.66,1.3,0.36,0.18,0.1,0.08,1.84,1.4,0.44,3,0,3,1.8,54.5,42.27,42.51,0.95,1.33,188,20,21,17,22.11,12.78,15.26,1,7,14,5,10,80.1,42.34,22.73,19.18,47.7,25.24,1,Gaziantep FK 3-0 Kayserispor,2026-04-20
