Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Midtjylland,1.37,1.54,-0.17,1.31,1.54,-0.23,0.06,0.00,0.06,1.37,1.54,-0.17,2,1,1,1.17,60.10,69.2,51.63,0.29,0.3,235,18,17,8,58.62,26.67,6.67,7,3,26,8,16,146.8,79.48,16.4,26.03,120.67,70.14,8,SønderjyskE 1-2 Midtjylland,2026-04-23
SønderjyskE,1.54,1.37,0.17,1.54,1.31,0.23,0.00,0.06,-0.06,1.54,1.37,0.17,1,2,-1,-1.17,39.90,30.8,40.76,0.3,0.29,97,9,8,17,26.67,58.62,10.79,3,7,12,3,14,37.9,20.52,46.6,73.97,51.37,29.86,1,SønderjyskE 1-2 Midtjylland,2026-04-23
Fredericia,0.78,2.16,-1.38,0.37,1.55,-1.18,0.40,0.61,-0.21,0.78,2.16,-1.38,2,2,0,1.38,46.10,36.66,44.69,0.56,1.61,194,12,8,11,14.29,6.83,13.48,8,8,20,8,10,36.3,17.91,64.67,56.69,59.87,18.55,6,Randers 2-2 Fredericia,2026-04-23
Randers,2.16,0.78,1.38,1.55,0.37,1.18,0.61,0.40,0.21,2.16,0.78,1.38,2,2,0,-1.38,53.90,63.34,52.39,1.61,0.56,307,19,11,8,6.83,14.29,11.38,8,8,33,6,9,166.4,82.09,49.4,43.31,262.8,81.45,2,Randers 2-2 Fredericia,2026-04-23
AGF,1.47,4.06,-2.59,1.47,2.96,-1.49,0.00,1.10,-1.10,1.47,4.06,-2.59,1,1,0,2.59,42.80,45.64,46.68,0.69,1.48,207,15,12,20,17.39,13.51,15.83,9,5,11,3,3,51.0,27.38,105.53,74.95,99.57,55.73,5,Nordsjælland 1-1 AGF,2026-04-23
Nordsjælland,4.06,1.47,2.59,2.96,1.47,1.49,1.10,0.00,1.10,4.06,1.47,2.59,1,1,0,-2.59,57.20,54.36,45.44,1.48,0.69,270,16,20,12,13.51,17.39,11.67,5,9,15,7,18,135.3,72.62,35.27,25.05,79.1,44.27,0,Nordsjælland 1-1 AGF,2026-04-23
Brøndby,3.09,1.15,1.94,3.09,0.48,2.61,0.0,0.68,-0.68,3.09,1.15,1.94,1,0,1,-0.94,50.5,57.03,52.38,0.9,0.46,253,22,17,7,18.89,15.22,8.57,6,7,18,3,8,126.9,61.13,43.87,50.31,126.4,61.4,0,Viborg 0-1 Brøndby,2026-04-22
Viborg,1.15,3.09,-1.94,0.48,3.09,-2.61,0.68,0.0,0.68,1.15,3.09,-1.94,0,1,-1,0.94,49.5,42.97,47.58,0.46,0.9,205,15,7,17,15.22,18.89,16.05,7,6,16,4,7,80.7,38.87,43.33,49.69,79.47,38.6,3,Viborg 0-1 Brøndby,2026-04-22
OB,1.52,3.13,-1.61,1.3,2.54,-1.24,0.23,0.59,-0.36,1.52,3.13,-1.61,1,2,-1,0.61,65.0,50.64,46.25,0.43,0.61,316,15,14,20,32.56,32.79,11.57,3,8,24,11,11,123.1,44.17,3.73,2.04,36.83,10.69,2,København 2-1 OB,2026-04-22
København,3.13,1.52,1.61,2.54,1.3,1.24,0.59,0.23,0.36,3.13,1.52,1.61,2,1,1,-0.61,35.0,49.36,54.04,0.61,0.43,214,21,20,14,32.79,32.56,18.63,8,3,12,6,7,155.6,55.83,178.67,97.96,307.77,89.31,4,København 2-1 OB,2026-04-22
Silkeborg,1.46,1.68,-0.22,0.43,1.36,-0.93,0.27,0.32,-0.05,0.7,1.68,-0.98,2,1,1,1.22,47.0,38.99,41.07,0.29,0.78,161,9,10,15,34.48,19.23,16.31,1,7,11,4,10,50.2,30.97,44.53,44.24,60.33,31.59,2,Vejle 1-2 Silkeborg,2026-04-22
Vejle,1.68,1.46,0.22,1.36,0.43,0.93,0.32,0.27,0.05,1.68,0.7,0.98,1,2,-1,-1.22,53.0,61.01,48.55,0.78,0.29,247,13,15,10,19.23,34.48,12.84,7,1,20,3,9,111.9,69.03,56.13,55.76,130.63,68.41,1,Vejle 1-2 Silkeborg,2026-04-22
AGF,3.19,0.73,2.46,3.16,0.67,2.49,0.03,0.06,-0.03,3.19,0.73,2.46,1,2,-1,-3.46,35.1,52.26,51.79,0.64,0.73,148,20,15,13,23.44,17.81,11.65,5,2,16,5,20,103.8,55.66,120.8,92.83,180.27,93.47,3,Midtjylland 2-1 AGF,2026-04-20
Midtjylland,0.73,3.19,-2.46,0.67,3.16,-2.49,0.06,0.03,0.03,0.73,3.19,-2.46,2,1,1,3.46,64.9,47.74,43.4,0.73,0.64,181,12,13,15,17.81,23.44,5.88,2,5,12,3,14,82.7,44.34,9.33,7.17,12.6,6.53,3,Midtjylland 2-1 AGF,2026-04-20
København,3.18,1.3,1.88,2.54,1.3,1.24,0.64,0.0,0.64,3.18,1.3,1.88,4,1,3,1.12,56.2,72.86,54.8,1.54,0.75,304,28,17,11,11.04,14.67,7.95,12,1,22,6,12,181.7,90.49,50.87,52.91,197.23,91.45,0,Vejle 1-4 København,2026-04-19
Vejle,1.3,3.18,-1.88,1.3,2.54,-1.24,0.0,0.64,-0.64,1.3,3.18,-1.88,1,4,-3,-1.12,43.8,27.14,39.42,0.75,1.54,108,10,11,17,14.67,11.04,22.2,1,12,9,3,13,19.1,9.51,45.27,47.09,18.43,8.55,5,Vejle 1-4 København,2026-04-19
Viborg,2.11,1.87,0.24,2.11,1.45,0.66,0.0,0.42,-0.42,2.11,1.87,0.24,1,2,-1,-1.24,32.9,28.4,42.54,0.76,0.87,139,8,12,18,15.79,20.69,23.17,6,7,15,4,10,13.0,5.97,115.2,86.7,47.9,26.41,0,Nordsjælland 2-1 Viborg,2026-04-19
