Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Aarau,1.70,1.73,-0.03,1.39,1.29,0.10,0.32,0.45,-0.13,1.70,1.73,-0.03,2,2,0,0.03,52.00,52.16,47.60,0.82,0.65,230,10,9,16,10.98,24.62,11.00,3,4,18,4,12,117.6,52.27,30.73,49.04,103.27,50.71,4,Wil 2-2 Aarau,2026-04-25
Wil,1.73,1.70,0.03,1.29,1.39,-0.10,0.45,0.32,0.13,1.73,1.70,0.03,2,2,0,-0.03,48.00,47.84,47.16,0.65,0.82,190,11,16,9,24.62,10.98,12.72,4,3,17,3,12,107.4,47.73,31.93,50.96,100.37,49.29,5,Wil 2-2 Aarau,2026-04-25
Vaduz,4.35,1.74,2.61,3.41,1.63,1.78,0.94,0.11,0.83,4.35,1.74,2.61,3,1,2,-0.61,49.5,48.27,47.43,0.64,0.84,234,18,19,25,29.69,29.76,15.63,3,5,16,7,10,67.6,35.04,85.73,62.64,130.0,63.73,3,Stade Nyonnais 1-3 Vaduz,2026-04-24
Stade Nyonnais,1.74,4.35,-2.61,1.63,3.41,-1.78,0.11,0.94,-0.83,1.74,4.35,-2.61,1,3,-2,0.61,50.5,51.73,46.92,0.84,0.64,232,16,25,19,29.76,29.69,13.1,5,3,21,7,8,125.3,64.96,51.13,37.36,74.0,36.27,1,Stade Nyonnais 1-3 Vaduz,2026-04-24
Etoile Carouge,1.09,3.55,-2.46,1.09,2.61,-1.52,0.0,0.17,-0.17,1.09,2.79,-1.7,1,2,-1,1.46,56.1,57.86,49.65,0.76,0.81,260,12,10,18,13.16,22.22,19.18,4,5,16,4,8,66.9,44.3,25.33,27.3,46.37,27.71,1,Rapperswil-Jona 2-1 Etoile Carouge,2026-04-24
Rapperswil-Jona,3.55,1.09,2.46,2.61,1.09,1.52,0.17,0.0,0.17,2.79,1.09,1.7,2,1,1,-1.46,43.9,42.14,46.05,0.81,0.76,176,18,18,10,22.22,13.16,20.05,5,4,16,8,6,84.1,55.7,67.47,72.7,121.0,72.29,0,Rapperswil-Jona 2-1 Etoile Carouge,2026-04-24
Xamax,1.85,1.89,-0.04,1.07,1.46,-0.39,0.02,0.43,-0.41,1.09,1.89,-0.8,2,2,0,0.04,52.2,48.42,44.7,0.96,0.92,194,8,12,18,12.5,19.57,8.76,9,11,12,4,17,98.0,45.86,58.13,55.97,93.9,43.96,2,Yverdon Sport 2-2 Xamax,2026-04-22
Yverdon Sport,1.89,1.85,0.04,1.46,1.07,0.39,0.43,0.02,0.41,1.89,1.09,0.8,2,2,0,-0.04,47.8,51.58,48.24,0.92,0.96,203,11,18,12,19.57,12.5,7.61,11,9,9,4,17,115.7,54.14,45.73,44.03,119.7,56.04,1,Yverdon Sport 2-2 Xamax,2026-04-22
Stade-Lausanne-Ouchy,0.56,1.42,-0.86,0.4,1.4,-1.0,0.15,0.02,0.13,0.56,1.42,-0.86,0,3,-3,-2.14,55.8,48.86,46.64,0.48,0.96,204,8,9,16,18.75,16.67,8.12,4,5,14,5,14,86.5,41.59,22.27,24.93,59.67,25.83,1,Aarau 3-0 Stade-Lausanne-Ouchy,2026-04-22
Aarau,1.42,0.56,0.86,1.4,0.4,1.0,0.02,0.15,-0.13,1.42,0.56,0.86,3,0,3,2.14,44.2,51.14,50.71,0.96,0.48,187,20,16,9,16.67,18.75,9.07,5,4,21,4,18,121.5,58.41,67.07,75.07,171.37,74.17,2,Aarau 3-0 Stade-Lausanne-Ouchy,2026-04-22
Rapperswil-Jona,2.75,1.36,1.39,2.07,1.34,0.73,0.68,0.02,0.66,2.75,1.36,1.39,1,2,-1,-2.39,38.9,31.52,42.18,1.1,1.2,133,18,16,17,14.55,14.17,18.48,1,13,16,7,9,64.1,25.23,70.53,77.45,50.2,15.23,0,Vaduz 2-1 Rapperswil-Jona,2026-04-19
Vaduz,1.36,2.75,-1.39,1.34,2.07,-0.73,0.02,0.68,-0.66,1.36,2.75,-1.39,2,1,1,2.39,61.1,68.48,53.52,1.2,1.1,369,20,17,16,14.17,14.55,7.74,13,1,20,4,20,190.0,74.77,20.53,22.55,279.43,84.77,0,Vaduz 2-1 Rapperswil-Jona,2026-04-19
Stade Nyonnais,1.88,2.27,-0.39,1.79,1.94,-0.15,0.09,0.32,-0.23,1.88,2.27,-0.39,0,4,-4,-3.61,51.6,60.18,53.41,0.89,0.46,254,16,20,18,22.47,39.13,7.72,12,6,24,8,9,150.3,75.0,56.27,59.23,87.66,44.08,0,Bellinzona 4-0 Stade Nyonnais,2026-04-18
