Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Lugano,2.88,1.04,1.84,2.01,0.86,1.15,0.12,0.19,-0.07,2.12,1.04,1.08,1,0,1,-0.84,54.70,50.0,47.42,0.74,0.76,201,23,13,13,17.57,17.11,9.33,4,6,20,5,14,124.9,57.35,17.07,20.57,108.97,46.41,2,Thun 0-1 Lugano,2026-04-25
Thun,1.04,2.88,-1.84,0.86,2.01,-1.15,0.19,0.12,0.07,1.04,2.12,-1.08,0,1,-1,0.84,45.30,50.0,46.18,0.76,0.74,159,17,13,13,17.11,17.57,11.74,6,4,20,7,10,92.9,42.65,65.93,79.43,125.83,53.59,5,Thun 0-1 Lugano,2026-04-25
Zürich,0.82,1.68,-0.86,0.80,1.40,-0.60,0.02,0.28,-0.26,0.82,1.68,-0.86,0,3,-3,-2.14,57.30,49.82,45.49,0.25,0.36,216,16,10,15,40.0,41.67,11.89,4,4,11,2,8,72.3,46.77,26.73,28.46,22.73,10.11,2,Lausanne-Sport 3-0 Zürich,2026-04-25
Lausanne-Sport,1.68,0.82,0.86,1.40,0.80,0.60,0.28,0.02,0.26,1.68,0.82,0.86,3,0,3,2.14,42.70,50.18,43.72,0.36,0.25,155,9,15,10,41.67,40.0,16.67,4,4,13,7,12,82.3,53.23,67.2,71.54,202.11,89.89,1,Lausanne-Sport 3-0 Zürich,2026-04-25
Luzern,1.94,0.94,1.00,1.74,0.94,0.80,0.20,0.00,0.20,1.94,0.94,1.00,2,1,1,0.00,58.20,61.39,49.17,1.12,0.45,256,17,19,11,16.96,24.44,14.77,4,6,21,6,9,180.4,84.5,25.4,23.71,141.67,74.73,0,Grasshoppers 1-2 Luzern,2026-04-25
Grasshoppers,0.94,1.94,-1.00,0.94,1.74,-0.80,0.00,0.20,-0.20,0.94,1.94,-1.00,1,2,-1,0.00,41.80,38.61,48.18,0.45,1.12,197,2,11,19,24.44,16.96,18.27,6,4,13,5,6,33.1,15.5,81.73,76.29,47.9,25.27,1,Grasshoppers 1-2 Luzern,2026-04-25
Basel,1.63,2.03,-0.4,1.56,2.0,-0.44,0.07,0.02,0.05,1.63,2.03,-0.4,1,3,-2,-1.6,58.9,56.63,46.59,0.9,0.72,206,15,17,17,18.89,23.61,7.65,6,11,18,8,8,134.3,63.92,31.73,43.15,118.5,50.71,0,Thun 3-1 Basel,2026-04-18
Thun,2.03,1.63,0.4,2.0,1.56,0.44,0.02,0.07,-0.05,2.03,1.63,0.4,3,1,2,1.6,41.1,43.37,41.49,0.72,0.9,124,13,17,17,23.61,18.89,7.22,11,6,16,5,19,75.8,36.08,41.8,56.85,115.2,49.29,2,Thun 3-1 Basel,2026-04-18
Servette,1.36,2.24,-0.88,1.34,0.69,0.65,0.02,0.79,-0.77,1.36,1.48,-0.12,1,1,0,0.88,41.2,22.04,35.58,0.68,1.53,84,11,14,14,20.59,9.15,18.19,2,11,12,6,8,21.0,10.59,64.2,61.22,31.77,16.78,1,Young Boys 1-1 Servette,2026-04-12
Young Boys,2.24,1.36,0.88,0.69,1.34,-0.65,0.79,0.02,0.77,1.48,1.36,0.12,1,1,0,-0.88,58.8,77.96,53.83,1.53,0.68,327,22,14,14,9.15,20.59,7.77,11,2,34,7,13,177.3,89.41,40.67,38.78,157.53,83.22,1,Young Boys 1-1 Servette,2026-04-12
Lausanne-Sport,0.15,3.36,-3.21,0.06,1.5,-1.44,0.09,0.34,-0.25,0.15,1.84,-1.69,0,3,-3,0.21,41.3,42.72,48.59,0.31,1.07,197,7,2,12,6.45,11.21,12.66,3,7,10,2,19,20.3,14.37,106.4,86.88,52.04,30.2,3,Sion 3-0 Lausanne-Sport,2026-04-12
Sion,3.36,0.15,3.21,1.5,0.06,1.44,0.34,0.09,0.25,1.84,0.15,1.69,3,0,3,-0.21,58.7,57.28,44.61,1.07,0.31,212,17,12,2,11.21,6.45,6.32,7,3,21,4,18,121.0,85.63,16.07,13.12,120.28,69.8,0,Sion 3-0 Lausanne-Sport,2026-04-12
St.Gallen,1.95,1.87,0.08,1.0,1.58,-0.58,0.2,0.29,-0.09,1.19,1.87,-0.68,2,2,0,-0.08,47.7,48.08,47.22,0.43,0.86,157,13,15,8,34.88,9.3,8.89,8,3,15,5,14,56.0,55.61,37.93,51.77,58.17,45.29,2,Luzern 2-2 St.Gallen,2026-04-12
Luzern,1.87,1.95,-0.08,1.58,1.0,0.58,0.29,0.2,0.09,1.87,1.19,0.68,2,2,0,0.08,52.3,51.92,44.97,0.86,0.43,166,13,8,15,9.3,34.88,8.18,3,8,15,6,14,44.7,44.39,35.33,48.23,70.27,54.71,2,Luzern 2-2 St.Gallen,2026-04-12
Lugano,1.34,0.6,0.74,1.13,0.34,0.79,0.21,0.26,-0.05,1.34,0.6,0.74,1,0,1,0.26,53.6,59.58,45.53,1.1,0.4,198,14,11,6,10.0,15.0,10.19,8,1,18,5,11,108.6,70.84,49.0,43.16,100.07,71.19,0,Zürich 0-1 Lugano,2026-04-11
Zürich,0.6,1.34,-0.74,0.34,1.13,-0.79,0.26,0.21,0.05,0.6,1.34,-0.74,0,1,-1,-0.26,46.4,40.42,44.23,0.4,1.1,176,7,6,11,15.0,10.0,11.24,1,8,11,2,16,44.7,29.16,64.53,56.84,40.5,28.81,1,Zürich 0-1 Lugano,2026-04-11
Grasshoppers,1.67,1.11,0.56,0.91,1.01,-0.1,0.0,0.1,-0.1,0.91,1.11,-0.2,2,0,2,1.44,33.4,37.58,49.17,0.8,1.21,136,9,11,8,13.75,6.61,10.07,6,4,15,3,22,67.1,38.02,150.13,99.29,174.13,86.76,4,Winterthur 0-2 Grasshoppers,2026-04-11
Winterthur,1.11,1.67,-0.56,1.01,0.91,0.1,0.1,0.0,0.1,1.11,0.91,0.2,0,2,-2,-1.44,66.6,62.42,45.55,1.21,0.8,249,13,8,11,6.61,13.75,7.54,4,6,24,3,9,109.4,61.98,1.07,0.71,26.57,13.24,0,Winterthur 0-2 Grasshoppers,2026-04-11
Zürich,1.27,2.17,-0.9,1.27,0.8,0.47,0.0,0.61,-0.61,1.27,1.41,-0.14,1,2,-1,-0.1,47.7,45.39,44.79,0.9,0.76,152,13,8,17,8.89,22.37,6.84,12,4,13,2,15,37.4,25.53,27.33,52.36,40.23,26.11,1,St.Gallen 2-1 Zürich,2026-04-06
St.Gallen,2.17,1.27,0.9,0.8,1.27,-0.47,0.61,0.0,0.61,1.41,1.27,0.14,2,1,1,0.1,52.3,54.61,46.12,0.76,0.9,168,16,17,8,22.37,8.89,7.15,4,12,28,12,19,109.1,74.47,24.87,47.64,113.87,73.89,3,St.Gallen 2-1 Zürich,2026-04-06
Luzern,0.84,1.68,-0.84,0.78,1.64,-0.86,0.06,0.04,0.02,0.84,1.68,-0.84,0,3,-3,-2.16,51.5,47.12,47.24,0.59,1.11,193,7,6,11,10.17,9.91,7.4,5,8,24,6,11,75.9,37.78,25.67,43.41,39.47,20.6,0,Servette 3-0 Luzern,2026-04-06
Servette,1.68,0.84,0.84,1.64,0.78,0.86,0.04,0.06,-0.02,1.68,0.84,0.84,3,0,3,2.16,48.5,52.88,52.37,1.11,0.59,226,16,11,6,9.91,10.17,8.45,8,5,25,4,13,125.0,62.22,33.47,56.59,152.13,79.4,1,Servette 3-0 Luzern,2026-04-06
Sion,2.2,0.75,1.45,1.36,0.71,0.65,0.08,0.04,0.04,1.44,0.75,0.69,4,0,4,2.55,56.8,53.38,45.88,1.38,0.22,218,19,14,9,10.14,40.91,9.18,0,4,13,3,14,125.3,70.12,34.33,27.57,127.4,65.65,0,Grasshoppers 0-4 Sion,2026-04-06
Grasshoppers,0.75,2.2,-1.45,0.71,1.36,-0.65,0.04,0.08,-0.04,0.75,1.44,-0.69,0,4,-4,-2.55,43.2,46.62,50.28,0.22,1.38,197,10,9,14,40.91,10.14,17.58,4,0,20,1,11,53.4,29.88,90.2,72.43,66.67,34.35,6,Grasshoppers 0-4 Sion,2026-04-06
Young Boys,1.26,1.66,-0.4,1.19,1.66,-0.47,0.06,0.0,0.06,1.26,1.66,-0.4,3,3,0,0.4,54.8,52.12,47.69,0.62,0.64,242,20,13,9,20.97,14.06,8.24,7,8,18,7,16,140.7,60.1,18.6,16.8,103.0,44.84,0,Basel 3-3 Young Boys,2026-04-04
Basel,1.66,1.26,0.4,1.66,1.19,0.47,0.0,0.06,-0.06,1.66,1.26,0.4,3,3,0,-0.4,45.2,47.88,51.69,0.64,0.62,235,18,9,13,14.06,20.97,13.11,8,7,14,3,6,93.4,39.9,92.13,83.2,126.73,55.16,0,Basel 3-3 Young Boys,2026-04-04
Thun,1.9,2.01,-0.11,1.65,1.78,-0.13,0.25,0.23,0.02,1.9,2.01,-0.11,0,1,-1,-0.89,42.9,54.61,46.36,0.98,0.41,166,16,13,15,13.27,36.59,11.37,4,0,19,5,15,70.2,46.15,73.07,74.56,95.43,57.69,6,Lugano 1-0 Thun,2026-04-04
Lugano,2.01,1.9,0.11,1.78,1.65,0.13,0.23,0.25,-0.02,2.01,1.9,0.11,1,0,1,0.89,57.1,45.39,42.12,0.41,0.98,162,10,15,13,36.59,13.27,10.56,0,4,8,3,9,81.9,53.85,24.93,25.44,70.0,42.31,0,Lugano 1-0 Thun,2026-04-04
Winterthur,2.08,3.75,-1.67,0.39,3.58,-3.19,0.93,0.17,0.76,1.32,3.75,-2.43,1,2,-1,0.67,47.7,36.92,40.41,0.63,0.83,143,18,11,24,17.46,28.92,11.19,5,6,20,8,6,26.8,13.16,47.8,56.9,32.3,15.35,0,Lausanne-Sport 2-1 Winterthur,2026-04-04
Lausanne-Sport,3.75,2.08,1.67,3.58,0.39,3.19,0.17,0.93,-0.76,3.75,1.32,2.43,2,1,1,-0.67,52.3,63.08,53.08,0.83,0.63,283,19,24,11,28.92,17.46,9.74,6,5,14,3,17,176.8,86.84,36.2,43.1,178.1,84.65,3,Lausanne-Sport 2-1 Winterthur,2026-04-04
Lugano,2.6,2.05,0.55,1.84,2.03,-0.19,0.0,0.02,-0.02,1.84,2.05,-0.21,1,1,0,-0.55,46.5,42.9,44.95,0.74,1.33,191,5,15,16,20.27,12.03,13.34,2,4,17,4,16,73.0,39.33,56.27,60.85,69.7,37.19,0,Young Boys 1-1 Lugano,2026-03-22
Young Boys,2.05,2.6,-0.55,2.03,1.84,0.19,0.02,0.0,0.02,2.05,1.84,0.21,1,1,0,0.55,53.5,57.1,47.13,1.33,0.74,250,16,16,15,12.03,20.27,10.69,4,2,20,6,8,112.6,60.67,36.2,39.15,117.73,62.81,0,Young Boys 1-1 Lugano,2026-03-22
Lausanne-Sport,0.84,3.52,-2.68,0.63,3.4,-2.77,0.21,0.12,0.09,0.84,3.52,-2.68,0,4,-4,-1.32,55.7,61.74,53.74,0.86,1.72,308,20,13,12,15.12,6.98,13.71,5,3,19,8,6,177.8,69.89,18.53,25.16,105.93,36.67,0,Luzern 4-0 Lausanne-Sport,2026-03-22
