Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Ümraniyespor,3.08,0.67,2.41,2.52,0.59,1.93,0.56,0.08,0.48,3.08,0.67,2.41,3,1,2,-0.41,58.70,69.71,49.45,1.2,0.39,218,15,16,8,13.33,20.51,9.52,5,4,16,7,11,169.2,86.68,21.47,27.69,146.43,77.95,0,Adana Demirspor 1-3 Ümraniyespor,2026-04-25
Adana Demirspor,0.67,3.08,-2.41,0.59,2.52,-1.93,0.08,0.56,-0.48,0.67,3.08,-2.41,1,3,-2,0.41,41.30,30.29,40.56,0.39,1.2,85,4,8,16,20.51,13.33,10.44,4,5,8,7,13,26.0,13.32,56.07,72.31,41.43,22.05,0,Adana Demirspor 1-3 Ümraniyespor,2026-04-25
İstanbulspor,3.04,1.55,1.49,2.28,1.25,1.03,0.00,0.30,-0.30,2.28,1.55,0.73,3,1,2,0.51,42.80,43.8,42.78,0.52,0.68,102,11,12,13,23.08,19.12,7.76,3,4,18,3,18,46.1,33.26,54.33,60.55,70.43,49.0,1,Vanspor 1-3 İstanbulspor,2026-04-25
Vanspor,1.55,3.04,-1.49,1.25,2.28,-1.03,0.30,0.00,0.30,1.55,2.28,-0.73,1,3,-2,-0.51,57.20,56.2,45.84,0.68,0.52,158,12,13,12,19.12,23.08,7.12,4,3,23,8,15,92.5,66.74,35.4,39.45,73.3,51.0,1,Vanspor 1-3 İstanbulspor,2026-04-25
Hatayspor,4.35,2.56,1.79,1.59,2.52,-0.93,2.00,0.05,1.95,3.59,2.56,1.03,2,4,-2,-3.79,43.90,45.35,40.38,0.76,0.99,118,11,16,14,21.05,14.14,12.07,3,6,15,5,16,90.9,44.87,54.27,61.9,108.17,51.37,1,Serik Spor 4-2 Hatayspor,2026-04-25
Serik Spor,2.56,4.35,-1.79,2.52,1.59,0.93,0.05,2.00,-1.95,2.56,3.59,-1.03,4,2,2,3.79,56.10,54.65,46.50,0.99,0.76,185,22,14,16,14.14,21.05,9.00,6,3,12,4,11,111.7,55.13,33.4,38.1,102.4,48.63,0,Serik Spor 4-2 Hatayspor,2026-04-25
Serik Spor,1.14,2.94,-1.8,1.1,1.93,-0.83,0.04,0.25,-0.21,1.14,2.18,-1.04,0,1,-1,0.8,41.6,33.43,44.66,0.6,1.14,151,12,10,14,16.67,12.28,14.79,2,3,10,4,21,44.7,20.87,75.73,82.49,49.6,27.89,0,Manisa FK 1-0 Serik Spor,2026-04-19
Manisa FK,2.94,1.14,1.8,1.93,1.1,0.83,0.25,0.04,0.21,2.18,1.14,1.04,1,0,1,-0.8,58.4,66.57,53.2,1.14,0.6,347,13,14,10,12.28,16.67,6.91,3,2,20,2,10,169.5,79.13,16.07,17.51,128.23,72.11,0,Manisa FK 1-0 Serik Spor,2026-04-19
Vanspor,1.51,1.87,-0.36,0.52,1.78,-1.26,0.99,0.08,0.91,1.51,1.87,-0.36,2,1,1,1.36,49.8,40.71,44.67,0.26,0.78,171,6,7,11,26.92,14.1,9.45,3,3,11,3,12,73.8,34.17,46.27,43.16,47.03,28.64,0,Ümraniyespor 1-2 Vanspor,2026-04-19
Ümraniyespor,1.87,1.51,0.36,1.78,0.52,1.26,0.08,0.99,-0.91,1.87,1.51,0.36,1,2,-1,-1.36,50.2,59.29,50.23,0.78,0.26,222,11,11,7,14.1,26.92,12.44,3,3,14,4,8,142.2,65.83,60.93,56.84,117.2,71.36,0,Ümraniyespor 1-2 Vanspor,2026-04-19
