Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Al Jazira,2.78,1.52,1.26,2.76,1.03,1.73,0.02,0.49,-0.47,2.78,1.52,1.26,2,3,-1,-2.26,60.30,70.0,48.33,0.82,0.19,223,20,13,14,15.85,73.68,5.87,7,4,20,5,16,103.2,79.26,22.6,24.91,84.03,61.2,2,Al Nasr 3-2 Al Jazira,2026-04-24
Al Nasr,1.52,2.78,-1.26,1.03,2.76,-1.73,0.49,0.02,0.47,1.52,2.78,-1.26,3,2,1,2.26,39.70,30.0,37.07,0.19,0.82,79,5,14,13,73.68,15.85,9.78,4,7,5,3,18,27.0,20.74,68.13,75.09,53.27,38.8,1,Al Nasr 3-2 Al Jazira,2026-04-24
Dibba Al Fujairah,1.58,4.66,-3.08,0.65,2.87,-2.22,0.17,1.02,-0.85,0.82,3.90,-3.08,2,4,-2,1.08,30.10,15.94,40.78,0.61,2.52,88,7,11,27,18.03,10.71,23.12,1,9,12,4,10,20.8,5.47,113.0,86.08,18.1,3.76,0,Al Wasl 4-2 Dibba Al Fujairah,2026-04-24
Al Wasl,4.66,1.58,3.08,2.87,0.65,2.22,1.02,0.17,0.85,3.90,0.82,3.08,4,2,2,-1.08,69.90,84.06,59.21,2.52,0.61,437,32,27,11,10.71,18.03,6.16,9,1,24,12,10,359.3,94.53,18.27,13.92,463.03,96.24,3,Al Wasl 4-2 Dibba Al Fujairah,2026-04-24
Ajman,0.41,0.74,-0.33,0.41,0.74,-0.33,0.00,0.00,0.00,0.41,0.74,-0.33,1,0,1,1.33,48.40,48.13,41.77,0.3,0.64,112,5,7,5,23.33,7.81,8.22,3,1,12,3,20,47.9,48.88,36.13,48.13,43.97,48.94,1,Al Dhafra 0-1 Ajman,2026-04-24
Al Dhafra,0.74,0.41,0.33,0.74,0.41,0.33,0.00,0.00,0.00,0.74,0.41,0.33,0,1,-1,-1.33,51.60,51.87,43.79,0.64,0.3,135,4,5,7,7.81,23.33,7.91,1,3,16,2,17,50.1,51.12,38.93,51.87,45.87,51.06,2,Al Dhafra 0-1 Ajman,2026-04-24
Al Ain,1.28,0.58,0.7,0.43,0.47,-0.04,0.1,0.11,-0.01,0.52,0.58,-0.06,2,0,2,1.3,58.3,57.78,48.52,0.72,0.34,311,10,11,11,15.28,32.35,17.75,3,3,20,5,7,117.4,68.18,30.87,23.09,82.6,50.98,0,Al Bataeh 0-2 Al Ain,2026-04-23
Al Bataeh,0.58,1.28,-0.7,0.47,0.43,0.04,0.11,0.1,0.01,0.58,0.52,0.06,0,2,-2,-1.3,41.7,42.22,50.35,0.34,0.72,235,3,11,11,32.35,15.28,38.46,3,3,17,2,4,54.8,31.82,102.8,76.91,79.43,49.02,0,Al Bataeh 0-2 Al Ain,2026-04-23
Al Wahda,2.02,1.35,0.67,2.02,0.29,1.73,0.0,1.06,-1.06,2.02,1.35,0.67,2,0,2,1.33,44.4,37.28,43.71,0.9,0.53,145,14,10,9,11.11,16.98,11.66,3,9,8,3,16,58.7,38.75,91.0,79.78,107.5,77.19,0,Sharjah 0-2 Al Wahda,2026-04-23
Sharjah,1.35,2.02,-0.67,0.29,2.02,-1.73,1.06,0.0,1.06,1.35,2.02,-0.67,0,2,-2,-1.33,55.6,62.72,46.22,0.53,0.9,229,9,9,10,16.98,11.11,6.88,9,3,15,4,15,92.8,61.25,23.07,20.22,31.77,22.81,1,Sharjah 0-2 Al Wahda,2026-04-23
Bani Yas,3.1,1.87,1.23,1.98,1.36,0.62,1.12,0.51,0.61,3.1,1.87,1.23,2,1,1,-0.23,50.1,58.75,51.97,1.34,0.8,268,15,13,12,9.7,15.0,16.96,5,3,20,6,6,131.3,58.17,60.27,57.65,138.83,62.6,0,Kalba 1-2 Bani Yas,2026-04-23
Kalba,1.87,3.1,-1.23,1.36,1.98,-0.62,0.51,1.12,-0.61,1.87,3.1,-1.23,1,2,-1,0.23,49.9,41.25,46.5,0.8,1.34,218,12,12,13,15.0,9.7,22.69,3,5,14,2,6,94.4,41.83,44.27,42.35,82.93,37.4,0,Kalba 1-2 Bani Yas,2026-04-23
Al Wasl,2.58,1.26,1.32,2.54,0.34,2.2,0.04,0.16,-0.12,2.58,0.5,2.08,3,1,2,0.68,46.9,47.88,51.94,0.57,0.62,130,9,14,10,24.56,16.13,7.87,1,5,13,6,20,85.3,58.71,52.0,78.79,106.17,81.64,0,Ajman 1-3 Al Wasl,2026-04-11
Ajman,1.26,2.58,-1.32,0.34,2.54,-2.2,0.16,0.04,0.12,0.5,2.58,-2.08,1,3,-2,-0.68,53.1,52.12,48.14,0.62,0.57,142,11,10,14,16.13,24.56,5.03,5,1,23,7,14,60.0,41.29,14.0,21.21,23.87,18.36,2,Ajman 1-3 Al Wasl,2026-04-11
Al Bataeh,0.52,1.12,-0.6,0.47,0.34,0.13,0.04,0.78,-0.74,0.52,1.12,-0.6,1,1,0,0.6,46.7,47.58,47.38,0.59,0.89,159,8,9,6,15.25,6.74,18.21,0,2,20,8,10,74.8,58.16,48.0,69.09,92.93,70.76,0,Khorfakkan 1-1 Al Bataeh,2026-04-11
Khorfakkan,1.12,0.52,0.6,0.34,0.47,-0.13,0.78,0.04,0.74,1.12,0.52,0.6,1,1,0,-0.6,53.3,52.42,44.66,0.89,0.59,161,12,6,9,6.74,15.25,14.24,2,0,19,8,12,53.8,41.84,21.47,30.91,38.4,29.24,4,Khorfakkan 1-1 Al Bataeh,2026-04-11
Dibba Al Fujairah,2.03,2.08,-0.05,2.03,1.95,0.08,0.0,0.13,-0.13,2.03,2.08,-0.05,3,4,-1,-0.95,39.2,27.78,44.02,0.68,1.55,138,9,9,14,13.24,9.03,18.39,2,5,16,2,10,28.1,11.41,88.2,83.63,29.13,10.6,0,Al Jazira 4-3 Dibba Al Fujairah,2026-04-11
Al Jazira,2.08,2.03,0.05,1.95,2.03,-0.08,0.13,0.0,0.13,2.08,2.03,0.05,4,3,1,0.95,60.8,72.22,54.18,1.55,0.68,354,20,14,9,9.03,13.24,8.76,5,2,25,4,18,218.1,88.59,17.27,16.37,245.73,89.4,0,Al Jazira 4-3 Dibba Al Fujairah,2026-04-11
Al Nasr,1.15,0.53,0.62,1.04,0.45,0.59,0.11,0.08,0.03,1.15,0.53,0.62,1,0,1,0.38,64.1,55.9,47.91,0.58,0.66,280,13,8,7,13.79,10.61,7.53,4,3,22,4,15,89.3,61.16,18.2,15.05,41.07,31.6,0,Al Dhafra 0-1 Al Nasr,2026-04-11
Al Dhafra,0.53,1.15,-0.62,0.45,1.04,-0.59,0.08,0.11,-0.03,0.53,1.15,-0.62,0,1,-1,-0.38,35.9,44.1,49.27,0.66,0.58,159,8,7,8,10.61,13.79,14.82,3,4,15,3,11,56.7,38.84,102.73,84.95,88.9,68.4,0,Al Dhafra 0-1 Al Nasr,2026-04-11
