Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Las Vegas Lights,1.16,2.95,-1.79,1.16,2.12,-0.96,0.00,0.07,-0.07,1.16,2.19,-1.03,2,4,-2,-0.21,45.50,51.06,45.87,0.46,0.56,178,8,7,12,15.22,21.43,10.09,5,6,13,0,17,61.3,46.23,102.47,80.14,53.06,34.11,0,Oakland Roots 4-2 Las Vegas Lights,2026-04-22
Oakland Roots,2.95,1.16,1.79,2.12,1.16,0.96,0.07,0.00,0.07,2.19,1.16,1.03,4,2,2,0.21,54.50,48.94,39.04,0.56,0.46,152,8,12,7,21.43,15.22,9.53,6,5,20,7,14,71.3,53.77,25.4,19.86,102.49,65.89,0,Oakland Roots 4-2 Las Vegas Lights,2026-04-22
Charleston Battery,1.36,2.51,-1.15,1.16,1.61,-0.45,0.20,0.14,0.06,1.36,1.75,-0.39,0,4,-4,-2.85,62.40,65.88,45.60,0.7,0.48,215,19,13,13,18.57,27.08,8.15,5,4,20,8,11,115.8,66.13,28.4,23.51,66.43,36.68,1,Rhode Island 4-0 Charleston Battery,2026-04-22
Rhode Island,2.51,1.36,1.15,1.61,1.16,0.45,0.14,0.20,-0.06,1.75,1.36,0.39,4,0,4,2.85,37.60,34.12,41.92,0.48,0.7,117,10,13,13,27.08,18.57,16.65,4,5,10,3,10,59.3,33.87,92.4,76.49,114.68,63.32,2,Rhode Island 4-0 Charleston Battery,2026-04-22
Sacramento Republic,1.69,1.14,0.55,0.93,1.14,-0.21,0.0,0.0,0.0,0.93,1.14,-0.21,1,1,0,-0.55,61.1,62.29,50.51,0.58,0.39,281,10,11,8,18.97,20.51,7.22,6,6,21,5,13,145.6,83.58,36.27,25.77,96.33,60.45,8,Brooklyn 1-1 Sacramento Republic,2026-04-21
Brooklyn,1.14,1.69,-0.55,1.14,0.93,0.21,0.0,0.0,0.0,1.14,0.93,0.21,1,1,0,0.55,38.9,37.71,44.6,0.39,0.58,131,3,8,11,20.51,18.97,12.06,6,6,14,4,18,28.6,16.42,104.47,74.23,63.03,39.55,4,Brooklyn 1-1 Sacramento Republic,2026-04-21
Indy Eleven,0.57,2.84,-2.27,0.55,1.83,-1.28,0.02,0.26,-0.24,0.57,2.08,-1.51,2,2,0,2.27,30.7,32.01,46.78,0.43,0.68,115,9,8,18,18.6,26.47,17.39,4,3,14,2,12,27.6,12.87,170.47,95.37,108.0,47.98,1,Birmingham Legion 2-2 Indy Eleven,2026-04-19
Birmingham Legion,2.84,0.57,2.27,1.83,0.55,1.28,0.26,0.02,0.24,2.08,0.57,1.51,2,2,0,-2.27,69.3,67.99,50.95,0.68,0.43,344,16,18,8,26.47,18.6,9.08,3,4,16,9,14,186.9,87.13,8.27,4.63,117.1,52.02,0,Birmingham Legion 2-2 Indy Eleven,2026-04-19
Lexington,0.38,0.89,-0.51,0.28,0.69,-0.41,0.1,0.2,-0.1,0.38,0.89,-0.51,0,0,0,0.51,49.7,58.85,41.62,0.5,0.5,153,8,7,12,14.0,24.0,13.33,2,3,16,6,16,84.7,59.15,50.87,46.44,82.6,56.27,1,Orange County SC 0-0 Lexington,2026-04-18
Orange County SC,0.89,0.38,0.51,0.69,0.28,0.41,0.2,0.1,0.1,0.89,0.38,0.51,0,0,0,-0.51,50.3,41.15,41.25,0.5,0.5,140,8,12,7,24.0,14.0,14.88,3,2,19,5,10,58.5,40.85,58.67,53.56,64.2,43.73,0,Orange County SC 0-0 Lexington,2026-04-18
