Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Corpus Christi,1.56,2.08,-0.52,1.55,2.08,-0.53,0.01,0.00,0.01,1.56,2.08,-0.52,1,2,-1,-0.48,44.50,43.96,43.70,0.88,0.64,153,14,12,12,13.64,18.75,16.00,3,6,19,2,9,73.6,41.68,54.33,64.79,62.3,37.65,0,Sarasota Paradise 2-1 Corpus Christi,2026-04-22
Sarasota Paradise,2.08,1.56,0.52,2.08,1.55,0.53,0.00,0.01,-0.01,2.08,1.56,0.52,2,1,1,0.48,55.50,56.04,48.15,0.64,0.88,224,13,12,12,18.75,13.64,11.39,6,3,22,6,14,103.0,58.32,29.53,35.21,103.17,62.35,2,Sarasota Paradise 2-1 Corpus Christi,2026-04-22
Naples,0.29,1.6,-1.31,0.29,1.18,-0.89,0.0,0.43,-0.43,0.29,1.6,-1.31,1,1,0,1.31,56.3,47.4,41.91,0.41,0.43,148,6,6,13,14.63,30.23,10.0,0,7,16,2,10,31.6,24.82,14.4,14.83,5.83,3.63,3,Portland Hearts of Pine 1-1 Naples,2026-04-19
Portland Hearts of Pine,1.6,0.29,1.31,1.18,0.29,0.89,0.43,0.0,0.43,1.6,0.29,1.31,1,1,0,-1.31,43.7,52.6,50.12,0.43,0.41,166,12,13,6,30.23,14.63,11.15,7,0,15,5,14,95.7,75.18,82.67,85.17,154.7,96.37,1,Portland Hearts of Pine 1-1 Naples,2026-04-19
Forward Madison,1.33,2.83,-1.5,0.4,2.52,-2.12,0.93,0.31,0.62,1.33,2.83,-1.5,2,2,0,1.5,39.2,37.78,46.84,0.58,1.34,146,12,8,14,13.79,10.45,11.31,6,2,17,9,14,40.8,17.32,74.33,75.69,51.63,30.77,3,New York Cosmos 2-2 Forward Madison,2026-04-19
New York Cosmos,2.83,1.33,1.5,2.52,0.4,2.12,0.31,0.93,-0.62,2.83,1.33,1.5,2,2,0,-1.5,60.8,62.22,50.93,1.34,0.58,238,13,14,8,10.45,13.79,8.92,2,6,25,9,12,194.8,82.68,23.87,24.31,116.17,69.23,1,New York Cosmos 2-2 Forward Madison,2026-04-19
Westchester SC,0.75,2.16,-1.41,0.75,1.45,-0.7,0.0,0.7,-0.7,0.75,2.16,-1.41,0,4,-4,-2.59,48.9,52.19,50.79,0.56,0.43,262,10,9,13,16.07,30.23,14.39,1,0,14,2,12,113.0,48.17,102.67,64.03,72.42,29.82,2,Athletic Club Boise 4-0 Westchester SC,2026-04-18
Athletic Club Boise,2.16,0.75,1.41,1.45,0.75,0.7,0.7,0.0,0.7,2.16,0.75,1.41,4,0,4,2.59,51.1,47.81,45.77,0.43,0.56,218,10,13,9,30.23,16.07,16.0,0,1,12,5,12,121.6,51.83,57.67,35.97,170.46,70.18,0,Athletic Club Boise 4-0 Westchester SC,2026-04-18
Charlotte Independence,0.94,3.2,-2.26,0.89,2.44,-1.55,0.05,0.0,0.05,0.94,2.44,-1.5,1,2,-1,1.26,51.2,50.99,44.87,0.83,0.56,176,14,19,18,22.89,32.14,10.38,4,4,22,7,12,102.0,58.82,28.93,37.84,115.27,73.26,0,One Knoxville 2-1 Charlotte Independence,2026-04-18
One Knoxville,3.2,0.94,2.26,2.44,0.89,1.55,0.0,0.05,-0.05,2.44,0.94,1.5,2,1,1,-1.26,48.8,49.01,46.92,0.56,0.83,179,7,18,19,32.14,22.89,10.15,4,4,10,3,13,71.4,41.18,47.53,62.16,42.07,26.74,1,One Knoxville 2-1 Charlotte Independence,2026-04-18
