Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Carolina Ascent,1.97,1.04,0.93,0.97,1.04,-0.07,0.24,0.00,0.24,1.21,1.04,0.17,2,1,1,0.07,54.20,67.84,47.04,0.63,0.5,246,13,13,8,20.63,16.0,10.53,9,6,18,8,9,123.8,87.99,50.47,48.09,144.63,78.45,3,Tampa Bay Sun 1-2 Carolina Ascent,2026-04-25
Tampa Bay Sun,1.04,1.97,-0.93,1.04,0.97,0.07,0.00,0.24,-0.24,1.04,1.21,-0.17,1,2,-1,-0.07,45.80,32.16,37.70,0.5,0.63,117,5,8,13,16.0,20.63,15.76,6,9,10,0,10,16.9,12.01,54.47,51.91,39.73,21.55,0,Tampa Bay Sun 1-2 Carolina Ascent,2026-04-25
Dallas Trinity,0.61,1.64,-1.03,0.51,1.36,-0.85,0.11,0.28,-0.17,0.61,1.64,-1.03,1,1,0,1.03,54.20,35.51,42.90,0.56,0.64,126,5,8,16,14.29,25.0,12.53,4,11,17,1,12,43.2,24.93,15.33,19.6,38.57,17.93,0,Brooklyn 1-1 Dallas Trinity,2026-04-25
Brooklyn,1.64,0.61,1.03,1.36,0.51,0.85,0.28,0.11,0.17,1.64,0.61,1.03,1,1,0,-1.03,45.80,64.49,48.57,0.64,0.56,176,15,16,8,25.0,14.29,9.82,11,4,16,6,3,130.1,75.07,62.87,80.4,176.5,82.07,3,Brooklyn 1-1 Dallas Trinity,2026-04-25
Lexington,2.08,1.63,0.45,2.08,0.78,1.30,0.00,0.08,-0.08,2.08,0.87,1.21,2,1,1,0.55,48.10,39.84,40.69,0.5,0.52,143,5,9,8,18.0,15.38,11.26,8,11,8,1,11,73.4,44.92,54.8,69.84,111.13,61.94,1,Sporting JAX 1-2 Lexington,2026-04-25
Sporting JAX,1.63,2.08,-0.45,0.78,2.08,-1.30,0.08,0.00,0.08,0.87,2.08,-1.21,1,2,-1,-0.55,51.90,60.16,43.01,0.52,0.5,199,10,8,9,15.38,18.0,10.38,11,8,23,4,13,90.0,55.08,23.67,30.16,68.3,38.06,0,Sporting JAX 1-2 Lexington,2026-04-25
Fort Lauderdale United,0.28,6.82,-6.54,0.28,5.59,-5.31,0.0,1.24,-1.24,0.28,6.82,-6.54,0,4,-4,2.54,37.5,27.8,38.7,0.34,1.74,81,6,4,28,11.76,16.09,11.48,5,11,7,2,10,0.3,0.1,82.73,79.66,2.8,0.71,1,DC Power 4-0 Fort Lauderdale United,2026-04-22
DC Power,6.82,0.28,6.54,5.59,0.28,5.31,1.24,0.0,1.24,6.82,0.28,6.54,4,0,4,-2.54,62.5,72.2,52.31,1.74,0.34,277,25,28,4,16.09,11.76,8.12,11,5,21,10,12,290.7,99.9,21.13,20.34,390.73,99.29,0,DC Power 4-0 Fort Lauderdale United,2026-04-22
Sporting JAX,2.46,2.81,-0.35,2.35,1.97,0.38,0.11,0.08,0.03,2.46,2.05,0.41,1,2,-1,-0.65,57.2,51.45,44.01,0.95,0.92,186,18,21,12,22.11,13.04,10.83,5,5,28,5,10,116.7,57.26,11.2,11.36,66.07,34.05,1,Spokane Zephyr 2-1 Sporting JAX,2026-04-19
Spokane Zephyr,2.81,2.46,0.35,1.97,2.35,-0.38,0.08,0.11,-0.03,2.05,2.46,-0.41,2,1,1,0.65,42.8,48.55,50.26,0.92,0.95,168,16,12,21,13.04,22.11,14.23,5,5,13,4,10,87.1,42.74,87.4,88.64,127.97,65.95,0,Spokane Zephyr 2-1 Sporting JAX,2026-04-19
Carolina Ascent,1.38,2.72,-1.34,1.38,2.0,-0.62,0.0,0.72,-0.72,1.38,2.72,-1.34,1,0,1,2.34,41.2,35.0,38.46,0.8,0.6,100,9,8,24,10.0,40.0,11.64,8,10,8,0,10,27.3,13.97,69.27,75.34,53.17,27.12,1,Dallas Trinity 0-1 Carolina Ascent,2026-04-19
Dallas Trinity,2.72,1.38,1.34,2.0,1.38,0.62,0.72,0.0,0.72,2.72,1.38,1.34,0,1,-1,-2.34,58.8,65.0,52.44,0.6,0.8,299,19,24,8,40.0,10.0,8.15,10,8,30,11,11,168.1,86.03,22.67,24.66,142.87,72.88,0,Dallas Trinity 0-1 Carolina Ascent,2026-04-19
Tampa Bay Sun,1.24,2.54,-1.3,0.48,2.54,-2.06,0.0,0.0,0.0,0.48,2.54,-2.06,0,4,-4,-2.7,45.6,53.36,45.37,0.8,0.66,162,6,10,11,12.5,16.67,8.7,8,15,11,1,18,68.1,48.78,52.4,67.59,47.6,28.57,0,Lexington 4-0 Tampa Bay Sun,2026-04-18
Lexington,2.54,1.24,1.3,2.54,0.48,2.06,0.0,0.0,0.0,2.54,0.48,2.06,4,0,4,2.7,54.4,46.64,42.18,0.66,0.8,158,10,11,10,16.67,12.5,6.08,15,8,11,3,12,71.5,51.22,25.13,32.41,118.98,71.43,0,Lexington 4-0 Tampa Bay Sun,2026-04-18
Dallas Trinity,0.41,2.07,-1.66,0.3,1.91,-1.61,0.11,0.16,-0.05,0.41,2.07,-1.66,0,3,-3,-1.34,57.0,57.6,50.2,0.42,0.67,229,5,7,12,16.67,17.91,7.81,8,6,14,2,12,60.0,49.59,20.27,29.75,47.6,30.74,0,Brooklyn 3-0 Dallas Trinity,2026-04-12
Brooklyn,2.07,0.41,1.66,1.91,0.3,1.61,0.16,0.11,0.05,2.07,0.41,1.66,3,0,3,1.34,43.0,42.4,42.74,0.67,0.42,123,11,12,7,17.91,16.67,11.0,6,8,13,3,10,61.0,50.41,47.87,70.25,107.24,69.26,2,Brooklyn 3-0 Dallas Trinity,2026-04-12
DC Power,0.81,1.08,-0.27,0.54,0.87,-0.33,0.28,0.21,0.07,0.81,1.08,-0.27,2,0,2,2.27,48.9,43.67,45.63,0.3,0.69,168,9,7,11,23.33,15.94,7.44,4,7,11,3,14,47.1,39.15,31.07,49.42,80.6,60.5,3,Tampa Bay Sun 0-2 DC Power,2026-04-11
Tampa Bay Sun,1.08,0.81,0.27,0.87,0.54,0.33,0.21,0.28,-0.07,1.08,0.81,0.27,0,2,-2,-2.27,51.1,56.33,46.2,0.69,0.3,187,14,11,7,15.94,23.33,9.3,7,4,25,10,15,73.2,60.85,31.8,50.58,52.63,39.5,2,Tampa Bay Sun 0-2 DC Power,2026-04-11
Lexington,1.48,1.23,0.25,1.37,0.45,0.92,0.11,0.02,0.09,1.48,0.47,1.01,0,1,-1,-1.25,66.4,73.02,48.21,0.85,0.15,298,16,15,6,17.65,40.0,10.03,11,6,22,6,10,189.7,92.9,19.33,15.13,138.97,70.98,3,Carolina Ascent 1-0 Lexington,2026-04-11
Carolina Ascent,1.23,1.48,-0.25,0.45,1.37,-0.92,0.02,0.11,-0.09,0.47,1.48,-1.01,1,0,1,1.25,33.6,26.98,36.0,0.15,0.85,87,3,6,15,40.0,17.65,17.23,6,11,7,1,7,14.5,7.1,108.4,84.87,56.83,29.02,3,Carolina Ascent 1-0 Lexington,2026-04-11
Sporting JAX,2.99,0.8,2.19,2.15,0.76,1.39,0.85,0.04,0.81,2.99,0.8,2.19,4,1,3,0.81,48.5,56.03,43.33,1.32,0.22,165,14,19,6,14.39,27.27,14.43,6,5,26,8,13,122.1,84.15,84.87,76.5,212.03,91.41,0,Fort Lauderdale United 1-4 Sporting JAX,2026-04-11
Fort Lauderdale United,0.8,2.99,-2.19,0.76,2.15,-1.39,0.04,0.85,-0.81,0.8,2.99,-2.19,1,4,-3,-0.81,51.5,43.97,36.5,0.22,1.32,131,4,6,19,27.27,14.39,13.89,5,6,9,2,12,23.0,15.85,26.07,23.5,19.93,8.59,0,Fort Lauderdale United 1-4 Sporting JAX,2026-04-11
DC Power,2.13,2.95,-0.82,1.78,2.48,-0.7,0.35,0.46,-0.11,2.13,2.95,-0.82,1,3,-2,-1.18,50.8,70.61,56.6,1.35,0.37,248,24,21,10,15.56,27.03,8.51,14,6,18,3,16,201.7,85.47,50.07,59.94,191.3,84.61,0,Fort Lauderdale United 3-1 DC Power,2026-04-06
