Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Mariehamn,0.26,1.84,-1.58,0.17,1.60,-1.43,0.09,0.24,-0.15,0.26,1.84,-1.58,0,1,-1,0.58,47.40,36.53,43.10,0.25,1.3,181,8,3,26,12.0,20.0,19.39,4,10,11,4,6,38.2,13.08,20.4,26.68,26.8,8.49,0,Inter Turku 1-0 Mariehamn,2026-04-25
Inter Turku,1.84,0.26,1.58,1.60,0.17,1.43,0.24,0.09,0.15,1.84,0.26,1.58,1,0,1,-0.58,52.60,63.47,52.48,1.3,0.25,288,42,26,3,20.0,12.0,16.65,10,4,33,12,5,253.9,86.92,56.07,73.32,288.77,91.51,4,Inter Turku 1-0 Mariehamn,2026-04-25
Oulu,0.51,0.68,-0.17,0.28,0.42,-0.14,0.22,0.26,-0.04,0.51,0.68,-0.17,1,2,-1,-0.83,53.30,50.73,46.97,0.43,0.45,217,10,11,8,25.58,17.78,8.22,11,1,16,5,10,100.2,50.45,26.07,30.65,54.07,26.97,1,Lahti 2-1 Oulu,2026-04-25
Lahti,0.68,0.51,0.17,0.42,0.28,0.14,0.26,0.22,0.04,0.68,0.51,0.17,2,1,1,0.83,46.70,49.27,47.28,0.45,0.43,182,8,8,11,17.78,25.58,13.03,1,11,10,3,14,98.4,49.55,59.0,69.35,146.43,73.03,1,Lahti 2-1 Oulu,2026-04-25
Jaro,1.56,1.79,-0.23,1.5,1.79,-0.29,0.07,0.0,0.07,1.56,1.79,-0.23,1,1,0,0.23,41.7,37.39,44.32,0.84,0.68,177,10,16,13,19.05,19.12,23.2,2,4,15,3,9,87.9,32.2,91.13,63.61,91.5,45.03,0,SJK 1-1 Jaro,2026-04-24
SJK,1.79,1.56,0.23,1.79,1.5,0.29,0.0,0.07,-0.07,1.79,1.56,0.23,1,1,0,-0.23,58.3,62.61,48.43,0.68,0.84,280,7,13,16,19.12,19.05,15.35,4,2,28,1,6,185.1,67.8,52.13,36.39,111.7,54.97,0,SJK 1-1 Jaro,2026-04-24
Ilves,1.34,2.38,-1.04,0.56,1.44,-0.88,0.01,0.95,-0.94,0.58,2.38,-1.8,2,3,-1,0.04,60.6,46.73,41.82,0.4,0.63,181,9,10,23,25.0,36.51,7.03,5,9,13,5,9,93.0,44.46,9.27,7.03,22.09,9.12,0,VPS 3-2 Ilves,2026-04-24
VPS,2.38,1.34,1.04,1.44,0.56,0.88,0.95,0.01,0.94,2.38,0.58,1.8,3,2,1,-0.04,39.4,53.27,53.9,0.63,0.4,203,19,23,10,36.51,25.0,11.74,9,5,23,10,16,116.2,55.54,122.6,92.97,220.04,90.88,3,VPS 3-2 Ilves,2026-04-24
Gnistan,0.85,0.49,0.36,0.66,0.45,0.21,0.19,0.04,0.15,0.85,0.49,0.36,1,1,0,-0.36,39.0,45.52,47.32,0.35,0.23,138,7,8,10,22.86,43.48,8.02,8,3,9,2,26,48.2,47.39,84.2,91.92,106.0,83.79,2,TPS 1-1 Gnistan,2026-04-24
TPS,0.49,0.85,-0.36,0.45,0.66,-0.21,0.04,0.19,-0.15,0.49,0.85,-0.36,1,1,0,0.36,61.0,54.48,44.73,0.23,0.35,212,8,10,8,43.48,22.86,6.1,3,8,19,6,17,53.5,52.61,7.4,8.08,20.5,16.21,4,TPS 1-1 Gnistan,2026-04-24
Oulu,1.87,1.38,0.49,1.0,1.07,-0.07,0.11,0.31,-0.2,1.11,1.38,-0.27,2,3,-1,-1.49,40.5,45.71,45.53,0.57,0.74,178,14,13,13,22.81,17.57,17.43,4,4,12,3,8,98.1,45.5,78.67,73.94,105.57,49.31,0,KuPS 3-2 Oulu,2026-04-22
KuPS,1.38,1.87,-0.49,1.07,1.0,0.07,0.31,0.11,0.2,1.38,1.11,0.27,3,2,1,1.49,59.5,54.29,47.34,0.74,0.57,272,20,13,13,17.57,22.81,15.32,4,4,10,4,13,117.5,54.5,27.73,26.06,108.53,50.69,0,KuPS 3-2 Oulu,2026-04-22
Ilves,1.43,1.46,-0.03,1.1,1.07,0.03,0.33,0.39,-0.06,1.43,1.46,-0.03,2,2,0,0.03,49.5,49.87,48.28,0.36,0.66,248,13,15,17,41.67,25.76,14.5,5,3,14,4,9,117.6,49.47,60.73,63.22,122.2,59.61,0,Mariehamn 2-2 Ilves,2026-04-18
Mariehamn,1.46,1.43,0.03,1.07,1.1,-0.03,0.39,0.33,0.06,1.46,1.43,0.03,2,2,0,-0.03,50.5,50.13,46.89,0.66,0.36,235,13,17,15,25.76,41.67,14.64,3,5,21,5,12,120.1,50.53,35.33,36.78,82.8,40.39,0,Mariehamn 2-2 Ilves,2026-04-18
VPS,0.79,0.78,0.01,0.75,0.56,0.19,0.04,0.22,-0.18,0.79,0.78,0.01,0,1,-1,-1.01,50.2,55.75,51.76,0.74,0.35,218,19,12,12,16.22,34.29,10.5,4,4,28,6,14,117.6,59.21,37.73,51.54,114.43,57.79,5,Oulu 1-0 VPS,2026-04-18
Oulu,0.78,0.79,-0.01,0.56,0.75,-0.19,0.22,0.04,0.18,0.78,0.79,-0.01,1,0,1,1.01,49.8,44.25,49.52,0.35,0.74,201,7,12,12,34.29,16.22,11.71,4,4,18,6,10,81.0,40.79,35.47,48.46,83.57,42.21,1,Oulu 1-0 VPS,2026-04-18
SJK,0.81,1.98,-1.17,0.81,1.54,-0.73,0.0,0.43,-0.43,0.81,1.98,-1.17,0,2,-2,-0.83,57.0,48.0,47.44,0.73,0.53,201,13,8,14,10.96,26.42,9.12,2,10,21,4,15,89.4,50.11,22.07,22.96,43.07,24.57,2,TPS 2-0 SJK,2026-04-18
TPS,1.98,0.81,1.17,1.54,0.81,0.73,0.43,0.0,0.43,1.98,0.81,1.17,2,0,2,0.83,43.0,52.0,50.02,0.53,0.73,164,12,14,8,26.42,10.96,9.97,10,2,12,8,8,89.0,49.89,74.07,77.04,132.23,75.43,3,TPS 2-0 SJK,2026-04-18
Inter Turku,1.96,0.76,1.2,1.06,0.63,0.43,0.14,0.13,0.01,1.2,0.76,0.44,2,0,2,0.8,44.0,42.24,46.03,0.77,0.84,135,17,14,14,18.18,16.67,12.67,2,10,19,7,16,68.0,40.57,54.13,79.77,83.6,58.42,5,Lahti 0-2 Inter Turku,2026-04-18
Lahti,0.76,1.96,-1.2,0.63,1.06,-0.43,0.13,0.14,-0.01,0.76,1.2,-0.44,0,2,-2,-0.8,56.0,57.76,48.68,0.84,0.77,195,14,14,14,16.67,18.18,7.06,10,2,22,6,9,99.6,59.43,13.73,20.23,59.5,41.58,3,Lahti 0-2 Inter Turku,2026-04-18
KuPS,0.78,0.94,-0.16,0.44,0.16,0.28,0.34,0.02,0.32,0.78,0.18,0.6,1,1,0,0.16,66.5,68.29,50.58,1.02,-0.06,349,14,8,8,7.84,-133.33,13.89,5,5,25,6,8,174.4,85.49,8.0,6.55,84.17,57.58,1,Jaro 1-1 KuPS,2026-04-18
