Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Liepāja,3.03,0.72,2.31,2.49,0.36,2.13,0.55,0.36,0.19,3.03,0.72,2.31,2,1,1,-1.31,54.40,55.67,49.53,1.12,0.46,205,27,19,6,16.96,13.04,7.16,7,5,17,8,14,144.0,79.51,26.53,48.36,159.27,87.06,2,Super Nova 1-2 Liepāja,2026-04-23
Super Nova,0.72,3.03,-2.31,0.36,2.49,-2.13,0.36,0.55,-0.19,0.72,3.03,-2.31,1,2,-1,1.31,45.60,44.33,43.92,0.46,1.12,133,16,6,19,13.04,16.96,8.91,5,7,21,7,11,37.1,20.49,28.33,51.64,23.67,12.94,5,Super Nova 1-2 Liepāja,2026-04-23
Ogre United,0.45,4.13,-3.68,0.45,3.93,-3.48,0.0,0.2,-0.2,0.45,4.13,-3.68,0,4,-4,-0.32,33.7,19.4,39.48,0.23,2.06,82,4,3,22,13.04,10.68,19.8,1,9,6,1,16,3.3,1.13,103.87,94.14,8.27,1.97,1,Riga FC 4-0 Ogre United,2026-04-22
Riga FC,4.13,0.45,3.68,3.93,0.45,3.48,0.2,0.0,0.2,4.13,0.45,3.68,4,0,4,0.32,66.3,80.6,53.19,2.06,0.23,354,31,22,3,10.68,13.04,6.09,9,1,20,4,10,289.2,98.87,6.47,5.86,410.6,98.03,0,Riga FC 4-0 Ogre United,2026-04-22
RFS,2.36,0.16,2.2,1.8,0.16,1.64,0.56,0.0,0.56,2.36,0.16,2.2,1,0,1,-1.2,76.3,80.9,53.28,1.83,0.1,450,34,20,2,10.93,20.0,7.17,5,4,34,8,8,341.7,99.59,2.73,1.54,181.77,94.41,0,Grobiņa 0-1 RFS,2026-04-22
Grobiņa,0.16,2.36,-2.2,0.16,1.8,-1.64,0.0,0.56,-0.56,0.16,2.36,-2.2,0,1,-1,1.2,23.7,19.1,39.16,0.1,1.83,65,3,2,20,20.0,10.93,22.73,4,5,3,0,17,1.4,0.41,174.53,98.46,10.77,5.59,1,Grobiņa 0-1 RFS,2026-04-22
Auda,2.98,1.31,1.67,1.97,0.99,0.98,1.01,0.31,0.7,2.98,1.31,1.67,3,2,1,-0.67,66.0,70.49,53.25,1.49,0.54,301,20,15,6,10.07,11.11,4.67,6,4,34,5,23,188.6,88.59,8.93,11.98,138.3,77.36,2,Jelgava 2-3 Auda,2026-04-21
Jelgava,1.31,2.98,-1.67,0.99,1.97,-0.98,0.31,1.01,-0.7,1.31,2.98,-1.67,2,3,-1,0.67,34.0,29.51,44.05,0.54,1.49,112,7,6,15,11.11,10.07,10.03,4,6,7,1,17,24.3,11.41,65.6,88.02,40.47,22.64,0,Jelgava 2-3 Auda,2026-04-21
Daugavpils,0.74,1.12,-0.38,0.74,1.12,-0.38,0.0,0.0,0.0,0.74,1.12,-0.38,1,1,0,0.38,53.0,57.87,47.88,0.53,0.73,221,17,15,12,28.3,16.44,10.63,7,5,15,3,10,136.5,68.52,22.0,29.92,124.9,58.63,2,Tukums 1-1 Daugavpils,2026-04-21
Tukums,1.12,0.74,0.38,1.12,0.74,0.38,0.0,0.0,0.0,1.12,0.74,0.38,1,1,0,-0.38,47.0,42.13,45.24,0.73,0.53,177,12,12,15,16.44,28.3,11.97,5,7,16,2,16,62.7,31.48,51.53,70.08,88.13,41.37,0,Tukums 1-1 Daugavpils,2026-04-21
Super Nova,0.11,2.97,-2.86,0.11,2.59,-2.48,0.0,0.37,-0.37,0.11,2.97,-2.86,0,2,-2,0.86,37.9,31.29,37.39,0.51,1.61,107,9,2,17,3.92,10.56,14.67,2,7,16,5,12,12.1,5.11,57.93,79.65,10.37,4.12,5,RFS 2-0 Super Nova,2026-04-18
RFS,2.97,0.11,2.86,2.59,0.11,2.48,0.37,0.0,0.37,2.97,0.11,2.86,2,0,2,-0.86,62.1,68.71,50.92,1.61,0.51,288,29,17,2,10.56,3.92,7.35,7,2,31,9,13,224.6,94.89,14.8,20.35,241.53,95.88,0,RFS 2-0 Super Nova,2026-04-18
Riga FC,2.42,0.26,2.16,1.94,0.26,1.68,0.47,0.0,0.47,2.42,0.26,2.16,3,0,3,0.84,76.0,74.92,49.02,1.77,0.96,322,29,22,4,12.43,4.17,5.74,6,6,25,9,10,280.2,97.7,2.0,1.17,190.1,80.78,0,Grobiņa 0-3 Riga FC,2026-04-18
