Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Manchester City,2.87,2.32,0.55,2.49,2.32,0.17,0.39,0.00,0.39,2.87,2.32,0.55,2,3,-1,-1.55,55.30,64.69,48.65,0.66,0.79,224,18,17,9,25.76,11.39,10.61,11,7,26,5,10,138.5,79.28,33.33,33.76,122.7,64.86,2,Brighton & Hove Albion 3-2 Manchester City,2026-04-25
Brighton & Hove Albion,2.32,2.87,-0.55,2.32,2.49,-0.17,0.00,0.39,-0.39,2.32,2.87,-0.55,3,2,1,1.55,44.70,35.31,40.50,0.79,0.66,122,14,9,17,11.39,25.76,13.36,7,11,3,1,7,36.2,20.72,65.4,66.24,66.47,35.14,0,Brighton & Hove Albion 3-2 Manchester City,2026-04-25
Brighton & Hove Albion,2.26,0.56,1.7,1.98,0.45,1.53,0.28,0.1,0.18,2.26,0.56,1.7,1,0,1,-0.7,62.2,73.27,50.43,1.22,0.44,301,20,15,5,12.3,11.36,7.45,8,4,12,8,9,192.0,90.48,34.47,28.95,170.6,83.0,0,Leicester City 0-1 Brighton & Hove Albion,2026-03-29
Leicester City,0.56,2.26,-1.7,0.45,1.98,-1.53,0.1,0.28,-0.18,0.56,2.26,-1.7,0,1,-1,0.7,37.8,26.73,37.6,0.44,1.22,90,8,5,15,11.36,12.3,14.2,4,8,10,4,11,20.2,9.52,84.6,71.05,34.93,17.0,0,Leicester City 0-1 Brighton & Hove Albion,2026-03-29
London City Lionesses,1.31,0.47,0.84,1.31,0.47,0.84,0.0,0.0,0.0,1.31,0.47,0.84,1,1,0,-0.84,57.4,54.67,41.49,0.74,0.36,184,5,6,7,8.11,19.44,9.72,14,11,13,1,6,108.2,70.12,9.4,6.93,74.4,38.52,1,West Ham United 1-1 London City Lionesses,2026-03-29
West Ham United,0.47,1.31,-0.84,0.47,1.31,-0.84,0.0,0.0,0.0,0.47,1.31,-0.84,1,1,0,0.84,42.6,45.33,42.28,0.36,0.74,139,7,7,6,19.44,8.11,12.15,11,14,17,3,8,46.1,29.88,126.33,93.07,118.73,61.48,1,West Ham United 1-1 London City Lionesses,2026-03-29
Aston Villa,1.49,2.12,-0.63,1.38,1.58,-0.2,0.12,0.54,-0.42,1.49,2.12,-0.63,3,4,-1,-0.37,33.9,18.58,33.46,0.6,1.15,80,7,11,20,18.33,17.39,26.33,2,15,8,3,8,27.5,8.26,70.47,64.41,25.53,8.17,0,Chelsea 4-3 Aston Villa,2026-03-29
Chelsea,2.12,1.49,0.63,1.58,1.38,0.2,0.54,0.12,0.42,2.12,1.49,0.63,4,3,1,0.37,66.1,81.42,56.9,1.15,0.6,401,23,20,11,17.39,18.33,8.91,15,2,36,7,4,305.6,91.74,38.93,35.59,286.93,91.83,4,Chelsea 4-3 Aston Villa,2026-03-29
Tottenham Hotspur,0.66,2.43,-1.77,0.57,2.14,-1.57,0.1,0.28,-0.18,0.66,2.43,-1.77,2,5,-3,-1.23,50.7,41.36,43.43,0.5,0.42,192,11,9,16,18.0,38.1,10.88,3,6,19,5,15,71.8,37.2,59.53,46.15,22.36,6.53,0,Arsenal 5-2 Tottenham Hotspur,2026-03-28
Arsenal,2.43,0.66,1.77,2.14,0.57,1.57,0.28,0.1,0.18,2.43,0.66,1.77,5,2,3,1.23,49.3,58.64,48.02,0.42,0.5,226,13,16,9,38.1,18.0,11.39,6,3,13,7,5,121.2,62.8,69.47,53.85,320.15,93.47,2,Arsenal 5-2 Tottenham Hotspur,2026-03-28
