Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Sano,Kodai  Sano,-322719,NEC,NEC,https://cdn5.wyscout.com/photos/team/public/152_120x120.png,Eredivisie,"LCMF, RCMF",LCMF,34,RCMF,34,,0,22.0,2003-09-25,0,2028-06-30,34,3358,3,2.0,6,4.1,18.68,48.21,Japan,['Japan'],right,176,68,False,9.97,6.38,64.71,2.2,43.9,0.4,0.64,0.16,5.44,8.64,1.13,3,0.08,0,0.0,1.74,0.08,3,0.08,0.05,0,0.0,36,0.96,22.22,8.333,0.16,1.3900000000000001,36.54,0.75,35.71,0.62,39.13,0.35000000000000003,1.88,52.86,7.24,36.67,1.31,1.55,0.05,27.79,0.35000000000000003,0.99,44.46,83.85,15.01,71.61,7.64,96.49,39.61,88.77,3.51,47.33,17.71,33.8,0.11,0.9400000000000001,0.13,0.08,0.11,25.0,0.43,6.86,78.91,2.81,51.43,0.32,25.0,1.26,0.54,6.8100000000000005,74.41,88.85,14.9,0,,0,,0,0.0,0.0,0.0,,,2.06,,2.2,0.67,0.05,50.0,0.43,0,0
T. Blokzijl,Thijmen Blokzijl,-169664,Groningen,Groningen,https://cdn5.wyscout.com/photos/team/public/143_120x120.png,Eredivisie,RCB,RCB,95,,0,,0,21.0,2005-02-25,0,2027-06-30,34,3310,1,0.5700000000000001,1,0.43,12.67,56.65,Netherlands,['Netherlands'],right,190,75,False,7.34,4.6,66.86,4.46,45.73,0.41000000000000003,0.54,0.5700000000000001,3.86,5.07,0.6000000000000001,3,0.08,0,0.0,0.14,0.03,1,0.03,0.02,0,0.0,9,0.24,11.11,11.111,0.03,0.08,33.33,0.0,0.0,0.08,33.33,0.0,0.11,75.0,0.65,45.83,0.11,1.58,0.19,33.91,0.41000000000000003,0.33,52.78,88.51,21.53,79.42,4.49,98.79,48.86,91.54,3.83,51.06,19.07,31.72,0.01,0.08,0.0,0.03,0.08,0.0,0.14,5.95,77.63,0.65,45.83,0.33,25.0,0.30000000000000004,0.05,8.81,71.6,94.95,21.53,0,,0,,0,0.0,0.0,0.0,,,3.45,,4.46,0.0,0.0,0.0,0.0,0,0
J. De Busser,Jari De Busser,451008,Go Ahead Eagles,Go Ahead Eagles,https://cdn5.wyscout.com/photos/team/public/854_120x120.png,Eredivisie,GK,GK,100,,0,,0,26.0,1999-10-21,500000,2027-06-30,34,3310,0,0.0,0,0.07,0.87,93.75,Belgium,['Belgium'],right,190,78,False,1.01,0.05,50.0,0.54,100.0,0.0,0.0,0.0,0.98,1.23,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,75.0,0.0,0.0,0.0,20.09,0.24,0.30000000000000004,29.45,80.42,19.5,71.41,0.0,0.0,16.21,98.32,13.21,58.64,34.78,50.73,0.0,0.03,0.0,0.0,0.0,0.0,0.03,3.48,48.44,0.30000000000000004,27.27,0.33,25.0,0.08,0.0,10.11,70.16,98.26,9.35,53,1.44,199,5.41,9,73.37,62.31,1.69,9.31,0.253,0.0,1.88,0.54,,,,0.0,0,0
J. Drommel,Joël Drommel,355869,Sparta Rotterdam,Sparta Rotterdam,https://cdn5.wyscout.com/photos/team/public/145_120x120.png,Eredivisie,GK,GK,100,,0,,0,29.0,1996-11-16,2500000,2027-06-30,34,3307,0,0.0,0,0.21,0.63,86.96,Netherlands,['Netherlands'],right,193,90,True,1.6600000000000001,0.11,75.0,0.30000000000000004,100.0,0.05,0.06,0.0,1.52,1.78,0.03,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,75.0,0.0,0.0,0.0,23.92,0.19,0.16,32.82,82.34,19.35,71.73,0.03,100.0,16.27,98.49,16.47,66.61,37.14,52.09,0.01,0.03,0.0,0.0,0.0,0.0,0.03,5.58,55.12,0.5700000000000001,14.29,0.6000000000000001,36.36,0.08,0.0,11.89,81.24,97.6,12.46,62,1.69,200,5.44,11,69.0,60.76,1.65,-1.24,-0.034,0.0,1.25,0.30000000000000004,,,,0.0,0,0
J. van Overeem,Joris van Overeem,161307,Heerenveen,Heerenveen,https://cdn5.wyscout.com/photos/team/public/144_120x120.png,Eredivisie,"LDMF, RDMF, RCB",LDMF,51,RDMF,17,RCB,16,31.0,1994-06-01,800000,2027-06-30,34,3306,2,1.88,7,5.64,13.45,54.66,Netherlands,['Netherlands'],right,181,71,False,8.09,5.28,63.4,2.31,54.12,0.08,0.1,0.22,4.66,5.9,1.2,5,0.14,0,0.0,1.55,0.05,2,0.05,0.05,0,0.0,13,0.35000000000000003,23.08,15.385,0.19,1.47,50.0,0.74,55.56,0.71,46.15,0.19,0.8200000000000001,70.0,3.81,44.29,1.03,0.87,0.03,35.36,0.38,0.87,51.7,80.78,21.94,72.83,4.66,95.91,42.66,86.98,7.68,51.77,20.18,37.0,0.15,1.2,0.05,0.11,0.25,66.67,0.49,11.16,70.98,3.35,51.22,0.98,44.44,1.12,0.71,11.65,81.54,88.33,18.43,0,,0,,0,0.0,0.0,0.0,,,0.49,,2.31,0.16,0.0,0.0,1.63,0,0
C. Widell,Casper Widell,-133813,Excelsior,Excelsior,https://cdn5.wyscout.com/photos/team/public/155_120x120.png,Eredivisie,RCB,RCB,85,,0,,0,23.0,2003-05-05,700000,2027-06-30,34,3290,1,1.85,1,0.1,12.69,60.56,Sweden,['Sweden'],right,192,86,False,8.84,3.34,68.85,5.28,60.1,0.19,0.23,0.8200000000000001,6.35,7.76,0.66,2,0.05,0,0.0,0.22,0.03,1,0.03,0.05,1,0.03,12,0.33,33.33,8.333,0.03,0.08,66.67,0.0,0.0,0.08,66.67,0.0,0.05,100.0,0.66,25.0,0.74,0.30000000000000004,0.0,30.23,0.22,0.22,47.3,85.14,18.52,72.53,3.2,93.16,41.33,89.81,5.88,52.56,23.17,42.33,0.0,0.05,0.0,0.0,0.03,0.0,0.05,6.32,61.04,0.6000000000000001,31.82,0.68,36.0,0.19,0.05,8.92,70.86,94.87,21.86,0,,0,,0,0.0,0.0,0.0,,,2.19,,5.28,0.03,0.03,0.0,0.0,0,0
T. Lauritsen,Tobias Lauritsen,406745,Sparta Rotterdam,Sparta Rotterdam,https://cdn5.wyscout.com/photos/team/public/145_120x120.png,Eredivisie,CF,CF,100,,0,,0,28.0,1997-08-30,5000000,2026-06-30,34,3278,12,12.05,3,2.26,22.84,46.27,Norway,['Norway'],right,192,85,False,2.42,1.62,54.24,11.45,54.2,0.08,0.1,0.14,1.46,1.7000000000000002,0.74,4,0.11,0,0.0,0.96,0.33,9,0.25,0.33,3,0.08,63,1.73,41.27,19.048,0.08,0.22,25.0,0.08,33.33,0.14,20.0,0.11,0.33,41.67,4.67,28.82,3.38,0.36,0.05,9.66,2.36,1.43,14.25,70.91,3.16,45.22,3.6,83.21,13.59,72.32,0.44,50.0,13.66,15.36,0.06,0.8,0.08,0.0,0.08,66.67,0.36,1.32,43.75,0.8200000000000001,66.67,0.11,50.0,0.96,0.03,1.13,56.1,72.27,3.27,0,,0,,0,0.0,0.0,0.0,,,0.03,,11.45,0.0,0.0,0.0,0.0,3,100
J. Kramer,Joris Kramer,402051,Go Ahead Eagles,Go Ahead Eagles,https://cdn5.wyscout.com/photos/team/public/854_120x120.png,Eredivisie,LCB,LCB,98,,0,,0,29.0,1996-08-02,1200000,2028-06-30,34,3259,1,1.81,2,1.1400000000000001,11.63,59.14,Netherlands,['Netherlands'],left,187,76,False,9.33,4.42,67.5,3.73,51.11,0.11,0.14,1.19,6.24,7.88,0.61,2,0.06,0,0.0,0.6900000000000001,0.03,1,0.03,0.05,0,0.0,12,0.33,33.33,8.333,0.06,0.88,37.5,0.64,34.78,0.17,50.0,0.17,0.33,75.0,1.16,33.33,0.8,1.19,0.08,38.22,0.58,0.39,54.51,87.08,20.77,76.2,6.41,97.41,47.03,92.66,6.6,53.97,21.05,37.79,0.03,0.36,0.0,0.06,0.0,0.0,0.14,7.46,73.33,1.6,50.0,0.58,42.86,0.39,0.33,9.91,70.19,95.19,22.4,0,,0,,0,0.0,0.0,0.0,,,3.51,,3.73,0.0,0.0,0.0,0.0,0,0
T. Wellenreuther,Timon Wellenreuther,258964,Feyenoord,Feyenoord,https://cdn5.wyscout.com/photos/team/public/141_120x120.png,Eredivisie,GK,GK,100,,0,,0,30.0,1995-12-03,7000000,2027-06-30,33,3233,0,0.0,0,0.0,0.97,97.14,Germany,['Germany'],right,188,80,False,1.42,0.03,100.0,0.58,100.0,0.0,0.0,0.0,1.3900000000000001,1.8399999999999999,0.03,6,0.17,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,20.41,0.14,0.33,30.43,82.34,18.87,72.57,0.03,100.0,18.35,97.88,12.05,58.89,32.07,49.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06,50.0,0.42,13.33,0.31,36.36,0.06,0.0,8.74,74.52,98.42,10.55,44,1.22,129,3.59,9,65.89,36.27,1.01,-7.73,-0.215,0.0,1.3599999999999999,0.58,,,,0.0,0,0
G. Offerhaus,Guus Offerhaus,-193880,Telstar,Telstar,https://cdn5.wyscout.com/photos/team/public/858_120x120.png,Eredivisie,"CB, RCMF",CB,69,RCMF,23,,0,25.0,2001-01-03,0,2026-06-30,33,3228,1,1.44,2,2.94,12.8,57.08,Netherlands,['Netherlands'],right,0,0,False,9.2,6.44,70.13,2.62,45.74,0.17,0.2,0.64,4.52,5.36,0.92,6,0.17,0,0.0,0.61,0.03,1,0.03,0.04,0,0.0,16,0.45,18.75,6.25,0.06,0.59,38.1,0.17,33.33,0.42,40.0,0.11,0.39,64.29,1.56,41.07,0.33,1.09,0.14,22.28,0.45,0.22,36.86,83.13,12.3,68.71,4.99,94.97,31.84,88.27,4.43,52.2,21.23,38.32,0.08,0.64,0.0,0.0,0.08,66.67,0.11,5.27,62.43,1.0,52.78,0.31,54.55,0.42,0.17,7.03,64.29,91.29,16.0,0,,0,,0,0.0,0.0,0.0,,,2.09,,2.62,0.86,0.06,0.0,1.92,0,0
