Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Huuhtanen,Eetu Huuhtanen,-129392,Inter Turku,Inter Turku,https://cdn5.wyscout.com/photos/team/public/655_120x120.png,Veikkausliiga,GK,GK,100,,0,,0,23.0,2003-01-31,0,2026-12-31,9,875,0,0.0,0,0.0,0.41000000000000003,75.0,Finland,['Finland'],right,187,79,False,1.54,0.0,0.0,0.41000000000000003,75.0,0.0,0.0,0.0,1.54,2.24,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.77,0.1,0.0,45.36,87.98,22.42,78.44,0.0,0.0,33.84,98.78,11.52,56.25,27.12,47.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,61.11,0.1,0.0,0.62,50.0,0.0,0.0,8.13,67.09,97.58,21.29,6,0.62,23,2.37,4,73.91,4.86,0.5,-1.1400000000000001,-0.117,0.0,1.44,0.41000000000000003,,,,0.0,0,0
O. Ruoppi,Otto Ruoppi,-291595,KuPS,KuPS,https://cdn5.wyscout.com/photos/team/public/727_120x120.png,Veikkausliiga,"AMF, CF, DMF",AMF,74,CF,11,DMF,11,20.0,2006-01-31,0,2030-06-30,9,872,2,0.9,2,2.43,16.41,42.14,Finland,['Finland'],right,180,0,True,4.64,5.37,57.69,2.48,54.17,0.1,0.16,0.1,1.44,2.23,1.24,0,0.0,0,0.0,2.06,0.21,2,0.21,0.09,1,0.1,10,1.03,30.0,20.0,0.21,2.27,45.45,1.44,50.0,0.8300000000000001,37.5,0.21,1.34,53.85,6.8100000000000005,28.79,4.44,1.34,0.1,26.83,1.96,0.31,35.61,76.81,8.57,66.27,7.33,87.32,31.58,79.08,1.75,76.47,16.18,22.06,0.25,2.06,0.1,0.0,0.1,0.0,0.62,4.85,87.23,3.92,42.11,0.1,0.0,1.96,1.03,5.47,77.36,80.36,11.56,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.48,0.0,0.0,0.0,0.41000000000000003,0,0
J. Kreidl,Johannes Kreidl,337111,KuPS,KuPS,https://cdn5.wyscout.com/photos/team/public/727_120x120.png,Veikkausliiga,GK,GK,100,,0,,0,30.0,1996-03-07,500000,2028-12-31,9,872,0,0.0,0,0.0,1.03,100.0,Austria,['Austria'],right,194,83,False,1.75,0.0,0.0,0.62,100.0,0.0,0.0,0.0,1.75,2.71,0.0,0,0.0,0,0.0,0.1,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.31,100.0,0.0,0.0,0.0,36.23,0.0,0.21,49.13,85.29,29.0,76.51,0.0,0.0,34.89,95.27,14.14,61.31,28.84,47.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8100000000000005,57.58,0.52,40.0,0.52,40.0,0.1,0.0,11.77,77.19,97.78,18.58,8,0.8300000000000001,33,3.41,3,75.76,9.45,0.97,1.45,0.15,0.0,1.75,0.62,,,,0.0,0,0
C. Antwi,Clinton Antwi,-53293,KuPS,KuPS,https://cdn5.wyscout.com/photos/team/public/727_120x120.png,Veikkausliiga,LB,LB,100,,0,,0,26.0,1999-11-06,0,2026-12-31,9,832,0,0.33,1,1.25,10.06,47.31,Ghana,['Ghana'],left,170,70,False,7.36,4.44,60.98,1.3,41.67,0.32,0.49,0.0,4.33,6.59,0.65,1,0.11,0,0.0,2.49,0.0,0,0.0,0.04,0,0.0,11,1.19,9.09,0.0,0.11,3.79,48.57,3.46,46.88,0.22,50.0,0.54,0.65,66.67,3.03,39.29,1.08,1.08,0.11,47.92,2.27,0.54,60.58,84.64,24.34,77.78,12.44,94.78,51.06,91.1,5.73,50.94,18.71,34.76,0.13,1.19,0.0,0.0,0.11,100.0,0.22,9.52,76.14,6.17,68.42,0.32,66.67,1.8399999999999999,1.73,14.39,76.69,85.52,15.69,0,,0,,0,0.0,0.0,0.0,,,0.65,,1.3,1.08,0.11,0.0,2.49,0,0
P. Ahiabu,Prosper Dayegbe Ahiabu,-67418,Inter Turku,Inter Turku,https://cdn5.wyscout.com/photos/team/public/655_120x120.png,Veikkausliiga,"DMF, RDMF",DMF,63,RDMF,24,,0,27.0,1999-05-10,0,2027-12-31,9,796,0,1.22,0,0.19,15.94,53.9,Ghana,['Ghana'],right,188,79,False,8.71,7.12,69.84,2.71,37.5,0.23,0.33,0.45,3.51,5.17,1.58,3,0.34,0,0.0,0.79,0.0,0,0.0,0.14,0,0.0,9,1.02,33.33,0.0,0.0,0.23,50.0,0.11,0.0,0.11,100.0,0.0,0.34,100.0,4.07,47.22,1.24,0.34,0.0,28.38,0.45,0.68,40.59,87.74,10.74,73.68,8.82,94.87,36.29,91.28,4.07,58.33,19.08,33.79,0.02,0.34,0.0,0.0,0.11,0.0,0.11,4.86,69.77,1.47,46.15,0.34,33.33,0.5700000000000001,0.11,5.54,71.43,94.12,15.38,0,,0,,0,0.0,0.0,0.0,,,2.15,,2.71,0.0,0.0,0.0,0.0,0,0
M. Marković,Matej Marković,335750,HJK,HJK,https://cdn5.wyscout.com/photos/team/public/718_120x120.png,Veikkausliiga,GK,GK,100,,0,,0,29.0,1996-07-22,350000,2026-12-31,8,786,0,0.0,0,0.0,1.49,76.92,Croatia,"['Croatia', 'Bosnia and Herzegovina']",right,192,83,False,1.37,0.0,0.0,1.03,77.78,0.0,0.0,0.0,1.37,1.79,0.0,1,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.0,0.0,0.0,13.63,0.5700000000000001,0.5700000000000001,21.3,91.4,10.31,85.56,0.0,0.0,16.72,97.26,4.58,70.0,24.15,41.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.11,0.0,0.0,0.0,3.55,67.74,96.51,9.85,6,0.6900000000000001,33,3.7800000000000002,3,81.82,9.21,1.05,3.21,0.368,0.0,2.4,1.03,,,,0.0,0,0
M. Bogićević,Mihailo  Bogićević,-193249,HJK,HJK,https://cdn5.wyscout.com/photos/team/public/718_120x120.png,Veikkausliiga,RCB,RCB,100,,0,,0,27.0,1998-05-30,0,2026-12-31,8,782,1,0.87,0,0.07,10.93,67.37,Switzerland,"['Switzerland', 'Serbia']",right,191,83,False,8.17,5.06,65.91,4.26,70.27,0.23,0.30000000000000004,1.04,4.6,6.06,0.81,3,0.35000000000000003,1,0.12,0.12,0.12,1,0.12,0.1,1,0.12,4,0.46,25.0,25.0,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.35000000000000003,66.67,0.6900000000000001,0.58,0.0,55.24,0.0,0.58,68.13,91.22,27.62,82.5,3.22,100.0,62.15,94.81,5.87,54.9,19.66,38.54,0.01,0.12,0.0,0.0,0.0,0.0,0.12,8.29,83.33,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,9.55,67.47,97.0,30.73,0,,0,,0,0.0,0.0,0.0,,,2.3,,4.26,0.0,0.0,0.0,0.0,0,0
P. Pennanen,Petteri Pennanen,31509,KuPS,KuPS,https://cdn5.wyscout.com/photos/team/public/727_120x120.png,Veikkausliiga,"LDMF, LAMF, LCMF",LDMF,51,LAMF,20,LCMF,15,35.0,1990-09-19,200000,2027-12-31,8,776,1,0.96,1,1.72,9.86,54.12,Finland,['Finland'],right,181,77,False,5.91,4.52,71.79,0.23,50.0,0.35000000000000003,0.52,0.12,2.32,3.49,0.7000000000000001,0,0.0,0,0.0,1.04,0.12,1,0.12,0.11,0,0.0,13,1.51,30.77,7.692,0.12,1.3900000000000001,25.0,0.93,37.5,0.46,0.0,0.12,0.93,25.0,3.36,34.48,1.74,1.04,0.0,59.73,0.35000000000000003,0.93,70.63,92.94,17.63,85.53,12.64,98.17,64.95,95.36,4.29,78.38,17.52,33.48,0.2,2.09,0.12,0.0,0.0,0.0,0.35000000000000003,9.16,89.87,3.36,68.97,0.58,60.0,2.09,0.35000000000000003,8.23,90.14,95.6,28.99,0,,0,,0,0.0,0.0,0.0,,,3.25,,0.23,1.16,0.46,75.0,4.52,0,0
J. Skau,Jesper Svenungsen Skau,-192153,Jaro,Jaro,https://cdn5.wyscout.com/photos/team/public/726_120x120.png,Veikkausliiga,"RCMF, LCMF, DMF",RCMF,25,LCMF,22,DMF,21,23.0,2003-05-19,100000,2027-12-31,8,773,0,0.44,0,0.28,10.13,47.13,Norway,['Norway'],right,183,75,False,6.64,4.31,43.24,1.98,58.82,0.0,0.0,0.47000000000000003,4.77,5.39,1.4,1,0.12,0,0.0,0.35000000000000003,0.0,0,0.0,0.05,0,0.0,7,0.8200000000000001,28.57,0.0,0.0,0.58,0.0,0.12,0.0,0.35000000000000003,0.0,0.12,0.12,0.0,1.8599999999999999,37.5,0.58,1.05,0.23,37.84,0.23,0.35000000000000003,52.63,81.64,21.19,67.58,5.01,100.0,45.06,86.82,6.99,55.0,19.49,38.28,0.03,0.23,0.12,0.0,0.12,100.0,0.12,10.48,68.89,2.33,35.0,1.05,55.56,0.93,0.0,10.01,69.77,91.86,20.03,0,,0,,0,0.0,0.0,0.0,,,0.8200000000000001,,1.98,0.0,0.0,0.0,0.0,0,0
M. Ogungbaro,Michael Olusoji Ogungbaro,442671,Jaro,Jaro,https://cdn5.wyscout.com/photos/team/public/726_120x120.png,Veikkausliiga,"RCB, CB, RCB3",RCB,56,CB,24,RCB3,15,29.0,1996-07-10,50000,2027-12-31,8,773,0,0.4,0,0.0,12.11,57.69,Nigeria,['Nigeria'],right,188,82,False,8.15,4.54,66.67,5.01,58.14,0.0,0.0,0.47000000000000003,5.12,5.79,0.93,2,0.23,0,0.0,0.23,0.0,0,0.0,0.05,0,0.0,5,0.58,20.0,0.0,0.0,0.12,100.0,0.0,0.0,0.12,100.0,0.0,0.12,0.0,0.8200000000000001,28.57,1.05,0.12,0.0,39.35,0.0,0.12,54.49,90.6,17.0,75.34,2.1,94.44,49.02,95.49,5.47,46.81,21.04,39.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47,63.83,0.35000000000000003,33.33,0.47000000000000003,50.0,0.12,0.12,7.1,73.77,98.38,28.76,0,,0,,0,0.0,0.0,0.0,,,1.51,,5.01,0.0,0.0,0.0,0.0,0,0
