Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. Kozubaev,Tamirlan Kozubaev,351651,Persita,Persita,https://cdn5.wyscout.com/photos/team/public/g1156_120x120.png,Liga 1,"LCB, RCB",LCB,77,RCB,21,,0,31.0,1994-07-01,500000,,25,2564,0,1.3599999999999999,0,0.01,10.53,62.0,Kyrgyzstan,['Kyrgyzstan'],left,185,75,False,7.55,2.91,72.29,5.34,59.21,0.07,0.1,1.09,5.37,7.29,0.49,2,0.07,0,0.0,0.14,0.0,0,0.0,0.05,0,0.0,12,0.42,33.33,0.0,0.0,0.14,0.0,0.04,0.0,0.11,0.0,0.04,0.04,0.0,0.6000000000000001,52.94,0.6000000000000001,1.02,0.0,24.15,0.25,0.42,35.84,86.58,15.23,77.88,2.49,95.77,30.61,92.66,5.12,52.05,23.6,41.87,0.0,0.04,0.0,0.0,0.0,0.0,0.04,4.49,53.91,0.7000000000000001,15.0,0.42,25.0,0.14,0.04,6.35,72.93,94.52,16.01,0,,0,,0,0.0,0.0,0.0,,,1.79,,5.34,0.0,0.0,0.0,0.0,0,0.0
Igor Rodrigues,Igor Carreira Rodrigues,392210,Persita,Persita,https://cdn5.wyscout.com/photos/team/public/g1156_120x120.png,Liga 1,GK,GK,100,,0,,0,30.0,1995-05-05,275000,,24,2460,0,0.0,0,0.0,1.02,85.71,Portugal,['Portugal'],left,189,86,False,1.46,0.0,0.0,0.7000000000000001,94.74,0.0,0.0,0.0,1.46,1.98,0.04,2,0.07,1,0.04,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,66.67,0.0,0.0,0.0,12.66,0.07,0.44,20.23,88.43,9.84,78.44,0.07,0.0,15.11,97.09,5.12,62.86,28.97,43.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,45.0,0.07,0.0,0.0,0.0,0.0,0.0,4.21,65.22,98.51,9.84,23,0.84,101,3.7,7,77.23,27.5,1.01,4.5,0.165,0.0,1.57,0.7000000000000001,,,,0.0,0,0.0
Rayco Rodríguez,Rayco Rodríguez Medina,414648,Persita,Persita,https://cdn5.wyscout.com/photos/team/public/g1156_120x120.png,Liga 1,"LWF, LAMF, LW",LWF,30,LAMF,28,LW,19,29.0,1996-11-24,300000,,25,2460,6,5.03,8,5.09,20.16,47.19,Spain,['Spain'],right,178,65,False,4.65,3.91,55.14,3.07,61.9,0.11,0.15,0.04,2.38,3.24,0.8,1,0.04,0,0.0,3.99,0.22,6,0.22,0.18,0,0.0,33,1.21,39.39,18.182,0.29,2.27,46.77,1.83,50.0,0.4,36.36,0.26,4.17,55.26,11.49,42.99,2.52,2.52,0.26,18.26,2.09,2.2,25.54,77.79,6.91,64.55,6.15,91.07,21.44,83.28,1.94,50.94,18.64,33.28,0.19,1.57,0.0,0.0,0.22,66.67,0.99,2.71,67.57,3.26,56.18,0.44,66.67,1.32,1.13,5.05,75.36,75.34,8.16,0,,0,,0,0.0,0.0,0.0,,,0.07,,3.07,0.18,0.11,0.0,0.48,0,0.0
S. Stevens,Sonny Stevens,142733,Dewa United,Dewa United,https://cdn5.wyscout.com/photos/team/public/g-16334_120x120.png,Liga 1,GK,GK,100,,0,,0,33.0,1992-06-22,400000,2027-05-31,24,2430,0,0.0,0,0.0,0.56,60.0,Netherlands,['Netherlands'],right,194,93,False,1.19,0.19,0.0,0.26,85.71,0.04,0.06,0.0,1.15,1.75,0.11,3,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,9.67,0.22,0.11,15.93,85.81,10.44,79.79,0.0,0.0,11.74,98.11,4.15,51.79,30.24,50.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8900000000000001,39.22,0.15,0.0,0.19,20.0,0.0,0.0,2.85,79.22,98.57,5.19,30,1.11,94,3.48,6,68.09,27.74,1.03,-2.26,-0.084,0.0,1.48,0.26,,,,0.0,0,0.0
S. Damjanović,Slavko Damjanović,247177,Bhayangkara F.C.,Bhayangkara F.C.,https://cdn5.wyscout.com/photos/team/public/g36273_120x120.png,Liga 1,LCB,LCB,97,,0,,0,33.0,1992-11-02,200000,,24,2416,3,3.02,0,0.0,8.46,57.27,Montenegro,['Montenegro'],left,189,77,False,7.49,3.2,68.6,2.91,55.13,0.30000000000000004,0.41000000000000003,0.52,4.99,6.83,0.6000000000000001,7,0.26,0,0.0,0.37,0.11,3,0.11,0.11,3,0.11,12,0.45,33.33,25.0,0.0,0.22,33.33,0.22,33.33,0.0,0.0,0.04,0.26,57.14,0.97,46.15,0.63,0.75,0.11,15.01,0.11,0.07,26.6,79.55,12.33,68.28,1.45,94.87,20.12,87.41,6.3,56.21,24.83,38.91,0.0,0.0,0.04,0.04,0.04,0.0,0.0,5.36,62.5,0.71,42.11,0.26,28.57,0.26,0.07,6.52,68.57,91.38,10.8,0,,0,,0,0.0,0.0,0.0,,,1.01,,2.91,0.07,0.04,0.0,0.0,0,0.0
Luquinhas,Claudio Lucas Morais Ferreira dos Santos,471675,PSBS Biak Numfor,PSBS Biak Numfor,https://cdn5.wyscout.com/photos/team/public/g23732_120x120.png,Liga 1,"LW, AMF, LAMF",LW,18,AMF,15,LAMF,14,28.0,1997-04-22,150000,,24,2413,6,5.18,6,4.23,17.68,41.77,Brazil,['Brazil'],right,175,67,False,4.7,4.29,56.52,0.75,15.0,0.04,0.05,0.11,2.24,2.93,1.08,7,0.26,0,0.0,3.21,0.22,3,0.11,0.19,1,0.04,34,1.27,52.94,17.647,0.22,1.31,34.29,0.8200000000000001,31.82,0.37,40.0,0.22,3.88,50.0,10.7,38.68,1.6800000000000002,3.02,0.71,20.03,1.79,1.01,29.65,76.48,9.77,65.27,6.04,88.89,25.44,81.67,2.95,49.37,18.14,34.99,0.16,1.8599999999999999,0.15,0.0,0.26,57.14,0.56,4.8100000000000005,66.67,3.06,54.88,0.56,60.0,1.6400000000000001,0.48,5.89,78.48,79.13,8.58,0,,0,,0,0.0,0.0,0.0,,,0.15,,0.75,0.86,0.11,0.0,1.6400000000000001,3,100.0
K. Palić,Kerim Palić,423916,Madura United,Madura United,https://cdn5.wyscout.com/photos/team/public/g6713_120x120.png,Liga 1,"DMF, LDMF, LCMF",DMF,34,LDMF,15,LCMF,12,29.0,1997-01-24,200000,2027-05-31,24,2397,1,1.9100000000000001,0,0.15,14.98,54.64,Bosnia and Herzegovina,['Bosnia and Herzegovina'],right,0,0,False,7.21,6.42,61.4,1.8,62.5,0.71,0.91,0.26,2.55,3.27,0.98,2,0.08,0,0.0,0.8300000000000001,0.04,1,0.04,0.07,0,0.0,11,0.41000000000000003,27.27,9.091,0.0,0.30000000000000004,37.5,0.15,50.0,0.15,25.0,0.0,1.01,59.26,4.96,44.7,0.49,1.09,0.19,24.48,0.15,0.8300000000000001,36.05,86.04,12.8,76.54,3.75,92.0,32.25,89.52,3.49,58.06,18.46,36.03,0.01,0.19,0.08,0.0,0.04,0.0,0.08,6.76,75.0,1.28,38.24,0.30000000000000004,25.0,0.30000000000000004,0.15,6.12,76.07,93.07,13.55,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.8,0.0,0.0,0.0,0.0,0,0.0
N. Haljeta,Nermin Haljeta,415368,PSIM Yogyakarta,PSIM Yogyakarta,https://cdn5.wyscout.com/photos/team/public/g4260_120x120.png,Liga 1,CF,CF,96,,0,,0,28.0,1997-06-07,300000,,24,2391,4,5.69,3,2.27,9.41,36.0,Slovenia,"['Slovenia', 'Bosnia and Herzegovina']",right,195,80,False,1.81,1.09,65.52,2.94,39.74,0.0,0.0,0.19,1.09,1.83,0.26,2,0.08,0,0.0,0.98,0.15,4,0.15,0.21,1,0.04,36,1.3599999999999999,41.67,11.111,0.11,0.45,16.67,0.19,20.0,0.23,16.67,0.04,0.79,42.86,4.03,24.3,4.03,0.45,0.11,8.62,2.18,0.30000000000000004,12.8,77.65,1.81,72.92,4.63,86.99,12.08,80.69,0.30000000000000004,50.0,13.69,7.36,0.09,0.79,0.0,0.04,0.0,0.0,0.53,0.56,66.67,0.41000000000000003,72.73,0.04,0.0,0.9,0.04,0.9,79.17,74.68,2.9699999999999998,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.94,0.0,0.0,0.0,0.04,0,0.0
Pedro Monteiro,Pedro Filipe Tinoco Monteiro,309674,Madura United,Madura United,https://cdn5.wyscout.com/photos/team/public/g6713_120x120.png,Liga 1,"RCB, RCB3",RCB,65,RCB3,23,,0,32.0,1994-01-30,200000,2027-06-30,24,2374,1,2.85,0,0.6000000000000001,7.73,58.82,Portugal,['Portugal'],right,192,77,False,8.23,4.21,65.77,2.73,54.17,0.30000000000000004,0.39,0.76,5.16,6.63,0.38,4,0.15,0,0.0,0.34,0.04,0,0.0,0.11,0,0.0,13,0.49,38.46,7.692,0.0,0.23,50.0,0.0,0.0,0.23,50.0,0.04,0.04,100.0,0.30000000000000004,50.0,0.5700000000000001,0.34,0.0,25.51,0.30000000000000004,0.19,38.48,86.11,18.96,77.0,1.67,95.45,31.12,93.3,7.17,56.08,24.01,40.54,0.02,0.27,0.0,0.04,0.04,0.0,0.0,5.38,64.08,0.72,31.58,0.30000000000000004,12.5,0.23,0.08,8.53,75.56,96.31,15.39,0,,0,,0,0.0,0.0,0.0,,,1.25,,2.73,0.08,0.08,50.0,0.0,2,50.0
J. Guseynov,Javlon Guseynov,259533,Persita,Persita,https://cdn5.wyscout.com/photos/team/public/g1156_120x120.png,Liga 1,"RCB, RDMF, LDMF",RCB,31,RDMF,22,LDMF,11,34.0,1991-06-24,250000,,24,2368,2,0.8,0,0.33,11.21,57.63,Uzbekistan,['Uzbekistan'],both,185,0,False,7.03,4.48,65.25,3.91,56.31,0.23,0.31,0.76,3.88,5.21,0.91,5,0.19,0,0.0,0.27,0.08,2,0.08,0.03,0,0.0,15,0.5700000000000001,26.67,13.333,0.0,0.34,33.33,0.04,100.0,0.30000000000000004,25.0,0.04,0.0,0.0,0.87,39.13,0.30000000000000004,0.42,0.0,22.04,0.30000000000000004,0.68,32.76,83.06,13.0,70.18,3.27,94.19,26.11,88.21,6.35,64.07,23.41,40.19,0.01,0.15,0.0,0.0,0.08,0.0,0.08,4.86,68.75,0.72,26.32,0.42,27.27,0.08,0.11,7.26,68.06,92.55,14.29,0,,0,,0,0.0,0.0,0.0,,,1.1,,3.91,0.15,0.15,50.0,0.0,0,0.0
