Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Falkesgaard,Michael Falkesgaard,134288,Port FC,Port FC,https://cdn5.wyscout.com/photos/team/public/g8067_120x120.png,Thai League,GK,GK,100,,0,,0,34.0,1991-04-09,150000,2026-06-30,23,2339,0,0.0,0,0.0,0.38,90.0,Denmark,"['Denmark', 'Philippines']",right,191,78,False,1.15,0.04,100.0,0.23,100.0,0.04,0.06,0.0,1.08,1.6800000000000002,0.0,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,8.04,0.19,0.12,12.27,89.03,7.04,81.42,0.0,0.0,8.23,99.07,4.04,68.57,29.52,46.63,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1.08,35.71,0.0,0.0,0.04,0.0,0.0,0.0,2.65,84.06,99.2,4.8100000000000005,19,0.73,72,2.77,11,73.61,20.41,0.79,1.4100000000000001,0.054,0.0,0.85,0.23,,,,0.0,0,0.0
W. Srathongjan,Wattanachai Srathongjan,-172582,Prachuap,Prachuap,https://cdn5.wyscout.com/photos/team/public/g24607_120x120.png,Thai League,GK,GK,100,,0,,0,35.0,1991-02-26,125000,2026-06-30,23,2339,0,0.0,0,0.0,1.08,92.86,Thailand,['Thailand'],right,0,0,False,1.04,0.08,100.0,0.85,95.45,0.0,0.0,0.04,0.96,1.34,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,6.27,0.0,0.19,11.81,76.87,8.0,71.63,0.0,0.0,6.39,95.18,5.35,56.12,35.44,49.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,41.67,0.08,0.0,0.08,0.0,0.0,0.0,4.31,66.07,90.48,3.23,29,1.12,84,3.23,7,65.48,26.97,1.04,-2.03,-0.078,0.0,2.19,0.85,,,,0.0,0,0.0
S. Bureerat,Suphanan Bureerat,440239,Port FC,Port FC,https://cdn5.wyscout.com/photos/team/public/g8067_120x120.png,Thai League,RB,RB,94,,0,,0,32.0,1993-10-10,300000,2026-06-30,23,2339,3,1.18,3,2.12,17.28,56.57,Thailand,['Thailand'],right,177,70,False,8.93,7.08,68.48,2.0,61.54,0.42,0.66,0.12,3.66,5.69,1.04,2,0.08,0,0.0,2.89,0.12,3,0.12,0.05,0,0.0,28,1.08,42.86,10.714,0.12,3.35,19.54,0.0,0.0,3.35,19.54,0.58,2.92,60.53,6.43,45.51,1.31,2.0,0.5,26.36,1.54,0.77,37.25,75.62,14.78,68.75,6.08,95.57,29.4,86.39,4.69,45.08,20.29,40.67,0.08,0.65,0.0,0.04,0.0,0.0,0.31,6.7,67.24,3.39,32.95,0.6900000000000001,27.78,0.77,0.65,8.66,75.11,71.43,9.97,0,,0,,0,0.0,0.0,0.0,,,0.65,,2.0,0.19,0.15,25.0,0.35000000000000003,0,0.0
K. Saensuk,Kittipun Saensuk,-130543,Sukhothai,Sukhothai,https://cdn5.wyscout.com/photos/team/public/g27290_120x120.png,Thai League,GK,GK,100,,0,,0,31.0,1994-12-09,150000,2026-06-30,23,2328,0,0.0,0,0.0,0.58,93.33,Thailand,['Thailand'],right,180,0,False,1.35,0.04,100.0,0.39,100.0,0.0,0.0,0.0,1.31,1.75,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.08,6.96,0.19,0.27,12.56,85.85,6.49,73.21,0.0,0.0,8.62,99.1,3.94,56.86,31.07,52.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,44.0,0.04,0.0,0.0,0.0,0.0,0.0,3.05,70.89,99.32,5.64,33,1.28,131,5.06,4,74.81,35.95,1.3900000000000001,2.95,0.114,0.0,1.62,0.39,,,,0.0,0,0.0
S. Promsupa,Saringkan Promsupa,465404,Sukhothai,Sukhothai,https://cdn5.wyscout.com/photos/team/public/g27290_120x120.png,Thai League,"RCB, CB, LCB",RCB,58,CB,24,LCB,10,28.0,1997-03-29,150000,2026-06-30,23,2328,0,1.34,0,0.36,5.95,50.65,Thailand,['Thailand'],right,175,0,False,6.46,2.86,56.76,2.24,43.1,0.0,0.0,0.73,4.83,6.44,0.08,1,0.04,0,0.0,0.23,0.0,0,0.0,0.05,0,0.0,5,0.19,40.0,0.0,0.0,0.27,42.86,0.12,33.33,0.15,50.0,0.0,0.04,100.0,0.39,70.0,0.46,0.77,0.12,25.63,0.23,0.08,38.12,84.28,20.1,77.31,1.2,90.32,31.16,91.56,6.69,52.02,21.78,39.96,0.01,0.19,0.0,0.04,0.0,0.0,0.12,5.53,61.54,1.01,26.92,0.54,21.43,0.23,0.12,8.12,70.0,94.89,13.61,0,,0,,0,0.0,0.0,0.0,,,0.66,,2.24,0.0,0.0,0.0,0.0,0,0.0
J. Nyholm,Jesper Nyholm,199125,Prachuap,Prachuap,https://cdn5.wyscout.com/photos/team/public/g24607_120x120.png,Thai League,"RCB, RCB3, CB",RCB,45,RCB3,25,CB,11,32.0,1993-09-10,175000,2026-06-30,23,2325,0,1.38,0,0.07,10.61,56.57,Sweden,"['Sweden', 'Philippines']",right,184,72,False,7.2,4.88,70.63,2.75,39.44,0.12,0.16,0.31,3.64,5.06,0.97,2,0.08,0,0.0,0.15,0.0,0,0.0,0.05,0,0.0,8,0.31,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.27,57.14,1.35,48.57,0.39,0.54,0.0,16.68,0.12,0.27,26.59,87.92,10.68,81.52,2.55,92.42,24.23,91.85,2.32,48.33,18.52,32.86,0.0,0.08,0.0,0.0,0.04,0.0,0.04,2.67,59.42,0.46,25.0,0.19,0.0,0.15,0.0,4.22,72.48,93.75,9.91,0,,0,,0,0.0,0.0,0.0,,,0.85,,2.75,0.0,0.0,0.0,0.0,0,0.0
W. Makemusik,Warut Makemusik,334020,Ayutthaya United,Ayutthaya United,https://cdn5.wyscout.com/photos/team/public/g35671_120x120.png,Thai League,GK,GK,100,,0,,0,34.0,1992-02-21,100000,2026-06-30,23,2312,0,0.0,0,0.04,1.01,69.23,Thailand,['Thailand'],right,180,81,False,1.75,0.16,25.0,0.43,90.91,0.12,0.17,0.0,1.6,2.2800000000000002,0.04,2,0.08,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.27,71.43,0.0,0.0,0.0,9.46,0.08,0.35000000000000003,19.35,84.51,11.6,77.52,0.0,0.0,11.41,95.22,7.94,69.12,34.07,47.86,0.0,0.04,0.0,0.0,0.0,0.0,0.04,1.71,36.36,0.16,50.0,0.19,40.0,0.08,0.0,6.03,75.48,96.15,7.08,33,1.28,116,4.52,4,71.55,37.19,1.45,4.19,0.163,0.0,2.02,0.43,,,,0.0,0,0.0
S. Anuin,Saranon Anuin,397251,BG Pathum United,BG Pathum United,https://cdn5.wyscout.com/photos/team/public/g13080_120x120.png,Thai League,GK,GK,100,,0,,0,31.0,1994-03-24,250000,2026-06-30,23,2304,0,0.0,0,0.05,0.43,81.82,Thailand,['Thailand'],left,186,78,False,1.21,0.04,0.0,0.27,100.0,0.0,0.0,0.0,1.21,1.75,0.0,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,66.67,0.0,0.0,0.0,9.18,0.23,0.23,14.37,86.68,6.95,74.16,0.0,0.0,10.82,97.83,3.55,52.75,29.87,45.4,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.74,36.84,0.04,0.0,0.12,100.0,0.0,0.0,2.9699999999999998,63.16,98.34,7.07,24,0.9400000000000001,103,4.02,8,76.7,29.07,1.1400000000000001,5.07,0.198,0.0,1.33,0.27,,,,0.0,0,0.0
J. Baggio,John Baggio Rakotonomenjanahary,212361,Sukhothai,Sukhothai,https://cdn5.wyscout.com/photos/team/public/g27290_120x120.png,Thai League,"CF, LAMF, AMF",CF,60,LAMF,12,AMF,12,34.0,1991-12-19,300000,2026-06-30,23,2215,4,6.87,3,4.24,16.86,40.96,Madagascar,['Madagascar'],both,159,0,False,1.75,2.32,43.86,1.34,24.24,0.08,0.11,0.08,0.65,0.86,0.77,2,0.08,0,0.0,3.9,0.16,4,0.16,0.28,2,0.08,58,2.36,34.48,6.897,0.12,2.68,33.33,1.38,32.35,1.26,32.26,0.49,3.7,58.24,10.97,45.19,2.76,1.34,0.45,12.6,1.87,2.4,17.63,69.82,3.8200000000000003,56.38,4.35,93.46,13.08,78.88,1.87,58.7,18.82,32.26,0.17,1.1,0.04,0.0,0.12,33.33,0.5700000000000001,2.32,59.65,2.7199999999999998,46.27,0.33,50.0,0.81,0.85,2.76,77.94,67.61,5.77,0,,0,,0,0.0,0.0,0.0,,,0.08,,1.34,0.04,0.04,0.0,0.0,1,0.0
K. Khamyok,Kakana Khamyok,-322123,Muang Thong United,Muang Thong United,https://cdn5.wyscout.com/photos/team/public/2860_120x120.png,Thai League,"AMF, RCMF, LCMF",AMF,25,RCMF,14,LCMF,14,21.0,2004-05-21,0,2026-06-30,22,2172,0,5.64,3,4.3,15.12,45.48,Thailand,['Thailand'],right,177,0,False,4.19,4.43,54.21,0.99,54.17,0.33,0.5,0.08,1.45,2.19,1.08,5,0.21,0,0.0,2.44,0.0,0,0.0,0.23,0,0.0,50,2.07,30.0,0.0,0.12,2.11,25.49,0.91,27.27,1.2,24.14,0.21,2.32,50.0,7.71,41.4,2.73,2.32,0.58,23.41,1.2,1.49,30.5,75.82,8.95,64.81,6.59,89.31,25.57,83.31,2.98,43.06,18.44,35.05,0.18,1.7000000000000002,0.04,0.04,0.21,60.0,0.54,4.48,62.96,3.81,44.57,0.75,27.78,1.28,0.58,4.93,81.51,73.89,9.36,0,,0,,0,0.0,0.0,0.0,,,0.5,,0.99,0.46,0.0,0.0,1.99,0,0.0
