Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Styrczula,Maciej  Styrczula,-268964,NKP Podhale,NKP Podhale,https://cdn5.wyscout.com/photos/team/public/g34279_120x120.png,II Liga,GK,GK,100,,0,,0,24.0,2001-04-06,0,,22,2107,0,0.0,0,0.0,1.24,89.66,Poland,['Poland'],right,185,80,False,2.18,0.0,0.0,0.6000000000000001,100.0,0.0,0.0,0.0,2.18,3.13,0.0,3,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47000000000000003,90.91,0.0,0.04,0.0,18.5,0.21,0.56,29.73,80.03,15.89,64.78,0.0,0.0,18.62,98.62,11.02,49.22,33.49,55.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.28,44.22,0.6000000000000001,21.43,0.47000000000000003,36.36,0.38,0.0,6.71,75.8,98.04,13.07,18,0.77,64,2.73,10,71.88,18.73,0.8,0.73,0.031,0.0,1.67,0.6000000000000001,,,,0.0,0,0.0
J. Tetyk,Jakub Tetyk,-595928,Resovia Rzeszów,Resovia Rzeszów,https://cdn5.wyscout.com/photos/team/public/g8983_120x120.png,II Liga,GK,GK,100,,0,,0,18.0,2007-11-02,0,2027-06-30,22,2105,0,0.0,0,0.51,0.77,77.78,Poland,['Poland'],unknown,0,0,False,1.67,0.04,0.0,0.34,75.0,0.0,0.0,0.0,1.67,2.29,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,100.0,0.0,0.0,0.0,6.24,0.21,0.34,15.09,84.42,9.53,75.34,0.04,100.0,8.04,96.81,7.05,70.3,34.23,46.14,0.02,0.04,0.0,0.0,0.0,0.0,0.0,2.39,58.93,0.13,33.33,0.26,66.67,0.04,0.0,5.09,81.51,100.0,4.92,27,1.15,104,4.45,5,74.04,30.95,1.32,3.95,0.169,0.0,1.15,0.34,,,,0.0,0,0.0
M. Michota,Marcin  Michota,-195184,NKP Podhale,NKP Podhale,https://cdn5.wyscout.com/photos/team/public/g34279_120x120.png,II Liga,"LCB3, RCB3",LCB3,75,RCB3,22,,0,28.0,1997-07-08,0,,22,2099,3,2.84,1,2.39,16.89,52.03,Poland,['Poland'],right,178,0,False,6.86,4.42,55.34,3.86,55.56,0.47000000000000003,0.68,0.39,3.94,5.67,1.67,4,0.17,0,0.0,2.79,0.13,1,0.04,0.12,1,0.04,27,1.16,22.22,11.111,0.04,2.5300000000000002,52.54,1.72,50.0,0.73,64.71,0.43,2.83,42.42,6.35,48.65,1.37,3.09,0.34,28.13,0.6000000000000001,1.8399999999999999,42.83,77.78,21.4,67.33,6.77,97.47,31.52,88.16,8.88,48.31,22.45,38.61,0.1,1.16,0.04,0.0,0.04,0.0,0.47000000000000003,9.52,59.91,4.33,60.4,1.11,50.0,1.5899999999999999,1.24,10.89,79.13,85.71,10.51,0,,0,,0,0.0,0.0,0.0,,,2.66,,3.86,0.0,0.0,0.0,0.0,2,100.0
D. Primel,Damian Primel,119709,Chojniczanka Chojnice,Chojniczanka Chojnice,https://cdn5.wyscout.com/photos/team/public/g13529_120x120.png,II Liga,GK,GK,100,,0,,0,33.0,1992-04-16,0,2027-06-30,21,2040,0,0.0,0,0.0,0.79,83.33,Poland,['Poland'],right,191,0,False,1.06,0.09,50.0,0.49,90.91,0.0,0.0,0.0,1.01,1.5,0.0,3,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.22,80.0,0.0,0.0,0.0,10.94,0.13,0.31,17.29,87.76,8.43,76.44,0.04,100.0,12.04,98.17,5.25,63.87,29.18,46.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,54.17,0.13,0.0,0.04,0.0,0.0,0.0,4.54,71.84,98.31,7.85,31,1.37,95,4.19,5,67.37,26.29,1.16,-4.71,-0.20800000000000002,0.0,1.72,0.49,,,,0.0,0,0.0
M. Jeleń,Mateusz Jeleń,-310961,Sandecja Nowy Sącz,Sandecja Nowy Sącz,https://cdn5.wyscout.com/photos/team/public/2896_120x120.png,II Liga,GK,GK,100,,0,,0,19.0,2007-02-02,0,2027-06-30,21,2018,0,0.0,0,0.0,0.71,81.25,Poland,['Poland'],right,188,78,True,1.34,0.04,100.0,0.54,75.0,0.0,0.0,0.0,1.29,1.9,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,8.96,0.13,0.09,15.52,81.03,7.63,66.67,0.04,0.0,9.19,96.6,6.29,58.87,33.7,48.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,37.14,0.04,0.0,0.13,0.0,0.0,0.0,4.46,69.0,95.06,7.22,28,1.25,88,3.92,5,68.18,25.11,1.12,-2.89,-0.129,0.0,1.47,0.54,,,,0.0,0,0.0
L. Przybylak,Leo Przybylak,-218330,Warta Poznań,Warta Poznań,https://cdn5.wyscout.com/photos/team/public/2769_120x120.png,II Liga,GK,GK,100,,0,,0,21.0,2004-05-28,0,2026-06-30,21,2017,0,0.0,0,0.0,0.67,86.67,Poland,['Poland'],right,194,78,False,0.9400000000000001,0.04,100.0,0.45,80.0,0.0,0.0,0.0,0.89,1.26,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,12.54,0.13,0.22,17.13,78.13,9.73,66.97,0.0,0.0,8.7,93.85,8.34,62.57,33.6,47.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,60.0,0.04,0.0,0.04,0.0,0.0,0.0,6.47,70.34,94.04,6.74,24,1.07,83,3.7,6,71.08,26.76,1.19,2.76,0.123,0.0,1.16,0.45,,,,0.0,0,0.0
B. Czajka,Beniamin Czajka,-268874,Olimpia Grudziądz,Olimpia Grudziądz,https://cdn5.wyscout.com/photos/team/public/3829_120x120.png,II Liga,LCB,LCB,99,,0,,0,25.0,2000-03-31,0,2026-06-30,21,2012,2,2.27,2,0.46,13.06,59.59,Poland,['Poland'],left,191,86,False,8.45,5.19,64.66,4.5600000000000005,58.82,0.18,0.27,0.63,4.92,7.55,1.48,3,0.13,0,0.0,0.49,0.09,2,0.09,0.1,0,0.0,16,0.72,43.75,12.5,0.09,0.04,100.0,0.04,100.0,0.0,0.0,0.0,0.13,66.67,1.3900000000000001,41.94,0.98,0.58,0.04,28.18,0.13,0.49,45.31,84.01,19.06,71.36,2.24,92.0,38.38,89.51,6.89,53.25,21.78,38.97,0.02,0.18,0.0,0.04,0.04,100.0,0.09,4.61,65.05,0.36,62.5,0.49,63.64,0.27,0.0,9.35,56.46,95.97,18.88,0,,0,,0,0.0,0.0,0.0,,,1.3900000000000001,,4.5600000000000005,0.0,0.0,0.0,0.0,0,0.0
S. Sobolewski,Sebastian Sobolewski,-262636,Olimpia Grudziądz,Olimpia Grudziądz,https://cdn5.wyscout.com/photos/team/public/3829_120x120.png,II Liga,GK,GK,100,,0,,0,21.0,2005-02-24,0,,21,2012,0,0.0,0,0.0,0.98,90.91,Poland,['Poland'],both,190,0,False,1.16,0.09,100.0,0.36,87.5,0.0,0.0,0.0,1.07,1.65,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,83.33,0.0,0.0,0.0,12.08,0.18,0.45,17.76,84.63,10.06,75.56,0.0,0.0,10.78,97.93,6.98,64.1,30.62,45.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,53.57,0.09,0.0,0.04,100.0,0.0,0.0,5.23,71.79,96.86,7.11,28,1.25,88,3.94,3,68.18,29.25,1.31,1.25,0.056,0.0,0.76,0.36,,,,0.0,0,0.0
B. Kurzeja,Bartosz Kurzeja,-724265,NKP Podhale,NKP Podhale,https://cdn5.wyscout.com/photos/team/public/g34279_120x120.png,II Liga,"CF, AMF",CF,80,AMF,15,,0,22.0,2003-08-12,0,,22,1979,6,6.45,2,1.52,23.92,35.36,Poland,['Poland'],unknown,0,0,False,3.55,3.23,46.48,9.37,42.72,0.14,0.19,0.32,1.9100000000000001,2.73,2.59,3,0.14,0,0.0,1.1400000000000001,0.27,6,0.27,0.29,1,0.05,42,1.9100000000000001,33.33,14.286,0.09,0.23,20.0,0.18,0.0,0.05,100.0,0.09,0.91,50.0,7.69,21.89,4.64,0.64,0.05,6.09,1.5899999999999999,0.96,10.96,70.54,3.37,52.7,2.27,90.0,10.64,71.79,0.09,50.0,13.42,3.06,0.07,0.55,0.05,0.0,0.0,0.0,0.36,0.96,52.38,0.73,31.25,0.0,0.0,0.68,0.09,0.73,56.25,75.56,2.05,0,,0,,0,0.0,0.0,0.0,,,0.0,,9.37,0.0,0.0,0.0,0.0,0,0.0
D. Szot,Dawid Szot,-116922,Zagłębie Sosnowiec,Zagłębie Sosnowiec,https://cdn5.wyscout.com/photos/team/public/460_120x120.png,II Liga,"RB, LB",RB,47,LB,36,,0,24.0,2001-04-29,300000,2027-06-30,20,1924,1,1.51,1,1.05,14.13,55.96,Poland,['Poland'],right,183,75,False,8.19,5.99,64.84,2.67,49.12,0.14,0.21,0.23,4.16,6.28,0.89,4,0.19,0,0.0,1.73,0.05,1,0.05,0.07,0,0.0,20,0.9400000000000001,25.0,5.0,0.05,2.62,41.07,0.65,35.71,1.96,42.86,0.19,0.98,38.1,3.37,48.61,1.08,1.26,0.0,26.2,0.9400000000000001,1.26,39.43,78.05,15.95,70.97,6.74,95.14,34.05,85.3,2.85,22.95,18.43,33.25,0.05,0.61,0.05,0.05,0.05,100.0,0.23,6.41,64.96,3.46,52.7,0.33,14.29,1.08,0.98,8.42,73.33,79.55,10.29,0,,0,,0,0.0,0.0,0.0,,,0.61,,2.67,0.05,0.0,0.0,0.14,0,0.0
