Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Noll,Nahuel Noll,-135197,Hannover 96,Hannover 96,https://cdn5.wyscout.com/photos/team/public/10_120x120.png,2. Bundesliga,GK,GK,100,,0,,0,23,2003-03-17,500000,2028-06-30,28,2851,0,0.0,1,0.24,0.98,80.65,Germany,"['Germany', 'Spain']",right,190,75,True,1.04,0.03,0.0,0.5700000000000001,83.33,0.0,0.0,0.0,1.04,1.58,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,100.0,0.0,0.0,0.0,37.25,0.38,0.35000000000000003,45.9,88.1,23.04,79.18,0.06,100.0,33.87,98.14,11.93,60.32,27.94,49.3,0.01,0.03,0.0,0.0,0.0,0.0,0.03,4.74,48.67,0.63,15.0,0.44,14.29,0.06,0.0,9.19,72.85,97.43,20.9,35,1.1,115,3.63,9,69.57,34.01,1.07,-0.99,-0.031,0.06,1.7000000000000002,0.5700000000000001,,,,0.0,0,0.0
D. Reimann,Dominik Reimann,308264,Magdeburg,Magdeburg,https://cdn5.wyscout.com/photos/team/public/g2818_120x120.png,2. Bundesliga,GK,GK,100,,0,,0,28,1997-06-18,800000,,28,2831,0,0.0,0,0.0,0.6000000000000001,78.95,Germany,"['Germany', 'Poland']",right,186,84,False,0.76,0.03,100.0,0.45,71.43,0.0,0.0,0.0,0.73,1.13,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,35.45,0.73,0.06,45.97,90.46,18.98,79.4,0.03,100.0,35.16,99.37,10.75,61.54,28.0,47.9,0.0,0.0,0.03,0.03,0.0,0.0,0.0,3.27,45.63,0.41000000000000003,23.08,0.41000000000000003,23.08,0.06,0.0,8.17,73.93,98.25,25.4,51,1.62,137,4.36,5,62.77,47.09,1.5,-3.91,-0.124,0.0,1.27,0.45,,,,0.0,0,0.0
S. El-Faouzi,Soufian El-Faouzi,-200359,Schalke 04,Schalke 04,https://cdn5.wyscout.com/photos/team/public/8_120x120.png,2. Bundesliga,"RCMF, RDMF, LCMF",RCMF,49,RDMF,20,LCMF,16,23,2002-07-13,125000,2029-06-30,28,2808,1,1.07,3,3.2800000000000002,17.37,52.4,Germany,"['Germany', 'Morocco']",both,0,0,False,8.62,6.89,66.51,2.34,26.03,0.58,0.78,0.06,3.46,4.7,1.28,4,0.13,0,0.0,1.99,0.03,1,0.03,0.03,0,0.0,28,0.9,7.14,3.571,0.1,1.76,32.73,0.45,35.71,1.31,31.71,0.19,1.76,72.73,5.54,52.02,1.51,1.63,0.74,18.94,0.51,1.44,30.26,70.55,10.99,54.81,4.87,92.76,25.64,77.38,2.92,32.97,16.93,29.25,0.11,1.12,0.06,0.0,0.1,66.67,0.38,4.71,55.78,2.95,44.57,0.51,25.0,1.22,0.48,5.22,69.33,75.1,7.72,0,,0,,0,0.0,0.0,0.0,,,0.58,,2.34,0.13,0.0,0.0,1.22,0,0.0
N. Kristof,Nicolas  Kristof,-131670,Elversberg,Elversberg,https://cdn5.wyscout.com/photos/team/public/2682_120x120.png,2. Bundesliga,GK,GK,100,,0,,0,26,1999-12-20,0,,28,2804,0,0.0,0,0.0,0.55,76.47,Germany,"['Germany', 'Austria']",right,187,76,False,1.19,0.06,50.0,0.45,78.57,0.0,0.0,0.0,1.16,1.76,0.06,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,26.67,0.64,0.03,36.69,88.1,15.95,76.26,0.0,0.0,27.15,98.82,9.5,57.77,29.1,48.47,0.0,0.0,0.0,0.0,0.0,0.0,0.03,3.31,45.63,0.29,0.0,0.32,30.0,0.0,0.0,7.06,70.91,97.85,19.42,30,0.96,112,3.59,8,73.21,34.04,1.09,4.04,0.13,0.0,1.25,0.45,,,,0.0,0,0.0
T. Horn,Timo Horn,141582,Bochum,Bochum,https://cdn5.wyscout.com/photos/team/public/97_120x120.png,2. Bundesliga,GK,GK,100,,0,,0,32,1993-05-12,800000,2028-06-30,28,2795,0,0.0,0,0.0,0.52,93.75,Germany,['Germany'],left,192,90,False,1.22,0.06,50.0,0.23,100.0,0.0,0.0,0.0,1.19,1.48,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,12.82,0.1,0.26,19.9,85.44,12.46,78.04,0.0,0.0,11.08,97.09,8.82,70.8,34.66,49.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,63.21,0.29,0.0,0.26,25.0,0.06,0.0,7.25,82.22,99.07,6.96,40,1.29,145,4.67,8,72.41,46.27,1.49,6.27,0.202,0.0,1.0,0.23,,,,0.0,0,0.0
M. Schuhen,Marcel Schuhen,211269,Darmstadt 98,Darmstadt 98,https://cdn5.wyscout.com/photos/team/public/3768_120x120.png,2. Bundesliga,GK,GK,100,,0,,0,33,1993-01-13,800000,,28,2791,0,0.0,0,0.23,0.42,69.23,Germany,['Germany'],right,188,85,False,1.3900000000000001,0.03,100.0,0.19,100.0,0.03,0.04,0.0,1.32,1.75,0.0,3,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,20.12,0.32,0.06,28.15,89.81,14.96,82.54,0.0,0.0,20.8,98.45,7.35,65.35,27.25,46.26,0.01,0.03,0.0,0.0,0.0,0.0,0.03,1.87,46.55,0.03,0.0,0.19,66.67,0.03,0.0,5.8,72.22,98.12,12.0,32,1.03,126,4.06,10,74.6,30.94,1.0,-1.06,-0.034,0.0,1.06,0.19,,,,0.0,0,0.0
E. Leopold,Enzo Leopold,455878,Hannover 96,Hannover 96,https://cdn5.wyscout.com/photos/team/public/10_120x120.png,2. Bundesliga,"LCMF, RCMF, DMF",LCMF,52,RCMF,29,DMF,11,25,2000-07-23,0,2026-06-30,28,2789,3,3.74,4,4.49,13.71,62.12,Germany,['Germany'],right,174,71,False,8.62,6.13,66.84,1.58,42.86,0.32,0.49,0.45,4.2,6.36,1.16,4,0.13,0,0.0,1.0,0.1,2,0.06,0.12,0,0.0,27,0.87,25.93,11.111,0.13,1.13,40.0,0.61,31.58,0.48,53.33,0.19,0.52,62.5,4.07,64.29,0.52,0.68,0.19,40.95,0.1,1.97,56.44,90.11,14.07,79.36,11.33,96.58,52.18,92.83,3.13,62.89,18.19,30.77,0.14,1.29,0.0,0.03,0.1,0.0,0.1,5.71,78.53,2.36,50.68,0.52,37.5,0.74,0.55,6.87,74.65,93.82,23.49,0,,0,,0,0.0,0.0,0.0,,,2.94,,1.58,1.23,0.32,10.0,2.74,3,33.333
D. Seimen,Dennis  Seimen,-200832,Paderborn,Paderborn,https://cdn5.wyscout.com/photos/team/public/347_120x120.png,2. Bundesliga,GK,GK,100,,0,,0,20,2005-12-01,0,2029-06-30,27,2756,0,0.0,0,0.0,0.78,79.17,Germany,"['Germany', 'Romania']",left,190,89,True,1.24,0.13,100.0,0.56,70.59,0.0,0.0,0.0,1.11,1.6600000000000001,0.0,0,0.0,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.03,100.0,0.03,100.0,0.0,0.0,0.0,0.03,100.0,0.07,100.0,0.0,0.07,0.0,21.0,0.33,0.13,28.51,89.0,14.96,81.44,0.0,0.0,18.94,98.1,9.54,70.89,30.11,45.35,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.84,64.37,0.33,40.0,0.16,20.0,0.07,0.03,7.61,79.4,97.22,12.93,31,1.01,110,3.59,7,71.82,34.31,1.12,3.31,0.108,0.0,1.4,0.56,,,,0.0,0,0.0
L. Sirch,Luca Sirch,-108197,Kaiserslautern,Kaiserslautern,https://cdn5.wyscout.com/photos/team/public/336_120x120.png,2. Bundesliga,"RCB3, CB",RCB3,71,CB,16,,0,26,1999-06-14,250000,2026-06-30,28,2748,1,0.54,3,3.47,11.56,53.54,Germany,['Germany'],right,185,80,False,7.86,5.21,62.26,2.55,35.9,0.26,0.34,0.33,4.36,5.68,0.49,4,0.13,0,0.0,1.11,0.03,1,0.03,0.02,0,0.0,17,0.56,17.65,5.882,0.1,1.67,31.37,0.23,42.86,1.38,28.57,0.2,0.52,68.75,1.57,54.17,0.39,1.6400000000000001,0.52,33.01,0.52,0.72,48.05,79.82,21.84,68.07,4.91,96.0,35.5,92.71,10.97,45.07,23.49,42.23,0.11,0.6900000000000001,0.0,0.03,0.2,66.67,0.66,10.19,55.95,3.54,39.81,2.06,30.16,1.02,0.46,9.63,77.21,88.37,15.49,0,,0,,0,0.0,0.0,0.0,,,2.36,,2.55,0.23,0.2,16.67,0.03,0,0.0
T. Ernst,Tjark  Ernst,-66014,Hertha BSC,Hertha BSC,https://cdn5.wyscout.com/photos/team/public/6_120x120.png,2. Bundesliga,GK,GK,100,,0,,0,23,2003-03-15,2500000,2027-06-30,27,2727,0,0.0,0,0.0,0.5,73.33,Germany,['Germany'],right,193,87,False,0.99,0.03,0.0,0.4,83.33,0.0,0.0,0.0,0.99,1.3,0.03,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.42,0.23,0.03,26.04,89.48,11.85,79.67,0.0,0.0,18.88,97.73,7.16,67.74,27.64,44.51,0.0,0.0,0.0,0.03,0.0,0.0,0.0,1.02,38.71,0.0,0.0,0.0,0.0,0.0,0.0,5.68,72.09,98.46,12.84,33,1.09,124,4.09,11,73.39,38.26,1.26,5.26,0.17400000000000002,0.0,1.12,0.4,,,,0.0,0,0.0
