Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Kim Tae-Woo,Tae-Woo Kim,-564854,Albirex Niigata S,Albirex Niigata S,https://cdn5.wyscout.com/photos/team/public/g1963_120x120.png,Premier League,CB,CB,98,,0,,0,27.0,1998-06-20,0,2026-06-30,21,2208,2,2.76,2,0.49,9.86,63.22,Korea Republic,['Korea Republic'],unknown,185,0,False,6.5600000000000005,3.22,68.35,4.77,63.25,0.24,0.34,0.24,4.12,5.78,1.1400000000000001,2,0.08,0,0.0,0.45,0.08,2,0.08,0.11,2,0.08,21,0.86,33.33,9.524000000000001,0.08,0.24,33.33,0.08,0.0,0.12,66.67,0.0,0.12,66.67,0.49,58.33,1.35,0.33,0.04,36.48,0.5700000000000001,0.37,48.87,87.99,19.52,76.2,1.63,92.5,41.01,93.44,7.66,60.11,22.41,43.46,0.02,0.24,0.0,0.04,0.0,0.0,0.08,6.89,62.13,0.77,47.37,0.37,44.44,0.49,0.08,8.76,80.0,96.8,24.17,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,4.77,0.0,0.0,0.0,0.0,0,0
Eun-soo Jo,Eun-soo Jo,-418962,Albirex Niigata S,Albirex Niigata S,https://cdn5.wyscout.com/photos/team/public/g1963_120x120.png,Premier League,LCB3,LCB3,97,,0,,0,22.0,2004-03-12,0,,21,2154,1,0.66,5,1.48,10.78,62.4,Korea Republic,['Korea Republic'],unknown,0,0,False,8.19,4.3,71.84,2.9699999999999998,61.97,0.42,0.59,0.33,4.68,6.59,0.79,2,0.08,0,0.0,1.25,0.04,1,0.04,0.03,0,0.0,13,0.54,30.77,7.692,0.21,1.34,59.38,1.04,52.0,0.25,83.33,0.29,0.46,63.64,1.71,56.1,0.42,2.13,0.21,41.95,0.54,0.5,57.87,83.9,28.2,75.26,5.68,96.32,46.71,91.23,9.86,52.12,22.19,41.84,0.06,0.79,0.04,0.04,0.04,0.0,0.33,13.33,67.71,2.92,54.29,0.88,38.1,0.79,0.75,16.38,81.89,92.81,18.01,0,,0,,0,0.0,0.0,0.0,,,0.96,,2.9699999999999998,0.63,0.13,66.67,0.33,0,0
J. Pereira,Joshua Bernard Pereira,434677,Geylang International,Geylang International,https://cdn5.wyscout.com/photos/team/public/g1967_120x120.png,Premier League,"LCB, RB, RCB",LCB,62,RB,16,RCB,10,28.0,1997-10-10,150000,2026-06-30,21,2144,0,0.27,0,0.03,9.57,59.65,Singapore,['Singapore'],right,178,0,False,8.06,4.45,71.7,2.31,49.09,0.5,0.61,0.21,4.37,5.28,0.34,3,0.13,0,0.0,0.25,0.0,0,0.0,0.01,0,0.0,2,0.08,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.29,71.43,1.34,50.0,0.08,1.26,0.0,35.18,0.42,0.76,49.32,89.96,22.0,84.35,3.36,96.25,46.01,92.34,3.27,57.69,17.9,33.5,0.0,0.04,0.0,0.0,0.04,100.0,0.0,5.79,82.61,0.42,50.0,0.13,66.67,0.17,0.0,8.14,67.53,96.45,17.71,0,,0,,0,0.0,0.0,0.0,,,1.09,,2.31,0.0,0.0,0.0,0.0,0,0
S. Nakano,Shingo Nakano,-592106,Albirex Niigata S,Albirex Niigata S,https://cdn5.wyscout.com/photos/team/public/g1963_120x120.png,Premier League,CF,CF,96,,0,,0,21.0,2004-12-26,0,2026-06-30,21,2104,20,13.0,1,2.73,16.81,35.88,Singapore,['Singapore'],,0,0,False,2.69,1.92,62.22,6.12,39.16,0.04,0.06,0.13,1.45,2.04,1.03,2,0.09,0,0.0,2.4,0.86,19,0.81,0.56,7,0.30000000000000004,68,2.91,60.29,29.412,0.04,0.34,37.5,0.04,100.0,0.30000000000000004,28.57,0.04,1.5,34.29,5.77,25.93,4.75,0.47000000000000003,0.13,9.33,2.1,0.98,11.85,77.26,2.01,57.45,3.25,82.89,11.25,79.09,0.26,50.0,13.22,5.1,0.12,0.81,0.0,0.0,0.04,0.0,0.47000000000000003,0.81,47.37,0.77,61.11,0.04,0.0,0.98,0.13,0.81,73.68,77.03,3.17,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.12,0.0,0.0,0.0,0.0,1,100
L. Vujanić,Lazar Vujanić,504535,Balestier Khalsa,Balestier Khalsa,https://cdn5.wyscout.com/photos/team/public/g1968_120x120.png,Premier League,"RCMF, RDMF",RCMF,34,RDMF,21,,0,26.0,1999-09-18,150000,2026-06-30,20,2023,1,1.02,3,3.37,14.55,49.54,Serbia,['Serbia'],left,183,75,False,9.34,6.76,57.89,2.49,60.71,0.36,0.47000000000000003,0.62,5.07,6.73,1.65,6,0.27,1,0.04,1.42,0.04,1,0.04,0.05,0,0.0,34,1.51,32.35,2.941,0.13,0.49,54.55,0.36,50.0,0.13,66.67,0.13,0.98,63.64,3.91,39.77,0.58,1.33,0.27,32.48,0.04,0.31,44.62,89.93,12.77,79.44,6.23,95.71,38.57,94.69,5.5600000000000005,60.0,22.01,43.38,0.15,0.93,0.13,0.0,0.04,100.0,0.27,7.34,80.0,0.85,47.37,0.22,60.0,0.22,0.27,7.47,79.17,94.48,20.95,0,,0,,0,0.0,0.0,0.0,,,1.69,,2.49,0.49,0.27,33.33,2.0,0,0
H. Sunny,Hassan bin Abdullah Sunny,24493,Albirex Niigata S,Albirex Niigata S,https://cdn5.wyscout.com/photos/team/public/g1963_120x120.png,Premier League,GK,GK,100,,0,,0,42.0,1984-04-02,50000,2027-06-30,19,2004,0,0.0,0,0.0,0.31,100.0,Singapore,['Singapore'],left,185,80,False,0.58,0.0,0.0,0.18,100.0,0.0,0.0,0.0,0.58,0.81,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.04,7.19,0.18,0.18,11.59,85.66,6.47,75.69,0.0,0.0,6.96,97.42,4.63,67.96,31.32,46.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9400000000000001,38.1,0.0,0.0,0.04,0.0,0.0,0.0,3.14,78.57,97.85,4.18,19,0.85,55,2.47,9,65.45,15.11,0.68,-3.89,-0.17500000000000002,0.0,1.3900000000000001,0.18,,,,0.0,0,0
T. Matić,Tin Matić,420611,Balestier Khalsa,Balestier Khalsa,https://cdn5.wyscout.com/photos/team/public/g1968_120x120.png,Premier League,"CF, AMF",CF,63,AMF,30,,0,28.0,1997-10-23,150000,2026-06-30,21,2001,6,6.9,4,4.11,13.58,32.78,Croatia,['Croatia'],right,178,72,False,3.37,2.56,56.14,2.16,22.92,0.04,0.06,0.09,1.8900000000000001,2.48,0.99,3,0.13,0,0.0,2.11,0.27,5,0.22,0.31,0,0.0,44,1.98,47.73,13.636,0.18,1.62,27.78,0.9,30.0,0.72,25.0,0.31,1.75,41.03,6.52,31.72,3.01,0.49,0.0,14.21,1.17,0.99,19.93,73.14,5.44,60.33,4.41,91.84,16.73,80.11,1.62,44.44,17.16,29.32,0.18,1.03,0.13,0.0,0.13,0.0,0.49,2.47,69.09,2.02,42.22,0.36,12.5,1.17,0.4,2.79,66.13,68.94,5.94,0,,0,,0,0.0,0.0,0.0,,,0.36,,2.16,0.09,0.09,0.0,0.0,2,50
Y. Suwa,Yuma  Suwa,-247139,Hougang United,Hougang United,https://cdn5.wyscout.com/photos/team/public/g6544_120x120.png,Premier League,RB,RB,84,,0,,0,25.0,2000-08-29,0,2026-06-30,20,2000,0,0.55,2,0.91,13.59,58.94,Japan,['Japan'],right,0,0,False,7.7,6.39,69.72,1.71,47.37,0.14,0.19,0.18,3.11,4.27,0.72,2,0.09,0,0.0,1.17,0.0,0,0.0,0.02,0,0.0,9,0.41000000000000003,22.22,0.0,0.09,1.8,20.0,0.14,0.0,1.6600000000000001,21.62,0.18,1.04,65.22,4.32,50.0,0.9,1.44,0.32,26.06,1.44,0.9,36.41,80.96,13.01,69.55,6.93,95.45,31.23,87.18,3.47,55.84,19.34,36.09,0.04,0.5,0.0,0.05,0.09,50.0,0.41000000000000003,4.23,70.21,2.07,32.61,0.23,20.0,0.63,0.41000000000000003,6.35,67.38,85.23,10.67,0,,0,,0,0.0,0.0,0.0,,,0.68,,1.71,0.0,0.0,0.0,0.0,0,0
Shah Shahiran,Nur Muhammad Shah bin Shahiran,-71358,Tampines Rovers,Tampines Rovers,https://cdn5.wyscout.com/photos/team/public/3642_120x120.png,Premier League,LDMF,LDMF,69,,0,,0,26.0,1999-11-14,175000,2027-12-31,20,1987,5,2.7,7,2.43,10.01,47.51,Singapore,['Singapore'],right,173,0,False,6.61,4.67,65.05,0.68,33.33,0.18,0.26,0.32,3.4,4.91,1.04,2,0.09,0,0.0,1.4,0.23,5,0.23,0.12,0,0.0,25,1.13,52.0,20.0,0.32,0.68,53.33,0.23,40.0,0.36,75.0,0.14,0.54,50.0,3.58,30.38,1.09,1.27,0.05,62.33,0.41000000000000003,0.77,73.11,92.32,21.47,84.39,13.54,96.99,68.21,94.49,4.26,63.83,16.58,35.21,0.11,1.4,0.14,0.14,0.27,66.67,0.63,12.59,89.57,2.9,65.63,1.04,60.87,1.9,0.36,10.6,88.89,95.72,25.41,0,,0,,0,0.0,0.0,0.0,,,1.04,,0.68,0.18,0.14,0.0,0.0,0,0
S. Hoshino,Shuhei Hoshino,-114348,Geylang International,Geylang International,https://cdn5.wyscout.com/photos/team/public/g1967_120x120.png,Premier League,CF,CF,77,,0,,0,30.0,1995-12-19,175000,2026-06-30,21,1966,6,5.55,3,1.51,16.8,40.05,Japan,['Japan'],right,183,0,False,3.16,2.61,56.14,4.35,55.79,0.05,0.06,0.18,1.65,2.0,1.28,1,0.05,0,0.0,0.96,0.27,6,0.27,0.25,3,0.14,35,1.6,31.43,17.143,0.14,0.37,37.5,0.14,33.33,0.18,25.0,0.14,0.92,30.0,7.14,25.64,2.98,0.64,0.09,13.83,1.51,1.51,20.69,75.66,6.45,52.48,4.3,90.43,17.03,82.26,3.3,45.83,18.21,37.58,0.07,0.73,0.09,0.0,0.18,25.0,0.5,2.61,45.61,1.19,46.15,0.32,14.29,0.87,0.14,2.93,64.06,84.72,6.59,0,,0,,0,0.0,0.0,0.0,,,0.32,,4.35,0.0,0.0,0.0,0.0,0,0
