Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Á. Ampuero,Álvaro Ampuero García Rossell,195986,Cusco,Cusco,https://cdn5.wyscout.com/photos/team/public/3745_120x120.png,Primera División,"LCB, LB, LCB3",LCB,36,LB,29,LCB3,22,33,1992-09-25,250000,2026-12-31,9,896,0,0.97,0,0.22,11.05,50.91,Peru,"['Peru', 'Italy']",left,183,77,False,5.63,3.62,50.0,4.02,47.5,0.1,0.18,0.4,3.7199999999999998,6.53,0.7000000000000001,1,0.1,0,0.0,1.31,0.0,0,0.0,0.1,0,0.0,8,0.8,25.0,0.0,0.0,1.4100000000000001,42.86,1.21,41.67,0.1,100.0,0.1,0.8,62.5,2.21,54.55,0.9,1.31,0.1,37.47,1.0,0.4,49.32,90.02,15.17,82.78,4.42,95.45,43.49,95.15,4.42,54.55,21.47,35.54,0.02,0.4,0.0,0.0,0.0,0.0,0.30000000000000004,3.52,60.0,1.31,53.85,0.30000000000000004,66.67,0.0,0.6000000000000001,6.43,73.44,94.56,24.01,0,,0,,0,0.0,0.0,0.0,,,1.71,,4.02,0.0,0.0,0.0,0.0,0,0.0
A. Fuentes,Aldair Amarildo Fuentes Siguas,471283,Cusco,Cusco,https://cdn5.wyscout.com/photos/team/public/3745_120x120.png,Primera División,"RCB, RCB3",RCB,66,RCB3,33,,0,28,1998-01-25,300000,2026-12-31,9,896,0,0.52,0,0.39,9.64,60.42,Peru,['Peru'],right,191,85,False,7.63,3.62,58.33,3.7199999999999998,62.16,0.7000000000000001,1.24,0.7000000000000001,4.82,8.47,1.21,3,0.30000000000000004,0,0.0,0.30000000000000004,0.0,0,0.0,0.05,0,0.0,3,0.30000000000000004,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,1.0,50.0,0.6000000000000001,0.30000000000000004,0.0,40.88,1.4100000000000001,0.9,52.43,90.8,26.32,86.64,3.42,97.06,48.11,93.32,4.32,62.79,19.27,41.31,0.04,0.2,0.0,0.0,0.0,0.0,0.1,5.52,70.91,0.6000000000000001,33.33,0.7000000000000001,57.14,0.2,0.0,9.24,79.35,96.0,17.58,0,,0,,0,0.0,0.0,0.0,,,2.61,,3.7199999999999998,0.0,0.0,0.0,0.0,0,0.0
P. Díaz,Pedro Anthony Díaz Mendoza,473262,Cusco,Cusco,https://cdn5.wyscout.com/photos/team/public/3745_120x120.png,Primera División,GK,GK,100,,0,,0,27,1998-04-21,0,2028-12-31,9,896,0,0.0,0,0.0,0.2,100.0,Peru,['Peru'],right,185,78,False,1.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,1.0,1.76,0.0,2,0.2,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.48,0.30000000000000004,0.0,21.9,91.74,10.75,87.85,0.0,0.0,16.67,97.59,5.22,73.08,28.9,50.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.1,0.0,0.2,50.0,0.0,0.0,3.62,72.22,96.26,10.75,10,1.0,35,3.52,1,71.43,8.53,0.86,-1.47,-0.148,0.0,1.0,0.1,,,,0.0,0,0.0
C. Fara,Cain Jair Fara,470847,Universitario,Universitario,https://cdn5.wyscout.com/photos/team/public/540_120x120.png,Primera División,"RCB3, CB",RCB3,82,CB,13,,0,32,1994-03-06,125000,2026-12-31,9,895,0,0.21,0,0.17,12.47,53.23,Argentina,['Argentina'],right,184,78,False,7.24,4.53,57.78,3.32,45.45,0.8,1.19,0.2,3.8200000000000003,5.67,0.8,1,0.1,0,0.0,1.11,0.0,0,0.0,0.02,0,0.0,6,0.6000000000000001,0.0,0.0,0.0,1.21,33.33,0.1,100.0,1.11,27.27,0.0,0.8,87.5,1.9100000000000001,57.89,0.5,1.81,0.1,23.53,1.31,0.91,35.5,84.7,17.9,81.46,2.41,100.0,29.46,92.15,4.83,52.08,19.95,40.43,0.02,0.4,0.0,0.0,0.0,0.0,0.30000000000000004,6.23,77.42,1.4100000000000001,35.71,0.30000000000000004,33.33,0.2,0.4,8.35,77.11,84.11,10.76,0,,0,,0,0.0,0.0,0.0,,,1.21,,3.32,0.0,0.0,0.0,0.0,0,0.0
K. Becerra,Kevin Steeven Becerra Wila,432286,Cienciano,Cienciano,https://cdn5.wyscout.com/photos/team/public/542_120x120.png,Primera División,"LCB, LCB3",LCB,73,LCB3,21,,0,30,1996-01-05,275000,2026-12-31,9,894,0,0.17,0,0.0,13.19,61.07,Ecuador,['Ecuador'],right,0,0,False,8.96,5.03,72.0,5.64,55.36,0.1,0.17,0.7000000000000001,5.23,8.62,1.01,0,0.0,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,2,0.2,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.01,50.0,0.2,1.01,0.0,20.94,0.30000000000000004,0.5,31.61,83.76,13.19,70.99,2.21,95.45,26.88,91.76,4.63,39.13,24.15,45.41,0.0,0.0,0.2,0.0,0.0,0.0,0.1,4.43,54.55,0.2,50.0,0.2,50.0,0.0,0.0,6.04,63.33,92.59,13.59,0,,0,,0,0.0,0.0,0.0,,,1.6099999999999999,,5.64,0.0,0.0,0.0,0.0,0,0.0
A. Hohberg,Alejandro  Hohberg González,230406,Cienciano,Cienciano,https://cdn5.wyscout.com/photos/team/public/542_120x120.png,Primera División,"AMF, CF",AMF,63,CF,22,,0,34,1991-08-20,400000,2027-12-31,9,880,7,6.87,3,2.5,8.28,48.15,Peru,"['Peru', 'Uruguay']",right,169,72,False,2.15,1.8399999999999999,61.11,0.72,28.57,0.2,0.33,0.0,0.8200000000000001,1.33,0.31,0,0.0,0,0.0,3.89,0.72,5,0.51,0.7000000000000001,0,0.0,41,4.19,51.22,17.073,0.31,2.15,42.86,0.61,83.33,1.53,26.67,0.41000000000000003,1.6400000000000001,50.0,4.19,46.34,2.15,1.02,0.31,23.52,2.86,1.13,28.02,73.36,9.2,58.89,4.3,97.62,22.6,79.64,3.48,50.0,19.66,35.84,0.26,1.74,0.0,0.31,0.1,0.0,0.72,6.24,65.57,3.48,47.06,0.51,60.0,1.02,0.8200000000000001,4.6,91.11,75.26,9.92,0,,0,,0,0.0,0.0,0.0,,,0.2,,0.72,2.56,1.02,70.0,2.9699999999999998,3,66.667
O. Valenzuela,Oswaldo Josúe Valenzuela Dileo,-62567,Cusco,Cusco,https://cdn5.wyscout.com/photos/team/public/3745_120x120.png,Primera División,"LCMF, LDMF, DMF",LCMF,40,LDMF,39,DMF,17,25,2000-12-20,300000,2026-12-31,9,868,0,0.04,0,0.01,8.09,55.13,Peru,['Peru'],right,171,70,False,8.81,4.46,62.79,1.35,46.15,0.31,0.55,0.41000000000000003,5.7,10.0,0.93,0,0.0,0,0.0,0.21,0.0,0,0.0,0.0,0,0.0,4,0.41000000000000003,25.0,0.0,0.0,0.21,0.0,0.1,0.0,0.1,0.0,0.1,0.21,50.0,1.35,38.46,0.0,0.1,0.0,37.53,0.1,0.62,51.22,88.87,17.32,77.84,5.5,96.23,45.1,91.49,5.91,71.93,19.68,34.41,0.0,0.21,0.0,0.0,0.1,0.0,0.0,9.44,72.53,0.8300000000000001,37.5,0.73,42.86,0.21,0.0,8.61,79.52,94.06,20.94,0,,0,,0,0.0,0.0,0.0,,,0.8300000000000001,,1.35,0.0,0.0,0.0,0.0,0,0.0
J. Vélez,Jairo David Vélez Cedeño,288382,Alianza Lima,Alianza Lima,https://cdn5.wyscout.com/photos/team/public/551_120x120.png,Primera División,"AMF, RCMF, LCMF3",AMF,32,RCMF,29,LCMF3,16,30,1995-04-21,700000,2028-12-31,9,855,1,0.8300000000000001,3,4.13,23.89,45.81,Ecuador,['Ecuador'],right,174,73,False,5.68,5.68,64.81,2.74,38.46,0.11,0.18,0.0,1.8900000000000001,3.29,1.05,0,0.0,0,0.0,3.58,0.11,1,0.11,0.09,1,0.11,9,0.9500000000000001,33.33,11.111,0.32,2.21,28.57,1.05,20.0,1.16,36.36,0.32,4.53,55.81,13.16,40.0,2.5300000000000002,2.42,0.42,23.58,1.47,1.47,33.68,73.75,12.74,63.64,4.84,93.48,27.26,81.08,4.32,48.78,18.03,34.77,0.44,3.05,0.0,0.11,0.32,33.33,0.84,6.11,65.52,3.89,37.84,1.58,33.33,1.37,0.63,4.53,83.72,76.24,10.63,0,,0,,0,0.0,0.0,0.0,,,0.42,,2.74,1.05,0.21,0.0,3.68,0,0.0
C. Garcés,Carlos John Garcés Acosta,282462,Cienciano,Cienciano,https://cdn5.wyscout.com/photos/team/public/542_120x120.png,Primera División,CF,CF,100,,0,,0,36,1990-03-01,300000,2026-12-31,9,845,8,5.06,0,0.4,16.19,44.74,Ecuador,['Ecuador'],right,186,78,False,3.09,2.02,52.63,8.31,41.03,0.21,0.34,0.0,1.81,2.9,0.64,3,0.32,0,0.0,1.81,0.85,7,0.75,0.54,5,0.53,22,2.34,63.64,36.364,0.0,0.32,0.0,0.11,0.0,0.11,0.0,0.11,0.53,60.0,3.3,51.61,3.2,0.11,0.0,6.92,1.81,1.28,9.16,74.42,2.02,47.37,2.45,91.3,8.52,77.5,0.43,50.0,13.16,10.82,0.04,0.32,0.0,0.0,0.0,0.0,0.21,0.64,66.67,0.21,0.0,0.0,0.0,0.21,0.0,0.64,50.0,75.0,2.13,0,,0,,0,0.0,0.0,0.0,,,0.11,,8.31,0.0,0.0,0.0,0.0,1,100.0
M. Ruidías,Marlon Brayan Ruidías Cutipa,-169352,Cusco,Cusco,https://cdn5.wyscout.com/photos/team/public/3745_120x120.png,Primera División,"RB, RCMF",RB,63,RCMF,32,,0,26,1999-05-13,400000,2027-12-31,9,842,1,0.45,1,1.43,12.51,58.12,Peru,['Peru'],right,175,68,False,7.59,6.09,70.18,1.82,52.94,0.21,0.38,0.11,3.1,5.51,1.18,3,0.32,0,0.0,1.6,0.11,1,0.11,0.05,0,0.0,12,1.28,16.67,8.333,0.11,2.14,35.0,0.11,0.0,1.92,38.89,0.21,0.96,55.56,3.21,40.0,0.96,1.6,0.0,46.71,1.28,0.53,59.11,87.7,16.03,74.0,13.25,98.39,51.52,92.74,5.77,57.41,19.97,38.79,0.15,0.64,0.0,0.0,0.32,33.33,0.43,7.8,72.6,2.7800000000000002,42.31,1.18,27.27,0.86,0.64,8.12,81.58,91.58,21.59,0,,0,,0,0.0,0.0,0.0,,,2.67,,1.82,0.0,0.0,0.0,0.0,0,0.0
