Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. van Dijk,Virgil van Dijk,188624,Liverpool,Liverpool,https://cdn5.wyscout.com/photos/team/public/24_120x120.png,Premier League,LCB,LCB,99,,0,,0,34,1991-07-08,30000000,2027-06-30,37,3749,6,4.4,0,0.32,10.13,68.72,Netherlands,"['Netherlands', 'Suriname']",right,193,92,False,5.35,2.04,69.41,5.79,69.71,0.02,0.04,0.62,3.91,6.08,0.43,4,0.1,0,0.0,0.34,0.14,6,0.14,0.11,6,0.14,28,0.67,46.43,21.429,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.05,50.0,0.38,56.25,1.2,1.03,0.02,44.99,0.31,0.34,58.5,90.6,24.63,82.85,2.54,94.34,53.68,94.36,4.78,49.25,20.18,47.07,0.01,0.07,0.02,0.0,0.0,0.0,0.02,10.85,78.54,0.72,33.33,0.5,33.33,0.29,0.0,9.24,80.78,97.12,25.01,0,,0,,0,0.0,0.0,0.0,,,1.7000000000000002,,5.79,0.0,0.0,0.0,0.0,0,0.0
David Raya,David Raya Martin,330279,Arsenal,Arsenal,https://cdn5.wyscout.com/photos/team/public/21_120x120.png,Premier League,GK,GK,100,,0,,0,30,1995-09-15,35000000,2028-06-30,37,3729,0,0.0,0,0.0,0.87,88.89,Spain,['Spain'],right,183,80,False,1.21,0.02,100.0,0.36,93.33,0.0,0.0,0.0,1.18,1.78,0.0,1,0.02,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,84.62,0.0,0.0,0.0,15.81,0.24,0.36,23.31,86.75,15.16,81.21,0.02,100.0,14.63,97.36,8.64,69.27,32.49,52.26,0.0,0.0,0.0,0.02,0.0,0.0,0.0,4.2,62.07,0.34,7.14,0.22,22.22,0.0,0.0,7.07,82.94,97.44,7.55,26,0.63,90,2.17,19,71.11,27.7,0.67,1.7000000000000002,0.041,0.0,1.5,0.36,,,,0.0,0,0.0
B. Verbruggen,Bart Verbruggen,-136986,Brighton,Brighton,https://cdn5.wyscout.com/photos/team/public/1169_120x120.png,Premier League,GK,GK,100,,0,,0,23,2002-08-18,18000000,2028-06-30,37,3719,0,0.0,0,0.0,0.75,70.97,Netherlands,['Netherlands'],right,194,75,False,1.26,0.12,20.0,0.48,80.0,0.02,0.04,0.0,1.21,1.75,0.05,3,0.07,0,0.0,0.02,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,100.0,0.1,100.0,0.0,0.0,0.0,23.01,0.27,0.07,31.92,86.05,15.34,73.03,0.02,0.0,23.3,98.75,8.54,52.12,28.89,51.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21,44.83,0.41000000000000003,11.76,0.61,48.0,0.02,0.0,5.76,70.17,98.65,14.35,43,1.04,146,3.5300000000000002,10,70.55,43.61,1.06,0.61,0.015,0.0,1.43,0.48,,,,0.0,0,0.0
B. Leno,Bernd Leno,102533,Fulham,Fulham,https://cdn5.wyscout.com/photos/team/public/29_120x120.png,Premier League,GK,GK,100,,0,,0,34,1992-03-04,13000000,2027-06-30,37,3713,0,0.0,0,0.0,0.92,89.47,Germany,['Germany'],right,190,82,False,1.31,0.07,100.0,0.78,87.5,0.0,0.0,0.0,1.24,1.65,0.0,3,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,100.0,0.0,0.0,0.0,18.83,0.27,0.12,27.39,91.24,13.11,83.73,0.02,0.0,20.97,98.5,6.42,67.55,26.46,49.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,55.56,0.07,0.0,0.02,0.0,0.0,0.0,5.09,71.9,98.17,13.21,51,1.24,147,3.56,8,65.31,43.95,1.07,-7.05,-0.171,0.0,1.67,0.78,,,,0.0,0,0.0
J. Pickford,Jordan Pickford,160405,Everton,Everton,https://cdn5.wyscout.com/photos/team/public/37_120x120.png,Premier League,GK,GK,100,,0,,0,32,1994-03-07,22000000,2029-06-30,37,3680,0,0.0,0,0.0,0.71,72.41,England,['England'],left,185,77,False,1.57,0.12,60.0,0.42,82.35,0.02,0.03,0.0,1.47,1.71,0.02,4,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,66.67,0.0,0.0,0.0,16.75,0.15,0.12,23.89,80.66,15.14,71.08,0.0,0.0,12.03,98.58,11.84,62.6,36.31,51.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38,60.0,0.54,18.18,0.56,13.04,0.12,0.0,8.19,79.4,97.08,8.36,49,1.2,162,3.96,11,69.75,50.04,1.22,1.04,0.025,0.0,1.2,0.42,,,,0.0,0,0.0
J. Garner,James Garner,467164,Everton,Everton,https://cdn5.wyscout.com/photos/team/public/37_120x120.png,Premier League,"LDMF, RDMF, RB",LDMF,30,RDMF,26,RB,14,25,2001-03-13,22000000,2030-06-30,37,3669,2,2.14,7,5.87,13.0,60.75,England,['England'],right,182,78,False,10.33,7.16,69.52,1.35,65.45,1.01,1.17,0.2,4.34,5.07,0.98,12,0.29,0,0.0,1.55,0.05,2,0.05,0.05,0,0.0,42,1.03,33.33,4.7620000000000005,0.17,1.82,36.49,0.93,36.84,0.88,36.11,0.25,0.78,56.25,2.6,49.06,0.59,0.98,0.22,30.47,0.42,0.86,42.41,85.66,14.64,76.72,6.52,96.99,38.19,90.82,2.5300000000000002,41.75,17.81,33.75,0.14,1.1,0.02,0.0,0.15,66.67,0.42,5.74,79.06,2.2800000000000002,48.39,0.42,47.06,0.49,0.59,6.5,70.57,88.75,13.96,0,,0,,0,0.0,0.0,0.0,,,1.2,,1.35,1.28,0.27,45.45,2.5300000000000002,0,0.0
J. Bowen,Jarrod Bowen,331388,West Ham United,West Ham United,https://cdn5.wyscout.com/photos/team/public/27_120x120.png,Premier League,"RW, RAMF, CF",RW,43,RAMF,22,CF,15,29,1996-12-20,50000000,2030-06-30,37,3664,8,8.51,9,7.33,18.96,42.75,England,"['England', 'Wales']",left,175,70,False,5.55,4.1,61.68,2.46,31.0,0.42,0.48,0.12,2.6,3.01,0.49,4,0.1,0,0.0,4.13,0.2,7,0.17,0.21,1,0.02,76,1.87,35.53,10.526,0.22,2.63,24.3,0.15,33.33,2.46,24.0,0.47000000000000003,4.91,56.5,10.32,41.43,3.19,2.63,0.49,14.93,1.33,1.15,20.39,70.48,4.99,60.1,4.5,91.8,16.92,79.39,0.93,34.21,17.33,21.09,0.18,0.96,0.05,0.0,0.15,33.33,0.44,1.65,61.19,2.16,39.77,0.22,22.22,0.61,0.64,3.07,72.8,65.49,5.55,0,,0,,0,0.0,0.0,0.0,,,0.25,,2.46,0.07,0.02,0.0,1.35,1,100.0
N. Milenković,Nikola Milenković,440930,Nottingham Forest,Nottingham Forest,https://cdn5.wyscout.com/photos/team/public/1113_120x120.png,Premier League,RCB,RCB,87,,0,,0,28,1997-10-12,15000000,2029-06-30,37,3630,0,1.15,0,0.98,11.65,65.96,Serbia,['Serbia'],right,195,90,False,6.72,3.69,74.5,3.8200000000000003,59.74,0.12,0.15,0.77,3.84,4.74,0.5,6,0.15,0,0.0,0.07,0.0,0,0.0,0.03,0,0.0,12,0.30000000000000004,8.33,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.05,100.0,0.77,48.39,0.52,0.25,0.0,23.36,0.25,0.5,36.42,89.24,13.31,77.84,2.48,95.0,31.69,93.27,4.69,62.96,20.89,37.79,0.02,0.05,0.0,0.0,0.0,0.0,0.02,3.99,70.81,0.32,23.08,0.32,38.46,0.12,0.0,5.33,68.84,97.16,16.59,0,,0,,0,0.0,0.0,0.0,,,1.71,,3.8200000000000003,0.0,0.0,0.0,0.0,0,0.0
M. Rogers,Morgan Rogers,473391,Aston Villa,Aston Villa,https://cdn5.wyscout.com/photos/team/public/32_120x120.png,Premier League,"AMF, LAMF, LW",AMF,40,LAMF,32,LW,12,23,2002-07-26,0,2031-06-30,37,3625,10,8.35,3,4.16,18.82,36.41,England,['England'],right,185,73,False,3.87,3.8,56.21,2.5300000000000002,24.51,0.05,0.07,0.07,1.69,2.47,1.19,7,0.17,0,0.0,3.03,0.25,10,0.25,0.21,0,0.0,79,1.96,39.24,12.658,0.07,1.81,23.29,0.9400000000000001,21.05,0.79,25.0,0.52,3.8200000000000003,44.81,9.96,33.17,3.5300000000000002,2.36,0.45,21.4,0.92,1.22,27.31,74.09,7.67,62.46,5.16,89.9,24.48,78.5,1.04,57.14,16.11,27.51,0.1,0.77,0.05,0.0,0.32,38.46,0.5,2.76,58.56,2.95,53.78,0.47000000000000003,26.32,1.51,0.4,4.49,70.72,74.85,8.09,0,,0,,0,0.0,0.0,0.0,,,0.07,,2.5300000000000002,0.12,0.1,50.0,0.02,0,0.0
D. Petrović,Djordje Petrovic,463402,Bournemouth,Bournemouth,https://cdn5.wyscout.com/photos/team/public/1173_120x120.png,Premier League,GK,GK,100,,0,,0,26,1999-10-08,20000000,2030-06-30,36,3623,0,0.0,0,0.0,0.77,83.87,Serbia,['Serbia'],right,194,89,False,1.29,0.1,50.0,0.65,88.46,0.0,0.0,0.0,1.24,1.73,0.0,3,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31,0.4,0.05,16.59,83.83,8.47,70.67,0.0,0.0,10.98,97.51,5.61,57.08,31.03,49.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,36.36,0.05,0.0,0.1,25.0,0.0,0.0,4.27,69.19,98.31,7.33,52,1.29,160,3.9699999999999998,11,67.5,48.72,1.21,-3.2800000000000002,-0.081,0.0,1.99,0.65,,,,0.0,0,0.0
