Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Gianniotis,Andreas Gianniotis,219921,Kasımpaşa,Kasımpaşa,https://cdn5.wyscout.com/photos/team/public/1252_120x120.png,Süper Lig,GK,GK,100,,0,,0,33.0,1992-12-18,500000,2027-06-30,27,2701,0,0.0,0,0.05,0.33,80.0,Greece,['Greece'],right,190,80,False,1.47,0.13,75.0,0.17,100.0,0.0,0.0,0.0,1.37,1.74,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,16.59,0.17,0.07,23.96,85.54,12.46,74.87,0.0,0.0,14.23,98.36,9.66,66.9,33.05,48.6,0.0,0.07,0.0,0.0,0.0,0.0,0.0,2.5,61.33,0.17,40.0,0.17,20.0,0.07,0.0,6.73,79.7,97.53,10.8,38,1.27,111,3.7,6,65.77,32.99,1.1,-5.01,-0.167,0.0,0.63,0.17,,,,0.0,0,0.0
I. Grbić,Ivo Grbić,273290,Fatih Karagümrük,Fatih Karagümrük,https://cdn5.wyscout.com/photos/team/public/g3014_120x120.png,Süper Lig,GK,GK,100,,0,,0,30.0,1996-01-18,3500000,2027-06-30,27,2670,0,0.0,0,0.0,0.98,89.66,Croatia,['Croatia'],right,195,83,True,2.26,0.30000000000000004,77.78,0.64,94.74,0.03,0.04,0.0,1.99,2.46,0.0,3,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,15.1,0.13,0.13,24.03,90.46,12.07,82.4,0.03,100.0,18.4,97.99,5.63,65.87,26.24,44.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,45.95,0.03,0.0,0.13,0.0,0.0,0.0,4.01,73.11,99.37,10.75,47,1.58,153,5.16,4,69.28,44.67,1.51,-2.33,-0.079,0.0,1.75,0.64,,,,0.0,0,0.0
D. Goutas,Dimitrios Goutas,262361,Gençlerbirliği,Gençlerbirliği,https://cdn5.wyscout.com/photos/team/public/825_120x120.png,Süper Lig,"RCB, CB, LCB",RCB,77,CB,11,LCB,10,32.0,1994-04-04,2800000,2027-06-30,27,2587,2,2.77,0,0.03,8.94,62.35,Greece,['Greece'],right,189,81,False,8.14,3.15,62.07,3.91,66.67,0.14,0.17,0.8,6.04,7.29,0.4,3,0.1,0,0.0,0.22,0.07,2,0.07,0.1,1,0.04,14,0.51,35.71,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,33.33,0.62,52.94,0.62,0.11,0.0,21.03,0.33,0.43,33.4,85.16,14.48,75.25,2.46,98.53,27.72,91.78,5.68,52.87,23.53,41.24,0.0,0.04,0.0,0.0,0.0,0.0,0.04,4.16,54.78,0.25,71.43,0.29,25.0,0.18,0.0,6.73,66.67,93.45,14.37,0,,0,,0,0.0,0.0,0.0,,,1.88,,3.91,0.0,0.0,0.0,0.0,0,0.0
M. Lis,Mateusz Lis,408090,Göztepe,Göztepe,https://cdn5.wyscout.com/photos/team/public/3932_120x120.png,Süper Lig,GK,GK,100,,0,,0,29.0,1997-02-27,1600000,2027-06-30,26,2572,0,0.0,0,0.0,0.84,75.0,Poland,['Poland'],right,192,83,False,1.47,0.1,66.67,0.63,72.22,0.03,0.04,0.0,1.3599999999999999,1.73,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.03,0.07,0.0,8.61,0.14,0.28,14.31,69.93,12.91,68.29,0.03,100.0,2.83,93.83,11.3,65.02,48.15,54.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,8.15,63.52,0.59,35.29,0.7000000000000001,35.0,0.21,0.0,8.26,86.02,88.24,1.19,20,0.7000000000000001,92,3.22,14,78.26,23.7,0.8300000000000001,3.7,0.129,0.0,1.6099999999999999,0.63,,,,0.0,0,0.0
M. Şengezer,Muhammed Şengezer,428933,İstanbul Başakşehir,İstanbul Başakşehir,https://cdn5.wyscout.com/photos/team/public/826_120x120.png,Süper Lig,GK,GK,100,,0,,0,29.0,1997-01-05,1700000,2028-06-30,26,2572,0,0.0,1,0.0,0.7000000000000001,80.0,Türkiye,['Türkiye'],right,192,78,False,1.54,0.03,0.0,0.42,91.67,0.0,0.0,0.0,1.54,2.34,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,20.86,0.28,0.24,29.15,87.03,15.78,78.49,0.0,0.0,19.46,98.02,9.59,65.69,31.04,48.89,0.0,0.0,0.0,0.03,0.0,0.0,0.03,3.5,54.0,0.24,0.0,0.31,33.33,0.03,0.0,7.03,79.6,98.04,12.49,30,1.05,118,4.13,8,74.58,31.93,1.12,1.9300000000000002,0.068,0.0,1.22,0.42,,,,0.0,0,0.0
K. Paal,Kenneth Paal,275116,Antalyaspor,Antalyaspor,https://cdn5.wyscout.com/photos/team/public/1189_120x120.png,Süper Lig,LB,LB,75,,0,,0,28.0,1997-06-24,2800000,2028-06-30,27,2566,0,0.2,0,0.78,12.41,50.0,Netherlands,"['Netherlands', 'Suriname']",left,174,70,False,7.08,6.61,55.25,1.82,50.0,0.51,0.64,0.22,2.92,3.66,1.06,3,0.11,0,0.0,0.88,0.0,0,0.0,0.01,0,0.0,8,0.29,12.5,0.0,0.0,0.88,54.17,0.84,52.17,0.04,100.0,0.11,0.73,50.0,2.92,42.5,0.26,0.36,0.15,20.4,1.5,0.99,29.05,84.17,11.17,70.59,5.91,97.53,25.26,91.04,3.03,34.94,18.53,39.04,0.03,0.36,0.04,0.04,0.0,0.0,0.26,4.16,66.67,1.31,52.78,0.07,0.0,0.26,0.47000000000000003,4.89,67.91,90.0,7.3,0,,0,,0,0.0,0.0,0.0,,,0.58,,1.82,0.18,0.04,0.0,0.04,0,0.0
E. Shomurodov,Eldor Shomurodov,334731,İstanbul Başakşehir,İstanbul Başakşehir,https://cdn5.wyscout.com/photos/team/public/826_120x120.png,Süper Lig,"CF, AMF",CF,57,AMF,38,,0,30.0,1995-06-29,5000000,2027-06-30,27,2535,16,11.76,3,1.47,13.74,35.4,Uzbekistan,['Uzbekistan'],right,190,76,True,2.66,2.56,58.33,3.2,30.0,0.04,0.05,0.18,1.1400000000000001,1.74,0.6000000000000001,0,0.0,0,0.0,2.31,0.5700000000000001,14,0.5,0.42,2,0.07,75,2.66,49.33,21.333,0.11,0.78,36.36,0.5,35.71,0.28,37.5,0.18,1.63,41.3,5.89,28.31,3.3,1.6,0.6000000000000001,16.9,1.63,0.5700000000000001,21.69,77.09,5.5,63.87,3.59,93.07,20.38,79.44,0.6000000000000001,52.94,16.19,18.04,0.05,0.64,0.07,0.0,0.18,20.0,0.32,2.73,66.23,1.35,55.26,0.28,25.0,0.85,0.25,2.34,77.27,81.53,7.88,0,,0,,0,0.0,0.0,0.0,,,0.18,,3.2,0.0,0.0,0.0,0.0,2,100.0
S. Denswil,Stefano Denswil,191101,Kayserispor,Kayserispor,https://cdn5.wyscout.com/photos/team/public/819_120x120.png,Süper Lig,"LCB, RCB",LCB,73,RCB,20,,0,32.0,1993-05-07,2800000,2026-06-30,26,2524,1,1.6,0,0.31,9.09,63.14,Netherlands,"['Netherlands', 'Suriname']",left,188,82,False,6.67,3.7800000000000002,66.98,3.21,63.33,0.11,0.14,0.61,4.03,5.14,0.68,3,0.11,0,0.0,0.14,0.04,1,0.04,0.06,1,0.04,20,0.71,10.0,5.0,0.0,0.18,20.0,0.18,20.0,0.0,0.0,0.0,0.11,33.33,0.61,41.18,0.64,0.89,0.0,23.28,0.25,0.43,35.02,89.21,13.37,80.27,3.21,97.78,30.81,93.98,4.06,55.26,22.42,38.61,0.01,0.14,0.04,0.04,0.0,0.0,0.0,4.49,73.02,0.43,25.0,0.36,10.0,0.14,0.04,6.5600000000000005,77.72,95.16,15.48,0,,0,,0,0.0,0.0,0.0,,,2.6,,3.21,0.14,0.11,0.0,0.0,0,0.0
Miguel Cardoso,Miguel Filipe Nunes Cardoso,306728,Kayserispor,Kayserispor,https://cdn5.wyscout.com/photos/team/public/819_120x120.png,Süper Lig,"LW, LAMF, CF",LW,42,LAMF,29,CF,13,31.0,1994-06-19,2500000,2027-06-30,26,2498,2,5.75,3,5.07,15.49,45.35,Portugal,['Portugal'],right,176,76,False,3.89,3.89,50.0,2.56,38.03,0.25,0.32,0.04,1.69,2.17,1.3,5,0.18,0,0.0,4.5,0.07,2,0.07,0.21,0,0.0,57,2.05,28.07,3.509,0.11,5.76,26.88,4.04,26.79,1.5899999999999999,22.73,0.8300000000000001,3.89,61.11,6.95,45.6,3.24,2.23,0.5,19.49,2.77,1.08,27.71,72.43,5.94,69.7,8.0,95.95,20.25,87.9,1.9500000000000002,37.04,20.46,33.9,0.18,1.26,0.07,0.04,0.04,0.0,0.68,2.2,70.49,5.08,36.88,0.22,33.33,0.9400000000000001,1.6600000000000001,4.36,77.69,56.49,9.44,0,,0,,0,0.0,0.0,0.0,,,0.25,,2.56,0.68,0.11,33.33,2.02,0,0.0
Nuno Lima,Nuno Miguel Reis Lima,-161388,Alanyaspor,Alanyaspor,https://cdn5.wyscout.com/photos/team/public/g7285_120x120.png,Süper Lig,"RCB3, CB",RCB3,83,CB,13,,0,25.0,2001-03-16,500000,2029-06-30,26,2479,1,1.5,0,0.18,9.44,59.23,Portugal,['Portugal'],right,184,76,False,5.92,3.88,57.94,3.92,61.11,0.07,0.09,0.51,3.59,4.37,0.91,6,0.22,0,0.0,0.15,0.04,1,0.04,0.05,1,0.04,14,0.51,21.43,7.143,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.04,100.0,0.44,58.33,0.84,0.4,0.0,37.54,0.84,0.4,50.79,89.64,23.78,83.21,2.83,98.72,45.49,94.81,5.19,46.15,20.46,39.5,0.01,0.11,0.04,0.0,0.04,0.0,0.04,7.66,77.73,0.33,22.22,0.36,30.0,0.18,0.0,9.62,76.6,95.72,19.53,0,,0,,0,0.0,0.0,0.0,,,1.71,,3.92,0.04,0.0,0.0,0.0,0,0.0
