Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Hand,Dylan Hand,-117667,Wexford,Wexford,https://cdn5.wyscout.com/photos/team/public/g8201_120x120.png,First Division,"RCB, LCB, RB",RCB,60,LCB,20,RB,15,27.0,1999-03-15,0,2026-11-30,16,1528,0,0.29,0,0.02,16.9,69.34,Republic of Ireland,['Republic of Ireland'],,0,0,False,10.96,6.54,82.88,6.54,68.47,0.18,0.24,0.71,5.36,7.2,0.9400000000000001,4,0.24,0,0.0,0.18,0.0,0,0.0,0.02,0,0.0,1,0.06,0.0,0.0,0.0,0.24,50.0,0.0,0.0,0.24,50.0,0.06,0.18,33.33,1.88,31.25,0.35000000000000003,0.35000000000000003,0.0,27.57,0.59,0.59,47.18,77.03,21.73,60.43,3.12,100.0,34.99,86.7,11.96,49.26,25.1,40.69,0.0,0.06,0.0,0.06,0.06,0.0,0.0,7.07,45.83,0.88,6.67,0.41000000000000003,0.0,0.12,0.06,11.31,58.85,92.99,18.49,0,,0,,0,0.0,0.0,0.0,,,1.53,,6.54,0.0,0.0,0.0,0.0,0,0.0
K. O'Connor,Kyle O'Connor,-256120,Athlone Town,Athlone Town,https://cdn5.wyscout.com/photos/team/public/g1195_120x120.png,First Division,LB,LB,100,,0,,0,23.0,2003-03-14,0,,16,1527,1,0.48,2,1.31,18.45,55.91,Republic of Ireland,['Republic of Ireland'],,0,0,False,10.49,8.43,65.73,1.83,51.61,0.12,0.16,0.24,4.83,6.65,0.71,4,0.24,0,0.0,2.59,0.06,1,0.06,0.03,0,0.0,16,0.9400000000000001,25.0,6.25,0.12,3.36,35.09,3.06,32.69,0.24,75.0,0.47000000000000003,2.3,46.15,6.9,44.44,0.24,1.71,0.35000000000000003,24.64,1.47,0.88,40.61,70.97,18.62,58.54,7.49,95.28,29.76,82.97,7.72,39.69,21.9,37.11,0.08,1.12,0.06,0.0,0.18,66.67,0.29,7.78,53.03,3.89,34.85,0.9400000000000001,31.25,0.41000000000000003,1.0,10.49,70.79,74.38,9.43,0,,0,,0,0.0,0.0,0.0,,,0.53,,1.83,1.06,0.35000000000000003,16.67,3.18,0,0.0
K. Cantwell,Kilian Cantwell,332896,Kerry ,Kerry ,https://cdn5.wyscout.com/photos/team/public/g-17426_120x120.png,First Division,"RCB, CB",RCB,57,CB,36,,0,30.0,1995-05-24,0,2026-11-30,16,1522,0,0.07,0,0.7000000000000001,12.48,62.09,Republic of Ireland,['Republic of Ireland'],right,186,76,False,7.1,5.26,67.42,4.85,58.54,0.24,0.29,0.9500000000000001,3.31,4.03,0.59,2,0.12,0,0.0,0.35000000000000003,0.0,0,0.0,0.0,0,0.0,5,0.30000000000000004,0.0,0.0,0.0,0.30000000000000004,60.0,0.12,50.0,0.18,66.67,0.0,0.24,75.0,0.8300000000000001,57.14,0.47000000000000003,0.71,0.0,16.32,0.06,0.06,30.04,70.87,15.61,55.68,1.42,95.83,20.28,80.17,9.46,51.25,23.83,37.38,0.04,0.24,0.06,0.0,0.06,0.0,0.12,5.5,49.46,0.53,33.33,0.41000000000000003,28.57,0.12,0.18,8.34,55.32,90.71,10.82,0,,0,,0,0.0,0.0,0.0,,,0.8300000000000001,,4.85,0.0,0.0,0.0,0.0,0,0.0
J. Doyle,Jake Doyle,-414162,Wexford,Wexford,https://cdn5.wyscout.com/photos/team/public/g8201_120x120.png,First Division,CF,CF,96,,0,,0,21.0,2005-04-28,0,2026-11-30,16,1507,6,6.53,1,1.6800000000000002,37.33,32.8,Republic of Ireland,['Republic of Ireland'],,0,0,False,4.0,4.12,56.52,8.12,37.5,0.18,0.24,0.24,1.49,2.01,1.85,3,0.18,0,0.0,3.17,0.36,5,0.30000000000000004,0.39,2,0.12,48,2.87,39.58,12.5,0.06,0.78,7.69,0.18,0.0,0.6000000000000001,10.0,0.06,4.06,47.06,20.66,27.17,4.18,1.19,0.0,9.5,2.93,0.9,20.66,73.41,4.54,57.89,4.18,78.57,18.81,76.83,1.07,61.11,15.98,23.88,0.1,1.02,0.0,0.0,0.18,33.33,0.6000000000000001,2.45,70.73,1.02,52.94,0.18,0.0,1.31,0.06,2.09,80.0,78.85,6.21,0,,0,,0,0.0,0.0,0.0,,,0.0,,8.12,0.12,0.12,0.0,0.0,1,100.0
J. Hakkinen,Jonas Hakkinen,513876,Kerry ,Kerry ,https://cdn5.wyscout.com/photos/team/public/g-17426_120x120.png,First Division,"LCB, LCB3",LCB,54,LCB3,45,,0,27.0,1999-03-21,75000,2026-11-30,16,1498,0,0.38,0,0.8200000000000001,15.08,53.78,Canada,"['Canada', 'Finland']",right,186,0,False,9.85,4.93,67.07,7.09,53.39,0.30000000000000004,0.37,0.54,6.25,7.61,1.02,3,0.18,0,0.0,0.18,0.0,0,0.0,0.02,0,0.0,5,0.30000000000000004,20.0,0.0,0.0,0.18,66.67,0.12,50.0,0.06,100.0,0.0,0.0,0.0,1.26,38.1,0.78,0.6000000000000001,0.0,21.81,0.06,0.48,39.95,80.9,19.95,67.47,1.8599999999999999,90.32,31.0,88.37,8.77,54.79,23.27,37.85,0.05,0.30000000000000004,0.0,0.0,0.0,0.0,0.06,7.09,58.47,0.42,28.57,0.36,0.0,0.30000000000000004,0.12,10.09,66.07,95.83,14.42,0,,0,,0,0.0,0.0,0.0,,,0.9,,7.09,0.0,0.0,0.0,0.0,0,0.0
R. Gourdie,Rhys Gourdie,-227278,Cobh Ramblers,Cobh Ramblers,https://cdn5.wyscout.com/photos/team/public/g1198_120x120.png,First Division,"AMF, CF",AMF,47,CF,15,,0,23.0,2002-06-02,0,2026-11-30,16,1477,1,3.16,2,1.12,19.38,39.62,Scotland,['Scotland'],,183,72,False,4.57,4.39,51.39,4.2,31.88,0.18,0.25,0.06,2.13,2.93,0.73,1,0.06,0,0.0,1.71,0.06,0,0.0,0.19,0,0.0,26,1.58,23.08,3.846,0.12,1.65,29.63,0.61,40.0,1.04,23.53,0.12,1.71,50.0,7.62,36.8,2.62,1.16,0.06,19.19,1.83,1.65,29.37,71.16,10.66,64.0,6.82,89.29,24.62,77.23,3.17,46.15,18.55,39.0,0.07,0.79,0.06,0.0,0.06,0.0,0.37,5.18,63.53,1.71,35.71,0.06,0.0,0.61,0.55,5.36,71.59,73.87,6.76,0,,0,,0,0.0,0.0,0.0,,,0.12,,4.2,0.24,0.0,0.0,0.37,2,50.0
D. Osagie,Declan Osagie,-573915,Bray Wanderers,Bray Wanderers,https://cdn5.wyscout.com/photos/team/public/2574_120x120.png,First Division,RCB,RCB,100,,0,,0,19.0,2006-05-20,0,,15,1455,0,1.9100000000000001,0,0.15,17.13,59.57,Republic of Ireland,['Republic of Ireland'],,0,0,False,9.77,5.69,73.91,7.3,60.17,0.06,0.1,0.68,5.51,8.53,0.87,0,0.0,0,0.0,0.49,0.0,0,0.0,0.12,0,0.0,12,0.74,25.0,0.0,0.0,0.19,66.67,0.06,0.0,0.12,100.0,0.0,0.37,50.0,1.98,37.5,1.18,1.24,0.06,29.01,0.31,0.43,47.26,81.28,21.77,70.45,2.9699999999999998,87.5,41.13,88.12,5.94,34.38,21.86,40.05,0.01,0.12,0.0,0.0,0.0,0.0,0.06,6.5600000000000005,56.6,1.05,47.06,0.49,12.5,0.31,0.12,9.65,62.18,93.65,18.49,0,,0,,0,0.0,0.0,0.0,,,1.8599999999999999,,7.3,0.0,0.0,0.0,0.0,0,0.0
J. Corcoran,Jimmy Corcoran,-77775,Bray Wanderers,Bray Wanderers,https://cdn5.wyscout.com/photos/team/public/2574_120x120.png,First Division,GK,GK,100,,0,,0,24.0,2002-02-01,25000,2026-11-30,15,1455,0,0.0,0,0.0,1.24,85.0,Republic of Ireland,['Republic of Ireland'],right,181,70,False,2.29,0.12,50.0,0.87,85.71,0.0,0.0,0.06,2.23,3.45,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,100.0,0.0,0.0,0.0,10.89,0.12,0.25,19.86,79.13,11.88,65.1,0.0,0.0,10.02,98.15,9.77,60.13,37.01,53.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,55.38,0.62,20.0,0.43,14.29,0.12,0.0,6.8,77.27,100.0,7.42,19,1.18,58,3.59,1,67.24,16.51,1.02,-2.49,-0.154,0.0,2.1,0.87,,,,0.0,0,0.0
K. Moore,Kian Moore,-265736,Longford Town,Longford Town,https://cdn5.wyscout.com/photos/team/public/g1183_120x120.png,First Division,GK,GK,100,,0,,0,23.0,2003-03-31,0,2026-11-30,15,1450,0,0.0,0,0.0,0.99,68.75,Republic of Ireland,['Republic of Ireland'],right,0,0,False,1.8599999999999999,0.06,0.0,0.62,90.0,0.0,0.0,0.0,1.8599999999999999,2.23,0.06,2,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.12,0.12,18.0,71.38,12.23,59.39,0.0,0.0,7.82,95.24,10.18,53.05,37.3,49.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,28.95,0.25,0.0,0.06,0.0,0.0,0.0,6.77,66.97,96.25,4.97,13,0.81,56,3.48,6,76.79,17.71,1.1,4.71,0.292,0.0,1.37,0.62,,,,0.0,0,0.0
N. Brookwell,Niall Brookwell,496287,Kerry ,Kerry ,https://cdn5.wyscout.com/photos/team/public/g-17426_120x120.png,First Division,"RCB3, LDMF, RDMF",RCB3,37,LDMF,26,RDMF,15,24.0,2002-03-22,0,2027-11-30,15,1449,2,0.7000000000000001,0,0.03,16.15,63.46,England,['England'],right,187,0,False,10.68,7.08,66.67,4.53,68.49,0.37,0.46,0.62,5.59,6.89,1.3,8,0.5,0,0.0,0.43,0.12,2,0.12,0.04,0,0.0,6,0.37,33.33,33.333,0.0,0.25,25.0,0.0,0.0,0.25,25.0,0.0,0.43,57.14,2.05,45.45,0.75,0.75,0.0,13.98,0.37,0.87,28.57,72.17,13.48,59.45,2.36,92.11,24.04,80.1,4.29,30.43,20.26,36.28,0.0,0.12,0.06,0.0,0.0,0.0,0.0,6.34,50.0,0.93,20.0,0.37,16.67,0.12,0.06,7.02,61.06,86.49,9.19,0,,0,,0,0.0,0.0,0.0,,,0.56,,4.53,0.06,0.0,0.0,0.0,0,0.0
