Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Leon Merkas,Leon Merkas,-415985,Freienbach,Freienbach,https://cdn5.wyscout.com/photos/team/public/g11566_120x120.png,1. Liga Classic,GK,GK,100,,0,,0,23.0,2002-10-04,0,2026-06-30,17,1647,0,0.0,0,0.0,1.09,85.0,Switzerland,['Switzerland'],,0,0,False,3.06,0.0,0.0,0.55,90.0,0.0,0.0,0.05,3.06,4.06,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,87.5,0.0,0.0,0.0,16.12,0.16,0.33,28.36,80.35,15.79,66.78,0.0,0.0,18.09,96.98,10.11,51.89,34.94,52.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,38.27,0.66,8.33,0.22,25.0,0.0,0.0,7.43,69.12,98.58,11.58,27,1.48,61,3.33,3,55.74,21.66,1.18,-5.34,-0.292,0.0,2.08,0.55,,,,0.0,0,0.0
R. Enrico,Robin Enrico,199526,Portalban / Gletterens,Portalban / Gletterens,https://cdn5.wyscout.com/photos/team/public/g11540_120x120.png,1. Liga Classic,GK,GK,100,,0,,0,32.0,1994-01-22,50000,2026-06-30,17,1645,0,0.0,0,0.0,0.6000000000000001,72.73,Switzerland,['Switzerland'],,184,78,False,1.81,0.05,100.0,0.27,80.0,0.05,0.07,0.0,1.7000000000000002,2.17,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,50.0,0.0,0.05,0.0,18.27,0.22,0.11,29.16,87.43,14.28,76.25,0.0,0.0,21.28,98.97,7.82,56.64,27.15,48.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,32.14,0.05,100.0,0.16,33.33,0.05,0.0,5.31,65.98,98.73,12.91,23,1.26,68,3.7199999999999998,5,66.18,15.73,0.86,-7.27,-0.398,0.0,1.26,0.27,,,,0.0,0,0.0
T. Hunziker,Timon Hunziker,519419,Münsingen,Münsingen,https://cdn5.wyscout.com/photos/team/public/g8779_120x120.png,1. Liga Classic,GK,GK,100,,0,,0,30.0,1995-12-28,0,,17,1644,0,0.0,0,0.01,0.49,77.78,Switzerland,['Switzerland'],,0,0,False,1.53,0.05,0.0,0.27,80.0,0.0,0.0,0.0,1.53,1.92,0.0,0,0.0,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.16,100.0,0.05,0.0,0.0,13.52,0.16,0.05,22.88,75.84,13.85,62.85,0.0,0.0,12.92,97.46,9.96,47.8,36.22,52.57,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4.11,40.0,0.22,25.0,0.05,100.0,0.11,0.0,6.95,68.5,95.42,8.38,22,1.2,56,3.07,5,60.71,19.43,1.06,-2.5700000000000003,-0.14100000000000001,0.0,1.15,0.27,,,,0.0,0,0.0
F. Ivanaj,Federico Ivanaj,-151258,Taverne,Taverne,https://cdn5.wyscout.com/photos/team/public/g15792_120x120.png,1. Liga Classic,CB,CB,89,,0,,0,20.0,2006-02-05,0,,17,1637,2,0.99,1,0.47000000000000003,19.19,69.91,Italy,['Italy'],,0,0,False,13.63,9.24,80.95,5.33,61.86,0.05,0.08,0.8200000000000001,6.1,8.74,0.55,2,0.11,0,0.0,0.66,0.11,2,0.11,0.05,1,0.05,5,0.27,40.0,40.0,0.05,0.16,33.33,0.11,50.0,0.05,0.0,0.05,0.71,69.23,3.02,54.55,0.66,1.21,0.11,36.4,0.16,0.77,55.36,87.88,22.6,78.83,1.81,87.88,48.71,91.53,6.54,61.34,20.53,35.39,0.03,0.16,0.0,0.0,0.0,0.0,0.05,4.89,74.16,0.22,25.0,0.27,60.0,0.0,0.05,10.61,70.98,96.88,26.44,0,,0,,0,0.0,0.0,0.0,,,0.99,,5.33,0.0,0.0,0.0,0.0,0,0.0
T. Villemin,Tom Villemin,256948,Courtételle,Courtételle,https://cdn5.wyscout.com/photos/team/public/g15821_120x120.png,1. Liga Classic,"RB, LCB3, LWB",RB,29,LCB3,17,LWB,13,33.0,1992-04-08,0,2026-06-30,17,1622,2,2.8,1,1.0,16.33,61.01,Switzerland,['Switzerland'],,0,0,False,9.25,6.13,69.23,5.3,62.22,0.41000000000000003,0.55,0.18,4.6,6.11,1.06,3,0.17,0,0.0,1.0,0.11,2,0.12,0.17,1,0.06,16,0.9400000000000001,25.0,12.5,0.06,1.24,38.1,0.29,40.0,0.9400000000000001,37.5,0.12,0.41000000000000003,57.14,2.36,55.0,1.8900000000000001,1.47,0.12,28.53,1.94,1.24,42.91,76.37,18.86,63.13,6.48,96.36,34.36,85.08,7.31,41.94,20.21,34.62,0.06,0.47000000000000003,0.0,0.0,0.06,100.0,0.35000000000000003,6.01,57.84,2.12,50.0,0.18,0.0,0.71,0.47000000000000003,8.96,61.18,85.85,12.08,0,,0,,0,0.0,0.0,0.0,,,0.77,,5.3,0.06,0.0,0.0,0.0,0,0.0
A. Makoubé,Albert Makoubé,288611,Portalban / Gletterens,Portalban / Gletterens,https://cdn5.wyscout.com/photos/team/public/g11540_120x120.png,1. Liga Classic,"LDMF, LCMF, DMF",LDMF,40,LCMF,31,DMF,20,31.0,1995-02-13,0,2026-06-30,17,1621,0,1.34,0,0.18,18.1,58.9,France,"['France', 'Cameroon']",,190,0,False,10.16,5.89,67.92,4.22,68.42,0.0,0.0,0.17,6.16,7.87,0.89,5,0.28,0,0.0,0.39,0.0,0,0.0,0.07,0,0.0,17,0.9400000000000001,23.53,0.0,0.0,0.17,0.0,0.11,0.0,0.0,0.0,0.0,0.39,42.86,5.16,50.54,0.61,0.67,0.06,25.43,0.28,1.3900000000000001,42.42,86.65,14.32,75.19,7.33,95.45,37.42,90.06,4.83,63.22,19.42,35.78,0.01,0.28,0.0,0.11,0.06,0.0,0.06,7.27,70.23,0.44,37.5,0.44,25.0,0.22,0.0,6.88,76.61,93.86,16.27,0,,0,,0,0.0,0.0,0.0,,,1.0,,4.22,0.22,0.11,50.0,0.0,0,0.0
M. Stauffiger,Marco Stauffiger,460726,Münsingen,Münsingen,https://cdn5.wyscout.com/photos/team/public/g8779_120x120.png,1. Liga Classic,"LCB, LB, RB",LCB,36,LB,30,RB,18,30.0,1996-01-23,0,2026-06-30,17,1621,2,0.35000000000000003,0,0.18,10.22,60.87,Switzerland,['Switzerland'],right,176,0,False,8.99,6.22,65.18,1.44,50.0,0.39,0.49,0.17,4.55,5.72,0.89,2,0.11,0,0.0,0.72,0.11,2,0.11,0.02,2,0.11,4,0.22,50.0,50.0,0.0,1.17,28.57,0.72,23.08,0.44,37.5,0.17,0.33,83.33,1.55,50.0,0.39,0.56,0.17,19.49,0.89,0.39,30.15,74.77,16.49,65.66,2.17,100.0,21.93,86.58,7.11,45.31,24.41,41.66,0.01,0.17,0.0,0.0,0.0,0.0,0.06,7.72,60.43,2.22,37.5,0.33,33.33,0.5,0.39,8.83,71.7,84.76,9.11,0,,0,,0,0.0,0.0,0.0,,,1.0,,1.44,0.17,0.0,0.0,0.0,0,0.0
D. Simic,Damjan Simic,-597967,Dietikon,Dietikon,https://cdn5.wyscout.com/photos/team/public/g19007_120x120.png,1. Liga Classic,"RCB, CB, LCB",RCB,59,CB,21,LCB,11,24.0,2001-07-04,0,2026-06-30,17,1613,1,1.28,1,0.71,12.78,61.57,Switzerland,['Switzerland'],unknown,0,0,False,9.88,6.47,71.55,2.9,42.31,0.22,0.28,0.73,5.02,6.29,1.3900000000000001,2,0.11,0,0.0,0.39,0.06,1,0.06,0.07,1,0.06,12,0.67,25.0,8.333,0.06,0.06,100.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,1.45,57.69,1.06,0.78,0.0,17.63,0.22,0.5,32.08,80.35,15.62,69.64,2.5700000000000003,91.3,26.39,86.68,5.64,50.5,22.96,42.12,0.04,0.11,0.0,0.06,0.0,0.0,0.11,4.13,62.16,0.17,33.33,0.0,0.0,0.11,0.06,7.92,61.27,93.46,11.94,0,,0,,0,0.0,0.0,0.0,,,2.01,,2.9,0.06,0.06,0.0,0.0,0,0.0
A. Marques Rosa,Anthony Marques Rosa,-523585,Lancy,Lancy,https://cdn5.wyscout.com/photos/team/public/g24538_120x120.png,1. Liga Classic,"LCMF, LDMF, RCMF",LCMF,70,LDMF,11,RCMF,10,24.0,2001-11-17,0,2026-06-30,17,1600,0,0.11,0,0.03,15.08,57.09,Portugal,['Portugal'],unknown,0,0,False,9.62,8.16,62.07,1.07,52.63,0.34,0.4,0.34,4.22,5.01,1.8,5,0.28,1,0.06,0.62,0.0,0,0.0,0.01,0,0.0,4,0.23,50.0,0.0,0.0,0.34,33.33,0.23,25.0,0.11,50.0,0.0,0.68,58.33,3.77,52.24,0.11,0.62,0.06,15.52,0.28,1.29,25.31,78.22,9.68,64.53,3.54,95.24,21.32,82.32,3.66,58.46,21.9,41.19,0.0,0.17,0.0,0.0,0.06,0.0,0.06,5.79,66.99,0.62,9.09,0.39,28.57,0.06,0.06,5.46,71.13,86.14,9.34,0,,0,,0,0.0,0.0,0.0,,,0.34,,1.07,0.06,0.0,0.0,0.0,0,0.0
J. Sabbatini,Jonathan Maximiliano Sabbatini Perfecto,173077,Taverne,Taverne,https://cdn5.wyscout.com/photos/team/public/g15792_120x120.png,1. Liga Classic,"RCMF, LCMF, CF",RCMF,28,LCMF,21,CF,19,37.0,1988-03-31,100000,2027-06-30,17,1578,5,3.93,2,2.26,18.31,53.58,Uruguay,"['Uruguay', 'Italy']",right,175,72,False,9.64,6.62,68.97,3.59,61.9,0.63,0.91,0.06,4.45,6.43,1.1400000000000001,1,0.06,0,0.0,1.31,0.29,5,0.29,0.22,2,0.11,25,1.43,40.0,20.0,0.11,0.91,31.25,0.46,25.0,0.4,42.86,0.34,0.74,53.85,5.53,35.05,2.51,1.1400000000000001,0.11,34.68,1.54,1.48,47.62,82.04,12.49,66.21,11.12,92.31,42.6,86.21,4.11,50.0,17.13,36.15,0.13,0.91,0.06,0.0,0.11,50.0,0.4,6.1,67.29,2.4,47.62,0.46,12.5,0.91,0.34,6.5,61.4,88.04,15.74,0,,0,,0,0.0,0.0,0.0,,,0.8,,3.59,0.06,0.0,0.0,0.0,0,0.0
C. Fidan,Cenk Fidan,460305,Old Boys,Old Boys,https://cdn5.wyscout.com/photos/team/public/g8776_120x120.png,1. Liga Classic,GK,GK,100,,0,,0,27.0,1999-03-03,0,2026-06-30,16,1556,0,0.0,0,0.0,0.93,75.0,Switzerland,"['Switzerland', 'Türkiye']",,181,0,False,1.3900000000000001,0.12,50.0,0.4,85.71,0.0,0.0,0.0,1.33,1.82,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,80.0,0.0,0.0,0.0,18.86,0.35000000000000003,0.23,30.89,86.33,20.48,82.77,0.06,100.0,17.81,97.4,13.07,71.24,32.07,45.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,65.71,0.12,0.0,0.12,100.0,0.06,0.0,9.25,74.38,93.94,9.54,44,2.54,104,6.02,0,57.69,33.6,1.94,-10.4,-0.602,0.0,1.16,0.4,,,,0.0,0,0.0
N. Milosavljevic,Nikola Milosavljevic,341639,Collina D'Oro,Collina D'Oro,https://cdn5.wyscout.com/photos/team/public/g-16350_120x120.png,1. Liga Classic,DMF,DMF,75,,0,,0,29.0,1996-04-24,100000,2026-06-30,16,1545,0,0.48,1,0.9400000000000001,12.29,53.08,Switzerland,"['Switzerland', 'Serbia']",right,180,75,False,7.11,5.83,60.0,1.92,54.55,0.29,0.38,0.12,3.32,4.32,1.11,2,0.12,0,0.0,0.99,0.0,0,0.0,0.03,0,0.0,6,0.35000000000000003,0.0,0.0,0.06,1.22,61.9,0.12,50.0,0.93,56.25,0.12,0.29,80.0,3.03,46.15,0.41000000000000003,0.12,0.06,29.3,0.29,0.87,46.66,80.02,21.09,69.61,4.54,93.59,36.58,85.99,9.09,58.97,19.97,34.03,0.05,0.7000000000000001,0.12,0.0,0.0,0.0,0.12,12.06,63.29,2.62,62.22,0.7000000000000001,50.0,0.8200000000000001,0.76,11.01,83.07,88.04,16.08,0,,0,,0,0.0,0.0,0.0,,,0.8200000000000001,,1.92,0.12,0.0,0.0,0.35000000000000003,0,0.0
H. Casano,Hugo Casano,-101552,Courtételle,Courtételle,https://cdn5.wyscout.com/photos/team/public/g15821_120x120.png,1. Liga Classic,"RWB, RAMF, RW",RWB,46,RAMF,13,RW,12,24.0,2001-03-29,0,2026-06-30,16,1535,10,4.77,0,3.59,26.31,44.42,France,['France'],,0,0,False,5.38,5.25,57.14,1.44,52.17,0.13,0.17,0.0,2.25,2.98,0.9400000000000001,4,0.23,0,0.0,6.38,0.59,6,0.38,0.30000000000000004,0,0.0,39,2.44,30.77,23.077,0.0,2.5,32.5,0.19,0.0,2.31,35.14,0.6900000000000001,8.69,54.68,17.63,42.2,3.19,5.06,0.88,22.81,2.63,2.88,29.56,73.57,9.63,56.49,6.19,93.94,23.75,81.32,3.38,50.0,20.54,43.96,0.22,1.56,0.0,0.06,0.38,16.67,0.6900000000000001,4.94,56.96,3.13,44.0,0.56,11.11,1.5,0.88,5.63,78.89,74.83,8.94,0,,0,,0,0.0,0.0,0.0,,,0.38,,1.44,0.81,0.31,20.0,1.19,3,100.0
S. Le Neün,Sébastien Le Neün,-86142,Amical Saint Prex,Amical Saint Prex,https://cdn5.wyscout.com/photos/team/public/g-24298_120x120.png,1. Liga Classic,LCB,LCB,100,,0,,0,38.0,1988-01-28,0,2026-06-30,16,1532,2,1.21,0,0.54,12.57,59.81,France,['France'],,0,0,False,9.11,3.94,71.64,4.82,53.66,0.41000000000000003,0.56,0.47000000000000003,5.87,7.98,0.59,2,0.12,0,0.0,0.8200000000000001,0.12,2,0.12,0.07,2,0.12,14,0.8200000000000001,35.71,14.286,0.0,0.53,55.56,0.12,50.0,0.41000000000000003,57.14,0.12,0.41000000000000003,57.14,1.88,56.25,0.76,0.0,0.0,38.3,0.35000000000000003,0.59,61.8,86.79,24.5,75.54,3.05,90.38,52.17,92.91,9.22,53.5,22.23,44.07,0.03,0.29,0.0,0.0,0.0,0.0,0.18,5.99,48.04,1.53,38.46,0.7000000000000001,50.0,0.41000000000000003,0.35000000000000003,8.58,60.96,95.83,29.55,0,,0,,0,0.0,0.0,0.0,,,1.7000000000000002,,4.82,0.12,0.06,100.0,0.0,0,0.0
Q. Hocini,Quentin Hocini,498062,Amical Saint Prex,Amical Saint Prex,https://cdn5.wyscout.com/photos/team/public/g-24298_120x120.png,1. Liga Classic,GK,GK,100,,0,,0,28.0,1998-01-09,0,2026-06-30,16,1532,0,0.0,2,0.52,0.76,76.92,France,['France'],right,185,0,False,1.4100000000000001,0.06,0.0,0.47000000000000003,87.5,0.06,0.08,0.0,1.35,1.8399999999999999,0.0,0,0.0,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.12,100.0,0.0,0.0,0.0,14.04,0.18,0.12,23.67,81.39,12.69,69.44,0.0,0.0,15.57,97.36,7.99,51.47,32.88,51.36,0.03,0.12,0.0,0.0,0.0,0.0,0.12,4.05,44.93,0.41000000000000003,0.0,0.47000000000000003,37.5,0.06,0.0,5.4,69.57,96.25,9.4,22,1.29,71,4.17,4,69.01,17.15,1.01,-4.85,-0.28500000000000003,0.0,2.06,0.47000000000000003,,,,0.0,0,0.0
M. Grob,Matthias Grob,-135723,Zug,Zug,https://cdn5.wyscout.com/photos/team/public/g8775_120x120.png,1. Liga Classic,GK,GK,100,,0,,0,23.0,2003-02-20,50000,2026-06-30,16,1530,0,0.0,0,0.0,0.59,80.0,Switzerland,['Switzerland'],,187,0,False,1.82,0.12,50.0,0.29,80.0,0.0,0.0,0.0,1.76,2.14,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,11.53,0.41000000000000003,0.18,19.82,84.27,10.47,75.28,0.0,0.0,13.88,95.34,5.94,58.42,28.5,43.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,42.11,0.06,0.0,0.06,0.0,0.0,0.0,4.65,60.76,95.14,8.47,25,1.47,77,4.53,4,67.53,23.01,1.35,-1.99,-0.117,0.0,1.35,0.29,,,,0.0,0,0.0
Massimo Nardo,Massimo Nardo,-416067,Höngg,Höngg,https://cdn5.wyscout.com/photos/team/public/g11015_120x120.png,1. Liga Classic,"RCMF, DMF, RDMF",RCMF,25,DMF,22,RDMF,21,29.0,1996-06-16,0,,17,1530,0,0.13,1,0.45,13.06,49.55,Switzerland,"['Switzerland', 'Italy']",both,178,0,False,11.88,6.59,55.36,2.06,34.29,0.12,0.16,0.41000000000000003,8.12,11.28,1.0,4,0.24,0,0.0,0.76,0.0,0,0.0,0.01,0,0.0,8,0.47000000000000003,25.0,0.0,0.06,0.71,50.0,0.12,0.0,0.59,60.0,0.24,0.41000000000000003,71.43,2.59,43.18,0.0,0.47000000000000003,0.0,29.94,0.24,0.8200000000000001,50.24,83.02,17.24,68.94,9.29,93.04,45.94,86.81,3.65,41.94,17.75,30.36,0.03,0.35000000000000003,0.06,0.0,0.0,0.0,0.06,6.18,69.52,1.65,35.71,0.35000000000000003,33.33,0.24,0.29,6.76,66.96,90.94,16.24,0,,0,,0,0.0,0.0,0.0,,,2.0,,2.06,0.06,0.0,0.0,0.06,0,0.0
E. Niyo,Espoir Niyo,-246263,Freienbach,Freienbach,https://cdn5.wyscout.com/photos/team/public/g11566_120x120.png,1. Liga Classic,"DMF, RCMF, LCMF",DMF,58,RCMF,17,LCMF,11,22.0,2003-12-02,0,2026-06-30,16,1525,0,0.43,1,0.29,22.6,59.79,Rwanda,['Rwanda'],right,0,0,False,13.93,11.1,70.74,2.01,55.88,0.8300000000000001,1.07,0.12,5.25,6.83,1.83,4,0.24,0,0.0,1.53,0.0,0,0.0,0.03,0,0.0,10,0.59,0.0,0.0,0.06,0.18,66.67,0.12,50.0,0.06,100.0,0.0,1.83,77.42,6.02,48.04,0.35000000000000003,0.8300000000000001,0.06,18.06,0.47000000000000003,1.12,34.7,79.42,11.39,61.66,6.26,98.11,30.63,83.82,3.9,45.45,18.93,35.71,0.02,0.30000000000000004,0.0,0.06,0.0,0.0,0.12,4.72,60.0,0.9400000000000001,50.0,0.35000000000000003,16.67,0.24,0.12,5.61,56.84,86.89,12.16,0,,0,,0,0.0,0.0,0.0,,,1.18,,2.01,0.06,0.0,0.0,0.0,0,0.0
