Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Rafael Caroca,Rafael Antonio Caroca Cordero,72895,Huachipato,Huachipato,https://cdn5.wyscout.com/photos/team/public/948_120x120.png,Primera División,"CB, RCB, LCB",CB,39,RCB,28,LCB,25,36.0,1989-07-19,250000,2026-12-31,12,1229,0,1.29,0,0.0,12.82,53.71,Chile,['Chile'],right,170,67,False,8.49,4.1,57.14,6.08,50.6,0.29,0.38,0.66,5.86,7.67,0.59,2,0.15,0,0.0,0.29,0.0,0,0.0,0.09,0,0.0,4,0.29,75.0,0.0,0.0,0.07,100.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,0.44,66.67,0.73,0.29,0.07,19.92,0.44,0.59,31.86,91.26,12.74,85.06,1.83,100.0,30.02,93.17,1.76,58.33,18.06,31.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,85.0,0.0,0.0,0.0,0.0,0.0,0.07,3.88,62.26,95.7,13.62,0,,0,,0,0.0,0.0,0.0,,,1.3900000000000001,,6.08,0.0,0.0,0.0,0.0,0,0
T. Ahumada,Tomás Alejandro Ahumada Oteíza,-125391,Audax Italiano,Audax Italiano,https://cdn5.wyscout.com/photos/team/public/919_120x120.png,Primera División,GK,GK,100,,0,,0,24.0,2001-06-24,425000,2027-12-31,12,1228,0,0.0,0,0.0,0.44,83.33,Chile,['Chile'],right,181,74,False,1.69,0.0,0.0,0.15,100.0,0.0,0.0,0.0,1.69,2.5700000000000003,0.0,2,0.15,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,12.39,0.44,0.15,23.31,87.42,10.26,76.43,0.0,0.0,16.12,97.27,7.18,65.31,29.42,47.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,43.75,0.0,0.0,0.15,100.0,0.0,0.0,5.35,65.75,97.56,12.02,19,1.3900000000000001,52,3.81,4,63.46,16.43,1.2,-2.5700000000000003,-0.188,0.0,1.17,0.15,,,,0.0,0,0
V. Bernedo,Vicente Bernedo García-Huidobro,-184876,Universidad Católica,Universidad Católica,https://cdn5.wyscout.com/photos/team/public/467_120x120.png,Primera División,GK,GK,100,,0,,0,25.0,2001-01-22,100000,2027-12-31,12,1228,0,0.0,0,0.0,0.81,100.0,Chile,['Chile'],right,187,0,False,1.47,0.15,100.0,0.44,100.0,0.07,0.13,0.0,1.25,2.16,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,15.83,0.22,0.15,23.6,90.37,11.07,82.78,0.0,0.0,17.52,97.49,6.08,69.88,28.79,50.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,1.54,80.95,0.0,0.0,0.07,0.0,0.0,0.0,5.13,68.57,97.48,11.65,17,1.25,45,3.3,2,62.22,12.9,0.9500000000000001,-4.1,-0.30000000000000004,0.0,1.3900000000000001,0.44,,,,0.0,0,0
G. Castellón,Gabriel Jesús Castellón Velazquez,192894,Universidad de Chile,Universidad de Chile,https://cdn5.wyscout.com/photos/team/public/865_120x120.png,Primera División,GK,GK,100,,0,,0,32.0,1993-09-08,800000,2027-12-31,12,1228,0,0.0,0,0.0,0.81,100.0,Chile,['Chile'],right,187,78,False,2.05,0.15,100.0,0.37,100.0,0.0,0.0,0.0,1.9100000000000001,3.06,0.0,3,0.22,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,0.0,0.0,0.0,8.79,0.15,0.29,16.42,90.63,8.43,84.35,0.0,0.0,12.46,99.41,3.96,62.96,28.87,42.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,58.33,0.0,0.0,0.0,0.0,0.0,0.0,3.08,69.05,97.09,7.55,7,0.51,54,3.96,7,87.04,13.16,0.96,6.16,0.451,0.0,1.25,0.37,,,,0.0,0,0
L. Reyes,Lorenzo Enrique Reyes Vicencio,74268,Ñublense,Ñublense,https://cdn5.wyscout.com/photos/team/public/950_120x120.png,Primera División,"RCMF, DMF, RCMF3",RCMF,57,DMF,18,RCMF3,12,34.0,1991-06-13,350000,2026-12-31,12,1225,0,0.39,0,0.32,13.67,61.83,Chile,['Chile'],right,176,76,False,7.27,5.58,68.42,1.62,68.18,0.37,0.48,0.07,3.09,4.0,1.1,3,0.22,0,0.0,0.96,0.0,0,0.0,0.03,0,0.0,8,0.59,12.5,0.0,0.0,0.73,40.0,0.22,33.33,0.51,42.86,0.07,0.73,70.0,3.9699999999999998,53.7,1.03,1.54,0.22,30.56,0.81,1.1,45.62,85.99,15.5,78.2,5.66,94.81,41.95,87.92,3.01,70.73,17.91,34.88,0.02,0.22,0.0,0.0,0.07,100.0,0.15,6.39,79.31,1.25,64.71,0.22,66.67,0.73,0.22,7.05,75.0,93.24,16.31,0,,0,,0,0.0,0.0,0.0,,,0.22,,1.62,0.0,0.0,0.0,0.0,0,0
N. Pérez,Alison Nicola Pérez Barone,91578,Ñublense,Ñublense,https://cdn5.wyscout.com/photos/team/public/950_120x120.png,Primera División,GK,GK,100,,0,,0,36.0,1990-02-05,350000,,12,1225,0,0.0,0,0.0,1.47,70.0,Uruguay,['Uruguay'],right,184,84,False,1.76,0.15,50.0,1.03,78.57,0.0,0.0,0.0,1.69,2.19,0.07,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,50.0,0.0,0.0,0.0,7.13,0.0,0.15,14.33,89.23,9.84,85.82,0.0,0.0,7.64,99.04,6.69,78.02,35.37,51.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,76.32,0.0,0.0,0.0,0.0,0.07,0.0,5.73,89.74,98.28,4.26,15,1.1,54,3.9699999999999998,5,72.22,15.08,1.11,0.08,0.006,0.0,2.13,1.03,,,,0.0,0,0
O. Bosso,Osvaldo Javier Bosso Torres,215818,Ñublense,Ñublense,https://cdn5.wyscout.com/photos/team/public/950_120x120.png,Primera División,CB,CB,80,,0,,0,32.0,1993-10-14,350000,2026-12-31,12,1225,0,0.62,0,0.08,10.87,56.76,Chile,['Chile'],right,177,64,False,6.32,3.89,62.26,4.19,49.12,0.59,0.76,0.22,3.31,4.29,0.59,0,0.0,0,0.0,0.15,0.0,0,0.0,0.05,0,0.0,4,0.29,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,50.0,0.66,44.44,0.29,0.37,0.0,16.46,0.07,0.51,29.09,85.1,11.31,68.83,1.03,100.0,25.71,89.14,3.38,54.35,20.38,36.74,0.01,0.07,0.0,0.0,0.0,0.0,0.0,2.64,58.33,0.15,100.0,0.15,50.0,0.15,0.0,5.22,59.15,95.94,14.47,0,,0,,0,0.0,0.0,0.0,,,0.81,,4.19,0.0,0.0,0.0,0.0,0,0
N. Avellaneda,Nicolás Gastón Avellaneda,258194,Unión La Calera,Unión La Calera,https://cdn5.wyscout.com/photos/team/public/3387_120x120.png,Primera División,GK,GK,100,,0,,0,33.0,1993-02-24,300000,2026-12-31,12,1218,0,0.0,0,0.0,0.81,100.0,Argentina,['Argentina'],right,191,84,False,1.85,0.0,0.0,0.67,100.0,0.0,0.0,0.0,1.85,2.68,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,14.56,0.44,0.07,24.16,87.77,11.67,78.48,0.0,0.0,14.56,97.97,9.61,72.31,30.73,46.75,0.0,0.0,0.0,0.07,0.0,0.0,0.0,1.4,57.89,0.07,0.0,0.0,0.0,0.0,0.0,5.54,76.0,96.18,11.6,19,1.4,51,3.77,3,62.75,15.4,1.1400000000000001,-3.6,-0.266,0.0,2.0,0.67,,,,0.0,0,0
A. Aguirre,Augusto Ezequiel Aguirre,472554,Deportes Limache,Deportes Limache,https://cdn5.wyscout.com/photos/team/public/g31349_120x120.png,Primera División,"LCB, RCB, RCB3",LCB,34,RCB,33,RCB3,24,26.0,1999-08-02,175000,2027-12-31,12,1215,0,0.45,1,0.51,7.93,51.4,Argentina,['Argentina'],right,184,77,True,7.93,3.11,76.19,2.07,28.57,0.0,0.0,0.52,5.5600000000000005,6.74,0.30000000000000004,1,0.07,0,0.0,0.37,0.0,0,0.0,0.03,0,0.0,5,0.37,20.0,0.0,0.07,0.44,16.67,0.07,0.0,0.37,20.0,0.0,0.44,50.0,1.7000000000000002,34.78,0.81,2.0,0.15,25.48,0.44,0.22,36.37,83.5,14.37,70.1,2.81,94.74,29.63,91.5,6.3,50.59,22.39,39.33,0.04,0.15,0.0,0.0,0.0,0.0,0.15,4.67,60.32,0.74,20.0,0.37,60.0,0.22,0.15,5.7,68.83,93.72,16.52,0,,0,,0,0.0,0.0,0.0,,,1.7000000000000002,,2.07,0.0,0.0,0.0,0.0,0,0
B. Ampuero,Erwin Branco Ampuero Vera,149912,Universidad Católica,Universidad Católica,https://cdn5.wyscout.com/photos/team/public/467_120x120.png,Primera División,"RCB, LCB",RCB,78,LCB,20,,0,32.0,1993-07-19,600000,2026-12-31,12,1213,1,0.61,0,0.0,13.06,63.07,Chile,['Chile'],right,184,82,False,7.05,3.64,75.51,5.34,55.56,0.37,0.64,0.37,3.93,6.79,0.37,3,0.22,0,0.0,0.37,0.07,1,0.07,0.05,0,0.0,1,0.07,100.0,100.0,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.52,57.14,1.19,50.0,0.30000000000000004,0.30000000000000004,0.0,28.57,0.07,0.59,42.89,88.75,15.73,75.47,4.38,100.0,38.29,92.05,4.6,61.29,21.1,35.38,0.0,0.0,0.07,0.0,0.0,0.0,0.0,1.4100000000000001,63.16,0.07,0.0,0.15,0.0,0.0,0.0,6.68,61.11,97.05,20.11,0,,0,,0,0.0,0.0,0.0,,,3.56,,5.34,0.0,0.0,0.0,0.0,0,0
