Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Carabantes,Kévin Edenilson Carabantes Rivera,430337,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,GK,GK,100,,0,,0,31.0,1995-03-20,175000,,38,3645,0,0.0,0,0.0,0.62,88.0,El Salvador,['El Salvador'],left,185,75,False,0.89,0.1,75.0,0.44,94.44,0.05,0.08,0.0,0.77,1.27,0.02,10,0.25,0,0.0,0.02,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,50.0,0.07,66.67,0.0,0.0,0.02,6.25,0.15,0.07,12.44,83.13,6.54,71.32,0.0,0.0,8.32,96.74,4.07,56.36,31.66,47.64,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.72,51.72,0.0,0.0,0.0,0.0,0.0,0.0,3.23,64.89,97.14,5.19,38,0.9400000000000001,141,3.48,14,73.05,42.44,1.05,4.44,0.11,0.0,1.19,0.44,,,,0.0,0,0.0
M. Jacobo,Mario Alberto Jacobo Segovia,279422,Alianza,Alianza,https://cdn5.wyscout.com/photos/team/public/3042_120x120.png,Primera Division,"RCB, LCB",RCB,58,LCB,41,,0,29.0,1996-08-02,150000,2026-06-30,38,3637,3,2.34,0,0.04,10.49,55.66,El Salvador,['El Salvador'],,0,0,False,6.85,4.75,64.06,4.18,50.89,0.1,0.16,0.49,3.71,6.01,1.4100000000000001,9,0.22,0,0.0,0.12,0.07,3,0.07,0.06,1,0.02,8,0.2,50.0,37.5,0.0,0.05,50.0,0.02,100.0,0.02,0.0,0.0,0.02,0.0,0.37,20.0,0.30000000000000004,0.05,0.0,18.39,0.37,0.15,31.77,85.59,15.09,76.72,1.1400000000000001,89.13,26.5,90.66,5.22,60.19,21.81,36.86,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.1,63.53,0.25,40.0,0.25,20.0,0.05,0.02,5.99,59.09,96.02,13.04,0,,0,,0,0.0,0.0,0.0,,,0.84,,4.18,0.0,0.0,0.0,0.0,0,0.0
F. Amaya,Felipe Enrique Amaya,306752,Firpo,Firpo,https://cdn5.wyscout.com/photos/team/public/3043_120x120.png,Primera Division,GK,GK,100,,0,,0,37.0,1988-11-03,0,,37,3565,0,0.0,0,0.0,0.81,84.38,El Salvador,['El Salvador'],right,190,91,False,1.44,0.13,40.0,0.5,95.0,0.0,0.0,0.0,1.3900000000000001,2.15,0.0,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,3.91,0.05,0.23,9.57,84.43,6.06,78.75,0.0,0.0,6.01,96.64,3.51,64.75,31.8,46.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,47.73,0.08,0.0,0.08,33.33,0.03,0.0,2.8,77.48,96.72,3.08,35,0.88,104,2.63,13,66.35,27.54,0.7000000000000001,-7.46,-0.188,0.0,1.4100000000000001,0.5,,,,0.0,0,0.0
J. Portillo,José Isaac Portillo Molina,-208521,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,"DMF, LDMF, RDMF",DMF,29,LDMF,25,RDMF,18,26.0,1999-11-14,150000,,39,3499,2,1.8599999999999999,4,1.77,11.78,56.55,El Salvador,['El Salvador'],right,174,0,False,7.25,5.53,61.86,2.01,50.0,0.6900000000000001,1.15,0.23,3.14,5.18,1.31,11,0.28,0,0.0,0.62,0.05,2,0.05,0.05,1,0.03,30,0.77,23.33,6.667,0.1,0.18,42.86,0.1,50.0,0.08,33.33,0.03,0.49,73.68,2.75,51.4,0.44,0.62,0.0,40.31,0.41000000000000003,1.13,53.22,87.43,19.27,78.24,6.17,93.33,46.38,91.13,6.66,62.93,19.46,35.86,0.05,0.62,0.0,0.08,0.03,0.0,0.21,10.19,72.98,1.08,47.62,0.39,60.0,0.44,0.08,9.85,79.37,93.18,21.12,0,,0,,0,0.0,0.0,0.0,,,0.28,,2.01,0.26,0.03,0.0,0.03,0,0.0
Yan,Yan Dos Santos Maciel,474832,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,"AMF, LCMF3, CF",AMF,29,LCMF3,17,CF,16,29.0,1997-03-24,0,,40,3463,12,8.25,9,9.21,19.39,51.61,Brazil,['Brazil'],left,186,75,False,6.52,6.24,64.17,1.6600000000000001,46.88,0.05,0.09,0.05,2.47,4.11,1.2,3,0.08,0,0.0,2.81,0.31,12,0.31,0.21,0,0.0,67,1.74,44.78,17.91,0.23,1.74,38.81,0.96,29.73,0.78,50.0,0.31,1.6600000000000001,62.5,9.51,45.63,1.74,2.42,0.05,32.95,1.77,1.92,45.32,85.49,15.23,78.5,8.89,95.91,40.72,88.45,2.99,70.43,17.88,30.97,0.24,1.79,0.21,0.1,0.49,63.16,0.73,8.24,80.76,3.27,57.14,0.62,54.17,1.46,0.68,9.04,89.08,88.18,13.85,0,,0,,0,0.0,0.0,0.0,,,0.1,,1.6600000000000001,0.9400000000000001,0.16,66.67,2.7800000000000002,0,0.0
Nelson Diaz,Nelson Vladimir Diaz Tobar,-410258,Firpo,Firpo,https://cdn5.wyscout.com/photos/team/public/3043_120x120.png,Primera Division,"LW, LAMF",LW,42,LAMF,41,,0,19.0,2006-07-04,0,,36,3329,12,6.99,4,4.18,23.82,40.07,El Salvador,['El Salvador'],unknown,0,0,False,4.65,5.06,58.82,0.84,12.9,0.08,0.13,0.03,1.6,2.47,1.22,4,0.11,0,0.0,4.33,0.32,12,0.32,0.19,1,0.03,69,1.87,44.93,17.391,0.11,1.54,33.33,1.46,35.19,0.03,0.0,0.30000000000000004,6.3,45.92,15.6,35.18,2.14,2.68,0.7000000000000001,19.41,1.46,2.05,25.87,77.64,7.89,72.95,4.43,92.07,22.82,81.99,1.57,56.9,15.89,23.62,0.11,1.3,0.03,0.0,0.16,50.0,0.59,3.19,74.58,2.76,58.82,0.38,42.86,1.51,0.54,4.7,79.89,76.51,7.6,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.84,0.0,0.0,0.0,0.05,0,0.0
Julián Grueso,Julián Andrés Grueso Bravo,-83588,Internacional Formando Atletas,Internacional Formando Atletas,https://cdn5.wyscout.com/photos/team/public/g-24194_120x120.png,Primera Division,"RCB, LCB",RCB,57,LCB,41,,0,27.0,1999-04-12,0,,33,3203,1,0.6000000000000001,0,0.14,12.19,58.76,Colombia,['Colombia'],right,0,0,False,6.88,5.39,65.1,3.85,59.12,0.25,0.42,0.37,3.12,5.13,1.12,12,0.34,1,0.03,0.14,0.03,1,0.03,0.02,1,0.03,5,0.14,40.0,20.0,0.0,0.06,50.0,0.0,0.0,0.03,0.0,0.0,0.08,66.67,1.32,34.04,0.25,0.96,0.03,30.4,0.96,0.45,45.18,89.43,19.25,81.31,3.15,95.54,38.61,94.32,6.52,60.78,21.76,38.14,0.0,0.11,0.03,0.0,0.03,0.0,0.03,4.72,74.4,0.31,36.36,0.14,20.0,0.08,0.06,8.63,73.94,96.7,18.74,0,,0,,0,0.0,0.0,0.0,,,2.39,,3.85,0.0,0.0,0.0,0.0,0,0.0
L. Claros,Lizandro Enmanuel Claros Saravia,-169588,Firpo,Firpo,https://cdn5.wyscout.com/photos/team/public/3043_120x120.png,Primera Division,"RCB, LCB",RCB,53,LCB,36,,0,28.0,1998-01-25,150000,,35,3194,0,1.81,0,0.31,15.08,65.23,El Salvador,['El Salvador'],right,182,0,False,9.1,6.82,74.38,5.72,56.65,0.17,0.26,0.54,3.86,6.02,1.21,12,0.34,2,0.06,0.51,0.0,0,0.0,0.05,0,0.0,23,0.65,30.43,0.0,0.0,0.17,33.33,0.03,100.0,0.14,20.0,0.03,0.28,90.0,1.32,59.57,0.45,1.07,0.0,22.26,0.45,0.48,37.36,81.83,21.05,74.83,1.3,95.65,30.4,88.51,6.82,53.31,21.56,37.58,0.01,0.11,0.0,0.06,0.0,0.0,0.08,6.14,57.34,0.7000000000000001,24.0,0.51,27.78,0.2,0.03,9.21,73.39,91.98,11.24,0,,0,,0,0.0,0.0,0.0,,,0.62,,5.72,0.23,0.23,37.5,0.0,0,0.0
M. Murillo,Miguel Ángel Murillo Valencia,-473755,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,"LB, RB, RCB",LB,37,RB,33,RCB,23,28.0,1997-12-03,0,,36,3125,1,2.35,1,0.47000000000000003,18.86,61.07,Colombia,['Colombia'],,0,0,False,10.86,9.04,69.11,3.8,62.12,0.92,1.51,0.37,3.69,6.05,2.16,16,0.46,1,0.03,0.55,0.03,1,0.03,0.07,1,0.03,18,0.52,16.67,5.556,0.03,0.37,38.46,0.17,50.0,0.2,28.57,0.03,0.63,50.0,3.7199999999999998,44.19,0.89,0.58,0.06,24.28,0.84,1.38,35.14,85.49,16.24,77.13,3.02,91.43,30.15,90.07,4.67,59.26,20.22,39.12,0.01,0.2,0.03,0.03,0.0,0.0,0.12,4.78,70.48,0.92,50.0,0.2,42.86,0.43,0.17,7.6,75.38,94.55,11.64,0,,0,,0,0.0,0.0,0.0,,,0.75,,3.8,0.0,0.0,0.0,0.03,0,0.0
E. Medrano,Edgar José Medrano Ayarza,-242419,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,"RAMF, CF, LAMF",RAMF,20,CF,18,LAMF,16,31.0,1994-09-23,200000,,37,3100,14,11.14,9,8.29,26.83,44.7,Colombia,['Colombia'],,0,0,False,4.47,4.79,64.85,2.24,41.56,0.12,0.19,0.09,1.25,2.08,1.3599999999999999,11,0.32,0,0.0,5.11,0.41000000000000003,9,0.26,0.32,0,0.0,77,2.24,44.16,18.182,0.26,1.9500000000000002,43.28,0.75,50.0,1.16,37.5,0.29,5.92,53.92,17.65,39.31,3.14,3.34,0.46,18.26,2.26,2.29,26.51,82.91,5.05,71.84,7.9,94.49,22.94,87.59,1.74,61.67,16.83,26.79,0.24,1.57,0.03,0.03,0.2,42.86,0.7000000000000001,2.29,74.68,2.44,60.71,0.32,36.36,1.42,0.75,3.02,86.54,79.86,8.22,0,,0,,0,0.0,0.0,0.0,,,0.06,,2.24,0.0,0.0,0.0,0.03,5,100.0
