Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Khamkhoev,Khazbulat Khamkhoev,250932,Merani Martvili,Merani Martvili,https://cdn5.wyscout.com/photos/team/public/g13765_120x120.png,Erovnuli Liga 2,GK,GK,100,,0,,0,32.0,1993-11-16,0,2025-12-31,24,2320,0,0.0,0,0.25,1.71,81.82,Russia,['Russia'],right,188,75,False,2.06,0.23,50.0,1.09,92.86,0.04,0.04,0.0,1.9,2.12,0.0,3,0.12,0,0.0,0.08,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.23,100.0,0.0,0.0,0.0,9.12,0.23,0.16,17.73,76.15,12.45,67.91,0.0,0.0,8.88,92.14,8.84,60.09,40.38,52.1,0.01,0.04,0.0,0.0,0.0,0.0,0.08,4.77,58.54,0.23,0.0,0.43,54.55,0.08,0.0,6.67,79.65,96.24,5.16,38,1.47,116,4.5,7,67.24,39.0,1.51,1.0,0.039,0.0,2.99,1.09,,,,0.0,0,0.0
J. Esonkulov,Javoxir Esonkulov,437904,Merani Martvili,Merani Martvili,https://cdn5.wyscout.com/photos/team/public/g13765_120x120.png,Erovnuli Liga 2,CF,CF,100,,0,,0,28.0,1997-04-20,0,2025-12-31,24,2307,12,13.22,2,0.41000000000000003,29.1,37.0,Uzbekistan,['Uzbekistan'],right,181,72,False,3.0,2.69,60.87,10.77,40.58,0.16,0.17,0.04,1.21,1.34,2.15,7,0.27,0,0.0,1.29,0.47000000000000003,7,0.27,0.52,3,0.12,66,2.5700000000000003,36.36,18.182,0.08,0.47000000000000003,8.33,0.23,0.0,0.23,16.67,0.04,1.48,21.05,11.16,29.37,3.39,1.05,0.04,4.8,1.33,2.85,8.93,74.67,1.48,55.26,3.98,91.18,8.15,78.95,0.39,50.0,17.08,11.43,0.02,0.31,0.04,0.04,0.0,0.0,0.23,1.01,53.85,0.39,20.0,0.0,0.0,0.16,0.04,0.59,80.0,57.45,1.83,0,,0,,0,0.0,0.0,0.0,,,0.0,,10.77,0.23,0.23,16.67,0.0,5,100.0
B. Laghadze,Bakar Laghadze,331944,Merani Martvili,Merani Martvili,https://cdn5.wyscout.com/photos/team/public/g13765_120x120.png,Erovnuli Liga 2,"RAMF, RW, LAMF",RAMF,57,RW,17,LAMF,13,30.0,1995-08-23,0,2025-12-31,25,2197,2,3.5,3,3.29,13.68,43.41,Georgia,['Georgia'],,175,59,False,3.9699999999999998,2.99,61.64,1.15,25.0,0.0,0.0,0.0,2.13,2.37,0.33,2,0.08,0,0.0,4.3,0.08,2,0.08,0.14,1,0.04,33,1.35,42.42,6.061,0.12,3.85,35.11,0.66,50.0,3.15,32.47,0.9,3.6,63.64,8.56,41.15,1.6400000000000001,3.24,0.66,13.89,1.31,0.5700000000000001,20.85,69.35,5.82,61.97,3.77,92.39,15.36,81.6,2.01,32.65,21.72,32.93,0.13,0.74,0.0,0.0,0.12,66.67,0.37,2.25,65.45,2.99,42.47,0.08,50.0,0.2,1.35,4.96,71.9,67.05,7.21,0,,0,,0,0.0,0.0,0.0,,,0.12,,1.15,0.04,0.0,0.0,0.29,0,0.0
Y. Nakano,Yuta Nakano,-287806,Rustavi,Rustavi,https://cdn5.wyscout.com/photos/team/public/g34920_120x120.png,Erovnuli Liga 2,"LCMF3, RCMF3, AMF",LCMF3,29,RCMF3,21,AMF,20,26.0,1999-02-09,0,2025-12-31,25,2153,7,6.9,4,2.67,17.06,51.96,Japan,['Japan'],right,174,0,False,7.44,6.8100000000000005,64.42,1.3,35.48,0.17,0.24,0.08,2.88,4.16,1.46,3,0.13,0,0.0,2.26,0.29,5,0.21,0.29,2,0.08,38,1.5899999999999999,42.11,18.421,0.17,1.34,40.63,0.67,37.5,0.67,43.75,0.29,2.05,48.98,6.8100000000000005,44.79,2.22,1.88,0.17,23.83,1.34,1.63,34.99,81.0,9.99,72.8,7.9,93.12,31.1,84.95,2.68,53.13,17.95,26.2,0.11,1.13,0.04,0.08,0.04,100.0,0.25,5.27,73.81,2.34,58.93,0.25,50.0,1.25,0.59,5.77,77.54,80.0,10.66,0,,0,,0,0.0,0.0,0.0,,,0.38,,1.3,1.5899999999999999,0.21,20.0,2.7199999999999998,3,66.667
K. Kakashvili,Kakhaber Kakashvili,160451,Rustavi,Rustavi,https://cdn5.wyscout.com/photos/team/public/g34920_120x120.png,Erovnuli Liga 2,"DMF, RCMF3, RDMF",DMF,31,RCMF3,25,RDMF,14,32.0,1993-06-26,0,2025-12-31,25,2126,4,1.46,0,1.1,15.24,57.5,Georgia,['Georgia'],right,183,79,False,9.4,7.28,66.28,2.96,54.29,0.68,0.96,0.25,3.89,5.54,1.44,5,0.21,0,0.0,1.35,0.17,4,0.17,0.06,1,0.04,31,1.31,35.48,12.903,0.0,0.72,52.94,0.08,50.0,0.59,50.0,0.04,0.63,73.33,3.05,48.61,0.51,0.76,0.0,32.13,0.51,1.1400000000000001,46.95,85.3,16.81,76.07,6.77,97.5,41.06,89.28,5.21,58.54,19.52,37.89,0.05,0.68,0.04,0.04,0.04,100.0,0.34,9.78,78.79,1.78,54.76,1.02,54.17,0.97,0.30000000000000004,8.97,80.66,91.6,17.14,0,,0,,0,0.0,0.0,0.0,,,0.89,,2.96,0.30000000000000004,0.04,100.0,0.0,0,0.0
G. Gaprindashvili,Giorgi Gaprindashvili,311158,Sioni,Sioni,https://cdn5.wyscout.com/photos/team/public/g949_120x120.png,Erovnuli Liga 2,RB,RB,79,,0,,0,30.0,1995-06-05,150000,2025-12-31,23,2120,0,0.47000000000000003,0,0.91,15.28,55.56,Georgia,['Georgia'],right,169,59,False,8.49,5.39,69.29,2.25,47.17,0.47000000000000003,0.65,0.17,4.29,6.01,0.59,4,0.17,0,0.0,3.44,0.0,0,0.0,0.02,0,0.0,12,0.51,8.33,0.0,0.0,3.95,38.71,0.08,50.0,3.8200000000000003,38.89,0.38,2.8,66.67,6.24,50.34,0.51,1.9500000000000002,0.30000000000000004,36.85,1.57,0.93,51.5,82.69,17.62,76.14,8.32,94.39,42.88,88.51,5.18,64.75,20.41,38.33,0.04,0.64,0.08,0.0,0.0,0.0,0.21,7.64,78.89,4.16,43.88,0.42,50.0,0.55,1.23,11.46,76.67,82.94,18.17,0,,0,,0,0.0,0.0,0.0,,,1.15,,2.25,0.04,0.04,0.0,0.08,0,0.0
O. Mamasakhlisi,Oleg Mamasakhlisi,296964,Gonio,Gonio,https://cdn5.wyscout.com/photos/team/public/g-16397_120x120.png,Erovnuli Liga 2,"RCMF, RCB, LCMF",RCMF,21,RCB,18,LCMF,15,30.0,1995-11-25,0,2025-12-31,25,2115,1,2.56,1,0.67,9.96,58.12,Georgia,['Georgia'],right,177,75,False,7.87,4.3,77.23,1.3599999999999999,43.75,0.13,0.17,0.6000000000000001,4.43,5.88,0.6000000000000001,4,0.17,0,0.0,0.9400000000000001,0.04,1,0.04,0.11,1,0.04,18,0.77,38.89,5.556,0.04,0.43,50.0,0.13,33.33,0.26,50.0,0.09,0.72,52.94,2.55,46.67,0.64,1.02,0.09,38.21,0.51,0.47000000000000003,51.06,87.5,19.62,80.26,5.66,94.74,45.57,91.13,5.06,57.98,20.16,32.79,0.03,0.51,0.04,0.13,0.17,25.0,0.26,7.91,73.66,1.57,35.14,0.47000000000000003,36.36,0.38,0.21,10.64,75.2,93.89,20.21,0,,0,,0,0.0,0.0,0.0,,,0.68,,1.3599999999999999,0.30000000000000004,0.0,0.0,0.09,1,0.0
D. Sitchinava,Data Sitchinava,101604,Sioni,Sioni,https://cdn5.wyscout.com/photos/team/public/g949_120x120.png,Erovnuli Liga 2,"AMF, CF",AMF,75,CF,15,,0,36.0,1989-03-21,0,2025-12-31,22,2047,13,13.43,1,2.47,12.4,44.68,Georgia,['Georgia'],left,177,78,False,1.9300000000000002,1.63,54.05,1.49,20.59,0.04,0.06,0.04,1.01,1.44,0.35000000000000003,3,0.13,0,0.0,3.03,0.5700000000000001,12,0.53,0.59,0,0.0,118,5.19,31.36,11.017,0.04,1.1400000000000001,19.23,0.09,0.0,1.06,20.83,0.18,1.98,48.89,7.74,47.73,2.07,0.92,0.09,23.35,1.76,2.02,30.56,76.12,9.76,61.71,4.31,86.73,23.79,83.18,5.67,57.36,21.57,41.04,0.11,0.97,0.09,0.0,0.26,83.33,0.35000000000000003,6.99,59.75,2.73,45.16,0.84,42.11,1.19,0.26,4.92,85.71,83.46,11.96,0,,0,,0,0.0,0.0,0.0,,,0.04,,1.49,2.86,1.23,35.71,2.42,4,25.0
N. Nozadze,Nikoloz Nozadze,315939,Sioni,Sioni,https://cdn5.wyscout.com/photos/team/public/g949_120x120.png,Erovnuli Liga 2,"LDMF, RCB, RDMF",LDMF,34,RCB,14,RDMF,13,31.0,1994-10-01,0,2025-12-31,22,2046,3,0.79,6,2.47,15.04,61.99,Georgia,['Georgia'],,0,0,False,9.68,8.58,73.85,1.1,36.0,0.18,0.24,0.4,3.17,4.31,1.1400000000000001,3,0.13,0,0.0,1.4100000000000001,0.13,3,0.13,0.03,0,0.0,21,0.92,38.1,14.286,0.26,1.1400000000000001,26.92,0.44,20.0,0.7000000000000001,31.25,0.35000000000000003,1.1400000000000001,61.54,3.17,44.44,0.79,0.7000000000000001,0.04,33.83,0.18,0.35000000000000003,48.83,88.02,15.88,82.27,5.98,94.12,45.13,91.81,2.55,48.28,19.56,29.83,0.11,0.53,0.04,0.04,0.09,50.0,0.35000000000000003,7.08,82.61,1.54,57.14,0.18,50.0,0.66,0.31,8.05,77.05,93.23,20.81,0,,0,,0,0.0,0.0,0.0,,,0.88,,1.1,0.0,0.0,0.0,0.0,0,0.0
T. Latsabidze,Tornike  Latsabidze,-588067,Merani Martvili,Merani Martvili,https://cdn5.wyscout.com/photos/team/public/g13765_120x120.png,Erovnuli Liga 2,"RCB, LCB",RCB,37,LCB,28,,0,25.0,2000-04-05,0,2025-12-31,23,1969,0,0.81,0,0.1,11.52,54.37,Georgia,['Georgia'],unknown,0,0,False,6.9,4.16,56.04,4.43,64.95,0.09,0.1,0.5,4.48,5.02,1.42,4,0.18,0,0.0,0.27,0.0,0,0.0,0.04,0,0.0,8,0.37,12.5,0.0,0.0,0.37,37.5,0.14,33.33,0.23,40.0,0.0,0.14,66.67,1.33,31.03,0.5,0.41000000000000003,0.0,15.82,0.41000000000000003,0.27,29.07,77.52,12.89,65.6,2.65,94.83,22.35,87.73,6.4,44.29,22.3,37.02,0.0,0.18,0.05,0.0,0.0,0.0,0.0,4.85,63.21,0.46,40.0,0.27,16.67,0.05,0.09,7.18,62.42,87.27,10.06,0,,0,,0,0.0,0.0,0.0,,,1.42,,4.43,0.05,0.0,0.0,0.0,0,0.0
