Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Muslija,Gentrit Muslija,-301935,Wil,Wil,https://cdn5.wyscout.com/photos/team/public/1149_120x120.png,Challenge League,GK,GK,100,,0,,0,20.0,2006-01-19,0,2028-06-30,36,3483,0,0.0,0,0.0,0.34,76.92,Switzerland,"['Switzerland', 'Serbia']",right,186,0,False,0.98,0.05,50.0,0.18,71.43,0.0,0.0,0.0,0.96,1.21,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,21.4,0.21,0.1,33.62,90.78,13.41,79.0,0.0,0.0,24.7,98.54,8.86,69.68,28.75,45.12,0.0,0.0,0.0,0.03,0.0,0.0,0.0,2.14,57.83,0.23,11.11,0.18,28.57,0.05,0.0,7.39,77.62,98.64,18.99,55,1.42,181,4.68,12,69.61,51.73,1.34,-3.27,-0.084,0.0,0.5700000000000001,0.18,,,,0.0,0,0.0
L. Schaffran,Leon Schaffran,412125,Vaduz,Vaduz,https://cdn5.wyscout.com/photos/team/public/1142_120x120.png,Challenge League,GK,GK,100,,0,,0,27.0,1998-07-31,200000,2027-06-30,36,3462,0,0.0,0,0.0,0.6000000000000001,73.91,Germany,['Germany'],right,186,81,False,1.5899999999999999,0.08,0.0,0.39,86.67,0.0,0.0,0.0,1.5899999999999999,2.2,0.0,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,50.0,0.0,0.0,0.0,16.53,0.39,0.16,25.29,88.8,12.82,80.53,0.0,0.0,18.85,98.34,6.42,61.13,27.85,45.59,0.0,0.0,0.0,0.03,0.0,0.0,0.0,1.6400000000000001,42.86,0.08,0.0,0.13,40.0,0.03,0.0,5.25,68.81,97.46,11.26,41,1.07,128,3.33,11,67.97,40.08,1.04,-0.92,-0.024,0.0,1.38,0.39,,,,0.0,0,0.0
M. Thaler,Marco Thaler,314654,Aarau,Aarau,https://cdn5.wyscout.com/photos/team/public/583_120x120.png,Challenge League,LCB3,LCB3,82,,0,,0,31.0,1994-06-28,150000,2027-06-30,34,3239,0,0.6000000000000001,1,1.08,11.03,62.72,Switzerland,['Switzerland'],right,185,80,False,8.7,6.47,69.96,1.9500000000000002,57.14,0.17,0.2,0.36,4.0,4.9,0.9400000000000001,5,0.14,0,0.0,0.22,0.0,0,0.0,0.02,0,0.0,6,0.17,16.67,0.0,0.03,0.31,18.18,0.14,40.0,0.17,0.0,0.08,0.22,62.5,1.19,46.51,0.5,0.89,0.03,23.87,0.33,0.61,35.04,84.06,18.56,78.29,2.2800000000000002,96.34,30.06,89.46,4.67,53.57,20.27,31.38,0.03,0.19,0.0,0.08,0.03,0.0,0.03,6.61,71.85,0.47000000000000003,29.41,0.31,45.45,0.22,0.08,8.92,76.01,92.35,10.53,0,,0,,0,0.0,0.0,0.0,,,1.17,,1.9500000000000002,0.03,0.0,0.0,0.0,0,0.0
G. Richard,Gilles Richard,522566,Stade Nyonnais,Stade Nyonnais,https://cdn5.wyscout.com/photos/team/public/1156_120x120.png,Challenge League,"RCB, RCB3",RCB,73,RCB3,21,,0,23.0,2003-02-23,100000,2027-06-30,34,3223,0,0.37,0,0.32,12.4,58.78,Switzerland,['Switzerland'],right,186,80,True,8.74,5.5600000000000005,68.84,2.6,44.09,0.28,0.31,0.75,4.64,5.19,0.61,2,0.06,1,0.03,0.39,0.0,0,0.0,0.01,0,0.0,4,0.11,50.0,0.0,0.0,0.25,22.22,0.0,0.0,0.22,12.5,0.03,0.53,47.37,2.68,48.96,0.45,1.17,0.08,29.91,0.73,0.84,43.31,84.72,19.91,75.04,2.6,97.85,35.16,91.82,7.9,55.12,23.12,35.37,0.01,0.08,0.0,0.0,0.03,100.0,0.0,5.53,67.17,0.28,30.0,0.39,14.29,0.14,0.06,9.66,66.47,95.16,17.9,0,,0,,0,0.0,0.0,0.0,,,1.76,,2.6,0.03,0.0,0.0,0.0,0,0.0
M. Hübel,Marvin Hübel,-106542,Aarau,Aarau,https://cdn5.wyscout.com/photos/team/public/583_120x120.png,Challenge League,GK,GK,100,,0,,0,23.0,2003-03-01,400000,2027-06-30,33,3194,0,0.0,0,0.13,0.65,73.91,Switzerland,['Switzerland'],right,187,80,False,1.6099999999999999,0.03,0.0,0.42,86.67,0.0,0.0,0.0,1.6099999999999999,1.97,0.03,3,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,60.0,0.0,0.0,0.0,15.55,0.2,0.08,26.52,87.25,15.92,79.65,0.0,0.0,14.91,97.73,11.61,73.79,35.03,49.02,0.0,0.06,0.0,0.0,0.0,0.0,0.0,4.71,70.66,0.37,23.08,0.2,28.57,0.08,0.0,9.38,85.29,98.87,9.97,47,1.32,130,3.66,9,63.85,45.16,1.27,-1.8399999999999999,-0.052000000000000005,0.0,1.49,0.42,,,,0.0,0,0.0
S. Müller,Serge Müller,519785,Aarau,Aarau,https://cdn5.wyscout.com/photos/team/public/583_120x120.png,Challenge League,RCB3,RCB3,94,,0,,0,25.0,2000-09-18,350000,2028-06-30,33,3190,2,2.52,2,2.07,11.6,59.85,Switzerland,['Switzerland'],right,186,75,False,8.75,5.45,67.88,3.3,55.56,0.25,0.31,0.65,4.8,5.89,0.68,2,0.06,0,0.0,0.76,0.06,2,0.06,0.07,2,0.06,22,0.62,27.27,9.091,0.06,0.85,43.33,0.03,100.0,0.73,38.46,0.06,0.34,66.67,1.6400000000000001,39.66,0.8200000000000001,1.5,0.06,27.25,0.56,0.48,39.55,84.38,18.0,74.92,3.7,94.66,32.25,89.76,6.46,62.88,21.0,34.48,0.06,0.31,0.08,0.03,0.06,0.0,0.2,7.19,74.51,1.9500000000000002,59.42,0.68,54.17,0.73,0.39,10.3,75.89,95.34,13.94,0,,0,,0,0.0,0.0,0.0,,,1.6099999999999999,,3.3,0.0,0.0,0.0,0.0,0,0.0
V. Fazliu,Valon Fazliu,429637,Aarau,Aarau,https://cdn5.wyscout.com/photos/team/public/583_120x120.png,Challenge League,"AMF, RCMF3",AMF,52,RCMF3,29,,0,30.0,1996-02-02,450000,2026-06-30,34,3128,14,13.0,10,11.48,15.02,45.79,Switzerland,"['Switzerland', 'Kosovo']",right,183,77,False,4.06,3.77,64.12,1.8399999999999999,37.5,0.09,0.11,0.2,1.55,1.9300000000000002,0.8300000000000001,7,0.2,0,0.0,2.91,0.4,12,0.35000000000000003,0.37,0,0.0,84,2.42,46.43,16.667,0.29,1.24,41.86,0.6000000000000001,38.1,0.6000000000000001,42.86,0.17,2.5300000000000002,48.86,7.68,39.7,3.11,1.44,0.14,16.86,0.8300000000000001,1.47,26.01,83.3,6.88,74.9,6.73,94.02,23.08,86.91,1.73,63.33,17.63,25.54,0.33,2.91,0.06,0.06,0.03,100.0,0.6000000000000001,3.11,74.07,2.01,74.29,0.26,55.56,1.73,0.52,3.88,85.93,84.47,7.6,0,,0,,0,0.0,0.0,0.0,,,1.38,,1.8399999999999999,2.8200000000000003,0.37,30.77,4.89,4,50.0
A. Sauthier,Anthony Sauthier,37408,Yverdon Sport,Yverdon Sport,https://cdn5.wyscout.com/photos/team/public/1145_120x120.png,Challenge League,RB,RB,95,,0,,0,35.0,1991-02-05,100000,2026-06-30,33,3126,0,0.74,4,3.29,13.39,60.22,Switzerland,['Switzerland'],right,185,75,False,9.27,6.91,61.67,2.79,52.58,0.29,0.39,0.29,4.72,6.33,0.58,5,0.14,0,0.0,1.04,0.0,0,0.0,0.02,0,0.0,21,0.6000000000000001,19.05,0.0,0.12,1.38,45.83,0.09,100.0,1.24,44.19,0.14,0.32,72.73,2.16,74.67,0.35000000000000003,1.04,0.03,42.75,3.48,1.9,54.39,86.08,23.03,79.25,5.67,96.95,44.71,90.6,8.41,68.15,20.46,35.71,0.09,0.6000000000000001,0.09,0.06,0.06,100.0,0.2,9.13,76.66,2.5,49.43,0.58,40.0,0.6000000000000001,0.63,13.07,78.63,91.33,19.26,0,,0,,0,0.0,0.0,0.0,,,1.27,,2.79,0.12,0.0,0.0,0.12,0,0.0
Y. Schmid,Yannick Schmid,404588,Wil,Wil,https://cdn5.wyscout.com/photos/team/public/1149_120x120.png,Challenge League,LCB,LCB,89,,0,,0,31.0,1995-05-11,300000,2028-06-30,33,3105,0,0.54,0,1.6400000000000001,11.25,61.86,Switzerland,['Switzerland'],right,184,77,False,8.64,5.19,66.48,4.0,59.42,0.06,0.07,0.87,5.13,6.45,0.78,4,0.12,0,0.0,0.32,0.0,0,0.0,0.02,0,0.0,8,0.23,50.0,0.0,0.0,0.26,55.56,0.12,50.0,0.14,60.0,0.03,0.12,50.0,0.72,44.0,0.55,0.64,0.0,34.75,0.46,0.58,48.06,88.12,20.49,77.79,2.41,89.16,42.26,92.94,5.59,52.85,22.1,37.59,0.05,0.43,0.06,0.0,0.0,0.0,0.12,6.67,69.13,0.64,45.45,0.17,16.67,0.38,0.12,8.99,77.1,97.59,21.62,0,,0,,0,0.0,0.0,0.0,,,1.5899999999999999,,4.0,0.09,0.09,100.0,0.03,0,0.0
E. Omeragic,Edin Omeragic,-188464,Neuchâtel Xamax,Neuchâtel Xamax,https://cdn5.wyscout.com/photos/team/public/586_120x120.png,Challenge League,GK,GK,100,,0,,0,24.0,2002-03-20,400000,,32,3087,0,0.0,0,0.0,1.05,80.56,Switzerland,['Switzerland'],right,196,82,False,1.72,0.09,33.33,0.7000000000000001,91.67,0.03,0.04,0.0,1.6600000000000001,2.03,0.03,0,0.0,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.17,100.0,0.03,0.03,0.0,14.4,0.29,0.2,22.01,87.15,9.21,73.73,0.0,0.0,15.89,97.25,6.03,61.84,29.35,44.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,47.37,0.03,100.0,0.09,66.67,0.03,0.0,4.4,63.58,97.81,11.98,41,1.2,132,3.85,6,68.94,41.89,1.22,0.89,0.026000000000000002,0.0,1.69,0.7000000000000001,,,,0.0,0,0.0
