Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Péan,Sullivan Péan,517640,Villefranche,Villefranche,https://cdn5.wyscout.com/photos/team/public/g8923_120x120.png,National 1,GK,GK,100,,0,,0,26.0,1999-10-27,300000,2026-06-30,23,2261,0,0.0,0,0.0,0.48,66.67,France,['France'],right,192,90,False,1.87,0.2,80.0,0.2,60.0,0.0,0.0,0.0,1.71,2.37,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,11.54,0.16,0.08,19.66,87.85,9.16,78.7,0.04,100.0,14.33,98.06,5.29,60.9,29.5,50.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,50.0,0.28,0.0,0.24,50.0,0.0,0.0,3.58,72.22,95.61,9.08,34,1.35,114,4.54,4,70.18,31.29,1.25,-2.71,-0.108,0.04,1.0,0.2,,,,0.0,0,0.0
M. Zogba,Maël Zogba,-136877,Le Puy F.43 Auvergne,Le Puy F.43 Auvergne,https://cdn5.wyscout.com/photos/team/public/g16245_120x120.png,National 1,RCB3,RCB3,95,,0,,0,26.0,2000-01-19,100000,2026-06-30,23,2254,1,0.68,2,1.29,10.75,62.02,France,['France'],right,190,0,False,7.21,3.58,77.91,3.84,61.96,0.13,0.17,0.67,4.29,5.76,0.42,4,0.16,0,0.0,1.29,0.04,1,0.04,0.03,1,0.04,7,0.29,28.57,14.286,0.08,1.46,42.86,0.0,0.0,1.42,41.18,0.25,0.58,85.71,1.88,46.67,0.88,0.96,0.04,36.06,1.5,0.67,49.19,86.19,24.8,79.66,3.08,95.95,42.06,92.17,5.67,52.94,19.9,38.8,0.05,0.54,0.08,0.0,0.17,50.0,0.29,8.21,76.14,1.96,34.04,0.46,18.18,0.21,0.67,10.63,78.04,94.03,16.05,0,,0,,0,0.0,0.0,0.0,,,1.08,,3.84,0.0,0.0,0.0,0.0,0,0.0
Matis Carvalho,Mathis Carvalho,458599,Le Puy F.43 Auvergne,Le Puy F.43 Auvergne,https://cdn5.wyscout.com/photos/team/public/g16245_120x120.png,National 1,GK,GK,100,,0,,0,26.0,1999-04-28,0,,23,2254,0,0.0,0,0.0,0.5,75.0,France,"['France', 'Portugal']",right,186,80,False,2.0,0.08,100.0,0.13,100.0,0.04,0.06,0.0,1.88,2.52,0.04,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,13.71,0.21,0.13,23.18,81.65,12.55,69.77,0.04,100.0,14.3,97.08,8.8,56.87,30.97,45.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,36.07,0.25,0.0,0.38,33.33,0.0,0.0,6.09,66.44,95.24,9.63,23,0.96,87,3.63,5,73.56,26.48,1.1,3.48,0.145,0.0,1.21,0.13,,,,0.0,0,0.0
A. Temperton,Axel Temperton,-704913,Rouen,Rouen,https://cdn5.wyscout.com/photos/team/public/3235_120x120.png,National 1,GK,GK,100,,0,,0,28.0,1998-03-08,0,2026-06-30,23,2245,0,0.0,0,0.0,0.28,57.14,France,['France'],,0,0,False,1.0,0.0,0.0,0.08,50.0,0.0,0.0,0.0,1.0,1.26,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,50.0,0.0,0.0,0.0,12.19,0.08,0.12,21.01,83.02,12.35,72.73,0.04,100.0,11.22,98.21,9.7,66.12,35.04,48.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,55.77,0.04,100.0,0.08,0.0,0.04,0.0,7.3,75.82,98.51,8.1,19,0.76,75,3.01,9,74.67,22.24,0.89,3.24,0.13,0.0,1.2,0.08,,,,0.0,0,0.0
T. Boulhendi,Teddy Boulhendi,519976,Bourg-en-Bresse,Bourg-en-Bresse,https://cdn5.wyscout.com/photos/team/public/4441_120x120.png,National 1,GK,GK,100,,0,,0,24.0,2001-04-09,100000,2026-06-30,23,2241,0,0.0,0,0.0,0.64,75.0,France,"['France', 'Algeria']",right,185,77,True,2.05,0.2,60.0,0.4,90.0,0.04,0.05,0.0,1.8900000000000001,2.36,0.04,3,0.12,1,0.04,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.0,18.63,0.24,0.24,30.28,87.67,14.86,78.92,0.04,0.0,18.76,97.64,11.49,71.68,29.75,43.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,56.0,0.16,0.0,0.12,0.0,0.0,0.0,7.79,74.74,96.33,14.22,33,1.33,95,3.8200000000000003,4,65.26,31.39,1.26,-1.6099999999999999,-0.065,0.0,1.16,0.4,,,,0.0,0,0.0
J. Gil,Jordan Gil,323189,Aubagne,Aubagne,https://cdn5.wyscout.com/photos/team/public/g19322_120x120.png,National 1,GK,GK,100,,0,,0,29.0,1996-11-01,0,2026-06-30,22,2159,0,0.0,1,0.52,0.17,100.0,France,['France'],right,180,76,False,1.29,0.0,0.0,0.13,100.0,0.0,0.0,0.0,1.29,1.85,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,15.09,0.29,0.08,25.47,82.98,13.42,70.81,0.0,0.0,14.47,96.54,11.01,65.15,30.66,43.36,0.02,0.08,0.0,0.04,0.0,0.0,0.04,2.58,53.23,0.13,33.33,0.25,16.67,0.04,0.0,7.67,69.02,97.05,11.3,29,1.21,86,3.58,4,66.28,22.57,0.9400000000000001,-6.43,-0.268,0.0,1.08,0.13,,,,0.0,0,0.0
A. Mandréa,Anthony Mandréa,320523,Caen,Caen,https://cdn5.wyscout.com/photos/team/public/69_120x120.png,National 1,GK,GK,100,,0,,0,29.0,1996-12-25,2000000,2027-06-30,22,2150,0,0.0,0,0.0,0.29,85.71,France,"['France', 'Algeria']",right,186,78,False,1.13,0.0,0.0,0.21,80.0,0.0,0.0,0.0,1.13,1.75,0.0,4,0.17,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,23.73,0.13,0.04,32.94,86.4,16.66,75.13,0.0,0.0,23.78,98.42,9.08,55.3,30.78,52.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,49.0,0.29,0.0,0.29,28.57,0.0,0.0,6.7,68.75,98.35,15.2,24,1.0,79,3.31,8,69.62,26.23,1.1,2.23,0.093,0.0,0.8,0.21,,,,0.0,0,0.0
C. Bassin,Clément Bassin,506620,Rouen,Rouen,https://cdn5.wyscout.com/photos/team/public/3235_120x120.png,National 1,"LWB, LB, LCB3",LWB,42,LB,27,LCB3,15,31.0,1994-12-11,200000,2026-06-30,22,2149,3,3.91,3,1.85,15.29,53.97,France,['France'],left,182,71,False,7.96,5.61,59.7,4.9,54.7,0.54,0.6900000000000001,0.17,4.06,5.11,1.55,7,0.29,0,0.0,2.05,0.13,3,0.13,0.16,0,0.0,32,1.34,28.13,9.375,0.13,2.47,44.07,2.47,44.07,0.0,0.0,0.25,0.88,66.67,3.31,48.1,2.14,0.75,0.17,20.35,1.63,0.75,30.61,72.23,15.2,65.56,3.39,91.36,20.94,82.8,7.54,51.11,23.76,38.1,0.08,0.54,0.0,0.0,0.0,0.0,0.38,5.65,59.26,2.14,45.1,0.46,18.18,0.46,0.96,9.21,74.55,78.6,9.0,0,,0,,0,0.0,0.0,0.0,,,0.34,,4.9,0.21,0.04,0.0,0.0,0,0.0
Y. M'Vila,Yann Gérard M'Vila,39223,Caen,Caen,https://cdn5.wyscout.com/photos/team/public/69_120x120.png,National 1,"DMF, LDMF",DMF,56,LDMF,16,,0,35.0,1990-06-29,800000,2026-06-30,22,2149,4,3.31,0,0.32,9.05,57.87,France,"['France', 'Congo']",right,183,80,False,6.41,3.64,50.57,2.51,70.0,0.46,0.72,0.17,4.1,6.38,0.5,6,0.25,0,0.0,0.34,0.17,1,0.04,0.14,1,0.04,15,0.63,40.0,26.667,0.0,0.29,0.0,0.04,0.0,0.25,0.0,0.04,0.04,100.0,1.51,52.78,0.34,0.13,0.0,35.18,0.25,1.13,49.92,89.01,18.39,81.55,5.44,95.38,45.06,92.38,4.5600000000000005,61.47,19.13,42.22,0.01,0.25,0.0,0.04,0.04,100.0,0.13,7.08,72.19,1.09,19.23,0.42,50.0,0.25,0.0,7.62,80.77,93.81,18.93,0,,0,,0,0.0,0.0,0.0,,,1.76,,2.51,0.21,0.0,0.0,0.0,3,100.0
L. Lavallée,Lucas Lavallée,-173893,Châteauroux,Châteauroux,https://cdn5.wyscout.com/photos/team/public/570_120x120.png,National 1,GK,GK,100,,0,,0,23.0,2003-02-18,0,2027-06-30,22,2149,0,0.0,0,0.0,0.63,86.67,France,['France'],right,187,84,False,1.3,0.13,66.67,0.38,88.89,0.0,0.0,0.0,1.21,1.8,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,10.34,0.0,0.21,17.13,88.02,7.87,77.13,0.0,0.0,12.82,98.04,4.31,58.25,25.56,39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,41.67,0.04,0.0,0.08,0.0,0.0,0.0,2.85,61.76,97.91,8.0,29,1.21,89,3.73,5,67.42,23.11,0.97,-5.89,-0.247,0.0,0.88,0.38,,,,0.0,0,0.0
